Keukenzaken: van aanvraag naar geboekte opmeting · Helvaro	Cuisinistes : de la demande au relevé de mesures planifié · Helvaro	Kitchen showrooms: from enquiry to a booked measuring appointment · Helvaro	Küchenstudios: von der Anfrage zum gebuchten Aufmaßtermin · Helvaro	Cocinas: de la consulta a la cita de medición reservada · Helvaro
Serieuze aanvragen krijgen meteen een vrij moment in de agenda, bij de klant thuis of bij jou in de zaak.	Les demandes sérieuses obtiennent immédiatement un créneau libre dans l'agenda, chez le client ou dans votre magasin.	Serious enquiries immediately get a free slot in the calendar, at the customer's home or in your shop.	Ernsthafte Anfragen erhalten sofort einen freien Termin im Kalender, beim Kunden zu Hause oder bei Ihnen im Geschäft.	Las consultas serias obtienen inmediatamente un hueco libre en la agenda, en casa del cliente o en tu tienda.
Een week na de offerte vraagt je agent hoe het ervoor staat. Niet één keer, maar tot er antwoord is of de klant duidelijk afhaakt.	Une semaine après le devis, votre agent demande où en est la réflexion. Pas une seule fois, mais jusqu'à obtenir une réponse ou un refus clair du client.	A week after the quote, your agent asks how things stand. Not just once, but until there is an answer or the customer clearly drops out.	Eine Woche nach dem Angebot fragt Ihr Agent nach, wie der Stand ist. Nicht nur einmal, sondern bis es eine Antwort gibt oder der Kunde eindeutig abspringt.	Una semana después del presupuesto, tu agente pregunta cómo va todo. No solo una vez, sino hasta que haya una respuesta o el cliente se retire claramente.
Een offerte van een half jaar geleden is geen verloren zaak. Vaak is het uitstel geweest, geen afstel.	Un devis vieux d'un semestre n'est pas une cause perdue. Souvent, c'était un report, pas un abandon.	A quote from six months ago is not a lost cause. Often it was a postponement, not a cancellation.	Ein Angebot von vor einem halben Jahr ist keine verlorene Sache. Oft war es Aufschub, keine Absage.	Un presupuesto de hace medio año no es una causa perdida. A menudo fue un aplazamiento, no una cancelación.
Extra voor keukens.	En plus pour les cuisines.	Extra for kitchens.	Extra für Küchen.	Extra para cocinas.
De visualisatie-agent maakt beelden van een keuken in verschillende stijlen en indelingen. Een klant die twijfelt tussen twee richtingen, ziet het verschil voor de opmeting plaatsvindt.	L'agent de visualisation crée des images d'une cuisine dans différents styles et agencements. Un client qui hésite entre deux directions voit la différence avant que le relevé de mesures n'ait lieu.	The visualisation agent creates images of a kitchen in different styles and layouts. A customer torn between two directions sees the difference before the measuring appointment takes place.	Der Visualisierungs-Agent erstellt Bilder einer Küche in verschiedenen Stilen und Aufteilungen. Ein Kunde, der zwischen zwei Richtungen schwankt, sieht den Unterschied, bevor der Aufmaßtermin stattfindet.	El agente de visualización crea imágenes de una cocina en distintos estilos y distribuciones. Un cliente que duda entre dos direcciones ve la diferencia antes de que se realice la cita de medición.
Hallo, ik ben op zoek naar een nieuwe keuken, wat kost dat ongeveer? 👋	Bonjour, je cherche une nouvelle cuisine, ça coûte combien environ ? 👋	Hi, I'm looking for a new kitchen, roughly what does that cost? 👋	Hallo, ich suche eine neue Küche, was kostet das ungefähr? 👋	Hola, busco una cocina nueva, ¿cuánto cuesta más o menos? 👋
Hoi! Dat hangt af van de indeling en de afwerking. Gaat het om een nieuwbouw of een bestaande keuken vervangen?	Salut ! Ça dépend de l'agencement et de la finition. S'agit-il d'une construction neuve ou du remplacement d'une cuisine existante ?	Hi! That depends on the layout and the finish. Is this a new build or replacing an existing kitchen?	Hallo! Das hängt von der Aufteilung und der Ausführung ab. Geht es um einen Neubau oder den Ersatz einer bestehenden Küche?	¡Hola! Depende de la distribución y del acabado. ¿Se trata de una obra nueva o de sustituir una cocina existente?
Bestaande keuken vervangen, we willen wel de muren laten staan	Remplacer une cuisine existante, mais on veut garder les murs	Replacing an existing kitchen, we do want to keep the walls	Bestehende Küche ersetzen, die Wände sollen aber stehen bleiben	Sustituir una cocina existente, queremos conservar las paredes
Duidelijk. Wanneer zou je willen starten, en met welk budget hou je rekening?	D'accord. Quand souhaiteriez-vous démarrer, et avec quel budget comptez-vous ?	Clear. When would you like to start, and what budget are you working with?	Verstanden. Wann möchten Sie starten, und mit welchem Budget rechnen Sie?	Entendido. ¿Cuándo te gustaría empezar, y con qué presupuesto cuentas?
Voorjaar, ergens tussen 12.000 en 18.000	Au printemps, entre 12.000 et 18.000 environ	Spring, somewhere between 12,000 and 18,000	Frühjahr, irgendwo zwischen 12.000 und 18.000	Primavera, entre 12.000 y 18.000 aproximadamente
📅 Opmeting bevestigd, zaterdag 10:00	📅 Relevé de mesures confirmé, samedi 10h00	📅 Measuring appointment confirmed, Saturday 10:00	📅 Aufmaßtermin bestätigt, Samstag 10:00 Uhr	📅 Cita de medición confirmada, sábado 10:00
Type project, timing en budget, ook 's avonds. De opmeting staat voor de showroom weer opengaat.	Type de projet, calendrier et budget, même le soir. Le relevé de mesures est fixé avant que le showroom ne rouvre.	Project type, timing and budget, even in the evening. The measuring appointment is set before the showroom opens again.	Projektart, Zeitrahmen und Budget, auch abends. Der Aufmaßtermin steht, bevor der Showroom wieder öffnet.	Tipo de proyecto, calendario y presupuesto, incluso por la noche. La cita de medición queda fijada antes de que el showroom vuelva a abrir.
Minder aanvragen die 's ochtends al koud zijn, en een balie die zich op de klanten in de zaak kan richten in plaats van tussendoor te typen. Elk gesprek blijft leesbaar in het dashboard, en je neemt op elk moment zelf over.	Moins de demandes déjà froides le matin, et un comptoir qui peut se concentrer sur les clients en magasin au lieu de taper entre deux. Chaque conversation reste lisible dans le tableau de bord, et vous reprenez la main à tout moment.	Fewer enquiries that have already gone cold by morning, and a front desk that can focus on the customers in the shop instead of typing in between. Every conversation stays readable in the dashboard, and you can take over yourself at any moment.	Weniger Anfragen, die morgens schon kalt sind, und ein Empfang, der sich auf die Kunden im Laden konzentrieren kann, statt zwischendurch zu tippen. Jedes Gespräch bleibt im Dashboard lesbar, und Sie übernehmen jederzeit selbst.	Menos consultas que ya se han enfriado por la mañana, y un mostrador que puede centrarse en los clientes de la tienda en lugar de escribir entre medias. Cada conversación sigue siendo legible en el panel, y tú puedes intervenir en cualquier momento.
