Wat er gebeurt	Ce qui se passe	What happens	Was passiert	Qué pasa
Wat je niet telt, verbetert niet.	Ce que vous ne comptez pas ne s'améliore pas.	What you do not count does not improve.	Was Sie nicht zählen, verbessert sich nicht.	Lo que no cuentas no mejora.
Wat je niet ziet, kun je niet oplossen. Daarom begint dit met zichtbaar maken.	Ce que vous ne voyez pas, vous ne pouvez pas le résoudre. C'est pourquoi cela commence par rendre visible.	What you cannot see, you cannot solve. That is why this starts with making it visible.	Was Sie nicht sehen, können Sie nicht lösen. Deshalb beginnt das damit, es sichtbar zu machen.	Lo que no ves no lo puedes resolver. Por eso esto empieza por hacerlo visible.
Wat jij doet	Ce que vous faites	What you do	Was Sie tun	Lo que haces tú
Wat jij inbrengt en wat je terugkrijgt.	Ce que vous apportez et ce que vous recevez.	What you bring in and what you get back.	Was Sie einbringen und was Sie zurückbekommen.	Lo que aportas y lo que recibes.
Wat kost een nieuwe accu voor mijn Golf en hebben jullie er een liggen?	Combien coûte une batterie neuve pour ma Golf et en avez-vous une en stock ?	What does a new battery for my Golf cost and do you have one in stock?	Was kostet eine neue Batterie für meinen Golf und haben Sie eine da?	¿Cuánto cuesta una batería nueva para mi Golf y tenéis alguna en stock?
Wat kost een week gemiste gesprekken jou?	Combien vous coûte une semaine d'appels manqués ?	What does a week of missed conversations cost you?	Was kostet Sie eine Woche verpasster Gespräche?	¿Cuánto te cuesta una semana de conversaciones perdidas?
Wat kost het, hoelang duurt het, kan ik wachten, moet ik iets meenemen, wat als hij wordt afgekeurd. Dat zijn steeds dezelfde vijf vragen en ze krijgen meteen antwoord.	Combien cela coûte, combien de temps cela prend, puis-je attendre, dois-je apporter quelque chose, et s'il est refusé. Ce sont toujours les cinq mêmes questions et elles reçoivent une réponse immédiate.	What does it cost, how long does it take, can I wait, do I need to bring anything, what if it fails. Those are the same five questions every time and they get an answer straight away.	Was kostet es, wie lange dauert es, kann ich warten, muss ich etwas mitbringen, was wenn er durchfällt. Das sind immer dieselben fünf Fragen und sie bekommen sofort eine Antwort.	Cuánto cuesta, cuánto dura, puedo esperar, tengo que llevar algo, qué pasa si no pasa. Son siempre las mismas cinco preguntas y reciben respuesta al momento.
Wat live staat noemen we live. Wat gebouwd wordt noemen we in ontwikkeling.	Ce qui est en ligne, nous l'appelons en ligne. Ce qui se construit, nous l'appelons en développement.	What is live we call live. What is being built we call in development.	Was live ist, nennen wir live. Was gebaut wird, nennen wir in Entwicklung.	Lo que está activo lo llamamos activo. Lo que se está construyendo lo llamamos en desarrollo.
Wat niet past gaat door naar een mens. Een schadegeval, een ontevreden klant, een technische discussie over een motorprobleem. Die gaan naar een vaste naam bij jou, mét het gesprek, zodat niemand opnieuw hoeft te beginnen.	Ce qui ne convient pas passe à un humain. Un sinistre, un client mécontent, une discussion technique sur un problème moteur. Cela va vers une personne désignée chez vous, avec la conversation, pour que personne ne doive tout reprendre.	What does not fit goes through to a person. A damage case, an unhappy customer, a technical discussion about an engine problem. Those go to a named person at your end, with the conversation, so nobody has to start again.	Was nicht passt, geht an einen Menschen. Ein Schadenfall, ein unzufriedener Kunde, eine technische Diskussion über ein Motorproblem. Die gehen an einen festen Namen bei Ihnen, mit dem Gespräch, damit niemand von vorn anfangen muss.	Lo que no encaja pasa a una persona. Un siniestro, un cliente descontento, una discusión técnica sobre un problema de motor. Eso va a una persona concreta en tu empresa, con la conversación, para que nadie tenga que empezar de nuevo.
Wat niet past, gaat naar een mens	Ce qui ne convient pas passe à un humain	What does not fit goes to a person	Was nicht passt, geht an einen Menschen	Lo que no encaja pasa a una persona
Wat nog gebouwd wordt, staat er als in ontwikkeling bij	Ce qui reste à construire est indiqué comme en développement	What is still being built is marked as in development	Was noch gebaut wird, steht als in Entwicklung dabei	Lo que aún se está construyendo figura como en desarrollo
Wat nog niet kan	Ce qui n'est pas encore possible	What is not yet possible	Was noch nicht geht	Lo que todavía no se puede
Wat vaak gevraagd wordt en telkens besteld moet worden, valt op. Dat is nuttige informatie voor je inkoop.	Ce qui est souvent demandé et doit être commandé à chaque fois se remarque. C'est une information utile pour vos achats.	What gets asked for often and has to be ordered every time stands out. That is useful information for your purchasing.	Was oft gefragt wird und jedes Mal bestellt werden muss, fällt auf. Das ist nützliche Information für Ihren Einkauf.	Lo que se pide a menudo y hay que encargar cada vez destaca. Esa es información útil para tus compras.
Wat vandaag al kan	Ce qui est déjà possible aujourd'hui	What is already possible today	Was heute schon geht	Lo que ya se puede hoy
Wat we in de pilot precies meten, staat op	Ce que nous mesurons exactement dans le pilote figure sur	Exactly what we measure in the pilot is on	Was wir im Piloten genau messen, steht auf	Lo que medimos exactamente en el piloto está en
Wat we meten, en wat we nog niet kunnen bewijzen	Ce que nous mesurons, et ce que nous ne pouvons pas encore prouver	What we measure, and what we cannot yet prove	Was wir messen und was wir noch nicht beweisen können	Qué medimos y qué todavía no podemos demostrar
Wat we niet meerekenen: klanten die na een slechte ervaring wegblijven, offertes die niemand opvolgt, APK's die bij de concurrent geboekt worden en lege bruggen door no-shows. Die zitten hier niet in, terwijl ze in veel werkplaatsen samen groter zijn dan de gemiste oproepen.	Ce que nous ne comptons pas : les clients qui ne reviennent pas après une mauvaise expérience, les devis que personne ne relance, les contrôles techniques réservés chez le concurrent et les ponts vides dus aux rendez-vous manqués. Ils ne sont pas inclus ici, alors que dans beaucoup d'ateliers ils pèsent ensemble plus lourd que les appels manqués.	What we do not count: customers who stay away after a bad experience, quotes nobody follows up, MOTs booked at the competitor and empty ramps from no-shows. Those are not in here, while in many workshops they add up to more than the missed calls.	Was wir nicht mitrechnen: Kunden, die nach einer schlechten Erfahrung wegbleiben, Angebote, die niemand nachfasst, HU-Termine, die beim Wettbewerb gebucht werden, und leere Hebebühnen durch No-Shows. Die stecken hier nicht drin, obwohl sie in vielen Werkstätten zusammen größer sind als die verpassten Anrufe.	Lo que no contamos: clientes que no vuelven tras una mala experiencia, presupuestos a los que nadie hace seguimiento, ITV que se reservan en la competencia y elevadores vacíos por ausencias. Eso no está aquí dentro, aunque en muchos talleres juntos pesan más que las llamadas perdidas.
Wat we niet zeggen	Ce que nous ne disons pas	What we do not say	Was wir nicht sagen	Lo que no decimos
Wat we wel zeggen	Ce que nous disons	What we do say	Was wir sehr wohl sagen	Lo que sí decimos
Wat wij doen	Ce que nous faisons	What we do	Was wir tun	Lo que hacemos nosotros
We hebben nog geen gemeten resultaat in een werkplaats. Wat we daaraan doen staat op	Nous n'avons pas encore de résultat mesuré dans un atelier. Ce que nous faisons à ce sujet figure sur	We do not yet have a measured result in a workshop. What we are doing about that is on	Wir haben noch kein gemessenes Ergebnis in einer Werkstatt. Was wir dagegen tun, steht auf	Todavía no tenemos un resultado medido en un taller. Lo que hacemos al respecto está en
We hebben nog geen resultaat om te laten zien.	Nous n'avons pas encore de résultat à montrer.	We do not yet have a result to show.	Wir haben noch kein Ergebnis zu zeigen.	Todavía no tenemos ningún resultado que enseñar.
We kijken samen naar wat er bij jou binnenkomt en waar het blijft liggen. Je gaat weg met een eerste werkstroom, of met de reden waarom het bij jou niet past.	Nous regardons ensemble ce qui arrive chez vous et où cela reste en plan. Vous repartez avec un premier flux de travail, ou avec la raison pour laquelle cela ne vous convient pas.	We look together at what comes in at your place and where it gets stuck. You leave with a first workflow, or with the reason why it does not fit you.	Wir schauen gemeinsam, was bei Ihnen hereinkommt und wo es liegen bleibt. Sie gehen mit einem ersten Arbeitsablauf oder mit dem Grund, warum es bei Ihnen nicht passt.	Miramos juntos qué entra en tu taller y dónde se queda parado. Te vas con un primer flujo de trabajo, o con el motivo por el que no encaja contigo.
We nemen twintig minuten en lopen jouw dinsdag door. Wat er binnenkwam, wat ermee gebeurde en waar het bleef liggen. Daarna weet je of dit iets voor je is.	Nous prenons vingt minutes et passons en revue votre mardi. Ce qui est arrivé, ce qu'il en est advenu et où cela est resté en plan. Ensuite vous saurez si cela vous convient.	We take twenty minutes and walk through your Tuesday. What came in, what happened to it and where it got stuck. After that you know whether this is for you.	Wir nehmen uns zwanzig Minuten und gehen Ihren Dienstag durch. Was hereinkam, was damit passierte und wo es liegen blieb. Danach wissen Sie, ob das etwas für Sie ist.	Nos tomamos veinte minutos y repasamos tu martes. Qué entró, qué pasó con ello y dónde se quedó parado. Después sabrás si esto es para ti.
We tellen twee weken lang wat er binnenkomt en wat ermee gebeurt, zonder dat er iets aanstaat. Hoeveel oproepen, hoeveel onbeantwoord, hoeveel afspraken. Dit getal is het vertrekpunt.	Pendant deux semaines, nous comptons ce qui arrive et ce qu'il en advient, sans que rien ne soit activé. Combien d'appels, combien sans réponse, combien de rendez-vous. Ce chiffre est le point de départ.	For two weeks we count what comes in and what happens to it, with nothing switched on. How many calls, how many unanswered, how many appointments. This figure is the starting point.	Zwei Wochen lang zählen wir, was hereinkommt und was damit passiert, ohne dass etwas eingeschaltet ist. Wie viele Anrufe, wie viele unbeantwortet, wie viele Termine. Diese Zahl ist der Ausgangspunkt.	Durante dos semanas contamos qué entra y qué pasa con ello, sin nada encendido. Cuántas llamadas, cuántas sin responder, cuántas citas. Esa cifra es el punto de partida.
We zetten hier expres wat er nog niet is. Een demo waarin iets blijkt te ontbreken kost meer dan een eerlijke lijst.	Nous indiquons ici volontairement ce qui n'existe pas encore. Une démo où quelque chose se révèle manquant coûte plus cher qu'une liste honnête.	We deliberately state here what is not there yet. A demo in which something turns out to be missing costs more than an honest list.	Wir schreiben hier bewusst hin, was es noch nicht gibt. Eine Demo, in der etwas fehlt, kostet mehr als eine ehrliche Liste.	Aquí ponemos a propósito lo que todavía no existe. Una demo en la que algo resulta que falta cuesta más que una lista honesta.
We zoeken vijf garages die mee willen meten.	Nous cherchons cinq garages prêts à mesurer avec nous.	We are looking for five garages willing to measure with us.	Wir suchen fünf Werkstätten, die mitmessen wollen.	Buscamos cinco talleres dispuestos a medir con nosotros.
We zoeken vijf garages voor de eerste meting.	Nous cherchons cinq garages pour la première mesure.	We are looking for five garages for the first measurement.	Wir suchen fünf Werkstätten für die erste Messung.	Buscamos cinco talleres para la primera medición.
Website en formulier	Site web et formulaire	Website and form	Website und Formular	Web y formulario
Week 0	Semaine 0	Week 0	Woche 0	Semana 0
Week 1	Semaine 1	Week 1	Woche 1	Semana 1
Week 2 tot 5	Semaines 2 à 5	Weeks 2 to 5	Woche 2 bis 5	Semanas 2 a 5
Week 6	Semaine 6	Week 6	Woche 6	Semana 6
Weet je dat een set bijna op is, dan staat dat in het bericht. Dat is het natuurlijke moment om over nieuwe banden te praten.	Si vous savez qu'un jeu est presque usé, cela figure dans le message. C'est le moment naturel pour parler de pneus neufs.	If you know a set is nearly worn out, that is in the message. That is the natural moment to talk about new tyres.	Wissen Sie, dass ein Satz fast durch ist, steht das in der Nachricht. Das ist der natürliche Moment, über neue Reifen zu sprechen.	Si sabes que un juego está casi gastado, eso figura en el mensaje. Ese es el momento natural para hablar de neumáticos nuevos.
Weet je niet waar te beginnen	Vous ne savez pas par où commencer	Do you not know where to start	Wissen Sie nicht, wo anfangen	¿No sabes por dónde empezar?
Weet welke onderdelen er bij een schade nodig zijn.	Sait quelles pièces sont nécessaires pour un sinistre.	Knows which parts are needed for a damage case.	Weiß, welche Teile bei einem Schaden nötig sind.	Sabe qué piezas hacen falta en un siniestro.
Weg zonder spoor.	Parti sans laisser de trace.	Gone without a trace.	Weg ohne Spur.	Se fue sin dejar rastro.
Welk bedrijf, hoeveel monteurs, wat er misging.	Quelle entreprise, combien de mécaniciens, ce qui n'allait pas.	Which business, how many mechanics, what was going wrong.	Welcher Betrieb, wie viele Mechaniker, was schieflief.	Qué empresa, cuántos mecánicos, qué iba mal.
Welk onderdeel bij welke uitvoering hoort.	Quelle pièce correspond à quelle version.	Which part belongs to which version.	Welches Teil zu welcher Ausführung gehört.	Qué pieza corresponde a qué versión.
Welke auto het is, bepaalt mee hoelang een beurt duurt en welke onderdelen erbij horen.	La voiture concernée détermine en partie la durée d'un entretien et les pièces qui vont avec.	Which car it is helps determine how long a service takes and which parts go with it.	Welches Auto es ist, bestimmt mit, wie lange eine Inspektion dauert und welche Teile dazugehören.	Qué coche es influye en cuánto dura una revisión y qué piezas le corresponden.
Welke auto, welk onderdeel, voor of achter, welke uitvoering. Het kenteken beantwoordt het grootste deel daarvan al.	Quelle voiture, quelle pièce, avant ou arrière, quelle version. La plaque répond déjà à l'essentiel.	Which car, which part, front or rear, which version. The registration already answers most of that.	Welches Auto, welches Teil, vorn oder hinten, welche Ausführung. Das Kennzeichen beantwortet davon schon das meiste.	Qué coche, qué pieza, delante o detrás, qué versión. La matrícula ya responde a la mayor parte.
Welke auto, welke klacht, sinds wanneer, hoe dringend, wil je wachten of brengen. Dezelfde vragen die jij zou stellen, elke keer, ook om kwart voor zes.	Quelle voiture, quel symptôme, depuis quand, quelle urgence, voulez-vous attendre ou déposer. Les mêmes questions que vous poseriez, à chaque fois, même à dix-huit heures moins le quart.	Which car, what fault, since when, how urgent, do you want to wait or drop off. The same questions you would ask, every time, also at a quarter to six.	Welches Auto, welche Beanstandung, seit wann, wie dringend, wollen Sie warten oder bringen. Dieselben Fragen, die Sie stellen würden, jedes Mal, auch um Viertel vor sechs.	Qué coche, qué avería, desde cuándo, cuánta urgencia, quieres esperar o dejarlo. Las mismas preguntas que harías tú, cada vez, también a las seis menos cuarto.
Welke auto, welke klus, welk bedrag en sinds wanneer.	Quelle voiture, quelle intervention, quel montant et depuis quand.	Which car, which job, which amount and since when.	Welches Auto, welche Arbeit, welcher Betrag und seit wann.	Qué coche, qué trabajo, qué importe y desde cuándo.
Welke klant, welke set, wat er bij de vorige wissel gemeten is.	Quel client, quel jeu, ce qui a été mesuré au dernier changement.	Which customer, which set, what was measured at the last change.	Welcher Kunde, welcher Satz, was beim letzten Wechsel gemessen wurde.	Qué cliente, qué juego, qué se midió en el último cambio.
Welke klus het is, en hoelang die bij jou duurt.	De quelle intervention il s'agit, et combien de temps elle dure chez vous.	Which job it is, and how long it takes at your place.	Welche Arbeit es ist und wie lange sie bei Ihnen dauert.	Qué trabajo es y cuánto dura en tu taller.
Welke lagen dit raakt	Les couches concernées	Which layers this touches	Welche Schichten das betrifft	Qué capas toca esto
Welke verzekeraar, welk polisnummer, wie was aansprakelijk en is er een schadeformulier ingevuld. Precies de vragen waar een klant zelf niet aan denkt.	Quel assureur, quel numéro de police, qui était responsable et un constat a-t-il été rempli. Exactement les questions auxquelles un client ne pense pas.	Which insurer, which policy number, who was liable and has an accident form been filled in. Exactly the questions a customer does not think of himself.	Welcher Versicherer, welche Policennummer, wer haftete und ob ein Unfallbericht ausgefüllt wurde. Genau die Fragen, an die ein Kunde selbst nicht denkt.	Qué aseguradora, qué número de póliza, quién era responsable y si se rellenó un parte. Justo las preguntas en las que un cliente no piensa.
Welke werkstroom past bij jou?	Quel flux de travail vous convient ?	Which workflow fits you?	Welcher Arbeitsablauf passt zu Ihnen?	¿Qué flujo de trabajo encaja contigo?
Welke werkstroom, vanaf wanneer, en wat niet.	Quel flux, à partir de quand, et ce qui n'a pas été activé.	Which workflow, from when, and what was not.	Welcher Ablauf, ab wann und was nicht.	Qué flujo, desde cuándo y qué no.
Werk dat anders bij de buren lag	Du travail qui serait sinon allé chez le voisin	Work that would otherwise have gone next door	Arbeit, die sonst beim Nachbarn gelandet wäre	Trabajo que si no habría ido al vecino
Werk je in dit pakket?	Travaillez-vous avec ce logiciel ?	Do you work in this package?	Arbeiten Sie mit diesem Paket?	¿Trabajas con este programa?
Werk je met dit pakket en wil je dat deze koppeling er als eerste komt? De eerste garages in de pilot bepalen de volgorde.	Vous travaillez avec ce logiciel et souhaitez que cette intégration arrive en premier ? Les premiers garages du pilote décident de l'ordre.	Do you work with this package and want this integration to come first? The first garages in the pilot decide the order.	Arbeiten Sie mit diesem Paket und möchten, dass diese Anbindung zuerst kommt? Die ersten Werkstätten im Piloten bestimmen die Reihenfolge.	¿Trabajas con este programa y quieres que esta integración sea la primera? Los primeros talleres del piloto deciden el orden.
Werk je met dit pakket? Zeg het in het eerste gesprek. De volgorde van wat we bouwen wordt bepaald door de garages die meedoen.	Vous travaillez avec ce logiciel ? Dites-le dès le premier entretien. L'ordre de ce que nous construisons est déterminé par les garages qui participent.	Do you work with this package? Say so in the first conversation. The order of what we build is decided by the garages taking part.	Arbeiten Sie mit diesem Paket? Sagen Sie es im ersten Gespräch. Die Reihenfolge dessen, was wir bauen, bestimmen die Werkstätten, die mitmachen.	¿Trabajas con este programa? Dilo en la primera conversación. El orden de lo que construimos lo deciden los talleres que participan.
Werk waar de kosten al in zitten	Du travail dont les coûts sont déjà engagés	Work where the costs are already in	Arbeit, in der die Kosten schon stecken	Trabajo en el que los costes ya están dentro
Werken met de gegevens die je zelf aanlevert, bijvoorbeeld via een export	Travailler avec les données que vous fournissez vous-même, par exemple via un export	Working with the data you supply yourself, for example via an export	Mit den Daten arbeiten, die Sie selbst liefern, zum Beispiel über einen Export	Trabajar con los datos que aportas tú, por ejemplo mediante una exportación
Werkorders aanmaken	Créer des ordres de travail	Creating work orders	Arbeitsaufträge anlegen	Crear órdenes de trabajo
Werkorders en planning, zodat een geboekt tijdslot ook echt een werkorder wordt.	Ordres de travail et planning, pour qu'un créneau réservé devienne vraiment un ordre de travail.	Work orders and planning, so a booked slot really becomes a work order.	Arbeitsaufträge und Planung, damit ein gebuchtes Zeitfenster auch wirklich ein Arbeitsauftrag wird.	Órdenes de trabajo y planning, para que una franja reservada se convierta de verdad en una orden de trabajo.
Werkplaats inplannen	Planification atelier	Workshop scheduling	Werkstattplanung	Planificación del taller
Werkplaats-agent	Agent atelier	Workshop agent	Werkstatt-Agent	Agente de taller
Werkplaatsen met twee tot vijftien monteurs	Des ateliers de deux à quinze mécaniciens	Workshops with two to fifteen mechanics	Werkstätten mit zwei bis fünfzehn Mechanikern	Talleres con entre dos y quince mecánicos
Werkplaatsplanning als bron	Le planning d'atelier comme source	Workshop planning as the source	Werkstattplanung als Quelle	El planning del taller como fuente
Werkplaatsplanning uitlezen	Lire le planning d'atelier	Reading the workshop planning	Werkstattplanung auslesen	Leer el planning del taller
Werkstromen	Flux de travail	Workflows	Arbeitsabläufe	Flujos de trabajo
Werkt dit ook voor Belgische platen?	Cela fonctionne-t-il aussi pour les plaques belges ?	Does this also work for Belgian plates?	Funktioniert das auch für belgische Kennzeichen?	¿Esto también funciona con matrículas belgas?
Werkt in het scherm waar ze altijd al in werkte.	Travaille dans l'écran dans lequel elle a toujours travaillé.	Works in the screen it has always worked in.	Arbeitet in dem Bildschirm, in dem sie immer gearbeitet hat.	Trabaja en la pantalla en la que siempre ha trabajado.
Werkt samen met	Fonctionne avec	Works together with	Arbeitet zusammen mit	Trabaja junto con
WhatsApp · binnenkomende vraag	WhatsApp · demande entrante	WhatsApp · incoming enquiry	WhatsApp · eingehende Anfrage	WhatsApp · consulta entrante
WhatsApp · de dag van de aanrijding	WhatsApp · le jour de l'accrochage	WhatsApp · the day of the collision	WhatsApp · am Tag des Unfalls	WhatsApp · el día del golpe
WhatsApp · de dag voor de afspraak	WhatsApp · la veille du rendez-vous	WhatsApp · the day before the appointment	WhatsApp · am Tag vor dem Termin	WhatsApp · el día antes de la cita
WhatsApp · half september	WhatsApp · mi-septembre	WhatsApp · mid-September	WhatsApp · Mitte September	WhatsApp · mediados de septiembre
WhatsApp · tijdens het inplannen	WhatsApp · pendant la planification	WhatsApp · while scheduling	WhatsApp · während der Terminplanung	WhatsApp · durante la planificación
WhatsApp · veertien maanden na het laatste bezoek	WhatsApp · quatorze mois après la dernière visite	WhatsApp · fourteen months after the last visit	WhatsApp · vierzehn Monate nach dem letzten Besuch	WhatsApp · catorce meses después de la última visita
WhatsApp · zes weken voor de vervaldatum	WhatsApp · six semaines avant la date d'expiration	WhatsApp · six weeks before the expiry date	WhatsApp · sechs Wochen vor dem Ablaufdatum	WhatsApp · seis semanas antes de la fecha de caducidad
WhatsApp · zeven dagen na de offerte	WhatsApp · sept jours après le devis	WhatsApp · seven days after the quote	WhatsApp · sieben Tage nach dem Angebot	WhatsApp · siete días después del presupuesto
WhatsApp · één minuut na een onbeantwoorde oproep	WhatsApp · une minute après un appel sans réponse	WhatsApp · one minute after an unanswered call	WhatsApp · eine Minute nach einem unbeantworteten Anruf	WhatsApp · un minuto después de una llamada sin responder
WhatsApp, website en formulier zijn live	WhatsApp, le site et le formulaire sont en ligne	WhatsApp, website and form are live	WhatsApp, Website und Formular sind live	WhatsApp, web y formulario están activos
Wie belt er eerst?	Qui appelle en premier ?	Who calls first?	Wer ruft zuerst an?	¿Quién llama primero?
Wie binnen tien minuten reageert bij een aanrijding, is de garage waar die klant naartoe gaat. Ook ’s avonds en in het weekend.	Celui qui réagit dans les dix minutes après un accrochage est le garage où ce client se rendra. Le soir et le week-end aussi.	Whoever responds within ten minutes after a collision is the garage that customer goes to. In the evenings and at weekends too.	Wer bei einem Unfall innerhalb von zehn Minuten reagiert, ist die Werkstatt, zu der dieser Kunde geht. Auch abends und am Wochenende.	Quien responde en diez minutos tras un golpe es el taller al que va ese cliente. También por la tarde y el fin de semana.
Wie de vraag meteen beantwoordt, haalt de drempel weg op het moment dat de klant er nog over nadenkt.	Celui qui répond immédiatement à la question lève l'obstacle au moment même où le client y réfléchit encore.	Whoever answers the question straight away removes the barrier at the moment the customer is still thinking about it.	Wer die Frage sofort beantwortet, nimmt die Hürde in dem Moment weg, in dem der Kunde noch darüber nachdenkt.	Quien responde a la pregunta enseguida quita la barrera en el momento en que el cliente todavía se lo está pensando.
Wie een gratis chatbot zoekt voor op de website	Ceux qui cherchent un chatbot gratuit pour leur site	Anyone looking for a free chatbot for the website	Wer einen kostenlosen Chatbot für die Website sucht	Quien busca un chatbot gratis para la web
Wie heeft er toegang tot onze gegevens?	Qui a accès à nos données ?	Who has access to our data?	Wer hat Zugang zu unseren Daten?	¿Quién tiene acceso a nuestros datos?
Wie niet doorkomt, krijgt binnen een minuut bericht	Celui qui n'arrive pas à vous joindre reçoit un message en moins d'une minute	Anyone who does not get through gets a message within a minute	Wer nicht durchkommt, bekommt innerhalb einer Minute eine Nachricht	Quien no consigue contactar recibe un mensaje en menos de un minuto
Wie niet doorkwam, krijgt binnen een minuut bericht.	Celui qui n'a pas pu vous joindre reçoit un message en moins d'une minute.	Anyone who did not get through gets a message within a minute.	Wer nicht durchkam, bekommt innerhalb einer Minute eine Nachricht.	Quien no consiguió contactar recibe un mensaje en menos de un minuto.
Wie niet kan, krijgt meteen twee alternatieven. Een verzette afspraak is werk dat behouden blijft, een no-show is werk dat verdwijnt.	Celui qui ne peut pas reçoit aussitôt deux alternatives. Un rendez-vous déplacé est du travail conservé, un rendez-vous manqué est du travail qui disparaît.	Anyone who cannot make it gets two alternatives straight away. A rescheduled appointment is work retained, a no-show is work that disappears.	Wer nicht kann, bekommt sofort zwei Alternativen. Ein verschobener Termin ist Arbeit, die erhalten bleibt, ein No-Show ist Arbeit, die verschwindet.	Quien no puede recibe enseguida dos alternativas. Una cita cambiada es trabajo que se conserva, una ausencia es trabajo que desaparece.
Wie niet komt opdagen, boekt daarna zelden zelf opnieuw.	Celui qui ne se présente pas reprend rarement rendez-vous de lui-même.	Anyone who does not turn up rarely books again by themselves.	Wer nicht erscheint, bucht danach selten von selbst erneut.	Quien no se presenta rara vez vuelve a reservar por su cuenta.
