Een dinsdag	Un mardi	A Tuesday	Ein Dienstag	Un martes
Een keuring is anderhalf uur. Een grote beurt is een halve dag. Een koppeling is anderhalve dag en je hebt er een brug voor nodig die niet ondertussen voor iets anders nodig is. Een agenda met vakjes van een uur kent dat verschil niet.	Un contrôle dure une heure et demie. Un grand entretien, une demi-journée. Un embrayage, une journée et demie, et il faut un pont qui ne soit pas requis entre-temps pour autre chose. Un agenda en cases d'une heure ignore cette différence.	An inspection is an hour and a half. A major service is half a day. A clutch is a day and a half and you need a ramp that is not needed for something else in the meantime. A calendar of one-hour boxes does not know that difference.	Eine Untersuchung dauert anderthalb Stunden. Eine große Inspektion einen halben Tag. Eine Kupplung anderthalb Tage, und Sie brauchen dafür eine Hebebühne, die zwischendurch nicht für etwas anderes gebraucht wird. Ein Kalender mit Ein-Stunden-Kästchen kennt diesen Unterschied nicht.	Una inspección es hora y media. Una revisión grande, medio día. Un embrague, día y medio, y necesitas un elevador que no haga falta mientras tanto para otra cosa. Una agenda con casillas de una hora no conoce esa diferencia.
Een keuring is geen distributieriem. Het systeem weet hoelang een klus duurt en boekt het tijdslot dat erbij hoort.	Un contrôle n'est pas une courroie de distribution. Le système sait combien de temps dure une intervention et réserve le créneau correspondant.	An inspection is not a timing belt. The system knows how long a job takes and books the slot that goes with it.	Eine Untersuchung ist kein Zahnriemen. Das System weiß, wie lange eine Arbeit dauert, und bucht das passende Zeitfenster.	Una inspección no es una correa de distribución. El sistema sabe cuánto dura un trabajo y reserva la franja que le corresponde.
Een keuring is op zichzelf weinig omzet. Maar een keuring brengt reparaties mee, en hij houdt de klant nog een jaar bij jou.	Un contrôle en soi rapporte peu. Mais un contrôle amène des réparations, et il garde le client chez vous une année de plus.	An inspection on its own is little turnover. But an inspection brings repairs with it, and it keeps the customer with you for another year.	Eine Untersuchung an sich ist wenig Umsatz. Aber eine Untersuchung bringt Reparaturen mit sich und hält den Kunden noch ein Jahr bei Ihnen.	Una inspección en sí es poca facturación. Pero una inspección trae reparaciones y mantiene al cliente contigo un año más.
Een klant blijft nog een jaar	Un client reste un an de plus	A customer stays another year	Ein Kunde bleibt noch ein Jahr	Un cliente se queda un año más
Een klant die aan het lijntje gehouden wordt, rijdt door naar een schadeherstelketen.	Un client qu'on fait patienter file chez une chaîne de carrosserie.	A customer kept waiting drives on to a bodyshop chain.	Ein Kunde, den man hinhält, fährt weiter zu einer Karosserie-Kette.	Un cliente al que se da largas se va a una cadena de chapa y pintura.
Een klant die de eerste dag goed geholpen wordt, komt bijna altijd bij die garage terecht voor de reparatie.	Un client bien aidé le premier jour finit presque toujours par faire réparer sa voiture dans ce garage.	A customer who is helped well on the first day almost always ends up at that garage for the repair.	Ein Kunde, dem am ersten Tag gut geholfen wird, landet fast immer für die Reparatur bei dieser Werkstatt.	Un cliente bien atendido el primer día acaba casi siempre en ese taller para la reparación.
Een klant die een jaar wegblijft, komt het jaar daarna vaak ook niet.	Un client absent une année ne revient souvent pas non plus l'année suivante.	A customer who stays away for a year often does not come the following year either.	Ein Kunde, der ein Jahr wegbleibt, kommt im Jahr darauf oft auch nicht.	Un cliente que se ausenta un año a menudo tampoco vuelve al siguiente.
Een klant die net schade heeft, weet zelf ook niet wat hij moet doen.	Un client qui vient d'avoir un sinistre ne sait pas non plus quoi faire.	A customer who has just had an accident does not know what to do either.	Ein Kunde, der gerade einen Schaden hatte, weiß selbst auch nicht, was zu tun ist.	Un cliente que acaba de tener un siniestro tampoco sabe qué hacer.
Een klant die niet kan en dat op tijd zegt, is geen verlies. Hij is alleen een andere dag.	Un client empêché qui prévient à temps n'est pas une perte. Il est simplement un autre jour.	A customer who cannot make it and says so in time is not a loss. He is just a different day.	Ein Kunde, der nicht kann und das rechtzeitig sagt, ist kein Verlust. Er ist nur ein anderer Tag.	Un cliente que no puede y lo dice a tiempo no es una pérdida. Solo es otro día.
Een klant die om tien uur ’s avonds iets wil regelen, kan dat. De planning die de volgende ochtend klaarstaat, klopt.	Un client qui veut régler quelque chose à dix heures du soir peut le faire. Le planning prêt le lendemain matin est juste.	A customer who wants to arrange something at ten in the evening can. The planning that is ready the next morning is correct.	Ein Kunde, der um zehn Uhr abends etwas regeln will, kann das. Die Planung, die am nächsten Morgen bereitsteht, stimmt.	Un cliente que quiere organizar algo a las diez de la noche puede hacerlo. El planning que está listo a la mañana siguiente es correcto.
Een klant krijgt een prijs voor een distributieriem of een setje schokdempers en zegt dat hij erover nadenkt. Dat is geen afwijzing, dat is een klant die het even niet wil beslissen. Als niemand er daarna nog op terugkomt, wordt die aarzeling vanzelf een nee.	Un client reçoit un prix pour une courroie de distribution ou un jeu d'amortisseurs et dit qu'il va y réfléchir. Ce n'est pas un refus, c'est un client qui ne veut pas trancher tout de suite. Si personne n'y revient ensuite, cette hésitation devient automatiquement un non.	A customer gets a price for a timing belt or a set of shock absorbers and says he will think about it. That is not a rejection, that is a customer who does not want to decide just yet. If nobody comes back to it afterwards, that hesitation turns into a no all by itself.	Ein Kunde bekommt einen Preis für einen Zahnriemen oder einen Satz Stoßdämpfer und sagt, er denke darüber nach. Das ist keine Absage, das ist ein Kunde, der sich gerade nicht entscheiden will. Wenn danach niemand darauf zurückkommt, wird aus diesem Zögern von selbst ein Nein.	Un cliente recibe un precio para una correa de distribución o un juego de amortiguadores y dice que se lo va a pensar. Eso no es un no, es un cliente que de momento no quiere decidir. Si después nadie retoma el tema, esa duda se convierte sola en un no.
Een klant met een lekke band probeert het voor hij naar zijn werk rijdt. De telefoon staat nog op het antwoordapparaat.	Un client avec un pneu crevé tente sa chance avant de partir au travail. Le téléphone est encore sur le répondeur.	A customer with a flat tyre tries before driving to work. The phone is still on the answering machine.	Ein Kunde mit einem platten Reifen versucht es, bevor er zur Arbeit fährt. Das Telefon steht noch auf Anrufbeantworter.	Un cliente con un pinchazo lo intenta antes de irse al trabajo. El teléfono sigue en el contestador.
Een klant met pech leest 's avonds je website en stuurt een bericht. Morgenochtend om half negen staat het in een inbox. Hij heeft dan al iemand gevonden.	Un client en panne consulte votre site le soir et envoie un message. Demain matin à huit heures et demie, il est dans une boîte mail. Il a déjà trouvé quelqu'un.	A customer who has broken down reads your website in the evening and sends a message. At half past eight tomorrow morning it is sitting in an inbox. By then he has already found someone.	Ein Kunde mit einer Panne liest abends Ihre Website und schickt eine Nachricht. Morgen früh um halb neun liegt sie in einem Postfach. Da hat er längst jemanden gefunden.	Un cliente averiado lee tu web por la noche y envía un mensaje. Mañana a las ocho y media está en una bandeja de entrada. Para entonces ya ha encontrado a otro.
Een klantenbestand dat langzaam leegloopt.	Un fichier clients qui se vide lentement.	A customer base that slowly empties out.	Eine Kundendatei, die langsam leerläuft.	Una cartera de clientes que se vacía poco a poco.
Een kleine vraag die grote klussen tegenhoudt.	Une petite question qui bloque de grosses interventions.	A small question that holds up big jobs.	Eine kleine Frage, die große Arbeiten aufhält.	Una pregunta pequeña que frena trabajos grandes.
Een klus die uitloopt, duwt de rest van de dag voor zich uit.	Une intervention qui déborde repousse tout le reste de la journée.	A job that overruns pushes the rest of the day ahead of it.	Eine Arbeit, die sich hinzieht, schiebt den Rest des Tages vor sich her.	Un trabajo que se alarga empuja el resto del día.
Een koppeling bouwen zonder iemand die hem meteen gebruikt, levert bijna altijd de verkeerde koppeling op. Je maakt dan wat logisch lijkt in plaats van wat nodig is. Daarom bouwen we pas als er een garage is die het de week erna in gebruik neemt.	Construire une intégration sans personne pour l'utiliser aussitôt donne presque toujours la mauvaise intégration. On fabrique alors ce qui semble logique plutôt que ce qui est nécessaire. C'est pourquoi nous ne construisons que lorsqu'un garage la mettra en service la semaine suivante.	Building an integration without someone who uses it straight away almost always produces the wrong integration. You then build what seems logical instead of what is needed. That is why we only build when there is a garage that will put it to use the following week.	Eine Anbindung zu bauen, ohne dass jemand sie sofort nutzt, ergibt fast immer die falsche Anbindung. Man baut dann, was logisch erscheint, statt das, was nötig ist. Deshalb bauen wir erst, wenn es eine Werkstatt gibt, die es in der Woche darauf einsetzt.	Construir una integración sin nadie que la use enseguida da casi siempre la integración equivocada. Entonces haces lo que parece lógico en vez de lo que hace falta. Por eso solo construimos cuando hay un taller que la va a usar la semana siguiente.
Een kort bericht met de vraag of het nog uitkomt. Juist die vraag geeft mensen de ruimte om te zeggen dat het niet lukt, in plaats van gewoon niet te komen.	Un court message demandant si cela convient toujours. C'est justement cette question qui laisse aux gens la possibilité de dire que cela ne va pas, plutôt que de simplement ne pas venir.	A short message asking whether it still suits. It is precisely that question that gives people room to say it does not work, instead of just not turning up.	Eine kurze Nachricht mit der Frage, ob es noch passt. Gerade diese Frage gibt den Leuten Raum zu sagen, dass es nicht geht, statt einfach nicht zu kommen.	Un mensaje corto preguntando si sigue viniendo bien. Justo esa pregunta da a la gente margen para decir que no le va bien, en vez de simplemente no aparecer.
Een laatste bericht waarin staat dat de offerte binnenkort vervalt en dat hij altijd nog kan reageren. Daarna stopt het echt.	Un dernier message indiquant que le devis va expirer et qu'il peut toujours répondre. Ensuite, cela s'arrête vraiment.	A final message saying the quote is about to expire and that he can still respond. After that it really stops.	Eine letzte Nachricht, in der steht, dass das Angebot demnächst verfällt und er jederzeit noch reagieren kann. Danach hört es wirklich auf.	Un último mensaje que dice que el presupuesto va a caducar y que todavía puede responder. Después se para de verdad.
Een leeg uur op de brug kost je de volledige uurprijs van die post.	Une heure de pont vide vous coûte le tarif horaire complet de ce poste.	An empty hour on the ramp costs you the full hourly rate of that bay.	Eine leere Stunde auf der Hebebühne kostet Sie den vollen Stundensatz dieses Platzes.	Una hora vacía en el elevador te cuesta la tarifa horaria completa de ese puesto.
Een leenauto die wel vrijstond, heeft de hele dag stilgestaan.	Un véhicule de courtoisie disponible est resté à l'arrêt toute la journée.	A courtesy car that was free stood still all day.	Ein Ersatzwagen, der frei stand, hat den ganzen Tag stillgestanden.	Un coche de cortesía que estaba libre se quedó parado todo el día.
Een lege brug kost evenveel	Un pont vide coûte autant	An empty ramp costs the same	Eine leere Hebebühne kostet genauso viel	Un elevador vacío cuesta lo mismo
Een lege brug kost evenveel als een volle.	Un pont vide coûte autant qu'un pont occupé.	An empty ramp costs as much as a full one.	Eine leere Hebebühne kostet genauso viel wie eine volle.	Un elevador vacío cuesta lo mismo que uno ocupado.
Een lijst die iedereen heeft en niemand gebruikt.	Une liste que tout le monde possède et que personne n'utilise.	A list everyone has and nobody uses.	Eine Liste, die jeder hat und niemand nutzt.	Una lista que todos tienen y nadie usa.
Een losse herinneringsdienst stuurt berichten en weet daarna van niets. Deze agent weet wat de klant antwoordde, wat er werd afgesproken en wat er daarna in de werkplaats gebeurde.	Un service de rappel isolé envoie des messages et ne sait plus rien ensuite. Cet agent sait ce que le client a répondu, ce qui a été convenu et ce qui s'est passé ensuite dans l'atelier.	A standalone reminder service sends messages and then knows nothing. This agent knows what the customer answered, what was agreed and what happened in the workshop afterwards.	Ein separater Erinnerungsdienst verschickt Nachrichten und weiß danach von nichts. Dieser Agent weiß, was der Kunde geantwortet hat, was vereinbart wurde und was danach in der Werkstatt passiert ist.	Un servicio de recordatorios suelto envía mensajes y después no sabe nada. Este agente sabe qué respondió el cliente, qué se acordó y qué pasó luego en el taller.
Een moment voorstellen, vastzetten en bevestigen.	Proposer un moment, le fixer et le confirmer.	Propose a moment, book it and confirm it.	Einen Zeitpunkt vorschlagen, fixieren und bestätigen.	Proponer un momento, fijarlo y confirmarlo.
Een nee is ook winst	Un non est aussi un gain	A no is a gain too	Ein Nein ist auch ein Gewinn	Un no también es una ganancia
Een nee is trouwens ook waardevol. Dan weet je dat je die auto niet hoeft in te plannen en stopt het naijlen.	Un non a d'ailleurs aussi de la valeur. Vous savez alors que vous n'avez pas à planifier cette voiture et l'attente prend fin.	A no is valuable too, by the way. Then you know you do not have to schedule that car and the lingering stops.	Ein Nein ist übrigens auch wertvoll. Dann wissen Sie, dass Sie dieses Auto nicht einplanen müssen, und das Nachhängen hört auf.	Un no también tiene valor, por cierto. Así sabes que no tienes que planificar ese coche y se acaba la espera.
Een niet-gevuld tijdslot kost je de volledige uurprijs van die post. Dat bedrag ken je, en het staat nergens in een rapport.	Un créneau non rempli vous coûte le tarif horaire complet de ce poste. Ce montant, vous le connaissez, et il ne figure dans aucun rapport.	An unfilled slot costs you the full hourly rate of that bay. You know that amount, and it appears in no report.	Ein nicht gefülltes Zeitfenster kostet Sie den vollen Stundensatz dieses Platzes. Diesen Betrag kennen Sie, und er steht in keinem Bericht.	Una franja sin llenar te cuesta la tarifa horaria completa de ese puesto. Esa cifra la conoces, y no aparece en ningún informe.
Een no-show laat een gat in de planning	Un rendez-vous manqué laisse un trou dans le planning	A no-show leaves a gap in the planning	Ein No-Show hinterlässt eine Lücke in der Planung	Una ausencia deja un hueco en el planning
Een no-show op brug twee	Un rendez-vous manqué sur le pont deux	A no-show on ramp two	Ein No-Show auf Hebebühne zwei	Una ausencia en el elevador dos
Een offerte voor een distributieriem gaat de deur uit	Un devis pour une courroie de distribution part	A quote for a timing belt goes out	Ein Angebot für einen Zahnriemen geht raus	Sale un presupuesto para una correa de distribución
Een onbeantwoorde oproep krijgt binnen een minuut een bericht. Het enige gat waarvan je de omvang nu niet kent.	Un appel sans réponse reçoit un message en moins d'une minute. Le seul trou dont vous ignorez aujourd'hui l'ampleur.	An unanswered call gets a message within a minute. The only gap whose size you do not currently know.	Ein unbeantworteter Anruf bekommt innerhalb einer Minute eine Nachricht. Die einzige Lücke, deren Größe Sie derzeit nicht kennen.	Una llamada sin responder recibe un mensaje en menos de un minuto. El único agujero cuyo tamaño ahora mismo desconoces.
Een onbeantwoorde oproep laat geen spoor na. Er komt geen melding, er staat niets in een systeem en niemand voelt zich verantwoordelijk. Het is het enige gat in je bedrijf waarvan je de omvang niet kent, en meestal het eerste dat we dichtmaken.	Un appel sans réponse ne laisse aucune trace. Aucune notification, rien dans un système et personne ne se sent responsable. C'est le seul trou de votre entreprise dont vous ignorez l'ampleur, et généralement le premier que nous comblons.	An unanswered call leaves no trace. There is no notification, nothing in a system and nobody feels responsible. It is the only gap in your business whose size you do not know, and usually the first one we close.	Ein unbeantworteter Anruf hinterlässt keine Spur. Es gibt keine Meldung, nichts steht in einem System und niemand fühlt sich verantwortlich. Es ist die einzige Lücke in Ihrem Betrieb, deren Größe Sie nicht kennen, und meist die erste, die wir schließen.	Una llamada sin responder no deja rastro. No hay aviso, no queda nada en ningún sistema y nadie se siente responsable. Es el único agujero de tu empresa cuyo tamaño desconoces, y normalmente el primero que tapamos.
Een onbekende klacht, een oldtimer, iets waar eerst naar gekeken moet worden. Dat gaat door naar je werkplaatschef, met het gesprek erbij.	Une panne inconnue, un ancêtre, quelque chose qu'il faut d'abord examiner. Cela passe à votre chef d'atelier, avec la conversation.	An unknown fault, a classic car, something that has to be looked at first. That goes through to your workshop manager, with the conversation attached.	Eine unbekannte Beanstandung, ein Oldtimer, etwas, das erst angesehen werden muss. Das geht an Ihren Werkstattleiter, mit dem Gespräch dabei.	Una avería desconocida, un clásico, algo que primero hay que mirar. Eso pasa a tu jefe de taller, con la conversación adjunta.
Een onduidelijke uitvoering, een onderdeel dat drie varianten heeft, iets dat besteld moet worden zonder retourrecht. Dat beslist een mens.	Une version peu claire, une pièce qui existe en trois variantes, quelque chose à commander sans droit de retour. C'est un humain qui tranche.	An unclear variant, a part that comes in three versions, something that has to be ordered without a right of return. A person decides that.	Eine unklare Ausführung, ein Teil mit drei Varianten, etwas, das ohne Rückgaberecht bestellt werden muss. Das entscheidet ein Mensch.	Una versión poco clara, una pieza con tres variantes, algo que hay que pedir sin derecho a devolución. Eso lo decide una persona.
Een oproep die niet werd opgenomen, die te lang in de wacht stond of die buiten openingsuren binnenkwam, wordt vastgelegd met tijdstip en nummer.	Un appel non décroché, resté trop longtemps en attente ou reçu en dehors des heures d'ouverture est enregistré avec l'heure et le numéro.	A call that was not picked up, that waited too long on hold or that came in outside opening hours is recorded with time and number.	Ein Anruf, der nicht angenommen wurde, der zu lange in der Warteschleife stand oder außerhalb der Öffnungszeiten einging, wird mit Uhrzeit und Nummer festgehalten.	Una llamada que no se cogió, que estuvo demasiado tiempo en espera o que entró fuera del horario se registra con hora y número.
Een opvolgmail uit een pakket weet niet wat er in de werkplaats gebeurde. Deze agent kent de auto, de kilometerstand en het gesprek waaruit de offerte voortkwam.	Un mail de relance envoyé par un logiciel ignore ce qui s'est passé dans l'atelier. Cet agent connaît la voiture, le kilométrage et la conversation dont est issu le devis.	A follow-up email from a package does not know what happened in the workshop. This agent knows the car, the mileage and the conversation the quote came out of.	Eine Nachfassmail aus einem Paket weiß nicht, was in der Werkstatt passiert ist. Dieser Agent kennt das Auto, den Kilometerstand und das Gespräch, aus dem das Angebot entstanden ist.	Un correo de seguimiento de un programa no sabe qué pasó en el taller. Este agente conoce el coche, el kilometraje y la conversación de la que salió el presupuesto.
Een planning waar je monteur op kan bouwen.	Un planning sur lequel votre mécanicien peut compter.	A planning your mechanic can build on.	Eine Planung, auf die sich Ihr Mechaniker verlassen kann.	Un planning en el que tu mecánico puede confiar.
Een prijs die de deur uitgaat, komt ook terug.	Un prix qui sort revient aussi.	A price that goes out comes back too.	Ein Preis, der rausgeht, kommt auch zurück.	Un precio que sale también vuelve.
Een prijs voor een koppeling of een distributieriem gaat de deur uit. Er komt geen ja en geen nee. Niemand belt na, want er is altijd iets dringenders.	Un prix pour un embrayage ou une courroie de distribution part. Il n'y a ni oui ni non. Personne ne relance, car il y a toujours plus urgent.	A price for a clutch or a timing belt goes out. There is no yes and no no. Nobody follows up, because there is always something more urgent.	Ein Preis für eine Kupplung oder einen Zahnriemen geht raus. Es kommt kein Ja und kein Nein. Niemand fasst nach, denn es gibt immer etwas Dringenderes.	Sale un precio para un embrague o una correa de distribución. No llega ni un sí ni un no. Nadie hace seguimiento, porque siempre hay algo más urgente.
Een reparatie die pas na drie telefoontjes ingepland kan worden, wordt vaak helemaal niet ingepland.	Une réparation qui ne peut être planifiée qu'après trois appels n'est souvent jamais planifiée.	A repair that can only be scheduled after three phone calls often never gets scheduled at all.	Eine Reparatur, die erst nach drei Telefonaten eingeplant werden kann, wird oft gar nicht eingeplant.	Una reparación que solo se puede planificar después de tres llamadas a menudo no se planifica nunca.
Een schadegeval, een boze klant, een technische discussie. Die gaan door naar een vaste naam bij jou, met het hele gesprek erbij zodat niemand opnieuw hoeft te beginnen.	Un sinistre, un client en colère, une discussion technique. Cela passe à une personne désignée chez vous, avec toute la conversation, pour que personne ne doive tout reprendre.	A damage case, an angry customer, a technical discussion. Those go through to a named person at your end, with the whole conversation attached so nobody has to start again.	Ein Schadenfall, ein verärgerter Kunde, eine technische Diskussion. Die gehen an einen festen Namen bei Ihnen, mit dem ganzen Gespräch dabei, damit niemand von vorn anfangen muss.	Un siniestro, un cliente enfadado, una discusión técnica. Eso pasa a una persona concreta en tu empresa, con toda la conversación adjunta para que nadie tenga que empezar de nuevo.
Een scherp tarief dat we vastzetten zolang je klant blijft.	Un tarif serré que nous bloquons tant que vous restez client.	A sharp rate we lock in for as long as you stay a customer.	Ein scharfer Tarif, den wir festschreiben, solange Sie Kunde bleiben.	Una tarifa ajustada que fijamos mientras sigas siendo cliente.
Een scherp tarief tijdens de pilot en je eigen cijfers zwart op wit, van jou, ook als je daarna stopt.	Un tarif serré pendant le pilote et vos propres chiffres noir sur blanc, à vous, même si vous arrêtez ensuite.	A sharp rate during the pilot and your own numbers in black and white, yours, even if you stop afterwards.	Ein scharfer Tarif während des Piloten und Ihre eigenen Zahlen schwarz auf weiß, Ihnen gehörend, auch wenn Sie danach aufhören.	Una tarifa ajustada durante el piloto y tus propias cifras negro sobre blanco, tuyas, también si después lo dejas.
Een tijdslot dat in een gesprek wordt vastgezet, komt in de planning terecht met het juiste soort werk en de juiste duur.	Un créneau fixé au cours d'une conversation arrive dans le planning avec le bon type de travail et la bonne durée.	A slot booked during a conversation lands in the planning with the right type of work and the right duration.	Ein Zeitfenster, das in einem Gespräch fixiert wird, landet mit der richtigen Art Arbeit und der richtigen Dauer in der Planung.	Una franja fijada durante una conversación llega al planning con el tipo de trabajo y la duración correctos.
