# nederlands	frans	engels	duits	spaans
De nieuwe aanvraag	La nouvelle demande	The new enquiry	Die neue Anfrage	La nueva solicitud
De vraag die een dealerhouder na drie maanden stelt is niet "werkt de techniek". Het is "heeft het me iets opgeleverd". Daarvoor moet je weten hoeveel aanvragen er binnenkwamen, hoeveel er een afspraak werden en hoeveel daarvan zonder dit systeem waren weggelekt.	La question qu'un concessionnaire pose après trois mois n'est pas « est-ce que la technique fonctionne ». C'est « est-ce que ça m'a rapporté quelque chose ». Pour cela, il faut savoir combien de demandes sont arrivées, combien sont devenues des rendez-vous et combien se seraient perdues sans ce système.	The question a dealer principal asks after three months is not "does the technology work". It is "did it earn me anything". For that you need to know how many enquiries came in, how many became appointments and how many of those would have leaked away without this system.	Die Frage, die ein Autohausinhaber nach drei Monaten stellt, ist nicht „funktioniert die Technik". Sie lautet „hat es mir etwas gebracht". Dafür müssen Sie wissen, wie viele Anfragen hereinkamen, wie viele daraus Termine wurden und wie viele davon ohne dieses System versickert wären.	La pregunta que hace un propietario de concesionario a los tres meses no es «¿funciona la tecnología?». Es «¿me ha dado algo?». Para eso hay que saber cuántas solicitudes entraron, cuántas acabaron en cita y cuántas de ellas se habrían perdido sin este sistema.
De vraag die je niet wil laten liggen.	La demande que vous ne voulez pas laisser traîner.	The enquiry you do not want left lying around.	Die Anfrage, die Sie nicht liegen lassen wollen.	La solicitud que no quieres dejar tirada.
De vraag komt binnen	La demande arrive	The question comes in	Die Frage kommt herein	La pregunta entra
De vraag komt binnen. Wat er in de tien minuten daarna gebeurt, bepaalt bij wie die auto verkocht wordt.	La demande arrive. Ce qui se passe dans les dix minutes suivantes détermine chez qui cette voiture sera vendue.	The enquiry comes in. What happens in the ten minutes after that decides who sells that car.	Die Anfrage kommt herein. Was in den zehn Minuten danach passiert, entscheidet, bei wem dieses Auto verkauft wird.	La solicitud entra. Lo que pase en los diez minutos siguientes decide quién vende ese coche.
De vraag komt vanzelf	La question vient d'elle-même	The question comes by itself	Die Frage kommt von selbst	La pregunta llega sola
De vraag krijgt een vervolg	La demande a une suite	The enquiry gets a follow-up	Die Anfrage bekommt eine Fortsetzung	La solicitud tiene continuación
De vraag wordt herkend	La demande est reconnue	The question gets recognised	Die Frage wird erkannt	La pregunta se reconoce
De vragen erna worden beantwoord	Les questions qui suivent reçoivent une réponse	The questions after it get answered	Die Fragen danach werden beantwortet	Las preguntas posteriores se responden
De wagen aan de afspraak	Le véhicule rattaché au rendez-vous	The vehicle attached to the appointment	Das Fahrzeug am Termin	El vehículo unido a la cita
De wagen bepaalt de toon	Le véhicule donne le ton	The vehicle sets the tone	Das Fahrzeug bestimmt den Ton	El vehículo marca el tono
De wagen blijft de wagen	Le véhicule reste le véhicule	The vehicle stays the vehicle	Das Fahrzeug bleibt das Fahrzeug	El vehículo sigue siendo el vehículo
De wagen eruit halen	Identifier le véhicule	Picking out the vehicle	Das Fahrzeug herausholen	Identificar el vehículo
De wagen staat nog, maar de koper is bij iemand anders gaan kijken.	Le véhicule est toujours là, mais l'acheteur est allé voir ailleurs.	The vehicle is still there, but the buyer went to look somewhere else.	Das Fahrzeug steht noch, aber der Käufer hat sich woanders umgesehen.	El vehículo sigue ahí, pero el comprador ha ido a mirar a otro sitio.
De wagen van de pagina als context	Le véhicule de la page comme contexte	The vehicle on the page as context	Das Fahrzeug der Seite als Kontext	El vehículo de la página como contexto
De werkstromen werken. Faro laat zien wat er gebeurde. Je verkoper beslist.	Les flux travaillent. Faro montre ce qui s'est passé. Votre vendeur décide.	The workflows do the work. Faro shows what happened. Your salesperson decides.	Die Abläufe arbeiten. Faro zeigt, was passiert ist. Ihr Verkäufer entscheidet.	Los flujos trabajan. Faro enseña qué pasó. Tu vendedor decide.
Deze gegevens komen uit je eigen voorraadbestand. Staat er iets niet in, dan zegt het systeem dat het het niet weet.	Ces données viennent de votre propre fichier de stock. Si quelque chose n'y figure pas, le système dit qu'il ne le sait pas.	This data comes from your own stock file. If something is not in there, the system says it does not know.	Diese Daten kommen aus Ihrer eigenen Bestandsdatei. Steht etwas nicht drin, sagt das System, dass es das nicht weiß.	Estos datos salen de tu propio archivo de stock. Si algo no está, el sistema dice que no lo sabe.
Deze werkstroom leunt volledig op je voorraadgegevens. Hoe beter die gevuld zijn, hoe scherper het advies.	Ce flux repose entièrement sur vos données de stock. Mieux elles sont remplies, plus le conseil est pertinent.	This workflow leans entirely on your stock data. The better it is filled in, the sharper the advice.	Dieser Ablauf stützt sich ganz auf Ihre Bestandsdaten. Je besser sie gepflegt sind, desto schärfer der Rat.	Este flujo se apoya por completo en tus datos de stock. Cuanto mejor estén rellenos, más afinado es el consejo.
Deze werkstroom zit vast aan alle andere. Elk gesprek dat stilvalt, waar het ook begon, komt hier terecht.	Ce flux est lié à tous les autres. Toute conversation qui s'arrête, où qu'elle ait commencé, aboutit ici.	This workflow is tied to all the others. Every conversation that goes quiet, wherever it started, ends up here.	Dieser Ablauf hängt an allen anderen. Jedes Gespräch, das verstummt, egal wo es begann, landet hier.	Este flujo está unido a todos los demás. Cualquier conversación que se apaga, empezara donde empezara, acaba aquí.
Dezelfde vijf vragen, de hele dag	Les mêmes cinq questions, toute la journée	The same five questions, all day long	Dieselben fünf Fragen, den ganzen Tag	Las mismas cinco preguntas, todo el día
Die Volvo ziet er goed uit.	Ce Volvo a l'air bien.	That Volvo looks good.	Der Volvo sieht gut aus.	Ese Volvo tiene buena pinta.
Diesel	Diesel	Diesel	Diesel	Diésel
Dit draait. Het is één script op je bestaande site; je hoeft niets te migreren en je CMS blijft wat het is.	C'est en service. Un seul script sur votre site existant ; rien à migrer et votre CMS reste ce qu'il est.	This is running. It is one script on your existing site; nothing to migrate and your CMS stays what it is.	Das läuft. Ein Skript auf Ihrer bestehenden Website; Sie müssen nichts migrieren und Ihr CMS bleibt, was es ist.	Esto está en marcha. Es un script en tu web actual; no hay que migrar nada y tu CMS sigue siendo el que es.
Dit draait. Je krijgt een zakelijk nummer, of we gebruiken een nummer dat je al voor het bedrijf hebt.	C'est en service. Vous recevez un numéro professionnel, ou nous utilisons un numéro que vous avez déjà pour l'entreprise.	This is running. You get a business number, or we use a number you already have for the company.	Das läuft. Sie bekommen eine geschäftliche Nummer, oder wir nutzen eine Nummer, die Sie schon für den Betrieb haben.	Esto está en marcha. Recibes un número profesional, o usamos uno que ya tengas para la empresa.
Dit is de belangrijkste koppeling van allemaal. Zonder je wagens kan een systeem alleen algemene dingen zeggen. Met je wagens kan het antwoorden op de vraag die de koper werkelijk stelt.	C'est l'intégration la plus importante de toutes. Sans vos véhicules, un système ne peut dire que des généralités. Avec vos véhicules, il peut répondre à la question que l'acheteur pose vraiment.	This is the most important integration of all. Without your vehicles a system can only say general things. With your vehicles it can answer the question the buyer is actually asking.	Das ist die wichtigste Anbindung von allen. Ohne Ihre Fahrzeuge kann ein System nur Allgemeines sagen. Mit Ihren Fahrzeugen kann es die Frage beantworten, die der Käufer wirklich stellt.	Esta es la integración más importante de todas. Sin tus vehículos, un sistema solo puede decir generalidades. Con tus vehículos puede responder a la pregunta que el comprador hace de verdad.
Dit is de laag waar de meeste losse hulpmiddelen sneuvelen. Een chatvenster dat je voorraad niet kent, kan alleen algemene dingen zeggen. En een afspraak die alleen in een apart schermpje staat, moet iemand overtypen. Dat gebeurt twee weken lang en daarna niet meer.	C'est la couche où la plupart des outils isolés échouent. Une fenêtre de chat qui ne connaît pas votre stock ne peut dire que des généralités. Et un rendez-vous qui n'existe que dans un écran à part, quelqu'un doit le recopier. Cela se fait pendant deux semaines, puis plus du tout.	This is the layer where most standalone tools fall over. A chat window that does not know your stock can only say general things. And an appointment that only exists in a separate screen has to be retyped by someone. That happens for two weeks and then stops.	Das ist die Schicht, an der die meisten Einzelwerkzeuge scheitern. Ein Chatfenster, das Ihren Bestand nicht kennt, kann nur Allgemeines sagen. Und einen Termin, der nur in einem separaten Fenster steht, muss jemand abtippen. Das passiert zwei Wochen lang und danach nicht mehr.	Esta es la capa donde se caen la mayoría de las herramientas sueltas. Una ventana de chat que no conoce tu stock solo puede decir generalidades. Y una cita que solo existe en una pantalla aparte tiene que copiarla alguien a mano. Eso se hace dos semanas y luego ya no.
Dit is de werkstroom waar bijna alles begint. De andere zeven takken hier vanaf zodra duidelijk is wat de koper wil.	C'est le flux où presque tout commence. Les sept autres s'en détachent dès qu'on sait ce que veut l'acheteur.	This is the workflow where almost everything starts. The other seven branch off from here as soon as it is clear what the buyer wants.	Das ist der Ablauf, an dem fast alles beginnt. Die anderen sieben zweigen hier ab, sobald klar ist, was der Käufer will.	Este es el flujo donde empieza casi todo. Los otros siete se ramifican desde aquí en cuanto queda claro qué quiere el comprador.
Dit is de werkstroom waarin het systeem het duidelijkst stopt en een mens begint. Het haalt op, het beoordeelt niet.	C'est le flux où le système s'arrête le plus nettement et où l'humain commence. Il recueille, il n'évalue pas.	This is the workflow where the system most clearly stops and a person begins. It collects, it does not judge.	Das ist der Ablauf, in dem das System am deutlichsten aufhört und ein Mensch anfängt. Es holt, es beurteilt nicht.	Este es el flujo donde el sistema se para con más claridad y empieza una persona. Recoge, no valora.
Dit is het stuk dat een los chatvenster, een los WhatsApp-nummer en een mailbox nooit voor elkaar krijgen.	C'est la partie qu'une fenêtre de chat isolée, un numéro WhatsApp isolé et une boîte mail ne réussiront jamais.	This is the part a standalone chat window, a standalone WhatsApp number and a mailbox will never manage.	Das ist das Stück, das ein einzelnes Chatfenster, eine einzelne WhatsApp-Nummer und ein Postfach nie schaffen.	Esta es la parte que una ventana de chat suelta, un número de WhatsApp suelto y un buzón nunca van a conseguir.
Dit werkt vandaag met Google Agenda. Andere agenda's bekijken we per geval; wat we niet kunnen lezen, gebruiken we niet als bron.	Cela fonctionne aujourd'hui avec Google Agenda. Les autres agendas s'examinent au cas par cas ; ce que nous ne pouvons pas lire, nous ne l'utilisons pas comme source.	This works today with Google Calendar. Other calendars we look at case by case; what we cannot read, we do not use as a source.	Das funktioniert heute mit Google Kalender. Andere Kalender prüfen wir im Einzelfall; was wir nicht lesen können, nutzen wir nicht als Quelle.	Esto funciona hoy con Google Calendar. Otras agendas las miramos caso por caso; lo que no podemos leer, no lo usamos como fuente.
Dit werkt vandaag met een voorraadbestand dat je aanlevert, bijvoorbeeld een export of een feed die je al gebruikt voor je advertenties. Een rechtstreekse koppeling met je eigen systeem staat in ontwikkeling.	Cela fonctionne aujourd'hui avec un fichier de stock que vous fournissez, par exemple un export ou un flux que vous utilisez déjà pour vos annonces. Une intégration directe avec votre propre système est en construction.	This works today with a stock file you supply, for example an export or a feed you already use for your classifieds. A direct integration with your own system is in development.	Das funktioniert heute mit einer Bestandsdatei, die Sie liefern, etwa einem Export oder einem Feed, den Sie schon für Ihre Anzeigen nutzen. Eine direkte Anbindung an Ihr eigenes System ist in Arbeit.	Esto funciona hoy con un archivo de stock que tú entregas, por ejemplo una exportación o un feed que ya usas para tus anuncios. Una integración directa con tu propio sistema está en construcción.
Dit zijn geen acht losse producten. Het zijn acht routes door hetzelfde systeem: dezelfde koper, dezelfde wagen, hetzelfde dossier. Je zet aan wat je nodig hebt en de rest staat klaar.	Ce ne sont pas huit produits séparés. Ce sont huit parcours dans le même système : même acheteur, même véhicule, même dossier. Vous activez ce dont vous avez besoin et le reste attend.	These are not eight separate products. They are eight routes through the same system: same buyer, same vehicle, same file. You switch on what you need and the rest stands ready.	Das sind keine acht einzelnen Produkte. Es sind acht Wege durch dasselbe System: derselbe Käufer, dasselbe Fahrzeug, dieselbe Akte. Sie schalten ein, was Sie brauchen, der Rest steht bereit.	No son ocho productos sueltos. Son ocho rutas por el mismo sistema: el mismo comprador, el mismo vehículo, el mismo expediente. Enciendes lo que necesitas y el resto queda listo.
Doen jullie ook de telefoon?	Vous faites aussi le téléphone ?	Do you do the phone as well?	Machen Sie auch das Telefon?	¿Hacéis también el teléfono?
Donderdag.	Jeudi.	Thursday.	Donnerstag.	Jueves.
Doorgaan waar hij kiest	Poursuivre là où il choisit	Continuing where they choose	Weitermachen, wo er wählt	Seguir donde él elija
Doorgeven aan een ander kanaal	Basculer vers un autre canal	Handing over to another channel	An einen anderen Kanal übergeben	Pasar a otro canal
Doorvragen, foto’s ophalen en doorgeven aan een verkoper.	Creuser, récupérer les photos et transmettre à un vendeur.	Asking further, collecting photos and handing over to a salesperson.	Nachfragen, Fotos holen und an einen Verkäufer übergeben.	Seguir preguntando, recoger fotos y pasar a un vendedor.
Dossier	Dossier	File	Akte	Expediente
Dossier aangemaakt	Dossier créé	File created	Akte angelegt	Expediente creado
Dossiers doorzetten naar het systeem waar je verkoop in bijgehouden wordt. Zeg welk pakket je gebruikt, dat bepaalt de volgorde.	Transmettre les dossiers au système où votre vente est suivie. Dites-nous quel logiciel vous utilisez, cela détermine l'ordre.	Pushing files through to the system where your sales are tracked. Tell us which package you use, that sets the order.	Akten an das System weitergeben, in dem Ihr Verkauf geführt wird. Sagen Sie, welches Paket Sie nutzen, das bestimmt die Reihenfolge.	Pasar los expedientes al sistema donde se lleva tu venta. Dinos qué programa usas, eso marca el orden.
Drie aanvragen terwijl je op de vloer staat	Trois demandes pendant que vous êtes en showroom	Three enquiries while you are on the floor	Drei Anfragen, während Sie auf der Fläche stehen	Tres solicitudes mientras estás en el salón
Drie contactmomenten met de wagen erbij, dan stoppen.	Trois prises de contact avec le véhicule, puis on arrête.	Three contact moments with the vehicle attached, then stop.	Drei Kontaktmomente mit dem Fahrzeug dabei, dann Schluss.	Tres contactos con el vehículo incluido, y después parar.
Drie contactmomenten nadat een gesprek stilviel, met de wagen erbij. Daarna duidelijkheid, geen eindeloze herhaling.	Trois prises de contact après une conversation retombée, avec le véhicule. Ensuite, de la clarté, pas une répétition sans fin.	Three contact moments after a conversation went quiet, with the vehicle attached. Then clarity, not endless repetition.	Drei Kontaktmomente, nachdem ein Gespräch verstummt ist, mit dem Fahrzeug dabei. Danach Klarheit, keine endlose Wiederholung.	Tres contactos después de que una conversación se apague, con el vehículo incluido. Después, claridad, no repetición sin fin.
Drie dagen later weet niemand meer wie het was, welke wagen het betrof en wat er is afgesproken. De aanvraag bestaat nog in een mailbox, maar leeft niet meer.	Trois jours plus tard, personne ne sait plus qui c'était, de quel véhicule il s'agissait ni ce qui avait été convenu. La demande existe encore dans une boîte mail, mais elle ne vit plus.	Three days later nobody remembers who it was, which vehicle it concerned or what was agreed. The enquiry still exists in a mailbox, but it is no longer alive.	Drei Tage später weiß niemand mehr, wer es war, welches Fahrzeug es betraf und was vereinbart wurde. Die Anfrage existiert noch in einem Postfach, lebt aber nicht mehr.	Tres días después nadie recuerda quién era, de qué vehículo se trataba ni qué se acordó. La solicitud sigue existiendo en un buzón, pero ya no vive.
Drie kanalen, één gesprek	Trois canaux, une conversation	Three channels, one conversation	Drei Kanäle, ein Gespräch	Tres canales, una conversación
Drie tot vijf wagens met de gegevens die de keuze bepalen. Een lijst van dertig is hetzelfde als geen antwoord.	Trois à cinq véhicules avec les données qui font la décision. Une liste de trente équivaut à aucune réponse.	Three to five vehicles with the data that decides the choice. A list of thirty is the same as no answer.	Drei bis fünf Fahrzeuge mit den Daten, die die Wahl bestimmen. Eine Liste mit dreißig ist dasselbe wie keine Antwort.	De tres a cinco vehículos con los datos que deciden la elección. Una lista de treinta equivale a ninguna respuesta.
Drie werkstromen rond de vragen die tussen belangstelling en een handtekening staan: rijden, inruilen en betalen.	Trois flux autour des questions qui séparent l'intérêt de la signature : rouler, reprendre, payer.	Three workflows around the questions that stand between interest and a signature: driving, trading in and paying.	Drei Abläufe rund um die Fragen zwischen Interesse und Unterschrift: fahren, in Zahlung geben und bezahlen.	Tres flujos en torno a las preguntas que hay entre el interés y la firma: conducir, entregar y pagar.
Dubbele afspraken op dezelfde wagen leveren een slechte eerste indruk op.	Des rendez-vous en double sur le même véhicule donnent une mauvaise première impression.	Double bookings on the same vehicle make a poor first impression.	Doppelte Termine auf dasselbe Fahrzeug hinterlassen einen schlechten ersten Eindruck.	Citas duplicadas sobre el mismo vehículo dan una mala primera impresión.
