# nederlands	frans	engels	duits	spaans
Je verkoper neemt over wanneer het telt	Votre vendeur reprend la main quand cela compte	Your salesperson takes over when it counts	Ihr Verkäufer übernimmt, wenn es zählt	Tu vendedor toma el relevo cuando importa
Je verkoper staat al bij een klant	Votre vendeur est déjà avec un client	Your salesperson is already with a customer	Ihr Verkäufer steht schon bei einem Kunden	Tu vendedor ya está con un cliente
Je verkoper stapt in	Votre vendeur entre en scène	Your salesperson steps in	Ihr Verkäufer steigt ein	Tu vendedor entra
Je verkoper stapt in het lopende gesprek. De koper merkt niet dat er iemand anders typt.	Votre vendeur entre dans la conversation en cours. L'acheteur ne remarque pas que quelqu'un d'autre écrit.	Your salesperson steps into the running conversation. The buyer does not notice someone else is typing.	Ihr Verkäufer steigt ins laufende Gespräch ein. Der Käufer merkt nicht, dass jemand anderes tippt.	Tu vendedor entra en la conversación en curso. El comprador no nota que escribe otra persona.
Je verkoper weet het vooraf	Votre vendeur le sait à l'avance	Your salesperson knows beforehand	Ihr Verkäufer weiß es vorher	Tu vendedor lo sabe de antemano
Je verkoper ziet de afspraak staan waar hij altijd kijkt.	Votre vendeur voit le rendez-vous là où il regarde toujours.	Your salesperson sees the appointment where they always look.	Ihr Verkäufer sieht den Termin dort, wo er immer hinschaut.	Tu vendedor ve la cita donde mira siempre.
Je verkoper zoekt drie keer per dag hetzelfde uit.	Votre vendeur cherche trois fois par jour la même chose.	Your salesperson looks up the same thing three times a day.	Ihr Verkäufer sucht dreimal am Tag dasselbe heraus.	Tu vendedor busca lo mismo tres veces al día.
Je volgende aanvraag komt er al aan.	Votre prochaine demande est déjà en route.	Your next enquiry is already on its way.	Ihre nächste Anfrage ist schon unterwegs.	Tu próxima solicitud ya está en camino.
Je volgende aanvraag komt vanavond binnen.	Votre prochaine demande arrive ce soir.	Your next enquiry comes in tonight.	Ihre nächste Anfrage kommt heute Abend herein.	Tu próxima solicitud entra esta tarde.
Je voorraad	Votre stock	Your stock	Ihr Bestand	Tu stock
Je voorraad is de bron, niet een kopie.	Votre stock est la source, pas une copie.	Your stock is the source, not a copy.	Ihr Bestand ist die Quelle, nicht eine Kopie.	Tu stock es la fuente, no una copia.
Je voorraad is het halve antwoord.	Votre stock, c'est la moitié de la réponse.	Your stock is half the answer.	Ihr Bestand ist die halbe Antwort.	Tu stock es la mitad de la respuesta.
Je voorraad komt binnen via een bestand of de feed die je al gebruikt, en afspraken komen in Google Agenda. Een rechtstreekse koppeling met je CRM staat op de lijst, maar draait nog nergens. Op	Votre stock arrive via un fichier ou le flux que vous utilisez déjà, et les rendez-vous arrivent dans Google Agenda. Une intégration directe avec votre CRM est sur la liste, mais ne tourne encore nulle part. Sur	Your stock comes in through a file or the feed you already use, and appointments land in Google Calendar. A direct integration with your CRM is on the list, but is not running anywhere yet. On	Ihr Bestand kommt über eine Datei oder den Feed, den Sie schon nutzen, und Termine landen in Google Kalender. Eine direkte Anbindung an Ihr CRM steht auf der Liste, läuft aber noch nirgends. Auf	Tu stock entra mediante un archivo o el feed que ya usas, y las citas llegan a Google Calendar. Una integración directa con tu CRM está en la lista, pero todavía no funciona en ningún sitio. En
Je voorraad, je kanalen,	Votre stock, vos canaux,	Your stock, your channels,	Ihr Bestand, Ihre Kanäle,	Tu stock, tus canales,
Je voorraad, je kanalen, en wat nog gebouwd wordt.	Votre stock, vos canaux, et ce qui est encore en construction.	Your stock, your channels, and what is still being built.	Ihr Bestand, Ihre Kanäle und was noch gebaut wird.	Tu stock, tus canales y lo que aún se está construyendo.
Je website	Votre site	Your website	Ihre Website	Tu web
Je website blijft je website, met één script erbij.	Votre site reste votre site, avec un script en plus.	Your website stays your website, with one script added.	Ihre Website bleibt Ihre Website, mit einem Skript dazu.	Tu web sigue siendo tu web, con un script añadido.
Je website of je voorraadsysteem vervangen	Remplacer votre site ou votre système de stock	Replacing your website or your stock system	Ihre Website oder Ihr Bestandssystem ersetzen	Sustituir tu web o tu sistema de stock
Je website trekt al bezoekers. Het grootste deel kijkt, vindt niets om op te klikken en gaat weg. Een gesprek op het juiste moment houdt een deel daarvan vast.	Votre site attire déjà des visiteurs. La plupart regardent, ne trouvent rien à cliquer et repartent. Une conversation au bon moment en retient une partie.	Your website already draws visitors. Most of them look, find nothing to click on and leave. A conversation at the right moment holds on to some of them.	Ihre Website zieht schon Besucher an. Die meisten schauen, finden nichts zum Anklicken und gehen. Ein Gespräch zur richtigen Zeit hält einen Teil davon fest.	Tu web ya atrae visitantes. La mayoría mira, no encuentra nada que clicar y se va. Una conversación en el momento justo retiene a una parte.
Je weet niet eens hoeveel er ’s avonds binnenkomen.	Vous ne savez même pas combien arrivent le soir.	You do not even know how many come in during the evening.	Sie wissen nicht einmal, wie viele abends hereinkommen.	Ni siquiera sabes cuántas entran por la tarde.
Je zet elke werkstroom zelf stil, meteen, zonder ons te bellen. Per werkstroom, niet alles tegelijk.	Vous arrêtez vous-même chaque flux, immédiatement, sans nous appeler. Flux par flux, pas tout d'un coup.	You stop every workflow yourself, immediately, without calling us. Per workflow, not everything at once.	Sie stoppen jeden Ablauf selbst, sofort, ohne uns anzurufen. Je Ablauf, nicht alles auf einmal.	Paras tú mismo cada flujo, al momento, sin llamarnos. Flujo a flujo, no todo a la vez.
Je ziet hoe vaak het speelt	Vous voyez à quelle fréquence cela se produit	You see how often it comes up	Sie sehen, wie oft es vorkommt	Ves con qué frecuencia pasa
Je ziet hoeveel er binnenkomt	Vous voyez combien arrive	You see how much comes in	Sie sehen, wie viel hereinkommt	Ves cuánto entra
Je ziet waar vraag naar is	Vous voyez ce qui est demandé	You see what is in demand	Sie sehen, wonach gefragt wird	Ves qué se pide
Jij bepaalt wat het systeem zelf mag doen en wat eerst langs een verkoper gaat. Per type, niet één schakelaar voor alles. Een prijs noemen is iets anders dan een proefrit vastzetten.	C'est vous qui décidez ce que le système peut faire seul et ce qui passe d'abord par un vendeur. Par type, pas un seul interrupteur pour tout. Annoncer un prix n'est pas la même chose que fixer un essai.	You decide what the system may do on its own and what goes past a salesperson first. Per type, not one switch for everything. Naming a price is not the same as pinning down a test drive.	Sie bestimmen, was das System selbst darf und was zuerst an einem Verkäufer vorbei muss. Je Typ, nicht ein Schalter für alles. Einen Preis zu nennen ist etwas anderes, als eine Probefahrt festzumachen.	Tú decides qué puede hacer el sistema por su cuenta y qué pasa antes por un vendedor. Por tipo, no un solo interruptor para todo. Decir un precio no es lo mismo que fijar una prueba.
Jouw voorraad, niet het internet	Votre stock, pas internet	Your stock, not the internet	Ihr Bestand, nicht das Internet	Tu stock, no internet
Kan die wagen rijden	Ce véhicule peut-il être essayé	Can that vehicle be driven	Kann man das Fahrzeug fahren	¿Se puede probar ese vehículo?
Kan het buiten onze openingsuren boeken?	Peut-il réserver en dehors de nos heures d'ouverture ?	Can it book outside our opening hours?	Kann es außerhalb unserer Öffnungszeiten buchen?	¿Puede reservar fuera de nuestro horario?
Kan ik met die Golf GTI eens rijden?	Puis-je essayer cette Golf GTI ?	Can I take that Golf GTI for a drive?	Kann ich den Golf GTI mal fahren?	¿Puedo probar ese Golf GTI?
Kan ik mijn huidige auto inruilen?	Puis-je reprendre ma voiture actuelle ?	Can I trade in my current car?	Kann ich mein jetziges Auto in Zahlung geben?	¿Puedo entregar mi coche actual?
Kiest een moment dat hem past.	Choisit un créneau qui lui convient.	Picks a slot that suits them.	Wählt einen Termin, der ihm passt.	Elige un hueco que le venga bien.
Kiest hij er één, dan loopt het gesprek door als een gewone aanvraag: vragen, afspraak, dossier.	S'il en choisit un, la conversation se poursuit comme une demande ordinaire : questions, rendez-vous, dossier.	If they pick one, the conversation continues as a normal enquiry: questions, appointment, file.	Wählt er eines, läuft das Gespräch weiter wie eine gewöhnliche Anfrage: Fragen, Termin, Akte.	Si elige uno, la conversación sigue como una solicitud normal: preguntas, cita, expediente.
Kijkt wat vrij is en zet het vast.	Regarde ce qui est libre et le fixe.	Checks what is free and pins it down.	Sieht nach, was frei ist, und macht es fest.	Mira qué está libre y lo fija.
Kilometerstand	Kilométrage	Mileage	Kilometerstand	Kilometraje
Klantcontact dat op een privételefoon staat, is geen bedrijfsbezit.	Un contact client qui vit sur un portable privé n'appartient pas à l'entreprise.	Customer contact that lives on a private phone is not company property.	Kundenkontakt, der auf einem Privathandy steht, ist kein Betriebsvermögen.	El contacto con el cliente que vive en un móvil privado no es propiedad de la empresa.
Komen er veel aanvragen per mail	Si beaucoup de demandes arrivent par courriel	If a lot of enquiries come in by email	Kommen viele Anfragen per Mail	Si entran muchas solicitudes por correo
Komt hij van een advertentie, dan is de wagen meteen bekend. Zo niet, dan wordt er doorgevraagd.	S'il vient d'une annonce, le véhicule est immédiatement connu. Sinon, on creuse.	If they come from an advert, the vehicle is known straight away. If not, further questions follow.	Kommt er von einer Anzeige, ist das Fahrzeug sofort bekannt. Wenn nicht, wird nachgefragt.	Si viene de un anuncio, el vehículo se conoce enseguida. Si no, se sigue preguntando.
Komt terug bij wie wel keek maar niet koos.	Revient vers ceux qui ont regardé sans choisir.	Comes back to those who looked but did not choose.	Kommt auf die zurück, die zwar geschaut, aber nicht gewählt haben.	Vuelve a quienes miraron pero no eligieron.
Koper	Acheteur	Buyer	Käufer	Comprador
Koper herkend · wagen vastgelegd	Acheteur reconnu · véhicule enregistré	Buyer recognised · vehicle recorded	Käufer erkannt · Fahrzeug erfasst	Comprador reconocido · vehículo registrado
Kopers die je al had.	Des acheteurs que vous aviez déjà.	Buyers you already had.	Käufer, die Sie schon hatten.	Compradores que ya tenías.
Kopers reageren sneller	Les acheteurs répondent plus vite	Buyers respond faster	Käufer antworten schneller	Los compradores responden más rápido
Korte opdracht · intern	Consigne courte · interne	Short instruction · internal	Kurze Anweisung · intern	Instrucción breve · interna
Krijgt de foto’s die op dit kanaal het makkelijkst binnenkomen.	Reçoit les photos qui arrivent le plus facilement sur ce canal.	Gets the photos that arrive most easily on this channel.	Bekommt die Fotos, die auf diesem Kanal am leichtesten hereinkommen.	Recibe las fotos que llegan con más facilidad por este canal.
Kun je je beschikbaarheid niet delen, dan stelt het systeem geen tijden voor maar vraagt het wanneer het de koper past en geeft dat door.	Si vous ne pouvez pas partager votre disponibilité, le système ne propose pas d'horaires mais demande ce qui convient à l'acheteur et le transmet.	If you cannot share your availability, the system proposes no times but asks when it suits the buyer and passes that on.	Können Sie Ihre Verfügbarkeit nicht teilen, schlägt das System keine Zeiten vor, sondern fragt, wann es dem Käufer passt, und gibt das weiter.	Si no puedes compartir tu disponibilidad, el sistema no propone horas sino que pregunta cuándo le va bien al comprador y lo transmite.
Kunnen we het uitzetten?	Pouvons-nous le désactiver ?	Can we switch it off?	Können wir es abschalten?	¿Podemos apagarlo?
Kunnen we ons huidige nummer houden?	Pouvons-nous garder notre numéro actuel ?	Can we keep our current number?	Können wir unsere jetzige Nummer behalten?	¿Podemos conservar nuestro número actual?
Laatste contact	Dernier contact	Last contact	Letzter Kontakt	Último contacto
Levert de gesprekken aan die stil vielen.	Fournit les conversations qui se sont arrêtées.	Supplies the conversations that went quiet.	Liefert die Gespräche, die verstummt sind.	Aporta las conversaciones que se apagaron.
Levert de koper aan die verder wil dan kijken.	Fournit l'acheteur qui veut aller plus loin que regarder.	Supplies the buyer who wants to go further than looking.	Liefert den Käufer, der weiter will als nur schauen.	Aporta el comprador que quiere ir más allá de mirar.
