# nederlands	frans	engels	duits	spaans
Uit jouw voorraad. Prijs, kilometerstand, bouwjaar en uitvoering komen uit het bestand of de feed die je zelf al gebruikt. Er wordt niets verzonnen en niets bij een ander opgezocht. Staat iets er niet in, dan is het antwoord "dat zoek ik na" en gaat het naar een verkoper.	De votre stock. Le prix, le kilométrage, l'année et la finition viennent du fichier ou du flux que vous utilisez déjà. Rien n'est inventé ni cherché ailleurs. Si quelque chose n'y figure pas, la réponse est « je vérifie » et cela part vers un vendeur.	From your stock. Price, mileage, year and trim come from the file or the feed you already use. Nothing is invented and nothing is looked up elsewhere. If something is not in there, the answer is "I'll check that" and it goes to a salesperson.	Aus Ihrem Bestand. Preis, Kilometerstand, Baujahr und Ausstattung kommen aus der Datei oder dem Feed, den Sie schon nutzen. Nichts wird erfunden und nichts woanders nachgeschlagen. Steht etwas nicht drin, lautet die Antwort „das schaue ich nach" und es geht an einen Verkäufer.	De tu stock. Precio, kilometraje, año y acabado salen del archivo o el feed que ya usas. No se inventa nada ni se busca en otro sitio. Si algo no está, la respuesta es «eso lo compruebo» y va a un vendedor.
Uitleggen waar het van afhangt	Expliquer de quoi cela dépend	Explaining what it depends on	Erklären, wovon es abhängt	Explicar de qué depende
Uitleggen waarom	Expliquer pourquoi	Explaining why	Erklären, warum	Explicar por qué
Uitleggen wat kan, ophalen wat nodig is, en op tijd een mens erbij halen.	Expliquer ce qui est possible, recueillir ce qu'il faut et faire intervenir un humain à temps.	Explaining what is possible, collecting what is needed, and bringing in a person in time.	Erklären, was geht, holen, was nötig ist, und rechtzeitig einen Menschen dazuholen.	Explicar qué se puede, recoger lo necesario y traer a una persona a tiempo.
Uitleggen, ophalen, en overdragen aan een verkoper.	Expliquer, recueillir et transférer à un vendeur.	Explaining, collecting, and handing over to a salesperson.	Erklären, holen und an einen Verkäufer übergeben.	Explicar, recoger y traspasar a un vendedor.
Uitvragen wat hij zoekt	Demander ce qu'il cherche	Asking what they are looking for	Abfragen, was er sucht	Preguntar qué busca
Vaak is de kortste route een afspraak waarin de financiering en de wagen samen besproken worden.	Souvent, le chemin le plus court est un rendez-vous où le financement et le véhicule sont discutés ensemble.	Often the shortest route is an appointment where the financing and the vehicle are discussed together.	Oft ist der kürzeste Weg ein Termin, in dem Finanzierung und Fahrzeug zusammen besprochen werden.	A menudo el camino más corto es una cita en la que se hablan juntos la financiación y el vehículo.
Vallen gesprekken vaak stil	Si les conversations retombent souvent	If conversations often go quiet	Verstummen Gespräche oft	Si las conversaciones se apagan a menudo
Van "ik wil eens rijden" naar een datum.	De « j'aimerais l'essayer » à une date.	From "I'd like a drive" to a date.	Von „ich würde gern fahren" zu einem Datum.	De «me gustaría probarlo» a una fecha.
Van "kan ik rijden" naar een datum in twee berichten in plaats van in twee dagen.	De « puis-je essayer » à une date en deux messages au lieu de deux jours.	From "can I drive it" to a date in two messages instead of two days.	Von „kann ich fahren" zu einem Datum in zwei Nachrichten statt in zwei Tagen.	De «¿puedo probarlo?» a una fecha en dos mensajes en lugar de dos días.
Van aanvraag tot afspraak	De la demande au rendez-vous	From enquiry to appointment	Von der Anfrage zum Termin	De la solicitud a la cita
Van alle werkstromen is dit de voorzichtigste. Het doel is niet antwoorden maar doorgeleiden, zonder dat de koper het gevoel krijgt dat hij wordt afgewimpeld.	De tous les flux, c'est le plus prudent. Le but n'est pas de répondre mais d'orienter, sans que l'acheteur ait le sentiment d'être écarté.	Of all the workflows this is the most careful. The aim is not to answer but to route on, without the buyer feeling brushed off.	Von allen Abläufen ist dieser der vorsichtigste. Das Ziel ist nicht zu antworten, sondern weiterzuleiten, ohne dass der Käufer sich abgewimmelt fühlt.	De todos los flujos este es el más prudente. El objetivo no es responder sino derivar, sin que el comprador sienta que se lo quitan de encima.
Van antwoord naar afspraak.	De la réponse au rendez-vous.	From answer to appointment.	Von der Antwort zum Termin.	De la respuesta a la cita.
Van bericht in een mailbox naar dossier met een volgende stap.	D'un message dans une boîte mail à un dossier avec une étape suivante.	From a message in a mailbox to a file with a next step.	Von einer Nachricht im Postfach zu einer Akte mit einem nächsten Schritt.	De un mensaje en un buzón a un expediente con un paso siguiente.
Van binnengekomen vraag tot vastgezette afspraak, zonder dat er iemand achter een scherm hoeft te zitten.	De la question reçue au rendez-vous fixé, sans que personne doive rester devant un écran.	From incoming question to pinned-down appointment, without anyone having to sit behind a screen.	Von der eingegangenen Frage bis zum festgemachten Termin, ohne dass jemand vor einem Bildschirm sitzen muss.	De la pregunta recibida a la cita fijada, sin que nadie tenga que estar delante de una pantalla.
Van binnenkomende aanvraag tot afspraak, in vijf lagen.	De la demande entrante au rendez-vous, en cinq couches.	From incoming enquiry to appointment, in five layers.	Von der eingehenden Anfrage bis zum Termin, in fünf Schichten.	De la solicitud entrante a la cita, en cinco capas.
Van eisen naar drie wagens die er echt staan.	Des critères à trois véhicules réellement présents.	From requirements to three vehicles that are actually there.	Von Anforderungen zu drei Fahrzeugen, die wirklich dastehen.	De los requisitos a tres vehículos que están de verdad.
Van vraag naar antwoord.	De la question à la réponse.	From question to answer.	Von der Frage zur Antwort.	De la pregunta a la respuesta.
Van vraag over een auto naar een afspraak	D'une question sur une voiture à un rendez-vous	From a question about a car to an appointment	Von einer Frage zu einem Auto zu einem Termin	De una pregunta sobre un coche a una cita
Van zoeken naar kiezen	De la recherche au choix	From searching to choosing	Vom Suchen zum Wählen	De buscar a elegir
Vangt de inruilvraag op die per mail binnenkomt, vaak met foto’s.	Recueille la demande de reprise qui arrive par courriel, souvent avec des photos.	Catches the trade-in question that comes in by email, often with photos.	Fängt die Inzahlungnahmefrage auf, die per Mail hereinkommt, oft mit Fotos.	Recoge la pregunta de tasación que llega por correo, a menudo con fotos.
Veertien gesprekken die stilvielen	Quatorze conversations retombées	Fourteen conversations that went quiet	Vierzehn verstummte Gespräche	Catorce conversaciones que se apagaron
Veertig tot driehonderd wagens op het terrein, twee tot acht verkopers en een website waar 's avonds meer mensen kijken dan overdag op de vloer komen. Dat is het bedrijf waar dit voor bedoeld is.	Quarante à trois cents véhicules sur le parc, deux à huit vendeurs et un site que plus de gens consultent le soir qu'il n'en vient en showroom dans la journée. Voilà l'entreprise pour laquelle c'est fait.	Forty to three hundred vehicles on the forecourt, two to eight salespeople and a website more people look at in the evening than come onto the floor during the day. That is the business this is meant for.	Vierzig bis dreihundert Fahrzeuge auf dem Hof, zwei bis acht Verkäufer und eine Website, die abends mehr Leute anschauen, als tagsüber auf die Fläche kommen. Das ist der Betrieb, für den das gedacht ist.	De cuarenta a trescientos vehículos en el terreno, de dos a ocho vendedores y una web que por la tarde mira más gente de la que entra en el salón durante el día. Esa es la empresa para la que está pensado.
Verkocht is verkocht	Vendu, c'est vendu	Sold is sold	Verkauft ist verkauft	Vendido es vendido
Verkoopteams van twee tot acht mensen	Des équipes de vente de deux à huit personnes	Sales teams of two to eight people	Verkaufsteams von zwei bis acht Leuten	Equipos de venta de dos a ocho personas
Verkooptijd die naar tikwerk gaat.	Du temps de vente qui part en saisie.	Selling time that goes into typing.	Verkaufszeit, die in Tipparbeit geht.	Tiempo de venta que se va en teclear.
Verkoper	Vendeur	Salesperson	Verkäufer	Vendedor
Vertel ons je systemen	Dites-nous quels systèmes vous utilisez	Tell us your systems	Nennen Sie uns Ihre Systeme	Cuéntanos tus sistemas
Vervangt dit mijn verkopers?	Cela remplace-t-il mes vendeurs ?	Does this replace my salespeople?	Ersetzt das meine Verkäufer?	¿Esto sustituye a mis vendedores?
Verzetten met behoud van het dossier	Déplacer en conservant le dossier	Rescheduling while keeping the file	Verlegen unter Beibehaltung der Akte	Cambiar la cita conservando el expediente
Via het formulier op je site, via WhatsApp of per mail. Alle drie komen ze in dezelfde stroom terecht, met dezelfde behandeling.	Via le formulaire de votre site, via WhatsApp ou par courriel. Les trois aboutissent dans le même flux, avec le même traitement.	Through the form on your site, through WhatsApp or by email. All three end up in the same flow, with the same treatment.	Über das Formular auf Ihrer Website, über WhatsApp oder per Mail. Alle drei landen im selben Strom, mit derselben Behandlung.	Por el formulario de tu web, por WhatsApp o por correo. Los tres acaban en el mismo flujo, con el mismo trato.
Via je website, WhatsApp of e-mail. Binnen of buiten je openingsuren, dat maakt voor het antwoord niets uit.	Via votre site, WhatsApp ou le courriel. Pendant ou en dehors de vos heures d'ouverture, cela ne change rien à la réponse.	Through your website, WhatsApp or email. Inside or outside your opening hours makes no difference to the answer.	Über Ihre Website, WhatsApp oder E-Mail. Innerhalb oder außerhalb Ihrer Öffnungszeiten macht für die Antwort keinen Unterschied.	Por tu web, WhatsApp o correo. Dentro o fuera de tu horario, eso no cambia la respuesta.
Vier foto’s rondom en één van de kilometerteller. Via WhatsApp of mail is dat voor de meeste mensen de makkelijkste stap.	Quatre photos sous tous les angles et une du compteur. Par WhatsApp ou courriel, c'est l'étape la plus simple pour la plupart des gens.	Four photos all round and one of the odometer. Through WhatsApp or email that is the easiest step for most people.	Vier Fotos rundherum und eines vom Tacho. Über WhatsApp oder Mail ist das für die meisten der einfachste Schritt.	Cuatro fotos de todo el coche y una del cuentakilómetros. Por WhatsApp o correo es el paso más fácil para la mayoría.
Vier koppelingen dragen het hele systeem. Zonder je voorraad kan het alleen algemene dingen zeggen, zonder je agenda kan het geen afspraak vastzetten. Hier staat per stuk wat er werkelijk is.	Quatre intégrations portent tout le système. Sans votre stock, il ne peut dire que des généralités ; sans votre agenda, il ne peut fixer aucun rendez-vous. Voici, une par une, ce qui existe réellement.	Four integrations carry the whole system. Without your stock it can only say general things, without your calendar it cannot pin down an appointment. Here is, one by one, what actually exists.	Vier Anbindungen tragen das ganze System. Ohne Ihren Bestand kann es nur Allgemeines sagen, ohne Ihren Kalender kann es keinen Termin festmachen. Hier steht Stück für Stück, was wirklich da ist.	Cuatro integraciones sostienen todo el sistema. Sin tu stock solo puede decir generalidades, sin tu agenda no puede fijar ninguna cita. Aquí está, una a una, lo que existe de verdad.
Vijf autobedrijven. Eén cijfer. Vier weken.	Cinq concessions. Un chiffre. Quatre semaines.	Five dealerships. One figure. Four weeks.	Fünf Autohäuser. Eine Zahl. Vier Wochen.	Cinco concesionarios. Una cifra. Cuatro semanas.
Vijf stappen. Eén systeem.	Cinq étapes. Un système.	Five steps. One system.	Fünf Schritte. Ein System.	Cinco pasos. Un sistema.
Voertuig erbij	Véhicule rattaché	Vehicle attached	Fahrzeug dabei	Vehículo incluido
Voertuigadvies	Conseil véhicule	Vehicle advice	Fahrzeugberatung	Asesoramiento de vehículo
Voertuigkennis	Connaissance des véhicules	Vehicle knowledge	Fahrzeugwissen	Conocimiento del vehículo
Volgt op wanneer er geen antwoord komt.	Relance quand aucune réponse n'arrive.	Follows up when no answer comes.	Fasst nach, wenn keine Antwort kommt.	Hace seguimiento cuando no llega respuesta.
Volvo XC40 T4 · bezichtiging voorgesteld	Volvo XC40 T4 · visite proposée	Volvo XC40 T4 · viewing proposed	Volvo XC40 T4 · Besichtigung vorgeschlagen	Volvo XC40 T4 · visita propuesta
Volvo XC40 · 48 maanden · inruil Golf · donderdag 17:00	Volvo XC40 · 48 mois · reprise Golf · jeudi 17:00	Volvo XC40 · 48 months · Golf trade-in · Thursday 17:00	Volvo XC40 · 48 Monate · Golf in Zahlung · Donnerstag 17:00	Volvo XC40 · 48 meses · entrega Golf · jueves 17:00
