Bevestigen en herinneren	Confirmer et rappeler	Confirm and remind	Bestätigen und erinnern	Confirmar y recordar
Bij een half uur pauze, een drukke ochtend en een zaterdag opgeteld gaat het in de meeste werkplaatsen om tien tot twintig oproepen per week. Vraag het je balie en je krijgt een schatting. Vraag het je telefooncentrale en je krijgt meestal niets.	Une demi-heure de pause, une matinée chargée et un samedi mis bout à bout, cela représente dans la plupart des ateliers dix à vingt appels par semaine. Demandez-le à votre comptoir et vous obtiendrez une estimation. Demandez-le à votre standard et vous n'obtiendrez généralement rien.	Half an hour of break, a busy morning and a Saturday added together comes to ten to twenty calls a week in most workshops. Ask your front desk and you get an estimate. Ask your phone system and you usually get nothing.	Eine halbe Stunde Pause, ein voller Vormittag und ein Samstag zusammengerechnet ergeben in den meisten Werkstätten zehn bis zwanzig Anrufe pro Woche. Fragen Sie Ihren Empfang und Sie bekommen eine Schätzung. Fragen Sie Ihre Telefonanlage und Sie bekommen meist nichts.	Media hora de pausa, una mañana cargada y un sábado sumados dan, en la mayoría de talleres, de diez a veinte llamadas por semana. Pregúntaselo a tu mostrador y te darán una estimación. Pregúntaselo a tu centralita y normalmente no te dará nada.
Bij een klus die langer duurt dan een paar uur, wordt de vervoersvraag gesteld voordat de klant hem stelt. Dat scheelt een ronde.	Pour une intervention de plus de quelques heures, la question du transport est posée avant que le client ne la pose. Cela évite un aller-retour.	For a job that takes longer than a couple of hours, the transport question gets asked before the customer asks it. That saves a round trip.	Bei einer Arbeit, die länger als ein paar Stunden dauert, wird die Transportfrage gestellt, bevor der Kunde sie stellt. Das spart eine Runde.	En un trabajo que dura más de un par de horas, la pregunta del transporte se hace antes de que la haga el cliente. Eso ahorra una vuelta.
Bij een onbekend of afgeschermd nummer kan hij niets sturen.	Avec un numéro inconnu ou masqué, il ne peut rien envoyer.	With an unknown or withheld number he cannot send anything.	Bei einer unbekannten oder unterdrückten Nummer kann er nichts senden.	Con un número desconocido u oculto no puede enviar nada.
Bij elke klus die langer dan een halve dag duurt, komt dezelfde vraag. Zolang die niet beantwoord is, wordt er niets geboekt. En het antwoord is bijna altijd bekend: er staat er wel of niet een vrij.	Pour chaque intervention de plus d'une demi-journée revient la même question. Tant qu'elle reste sans réponse, rien n'est réservé. Et la réponse est presque toujours connue : il y en a un de libre, ou pas.	Every job longer than half a day brings the same question. As long as it is unanswered, nothing gets booked. And the answer is almost always known: there is one free, or there is not.	Bei jeder Arbeit, die länger als einen halben Tag dauert, kommt dieselbe Frage. Solange sie unbeantwortet bleibt, wird nichts gebucht. Und die Antwort ist fast immer bekannt: es steht einer frei oder eben nicht.	En cada trabajo que dura más de medio día aparece la misma pregunta. Mientras no tenga respuesta, no se reserva nada. Y la respuesta casi siempre se conoce: hay uno libre o no lo hay.
Bij elke reparatievraag zitten dezelfde drie onbekenden: is het onderdeel er, wat kost het en wanneer kan de auto komen. Zolang één daarvan openstaat, kan er niets ingepland worden.	Toute demande de réparation comporte les trois mêmes inconnues : la pièce est-elle disponible, combien coûte-t-elle et quand la voiture peut-elle venir. Tant que l'une d'elles reste ouverte, rien ne peut être planifié.	Every repair enquiry contains the same three unknowns: is the part there, what does it cost and when can the car come in. As long as one of them is open, nothing can be scheduled.	In jeder Reparaturanfrage stecken dieselben drei Unbekannten: ist das Teil da, was kostet es und wann kann das Auto kommen. Solange eine davon offen ist, lässt sich nichts einplanen.	En cada consulta de reparación hay las mismas tres incógnitas: está la pieza, cuánto cuesta y cuándo puede venir el coche. Mientras una siga abierta no se puede planificar nada.
Bij letsel of een auto die niet meer rijdt, gaat het meteen naar een mens.	En cas de blessure ou de voiture immobilisée, cela passe immédiatement à un humain.	With injuries or a car that no longer drives, it goes straight to a person.	Bei Verletzungen oder einem Auto, das nicht mehr fährt, geht es sofort an einen Menschen.	Si hay heridos o el coche ya no circula, pasa directamente a una persona.
Bij schade begint het werk	En cas de sinistre, le travail commence	With damage, the work starts	Bei einem Schaden beginnt die Arbeit	Con un siniestro el trabajo empieza
Bijna elke leverancier zet alles op één hoop. Hier betekenen ze iets, en we houden ons eraan.	Presque tous les fournisseurs mettent tout dans le même sac. Ici, ces mots veulent dire quelque chose, et nous nous y tenons.	Nearly every supplier lumps them all together. Here they mean something, and we stick to it.	Fast jeder Anbieter wirft alles in einen Topf. Hier bedeuten sie etwas, und daran halten wir uns.	Casi todos los proveedores lo meten todo en el mismo saco. Aquí significan algo, y lo respetamos.
Binnen een minuut een bericht	Un message en moins d'une minute	A message within a minute	Innerhalb einer Minute eine Nachricht	Un mensaje en menos de un minuto
Binnenkomend	Entrant	Inbound	Eingehend	Entrante
Bouwjaar	Année de construction	Year of manufacture	Baujahr	Año de fabricación
Bouwjaar en brandstof	Année et carburant	Year and fuel	Baujahr und Kraftstoff	Año y combustible
Brengt bellers terug die anders weg waren.	Ramène des appelants qui seraient partis autrement.	Brings back callers who would otherwise be gone.	Holt Anrufer zurück, die sonst weg wären.	Recupera a quienes llaman y que si no se habrían ido.
Buiten de openingsuren gebeurt er niets	En dehors des heures d'ouverture, il ne se passe rien	Outside opening hours nothing happens	Außerhalb der Öffnungszeiten passiert nichts	Fuera del horario no pasa nada
Chatbot	Chatbot	Chatbot	Chatbot	Chatbot
Checkt of het onderdeel leverbaar is voor er een datum wordt beloofd.	Vérifie si la pièce est livrable avant qu'une date soit promise.	Checks whether the part is available before a date is promised.	Prüft, ob das Teil lieferbar ist, bevor ein Datum zugesagt wird.	Comprueba si la pieza está disponible antes de prometer una fecha.
Cijfers	Chiffres	Numbers	Zahlen	Cifras
Cijfers en pilot	Chiffres et pilote	Numbers and pilot	Zahlen und Pilot	Cifras y piloto
Combineert de wissel met een beurt als die toch bijna aan de beurt is.	Combine le changement avec un entretien si celui-ci approche de toute façon.	Combines the change with a service if that is nearly due anyway.	Kombiniert den Wechsel mit einer Inspektion, wenn die ohnehin bald ansteht.	Combina el cambio con una revisión si esta toca pronto de todos modos.
Combineren waar het kan	Combiner là où c'est possible	Combine where possible	Kombinieren, wo es geht	Combinar cuando se puede
Context	Contexte	Context	Kontext	Contexto
Daar gaat je ochtend.	Voilà votre matinée.	There goes your morning.	Da ist Ihr Vormittag hin.	Ahí se va tu mañana.
Daar zit Helvaro. Het vangt op wat binnenkomt, begrijpt waar het over gaat en zet het door naar de werkplaats.	C'est là que se trouve Helvaro. Il capte ce qui arrive, comprend de quoi il s'agit et le transmet à l'atelier.	That is where Helvaro sits. It catches what comes in, understands what it is about and passes it on to the workshop.	Genau dort sitzt Helvaro. Es fängt auf, was hereinkommt, versteht, worum es geht, und gibt es an die Werkstatt weiter.	Ahí está Helvaro. Recoge lo que entra, entiende de qué va y lo pasa al taller.
Daarna	Ensuite	Then	Danach	Después
Daarna gebeurt er niets meer.	Ensuite, il ne se passe plus rien.	After that, nothing happens any more.	Danach passiert nichts mehr.	Después ya no pasa nada más.
Daarna is de vraag niet meer "wat wil deze persoon", maar "is dit een keuring, een reparatie, een onderhoudsbeurt of een prijsvraag". Dat onderscheid bepaalt welke vragen erna komen en hoeveel tijd het tijdslot moet krijgen.	Ensuite, la question n'est plus « que veut cette personne », mais « s'agit-il d'un contrôle technique, d'une réparation, d'un entretien ou d'une demande de prix ». Cette distinction détermine les questions suivantes et la durée à réserver au créneau.	After that the question is no longer "what does this person want", but "is this an MOT, a repair, a service or a price enquiry". That distinction determines which questions follow and how much time the slot should get.	Danach lautet die Frage nicht mehr „was will diese Person", sondern „ist das eine HU, eine Reparatur, eine Inspektion oder eine Preisanfrage". Diese Unterscheidung bestimmt, welche Fragen danach kommen und wie viel Zeit das Zeitfenster bekommen muss.	Después la pregunta ya no es «qué quiere esta persona», sino «es una ITV, una reparación, una revisión o una consulta de precio». Esa distinción determina qué preguntas vienen luego y cuánto tiempo debe recibir la franja.
Daarna komen de andere zeven.	Viennent ensuite les sept autres.	Then come the other seven.	Danach kommen die anderen sieben.	Después vienen los otros siete.
Dag Ingrid, in maart vorig jaar deden we de beurt van je Passat, toen stond hij op 158.000 km. Inmiddels zul je daar ruim overheen zijn. Zullen we de volgende inplannen?	Bonjour Ingrid, en mars l'an dernier nous avons fait l'entretien de votre Passat, elle affichait alors 158 000 km. Vous devez être largement au-delà aujourd'hui. On planifie le prochain ?	Hello Ingrid, last March we did the service on your Passat, it was on 158,000 km then. You are probably well past that by now. Shall we book the next one?	Hallo Ingrid, im März letzten Jahres haben wir die Inspektion Ihres Passat gemacht, damals stand er bei 158.000 km. Inzwischen dürften Sie deutlich darüber sein. Sollen wir die nächste einplanen?	Hola Ingrid, en marzo del año pasado hicimos la revisión de tu Passat, entonces marcaba 158.000 km. Ahora seguramente vas bastante por encima. ¿Programamos la siguiente?
Dag Marloes, de APK van je Polo (82-ABC-3) loopt af op 14 november. Donderdag de 13e om 08:30 hebben we plek. Zal ik die voor je vastzetten?	Bonjour Marloes, le contrôle technique de votre Polo (82-ABC-3) expire le 14 novembre. Nous avons de la place le jeudi 13 à 08h30. Je vous le réserve ?	Hello Marloes, the MOT on your Polo (82-ABC-3) expires on 14 November. We have room on Thursday the 13th at 08:30. Shall I book that for you?	Hallo Marloes, die HU Ihres Polo (82-ABC-3) läuft am 14. November ab. Am Donnerstag, den 13., um 08:30 Uhr haben wir Platz. Soll ich den für Sie festhalten?	Hola Marloes, la ITV de tu Polo (82-ABC-3) caduca el 14 de noviembre. El jueves 13 a las 08:30 tenemos sitio. ¿Te la reservo?
Dag Peter, vorige week stuurden we je de prijs voor de distributieriem van je Passat: € 780 inclusief waterpomp en arbeid. Zal ik er een dag voor vrijhouden?	Bonjour Peter, la semaine dernière nous vous avons envoyé le prix de la courroie de distribution de votre Passat : 780 € pompe à eau et main-d'œuvre comprises. Je vous réserve une journée ?	Hello Peter, last week we sent you the price for the timing belt on your Passat: €780 including water pump and labour. Shall I keep a day free for it?	Hallo Peter, letzte Woche haben wir Ihnen den Preis für den Zahnriemen Ihres Passat geschickt: 780 € inklusive Wasserpumpe und Arbeit. Soll ich einen Tag dafür freihalten?	Hola Peter, la semana pasada te enviamos el precio de la correa de distribución de tu Passat: 780 € con bomba de agua y mano de obra incluidas. ¿Te reservo un día?
Dag Ruud, je winterbanden liggen bij ons in de opslag. Zullen we de wissel alvast inplannen voordat het druk wordt? Dinsdag 8 oktober om 14:00 of zaterdag 12 oktober om 09:00.	Bonjour Ruud, vos pneus hiver sont stockés chez nous. On planifie le changement avant que ça se bouscule ? Mardi 8 octobre à 14h00 ou samedi 12 octobre à 09h00.	Hello Ruud, your winter tyres are in storage with us. Shall we book the change before it gets busy? Tuesday 8 October at 14:00 or Saturday 12 October at 09:00.	Hallo Ruud, Ihre Winterreifen liegen bei uns im Lager. Sollen wir den Wechsel schon einplanen, bevor es voll wird? Dienstag, 8. Oktober um 14:00 Uhr oder Samstag, 12. Oktober um 09:00 Uhr.	Hola Ruud, tus neumáticos de invierno están en nuestro almacén. ¿Programamos el cambio antes de que se llene? Martes 8 de octubre a las 14:00 o sábado 12 de octubre a las 09:00.
Dag Sanne, morgen om 09:00 staat je Corsa bij ons voor de grote beurt. Komt dat nog steeds uit?	Bonjour Sanne, demain à 09h00 votre Corsa est chez nous pour le grand entretien. Cela vous convient toujours ?	Hello Sanne, tomorrow at 09:00 your Corsa is with us for the major service. Does that still suit you?	Hallo Sanne, morgen um 09:00 Uhr steht Ihr Corsa bei uns für die große Inspektion. Passt das noch?	Hola Sanne, mañana a las 09:00 tienes tu Corsa con nosotros para la revisión grande. ¿Te sigue viniendo bien?
Dag, moet mijn Golf deze maand nog door de APK? 🤔	Bonjour, ma Golf doit-elle encore passer le contrôle technique ce mois-ci ? 🤔	Hello, does my Golf still need an MOT this month? 🤔	Hallo, muss mein Golf diesen Monat noch zur HU? 🤔	Hola, ¿mi Golf todavía tiene que pasar la ITV este mes? 🤔
Dag, we zagen dat je net belde naar Garage Verstraeten en dat we je niet te pakken kregen. Waar kunnen we mee helpen?	Bonjour, nous avons vu que vous veniez d'appeler le Garage Verstraeten sans que nous puissions vous répondre. En quoi pouvons-nous vous aider ?	Hello, we saw that you just called Garage Verstraeten and that we did not reach you. What can we help you with?	Hallo, wir haben gesehen, dass Sie gerade bei Garage Verstraeten angerufen haben und wir Sie nicht erreicht haben. Womit können wir helfen?	Hola, hemos visto que acabas de llamar a Garage Verstraeten y que no pudimos atenderte. ¿En qué podemos ayudarte?
Dan APK-herinnering, want die lijst ligt er en vult je lege weken.	Alors le rappel du contrôle technique, car cette liste existe déjà et remplit vos semaines creuses.	Then MOT reminders, because that list is already there and it fills your empty weeks.	Dann die HU-Erinnerung, denn diese Liste liegt bereit und füllt Ihre leeren Wochen.	Entonces el recordatorio de ITV, porque esa lista ya existe y llena tus semanas vacías.
Dan blijft de export en de agenda de manier van werken. Dat is minder elegant, maar het houdt geen enkele werkstroom tegen.	Alors l'export et l'agenda restent la méthode de travail. C'est moins élégant, mais cela ne bloque aucun flux.	Then the export and the calendar remain the way of working. Less elegant, but it holds up no workflow at all.	Dann bleiben Export und Kalender die Arbeitsweise. Weniger elegant, aber es hält keinen einzigen Ablauf auf.	Entonces la exportación y la agenda siguen siendo la forma de trabajar. Menos elegante, pero no frena ningún flujo.
Dan is het gemiste gesprekken, omdat je daar meteen ziet hoe groot het probleem is.	Alors ce sont les appels manqués, parce que vous y voyez immédiatement l'ampleur du problème.	Then it is missed calls, because there you immediately see how big the problem is.	Dann sind es die verpassten Anrufe, weil Sie dort sofort sehen, wie groß das Problem ist.	Entonces son las llamadas perdidas, porque ahí ves enseguida cómo de grande es el problema.
Dan offerte-opvolging, want daar zit de marge die al betaald is.	Alors la relance de devis, car c'est là que se trouve la marge déjà payée.	Then quote follow-up, because that is where the margin you have already paid for sits.	Dann die Angebotsnachfassung, denn dort liegt die Marge, die schon bezahlt ist.	Entonces el seguimiento de presupuestos, porque ahí está el margen que ya has pagado.
Dan plan ik een ochtend. Dinsdag 08:00 of woensdag 08:30, dan is de kans het grootst dat je dezelfde ochtend weer weg kunt.	Alors je planifie une matinée. Mardi 08h00 ou mercredi 08h30, c'est là que vous avez le plus de chances de repartir le matin même.	Then I will book a morning. Tuesday 08:00 or Wednesday 08:30, that gives you the best chance of leaving again the same morning.	Dann plane ich einen Vormittag. Dienstag 08:00 oder Mittwoch 08:30, dann ist die Chance am größten, dass Sie am selben Vormittag wieder weg können.	Entonces programo una mañana. Martes a las 08:00 o miércoles a las 08:30, así tienes más opciones de irte esa misma mañana.
Dan weet je dat die auto niet meer terugkomt en stop je met erop rekenen in je planning.	Vous savez alors que cette voiture ne reviendra pas et vous cessez d'y compter dans votre planning.	Then you know that car is not coming back and you stop counting on it in your planning.	Dann wissen Sie, dass dieses Auto nicht zurückkommt, und rechnen in Ihrer Planung nicht mehr damit.	Así sabes que ese coche no vuelve y dejas de contar con él en tu planning.
Dan werkt het systeem op de agenda die je eraan geeft en krijg je de afspraken door. Minder mooi, maar het werkt en je kunt het vandaag doen.	Le système fonctionne alors sur l'agenda que vous lui donnez et vous recevez les rendez-vous. Moins joli, mais cela fonctionne et vous pouvez le faire dès aujourd'hui.	Then the system works on the calendar you give it and you get the appointments through. Less pretty, but it works and you can do it today.	Dann arbeitet das System mit dem Kalender, den Sie ihm geben, und Sie bekommen die Termine durch. Weniger schön, aber es funktioniert und Sie können es heute tun.	Entonces el sistema trabaja con la agenda que le des y recibes las citas. Menos bonito, pero funciona y puedes hacerlo hoy.
Dan wordt er doorgevraagd in plaats van geraden. Een tikfout mag geen verkeerde afspraak opleveren.	On pose alors des questions au lieu de deviner. Une faute de frappe ne doit pas produire un mauvais rendez-vous.	Then it asks further instead of guessing. A typo should not produce the wrong appointment.	Dann wird nachgefragt statt geraten. Ein Tippfehler darf keinen falschen Termin ergeben.	Entonces se pregunta en vez de adivinar. Una errata no debe producir una cita equivocada.
Dat dit voor elk autobedrijf past	Que cela convient à tous les garages	That this fits every garage	Dass das zu jedem Autobetrieb passt	Que esto encaja en cualquier taller
Dat een agent nooit een fout maakt	Qu'un agent ne se trompe jamais	That an agent never makes a mistake	Dass ein Agent nie einen Fehler macht	Que un agente nunca comete un error
Dat een koppeling af is voor hij bij een garage werkt	Qu'une intégration est terminée avant qu'elle ne tourne chez un garage	That an integration is finished before it works at a garage	Dass eine Anbindung fertig ist, bevor sie bei einer Werkstatt läuft	Que una integración está lista antes de que funcione en un taller
Dat is de vraag die alles ophoudt.	C'est la question qui bloque tout.	That is the question that holds everything up.	Das ist die Frage, die alles aufhält.	Esa es la pregunta que lo frena todo.
Dat is handig. Kan het op een vrijdag?	C'est pratique. C'est possible un vendredi ?	That is handy. Can it be on a Friday?	Das ist praktisch. Geht das an einem Freitag?	Eso viene bien. ¿Puede ser un viernes?
Dat is het probleem.	C'est ça, le problème.	That is the problem.	Das ist das Problem.	Ese es el problema.
Dat is werk waar je balie nooit aan toekomt en dat toch elke maand terugkomt. Het is precies het soort werk dat zich laat overnemen.	C'est un travail auquel votre comptoir n'arrive jamais et qui revient pourtant chaque mois. C'est exactement le genre de tâche qui se laisse reprendre.	It is work your front desk never gets round to and that comes back every month all the same. It is exactly the kind of work that can be taken over.	Das ist Arbeit, zu der Ihr Empfang nie kommt und die trotzdem jeden Monat wieder da ist. Es ist genau die Art Arbeit, die sich übernehmen lässt.	Es trabajo al que tu mostrador nunca llega y que aun así vuelve cada mes. Es exactamente el tipo de trabajo que se deja delegar.
Dat kijk ik na. Wat is het kenteken?	Je vérifie. Quelle est la plaque ?	I will check that. What is the registration?	Das sehe ich nach. Wie lautet das Kennzeichen?	Lo compruebo. ¿Cuál es la matrícula?
Dat kijken we na. Wat is het kenteken?	Nous allons vérifier. Quelle est la plaque ?	We will check that. What is the registration?	Das sehen wir nach. Wie lautet das Kennzeichen?	Lo comprobamos. ¿Cuál es la matrícula?
Dat laatste getal is het enige dat er echt toe doet, en het is ook het moeilijkste. Daarom beginnen we in de pilot met één cijfer in plaats van met een dashboard vol grafieken.	Ce dernier chiffre est le seul qui compte vraiment, et c'est aussi le plus difficile. C'est pourquoi nous commençons le pilote avec un seul chiffre plutôt qu'avec un tableau de bord rempli de graphiques.	That last number is the only one that really matters, and it is also the hardest. That is why we start the pilot with one figure instead of a dashboard full of charts.	Diese letzte Zahl ist die einzige, auf die es wirklich ankommt, und zugleich die schwierigste. Deshalb starten wir den Piloten mit einer Kennzahl statt mit einem Dashboard voller Diagramme.	Ese último número es el único que importa de verdad, y también el más difícil. Por eso empezamos el piloto con una sola cifra en vez de con un panel lleno de gráficos.
Dat we al klanten hebben in de werkplaats die we mogen noemen	Que nous avons déjà des clients en atelier que nous pouvons citer	That we already have workshop customers we are allowed to name	Dass wir bereits Werkstattkunden haben, die wir nennen dürfen	Que ya tenemos clientes de taller a los que podemos nombrar
Dat we je omzet met een bepaald percentage verhogen	Que nous augmentons votre chiffre d'affaires d'un pourcentage donné	That we raise your turnover by a particular percentage	Dass wir Ihren Umsatz um einen bestimmten Prozentsatz steigern	Que aumentamos tu facturación en un porcentaje concreto
Dat zeggen we liever als er een datum is die we kunnen halen. Zodra het bij een garage draait, verandert de status op deze pagina naar live.	Nous préférons le dire quand nous aurons une date que nous pouvons tenir. Dès que cela tourne chez un garage, le statut sur cette page passe à en ligne.	We would rather say that once there is a date we can meet. As soon as it runs at a garage, the status on this page changes to live.	Das sagen wir lieber, wenn es ein Datum gibt, das wir halten können. Sobald es bei einer Werkstatt läuft, ändert sich der Status auf dieser Seite auf live.	Preferimos decirlo cuando haya una fecha que podamos cumplir. En cuanto funcione en un taller, el estado de esta página pasa a activo.
Dat zoek ik na. Kenteken?	Je vérifie. La plaque ?	I will look that up. Registration?	Das schaue ich nach. Kennzeichen?	Lo miro. ¿Matrícula?
De APK is € 49,50 inclusief afmelding bij de RDW. Komt er iets uit dat gerepareerd moet worden, dan bellen we je eerst met een prijs. Nooit zomaar doorwerken.	Le contrôle technique coûte 49,50 € y compris l'enregistrement auprès du RDW. S'il en ressort quelque chose à réparer, nous vous appelons d'abord avec un prix. Jamais de travaux sans accord.	The MOT is €49.50 including registration with the RDW. If something comes out of it that needs repairing, we call you with a price first. Never just carrying on.	Die HU kostet 49,50 € inklusive Abmeldung beim RDW. Kommt dabei etwas heraus, das repariert werden muss, rufen wir Sie zuerst mit einem Preis an. Nie einfach weiterarbeiten.	La ITV cuesta 49,50 € incluido el registro en el RDW. Si sale algo que haya que reparar, te llamamos antes con un precio. Nunca seguimos sin más.
De APK nadert en je wacht af	Le contrôle technique approche et vous attendez	The MOT is approaching and you wait	Die HU rückt näher und Sie warten ab	La ITV se acerca y tú esperas
De APK verloopt over zes weken.	Le contrôle technique expire dans six semaines.	The MOT expires in six weeks.	Die HU läuft in sechs Wochen ab.	La ITV caduca dentro de seis semanas.
De aanleiding voor de hele herinneringswerkstroom, en meteen het antwoord op de vraag of een keuring nog moet.	Le déclencheur de tout le flux de rappel, et en même temps la réponse à la question de savoir si un contrôle est encore nécessaire.	The trigger for the entire reminder workflow, and at the same time the answer to whether an inspection is still due.	Der Anlass für den ganzen Erinnerungsablauf und zugleich die Antwort auf die Frage, ob eine Untersuchung noch ansteht.	El detonante de todo el flujo de recordatorios y, a la vez, la respuesta a si todavía toca inspección.
De afspraak	L'accord	The deal	Die Abmachung	El acuerdo
De afspraak die uit een gesprek komt, hoort te staan waar je team toch al kijkt. Zolang iemand hem moet overtypen, wordt het systeem na twee weken stilletjes afgeschaft.	Le rendez-vous issu d'une conversation doit se trouver là où votre équipe regarde déjà. Tant que quelqu'un doit le recopier, le système est discrètement abandonné au bout de deux semaines.	The appointment that comes out of a conversation belongs where your team is already looking. As long as someone has to retype it, the system is quietly abandoned after two weeks.	Der Termin, der aus einem Gespräch entsteht, gehört dorthin, wo Ihr Team ohnehin hinschaut. Solange jemand ihn abtippen muss, wird das System nach zwei Wochen stillschweigend abgeschafft.	La cita que sale de una conversación tiene que estar donde tu equipo ya mira. Mientras alguien tenga que copiarla a mano, el sistema se abandona en silencio a las dos semanas.
De afspraak gaat in de planning, de klant krijgt een bevestiging met wat hij moet meenemen en hoelang het duurt.	Le rendez-vous entre dans le planning, le client reçoit une confirmation indiquant ce qu'il doit apporter et combien de temps cela prendra.	The appointment goes into the planning, the customer gets a confirmation with what to bring and how long it takes.	Der Termin geht in die Planung, der Kunde erhält eine Bestätigung mit dem, was er mitbringen muss, und wie lange es dauert.	La cita entra en el planning y el cliente recibe una confirmación con qué debe traer y cuánto dura.
De afspraak schrijft naar de planning waar je team in werkt.	Le rendez-vous s'écrit dans le planning dans lequel votre équipe travaille.	The appointment writes into the planning your team works in.	Der Termin schreibt in die Planung, in der Ihr Team arbeitet.	La cita se escribe en el planning en el que trabaja tu equipo.
De afspraak van twee uur komt niet opdagen. Er is geen tijd meer om het gat nog te vullen.	Le rendez-vous de quatorze heures ne se présente pas. Il n'y a plus le temps de combler le trou.	The two o'clock appointment does not turn up. There is no time left to fill the gap.	Der Zwei-Uhr-Termin erscheint nicht. Es bleibt keine Zeit mehr, die Lücke zu füllen.	La cita de las dos no se presenta. Ya no queda tiempo para llenar el hueco.
