# nederlands	frans	engels	duits	spaans
Er komt een serieuze aanvraag binnen terwijl hij een proefrit begeleidt. Die blijft liggen tot het rustig is, en dat is het vandaag niet meer.	Une demande sérieuse arrive pendant qu'il accompagne un essai. Elle attend le calme, et le calme ne reviendra pas aujourd'hui.	A serious enquiry comes in while they are out on a test drive. It waits until things are quiet, and today they will not be.	Eine ernste Anfrage kommt herein, während er eine Probefahrt begleitet. Sie bleibt liegen, bis es ruhig ist, und das wird es heute nicht mehr.	Llega una solicitud seria mientras él acompaña una prueba. Se queda esperando a que haya calma, y hoy ya no la habrá.
Er ligt nog niets. Het staat er omdat autobedrijven ernaar vragen en omdat zij de volgorde bepalen.	Rien n'existe encore. C'est là parce que des concessions le demandent et parce que ce sont elles qui fixent l'ordre.	Nothing exists yet. It is here because dealerships ask for it and because they set the order.	Es liegt noch nichts vor. Es steht hier, weil Autohäuser danach fragen und weil sie die Reihenfolge bestimmen.	Todavía no hay nada. Está aquí porque los concesionarios lo piden y porque son ellos quienes marcan el orden.
Er staan hier geen logo's van pakketten waarmee we zouden kunnen koppelen. Wat er niet staat, kunnen we vandaag niet leveren.	Il n'y a ici aucun logo de logiciel avec lequel nous pourrions nous intégrer. Ce qui n'y figure pas, nous ne pouvons pas le livrer aujourd'hui.	There are no logos here of systems we could integrate with. What is not listed, we cannot deliver today.	Hier stehen keine Logos von Systemen, mit denen wir koppeln könnten. Was nicht dasteht, können wir heute nicht liefern.	Aquí no hay logotipos de programas con los que podríamos integrarnos. Lo que no está listado, hoy no lo podemos entregar.
Er wordt geen budget geraden dat de koper niet genoemd heeft.	Aucun budget n'est deviné si l'acheteur ne l'a pas mentionné.	No budget is guessed that the buyer has not mentioned.	Es wird kein Budget geraten, das der Käufer nicht genannt hat.	No se adivina ningún presupuesto que el comprador no haya mencionado.
Er wordt geen goedkeuring gesuggereerd en geen maandbedrag genoemd dat later niet blijkt te kloppen.	Aucun accord n'est laissé entendre et aucune mensualité qui se révélerait fausse ensuite n'est annoncée.	No approval is implied and no monthly figure is named that later turns out to be wrong.	Es wird keine Zusage angedeutet und keine Monatsrate genannt, die sich später als falsch erweist.	No se insinúa ninguna aprobación ni se dice una cuota mensual que luego resulte no cuadrar.
Er wordt geen inruilwaarde beloofd.	Aucune valeur de reprise n'est promise.	No trade-in value is promised.	Es wird kein Inzahlungnahmewert versprochen.	No se promete ningún valor de tasación.
Er wordt geen moment aangeboden waarvan de beschikbaarheid niet bekend is. Liever geen voorstel dan een voorstel dat je moet terugnemen.	Aucun créneau n'est proposé sans que sa disponibilité soit connue. Mieux vaut pas de proposition qu'une proposition à retirer.	No slot is offered whose availability is unknown. Better no proposal than a proposal you have to take back.	Es wird kein Termin angeboten, dessen Verfügbarkeit nicht bekannt ist. Lieber kein Vorschlag als einer, den Sie zurücknehmen müssen.	No se ofrece ningún hueco cuya disponibilidad no se conozca. Mejor ninguna propuesta que una propuesta que hay que retirar.
Er wordt niet onderhandeld en er gaat geen euro van de vraagprijs af. Dat blijft bij je verkoper.	On ne négocie pas et pas un euro n'est retiré du prix demandé. Cela reste l'affaire de votre vendeur.	There is no negotiating and not a euro comes off the asking price. That stays with your salesperson.	Es wird nicht verhandelt und kein Euro geht vom Angebotspreis ab. Das bleibt bei Ihrem Verkäufer.	No se negocia y no se baja ni un euro del precio pedido. Eso se queda con tu vendedor.
Er wordt niet opgevolgd. Het werk om ze binnen te halen was al gedaan en verdampt alsnog.	Il n'y a pas de relance. Le travail pour les décrocher était déjà fait et s'évapore quand même.	There is no follow-up. The work to bring them in was already done and evaporates anyway.	Es wird nicht nachgefasst. Die Arbeit, sie hereinzuholen, war schon getan und verdampft trotzdem.	No hay seguimiento. El trabajo para atraerlos ya estaba hecho y se evapora igualmente.
Extra beelden van de wagen naar de koper, foto's van zijn inruil naar jou. Dat gaat hier vanzelf.	Des photos supplémentaires du véhicule vers l'acheteur, des photos de sa reprise vers vous. Ici, cela se fait tout seul.	Extra pictures of the vehicle to the buyer, photos of their trade-in to you. Here that happens by itself.	Zusätzliche Bilder des Fahrzeugs an den Käufer, Fotos seiner Inzahlungnahme an Sie. Hier geht das von selbst.	Fotos extra del vehículo al comprador, fotos de su usado hacia ti. Aquí eso sale solo.
Extra beelden van de wagen naar de koper, foto’s van zijn inruil naar jou. Dat gaat op WhatsApp vanzelf.	Des photos supplémentaires du véhicule vers l'acheteur, des photos de sa reprise vers vous. Sur WhatsApp, cela se fait tout seul.	Extra pictures of the vehicle to the buyer, photos of their trade-in to you. On WhatsApp that happens by itself.	Zusätzliche Bilder des Fahrzeugs an den Käufer, Fotos seiner Inzahlungnahme an Sie. Auf WhatsApp geht das von selbst.	Fotos extra del vehículo al comprador, fotos de su usado hacia ti. En WhatsApp eso sale solo.
Eén afspraak	Un rendez-vous	One appointment	Ein Termin	Una cita
Eén auto	Une voiture	One car	Ein Auto	Un coche
Eén bedrijfsnummer	Un numéro d'entreprise	One business number	Eine Betriebsnummer	Un número de empresa
Eén bedrijfsnummer in plaats van een privételefoon.	Un numéro d'entreprise au lieu d'un portable privé.	One business number instead of a private phone.	Eine Betriebsnummer statt eines Privathandys.	Un número de empresa en lugar de un móvil privado.
Eén donderdag. Alles wat er binnenkwam.	Un jeudi. Tout ce qui est arrivé.	One Thursday. Everything that came in.	Ein Donnerstag. Alles, was hereinkam.	Un jueves. Todo lo que entró.
Eén dossier	Un dossier	One file	Eine Akte	Un expediente
Eén dossier over alle kanalen	Un dossier sur tous les canaux	One file across all channels	Eine Akte über alle Kanäle	Un expediente en todos los canales
Eén gesprek over drie kanalen	Une conversation sur trois canaux	One conversation across three channels	Ein Gespräch über drei Kanäle	Una conversación en tres canales
Eén klant	Un client	One customer	Ein Kunde	Un cliente
Eén knop. Vanaf dat moment typt hij zelf, of hij laat het systeem weer verder gaan.	Un bouton. À partir de là, il écrit lui-même, ou il laisse le système reprendre.	One button. From then on they type themselves, or they let the system carry on again.	Ein Knopf. Ab da tippt er selbst, oder er lässt das System wieder weitermachen.	Un botón. A partir de ahí escribe él mismo, o deja que el sistema siga.
Eén koper	Un acheteur	One buyer	Ein Käufer	Un comprador
Eén koper. Eén wagen. Eén dossier met alles erin.	Un acheteur. Un véhicule. Un dossier qui contient tout.	One buyer. One vehicle. One file with everything in it.	Ein Käufer. Ein Fahrzeug. Eine Akte mit allem darin.	Un comprador. Un vehículo. Un expediente con todo dentro.
Eén nummer voor het bedrijf	Un numéro pour l'entreprise	One number for the business	Eine Nummer für den Betrieb	Un número para la empresa
Eén nummer voor het bedrijf,	Un numéro pour l'entreprise,	One number for the business,	Eine Nummer für den Betrieb,	Un número para la empresa,
Eén regel in je website plakken. De rest zetten wij op.	Coller une ligne dans votre site. Nous nous occupons du reste.	Paste one line into your website. We set up the rest.	Eine Zeile in Ihre Website einfügen. Den Rest richten wir ein.	Pega una línea en tu web. Del resto nos encargamos nosotros.
Eén script op je bestaande site. Het gesprek gaat over de wagen op de pagina waar de bezoeker staat.	Un seul script sur votre site existant. La conversation porte sur le véhicule de la page où se trouve le visiteur.	One script on your existing site. The conversation is about the vehicle on the page the visitor is on.	Ein Skript auf Ihrer bestehenden Website. Das Gespräch dreht sich um das Fahrzeug auf der Seite, auf der der Besucher steht.	Un script en tu web actual. La conversación va del vehículo de la página en la que está el visitante.
Eén wagen	Un véhicule	One vehicle	Ein Fahrzeug	Un vehículo
Eén zakelijk WhatsApp-nummer van je bedrijf.	Un seul numéro WhatsApp professionnel de votre entreprise.	One business WhatsApp number for your company.	Eine geschäftliche WhatsApp-Nummer Ihres Betriebs.	Un solo número de WhatsApp profesional de tu empresa.
Eén zakelijk nummer voor het hele bedrijf	Un seul numéro professionnel pour toute l'entreprise	One business number for the whole company	Eine geschäftliche Nummer für den ganzen Betrieb	Un solo número profesional para toda la empresa
Eén zakelijk nummer voor het hele bedrijf, waar je collega's bij kunnen en waar alles bewaard blijft.	Un seul numéro professionnel pour toute l'entreprise, accessible à vos collègues et où tout est conservé.	One business number for the whole company, which your colleagues can reach and where everything is kept.	Eine geschäftliche Nummer für den ganzen Betrieb, an die Ihre Kollegen kommen und wo alles erhalten bleibt.	Un solo número profesional para toda la empresa, al que acceden tus compañeros y donde queda todo guardado.
Faro is geen losse werkstroom en geen los product. Het is de laag waarin je werkstromen hun geheugen delen, waarin staat wat ze mogen, en waarin jij ziet wat er gebeurd is. Eén plek voor elke koper en elke wagen.	Faro n'est ni un flux isolé ni un produit à part. C'est la couche où vos flux partagent leur mémoire, où est inscrit ce qu'ils peuvent faire, et où vous voyez ce qui s'est passé. Un seul endroit pour chaque acheteur et chaque véhicule.	Faro is not a separate workflow and not a separate product. It is the layer where your workflows share their memory, where what they may do is set out, and where you see what happened. One place for every buyer and every vehicle.	Faro ist kein einzelner Ablauf und kein eigenes Produkt. Es ist die Schicht, in der Ihre Abläufe ihr Gedächtnis teilen, in der steht, was sie dürfen, und in der Sie sehen, was passiert ist. Ein Ort für jeden Käufer und jedes Fahrzeug.	Faro no es un flujo suelto ni un producto aparte. Es la capa en la que tus flujos comparten memoria, en la que está escrito lo que pueden hacer, y en la que ves qué ha pasado. Un solo sitio para cada comprador y cada vehículo.
Financiering	Financement	Financing	Finanzierung	Financiación
Financiering die doodloopt	Un financement qui meurt	Financing that dies	Finanzierung, die verendet	Financiación que muere
Financiering is een gesprek met gevolgen. Het dossier gaat naar je verkoper, met de wagen en de wensen erbij.	Le financement est une conversation qui engage. Le dossier part vers votre vendeur, avec le véhicule et les souhaits.	Financing is a conversation with consequences. The file goes to your salesperson, with the vehicle and the wishes attached.	Finanzierung ist ein Gespräch mit Folgen. Die Akte geht an Ihren Verkäufer, mit dem Fahrzeug und den Wünschen dabei.	La financiación es una conversación con consecuencias. El expediente va a tu vendedor, con el vehículo y los deseos incluidos.
Formulieren van 's avonds, berichten in het weekend, mails die onderop belanden, gesprekken die stilvielen. Schat gerust laag.	Des formulaires du soir, des messages du week-end, des courriels qui finissent en bas de pile, des conversations retombées. N'hésitez pas à estimer bas.	Forms from the evening, messages at the weekend, emails that end up at the bottom, conversations that went quiet. Feel free to estimate low.	Formulare vom Abend, Nachrichten am Wochenende, Mails, die unten landen, Gespräche, die verstummt sind. Schätzen Sie ruhig niedrig.	Formularios de la tarde, mensajes del fin de semana, correos que acaban abajo, conversaciones que se apagaron. Estima bajo sin problema.
