# nederlands	frans	engels	duits	spaans
Voor autobedrijven	Pour les concessions	For dealerships	Für Autohäuser	Para concesionarios
Wat de koper nodig heeft	Ce dont l'acheteur a besoin	What the buyer needs	Was der Käufer braucht	Lo que necesita el comprador
Wat de koper vraagt	Ce que demande l'acheteur	What the buyer asks	Was der Käufer fragt	Lo que pregunta el comprador
Wat de koper zelf al opschreef, komt in het dossier in plaats van in een mailbox.	Ce que l'acheteur a déjà écrit lui-même se retrouve dans le dossier au lieu d'une boîte mail.	What the buyer already wrote themselves lands in the file instead of in a mailbox.	Was der Käufer selbst schon geschrieben hat, landet in der Akte statt in einem Postfach.	Lo que el comprador ya escribió va al expediente en lugar de a un buzón.
Wat de koppeling doet.	Ce que fait l'intégration.	What the integration does.	Was die Anbindung tut.	Lo que hace la integración.
Wat een afspraak werd	Ce qui est devenu un rendez-vous	What became an appointment	Was ein Termin wurde	Lo que acabó en cita
Wat een dossier werd	Ce qui est devenu un dossier	What became a file	Was eine Akte wurde	Lo que acabó en expediente
Wat een koper in die eerste minuten wil weten is klein: staat hij er nog, wat kost hij, en wanneer kan ik komen kijken.	Ce qu'un acheteur veut savoir dans ces premières minutes est simple : est-il toujours là, combien coûte-t-il, et quand puis-je venir voir.	What a buyer wants to know in those first minutes is small: is it still there, what does it cost, and when can I come and look.	Was ein Käufer in diesen ersten Minuten wissen will, ist klein: steht er noch da, was kostet er, und wann kann ich schauen kommen.	Lo que un comprador quiere saber en esos primeros minutos es poco: ¿sigue ahí?, ¿cuánto cuesta? y ¿cuándo puedo ir a verlo?
Wat er gebeurt in de eerste minuten nadat een koper zich meldt. Dit is waar de meeste aanvragen gewonnen of verloren worden.	Ce qui se passe dans les premières minutes après qu'un acheteur s'est manifesté. C'est là que la plupart des demandes se gagnent ou se perdent.	What happens in the first minutes after a buyer gets in touch. This is where most enquiries are won or lost.	Was in den ersten Minuten passiert, nachdem sich ein Käufer gemeldet hat. Hier werden die meisten Anfragen gewonnen oder verloren.	Lo que pasa en los primeros minutos después de que un comprador contacta. Aquí es donde se ganan o se pierden la mayoría de las solicitudes.
Wat er gedaan is, op welke wagen, wanneer, en wie het goedkeurde. Exporteerbaar, ook wanneer je verzekeraar of je revisor ernaar vraagt.	Ce qui a été fait, sur quel véhicule, quand, et qui l'a approuvé. Exportable, y compris si votre assureur ou votre réviseur le demande.	What was done, on which vehicle, when, and who approved it. Exportable, also when your insurer or your auditor asks for it.	Was getan wurde, an welchem Fahrzeug, wann und wer es freigegeben hat. Exportierbar, auch wenn Ihr Versicherer oder Ihr Prüfer danach fragt.	Qué se hizo, sobre qué vehículo, cuándo y quién lo aprobó. Exportable, también cuando tu aseguradora o tu auditor lo pida.
Wat er in de mail staat, wordt nooit in een dossier gezet.	Ce que contient le courriel n'est jamais consigné dans un dossier.	What the email says never gets put into a file.	Was in der Mail steht, kommt nie in eine Akte.	Lo que pone en el correo nunca se pasa a un expediente.
Wat er in het gesprek gezegd wordt, komt gestructureerd bij je verkoper terecht. Zodat hij weet wie hij als eerste belt.	Ce qui est dit dans la conversation parvient structuré à votre vendeur. Pour qu'il sache qui appeler en premier.	What gets said in the conversation reaches your salesperson in a structured form. So they know who to call first.	Was im Gespräch gesagt wird, kommt strukturiert bei Ihrem Verkäufer an. Damit er weiß, wen er zuerst anruft.	Lo que se dice en la conversación llega estructurado a tu vendedor. Para que sepa a quién llamar primero.
Wat er na inkoop, voorbereiding en garantie overblijft. Inclusief wat de inruil en de financiering opleveren.	Ce qui reste après l'achat, la préparation et la garantie. Y compris ce que rapportent la reprise et le financement.	What is left after purchase, preparation and warranty. Including what the trade-in and the financing bring in.	Was nach Einkauf, Aufbereitung und Garantie übrig bleibt. Einschließlich dessen, was Inzahlungnahme und Finanzierung einbringen.	Lo que queda tras la compra, la preparación y la garantía. Incluido lo que aportan la entrega y la financiación.
Wat er niet in staat, wordt nagevraagd	Ce qui n'y figure pas fait l'objet d'une vérification	What is not in there gets checked	Was nicht drinsteht, wird nachgefragt	Lo que no está se consulta
Wat het systeem doet bij een dealer of onafhankelijk autobedrijf	Ce que le système fait chez un concessionnaire ou une concession indépendante	What the system does at a franchised or independent dealership	Was das System bei einem Händler oder freien Autohaus tut	Lo que hace el sistema en un concesionario oficial o independiente
Wat het systeem zelf mag doen en wat eerst langs een verkoper gaat, zet je één keer. Dat geldt daarna voor alle acht.	Ce que le système peut faire seul et ce qui passe d'abord par un vendeur se règle une seule fois. Cela vaut ensuite pour les huit.	What the system may do on its own and what goes past a salesperson first you set once. That then applies to all eight.	Was das System selbst darf und was zuerst an einem Verkäufer vorbei muss, stellen Sie einmal ein. Das gilt danach für alle acht.	Lo que el sistema puede hacer solo y lo que pasa antes por un vendedor se ajusta una vez. Después vale para los ocho.
Wat het systeem zelf mag doen en wat eerst langs jou gaat, zet je per actietype. Dat staat bij	Ce que le système peut faire seul et ce qui passe d'abord par vous se règle par type d'action. Cela figure dans	What the system may do on its own and what goes past you first you set per action type. That is under	Was das System selbst darf und was zuerst an Ihnen vorbei muss, stellen Sie je Aktionstyp ein. Das steht unter	Lo que el sistema puede hacer solo y lo que pasa antes por ti se ajusta por tipo de acción. Está en
Wat het systeem zelf mag, en waar je data staat.	Ce que le système peut faire seul, et où se trouvent vos données.	What the system may do on its own, and where your data sits.	Was das System selbst darf und wo Ihre Daten liegen.	Lo que el sistema puede hacer solo, y dónde están tus datos.
Wat hier niet gebeurt	Ce qui ne se passe pas ici	What does not happen here	Was hier nicht passiert	Lo que aquí no pasa
Wat hier níet gebeurt: "Hallo, waarmee kan ik je helpen?" bij elk nieuw kanaal.	Ce qui ne se passe pas ici : « Bonjour, comment puis-je vous aider ? » à chaque nouveau canal.	What does not happen here: "Hello, how can I help you?" on every new channel.	Was hier nicht passiert: „Hallo, wie kann ich Ihnen helfen?" bei jedem neuen Kanal.	Lo que aquí no pasa: «Hola, ¿en qué puedo ayudarte?» en cada canal nuevo.
Wat je nodig hebt om te starten	Ce qu'il vous faut pour démarrer	What you need to start	Was Sie zum Start brauchen	Lo que necesitas para empezar
Wat je verkoper ziet	Ce que voit votre vendeur	What your salesperson sees	Was Ihr Verkäufer sieht	Lo que ve tu vendedor
Wat kost die Volvo per maand?	Combien coûte ce Volvo par mois ?	What does that Volvo cost per month?	Was kostet der Volvo im Monat?	¿Cuánto cuesta ese Volvo al mes?
Wat niet in jouw voorraad staat, wordt niet beweerd. Liever "dat zoek ik na" dan een verkeerde uitvoering.	Ce qui ne figure pas dans votre stock n'est pas affirmé. Mieux vaut « je vérifie » qu'une mauvaise finition.	What is not in your stock is not claimed. Better "I'll check that" than the wrong trim.	Was nicht in Ihrem Bestand steht, wird nicht behauptet. Lieber „das schaue ich nach" als eine falsche Ausstattung.	Lo que no está en tu stock no se afirma. Mejor «eso lo compruebo» que un acabado equivocado.
Wat niet past gaat door naar een mens. Een onderhandeling, een inruilbedrag, een klacht. Die gaan naar een vaste naam bij jou, mét het gesprek, zodat niemand opnieuw hoeft te beginnen.	Ce qui ne rentre pas dans le cadre part vers un humain. Une négociation, un montant de reprise, une plainte. Cela va vers une personne désignée chez vous, avec la conversation, pour que personne ne reparte de zéro.	What does not fit goes on to a person. A negotiation, a trade-in figure, a complaint. Those go to a named person at your business, with the conversation, so nobody has to start again.	Was nicht passt, geht an einen Menschen weiter. Eine Verhandlung, ein Inzahlungnahmebetrag, eine Beschwerde. Die gehen an einen festen Namen bei Ihnen, mit dem Gespräch, damit niemand von vorn anfangen muss.	Lo que no encaja pasa a una persona. Una negociación, un importe de tasación, una queja. Eso va a un nombre fijo en tu empresa, con la conversación, para que nadie tenga que empezar de nuevo.
Wat we niet doen	Ce que nous ne faisons pas	What we do not do	Was wir nicht tun	Lo que no hacemos
Wat we niet meerekenen: inruilen die je misloopt omdat de gegevens nooit binnenkwamen, financieringsvragen die doodliepen, proefritten die niemand bevestigde en kopers die bij de derde vraag afhaakten. Die zitten hier niet in, terwijl ze bij veel autobedrijven samen groter zijn dan de aanvragen die blijven liggen.	Ce que nous ne comptons pas : les reprises manquées parce que les données ne sont jamais arrivées, les demandes de financement qui ont tourné court, les essais que personne n'a confirmés et les acheteurs qui ont abandonné à la troisième question. Ils ne figurent pas ici, alors qu'ensemble ils pèsent, dans beaucoup de concessions, plus lourd que les demandes qui traînent.	What we do not count: trade-ins you miss because the data never came in, financing questions that died, test drives nobody confirmed and buyers who dropped out at the third question. Those are not in here, while together at many dealerships they are bigger than the enquiries left lying around.	Was wir nicht mitrechnen: Inzahlungnahmen, die Ihnen entgehen, weil die Daten nie ankamen, Finanzierungsfragen, die versandeten, Probefahrten, die niemand bestätigte, und Käufer, die bei der dritten Frage abgesprungen sind. Die sind hier nicht drin, obwohl sie bei vielen Autohäusern zusammen größer sind als die liegen gebliebenen Anfragen.	Lo que no contamos: entregas que pierdes porque los datos nunca llegaron, preguntas de financiación que murieron, pruebas que nadie confirmó y compradores que abandonaron en la tercera pregunta. Eso no está aquí, aunque en muchos concesionarios juntos pesan más que las solicitudes que se quedan tiradas.
Wat wel kan: uitleggen hoe het werkt, ophalen wat nodig is, en het gesprek op tijd bij een mens leggen. Dat is genoeg om hem vast te houden.	Ce qui est possible : expliquer comment cela fonctionne, recueillir ce qu'il faut et confier la conversation à un humain à temps. C'est suffisant pour le retenir.	What is possible: explaining how it works, collecting what is needed, and putting the conversation in front of a person in time. That is enough to hold on to them.	Was geht: erklären, wie es funktioniert, holen, was nötig ist, und das Gespräch rechtzeitig einem Menschen geben. Das reicht, um ihn zu halten.	Lo que sí se puede: explicar cómo funciona, recoger lo necesario y poner la conversación en manos de una persona a tiempo. Eso basta para retenerle.
We doen niet alsof. Je bepaalt zelf hoe het systeem zich voorstelt en wanneer het een verkoper erbij haalt.	Nous ne faisons pas semblant. C'est vous qui décidez comment le système se présente et quand il fait intervenir un vendeur.	We do not pretend. You decide yourself how the system introduces itself and when it brings in a salesperson.	Wir tun nicht so als ob. Sie bestimmen selbst, wie sich das System vorstellt und wann es einen Verkäufer dazuholt.	No fingimos. Tú decides cómo se presenta el sistema y cuándo trae a un vendedor.
We hebben nog geen gemeten resultaat bij een autobedrijf. Wat we daaraan doen staat op	Nous n'avons pas encore de résultat mesuré chez une concession. Ce que nous faisons à ce sujet figure sur	We do not have a measured result at a dealership yet. What we do about that is on	Wir haben noch kein gemessenes Ergebnis bei einem Autohaus. Was wir dagegen tun, steht auf	Todavía no tenemos un resultado medido en un concesionario. Lo que hacemos al respecto está en
We nemen twintig minuten en lopen jouw week door. Wat er binnenkwam, hoe snel het beantwoord werd en waar het bleef liggen. Daarna weet je of dit iets voor je is.	Nous prenons vingt minutes et passons votre semaine en revue. Ce qui est arrivé, la vitesse de réponse et l'endroit où cela a traîné. Ensuite, vous saurez si c'est pour vous.	We take twenty minutes and walk through your week. What came in, how fast it got answered and where it sat. After that you know whether this is for you.	Wir nehmen uns zwanzig Minuten und gehen Ihre Woche durch. Was hereinkam, wie schnell es beantwortet wurde und wo es liegen blieb. Danach wissen Sie, ob das etwas für Sie ist.	Nos tomamos veinte minutos y repasamos tu semana. Qué entró, con qué rapidez se respondió y dónde se quedó. Después sabrás si esto es para ti.
We noemen alleen live wat live is. De rest staat als in ontwikkeling of gepland, en dat verandert pas als het werkt bij een echt autobedrijf.	Nous n'appelons « en ligne » que ce qui l'est. Le reste est indiqué comme en construction ou prévu, et cela ne change que lorsque cela fonctionne dans une vraie concession.	We only call live what is live. The rest is marked as in development or planned, and that only changes when it works at a real dealership.	Wir nennen nur live, was live ist. Der Rest steht als in Arbeit oder geplant, und das ändert sich erst, wenn es bei einem echten Autohaus funktioniert.	Solo llamamos «en marcha» a lo que lo está. El resto figura como en construcción o previsto, y eso solo cambia cuando funciona en un concesionario real.
We tellen twee weken lang wat er binnenkomt en wat ermee gebeurt, zonder dat er iets aanstaat. Hoeveel aanvragen er binnenkwamen, hoeveel er onbeantwoord bleven, hoeveel er een afspraak werden. Dit getal is het vertrekpunt.	Pendant deux semaines, nous comptons ce qui arrive et ce qu'il en advient, sans que rien ne soit activé. Combien de demandes sont arrivées, combien sont restées sans réponse, combien sont devenues un rendez-vous. Ce chiffre est le point de départ.	For two weeks we count what comes in and what happens to it, with nothing switched on. How many enquiries came in, how many went unanswered, how many became an appointment. This figure is the starting point.	Zwei Wochen lang zählen wir, was hereinkommt und was damit passiert, ohne dass etwas eingeschaltet ist. Wie viele Anfragen kamen, wie viele unbeantwortet blieben, wie viele ein Termin wurden. Diese Zahl ist der Ausgangspunkt.	Durante dos semanas contamos qué entra y qué pasa con ello, sin nada encendido. Cuántas solicitudes entraron, cuántas se quedaron sin responder, cuántas acabaron en cita. Esa cifra es el punto de partida.
We zoeken vijf autobedrijven die mee willen meten.	Nous cherchons cinq concessions prêtes à mesurer avec nous.	We are looking for five dealerships willing to measure with us.	Wir suchen fünf Autohäuser, die mitmessen wollen.	Buscamos cinco concesionarios dispuestos a medir con nosotros.
We zoeken vijf autobedrijven voor de eerste meting.	Nous cherchons cinq concessions pour la première mesure.	We are looking for five dealerships for the first measurement.	Wir suchen fünf Autohäuser für die erste Messung.	Buscamos cinco concesionarios para la primera medición.
Website · 20:12	Site · 20:12	Website · 20:12	Website · 20:12	Web · 20:12
Website · 21:43	Site · 21:43	Website · 21:43	Website · 21:43	Web · 21:43
Website · dinsdag 20:12	Site · mardi 20:12	Website · Tuesday 20:12	Website · Dienstag 20:12	Web · martes 20:12
Website · woensdagavond	Site · mercredi soir	Website · Wednesday evening	Website · Mittwochabend	Web · miércoles por la tarde
Website · zondagmiddag	Site · dimanche après-midi	Website · Sunday afternoon	Website · Sonntagnachmittag	Web · domingo por la tarde
Website, WhatsApp	Site, WhatsApp	Website, WhatsApp	Website, WhatsApp	Web, WhatsApp
Website, WhatsApp en e-mail in één stroom.	Site, WhatsApp et courriel dans un seul flux.	Website, WhatsApp and email in one flow.	Website, WhatsApp und E-Mail in einem Strom.	Web, WhatsApp y correo en un solo flujo.
Website, WhatsApp en e-mail. De telefoon blijft van jou, daar doen we niets mee.	Site, WhatsApp et courriel. Le téléphone reste le vôtre, nous n'y touchons pas.	Website, WhatsApp and email. The phone stays yours, we do nothing with it.	Website, WhatsApp und E-Mail. Das Telefon bleibt bei Ihnen, damit machen wir nichts.	Web, WhatsApp y correo. El teléfono sigue siendo tuyo, ahí no tocamos nada.
Website. WhatsApp. E-mail.	Site. WhatsApp. Courriel.	Website. WhatsApp. Email.	Website. WhatsApp. E-Mail.	Web. WhatsApp. Correo.
Weet wat hij meebrengt voor hij voorrijdt.	Sait ce qu'il amène avant qu'il n'arrive.	Knows what they bring before they pull up.	Weiß, was er mitbringt, bevor er vorfährt.	Sabe qué trae antes de que aparezca.
Welk WhatsApp-nummer wordt er gebruikt?	Quel numéro WhatsApp est utilisé ?	Which WhatsApp number is used?	Welche WhatsApp-Nummer wird genutzt?	¿Qué número de WhatsApp se usa?
Welk bedrijf, hoeveel verkopers, hoeveel wagens op voorraad, wat er misging.	Quelle entreprise, combien de vendeurs, combien de véhicules en stock, ce qui n'allait pas.	Which business, how many salespeople, how many vehicles in stock, what went wrong.	Welcher Betrieb, wie viele Verkäufer, wie viele Fahrzeuge auf Lager, was schiefging.	Qué empresa, cuántos vendedores, cuántos vehículos en stock, qué falló.
Welke aanvragen bleven gisteren liggen, welke koper staat het dichtst bij een handtekening, welke wagen wordt het vaakst gevraagd. Je vraagt het Faro in gewone taal.	Quelles demandes ont traîné hier, quel acheteur est le plus près de signer, quel véhicule est le plus demandé. Vous le demandez à Faro en langage ordinaire.	Which enquiries sat there yesterday, which buyer is closest to a signature, which vehicle is asked about most. You ask Faro in plain language.	Welche Anfragen gestern liegen blieben, welcher Käufer einer Unterschrift am nächsten ist, nach welchem Fahrzeug am häufigsten gefragt wird. Sie fragen Faro in gewöhnlicher Sprache.	Qué solicitudes se quedaron ayer, qué comprador está más cerca de firmar, por qué vehículo se pregunta más. Se lo preguntas a Faro en lenguaje normal.
Welke auto brengt hij mee	Quelle voiture amène-t-il	Which car do they bring	Welches Auto bringt er mit	Qué coche trae
Welke auto het gaat, wordt één keer vastgesteld en blijft daarna overal hetzelfde. Ook bij de inruil en de financiering.	De quelle voiture il s'agit est établi une fois et reste ensuite le même partout. Y compris pour la reprise et le financement.	Which car it is gets established once and stays the same everywhere after that. Including for the trade-in and the financing.	Um welches Auto es geht, wird einmal festgestellt und bleibt danach überall gleich. Auch bei Inzahlungnahme und Finanzierung.	De qué coche se trata se establece una vez y después queda igual en todas partes. También en la entrega y la financiación.
Welke auto het gesprek over gaat, wordt één keer vastgesteld. Ook drie berichten later, ook bij de inruil en de financiering.	De quelle voiture parle la conversation est établi une fois. Même trois messages plus tard, même pour la reprise et le financement.	Which car the conversation is about gets established once. Also three messages later, also for the trade-in and the financing.	Um welches Auto es im Gespräch geht, wird einmal festgestellt. Auch drei Nachrichten später, auch bei Inzahlungnahme und Finanzierung.	De qué coche va la conversación se establece una vez. También tres mensajes después, también en la entrega y la financiación.
Welke auto hij meebrengt en in welke staat.	Quelle voiture il amène et dans quel état.	Which car they bring and in what condition.	Welches Auto er mitbringt und in welchem Zustand.	Qué coche trae y en qué estado.
Welke eisen vaak terugkomen en waar je niets voor had staan. Dat is bruikbare informatie voor je inkoop.	Quels critères reviennent souvent et pour lesquels vous n'aviez rien. C'est une information utile pour vos achats.	Which requirements come back often and which you had nothing for. That is usable information for your buying.	Welche Anforderungen oft wiederkommen und wofür Sie nichts dastehen hatten. Das ist nutzbare Information für Ihren Einkauf.	Qué requisitos vuelven a menudo y para cuáles no tenías nada. Esa es información útil para tu compra.
Welke wagen bedoelt hij. Staat er een link bij, dan is dat duidelijk. Zegt hij alleen "de blauwe X5", dan wordt er doorgevraagd tot het klopt.	De quel véhicule parle-t-il. S'il y a un lien, c'est clair. S'il dit seulement « le X5 bleu », on creuse jusqu'à ce que ce soit exact.	Which vehicle do they mean. If there is a link, that is clear. If they only say "the blue X5", further questions follow until it is right.	Welches Fahrzeug meint er. Liegt ein Link dabei, ist es klar. Sagt er nur „der blaue X5", wird nachgefragt, bis es stimmt.	De qué vehículo habla. Si hay un enlace, está claro. Si solo dice «el X5 azul», se sigue preguntando hasta que cuadre.
Welke wagen het betreft, staat in de afspraak. Zo kan dezelfde auto niet twee keer beloofd worden.	Le véhicule concerné figure dans le rendez-vous. Ainsi, la même voiture ne peut pas être promise deux fois.	Which vehicle it concerns is in the appointment. That way the same car cannot be promised twice.	Welches Fahrzeug es betrifft, steht im Termin. So kann dasselbe Auto nicht zweimal versprochen werden.	Qué vehículo es está en la cita. Así el mismo coche no puede prometerse dos veces.
Welke wagen precies	Quel véhicule exactement	Which vehicle exactly	Welches Fahrzeug genau	Qué vehículo exactamente
Welke wagen uit je voorraad	Quel véhicule de votre stock	Which vehicle from your stock	Welches Fahrzeug aus Ihrem Bestand	Qué vehículo de tu stock
Welke wagen, en of die vrij is.	Quel véhicule, et s'il est libre.	Which vehicle, and whether it is free.	Welches Fahrzeug, und ob es frei ist.	Qué vehículo, y si está libre.
Welke wagen, en wat de koper erover vraagt.	Quel véhicule, et ce que l'acheteur demande à son sujet.	Which vehicle, and what the buyer asks about it.	Welches Fahrzeug, und was der Käufer dazu fragt.	Qué vehículo, y qué pregunta el comprador sobre él.
Welke wagen, wat er al gezegd is, en of die nog beschikbaar is.	Quel véhicule, ce qui a déjà été dit, et s'il est encore disponible.	Which vehicle, what has already been said, and whether it is still available.	Welches Fahrzeug, was schon gesagt wurde, und ob es noch verfügbar ist.	Qué vehículo, qué se ha dicho ya, y si sigue disponible.
Welke wagen, welke inruil, welke termijn.	Quel véhicule, quelle reprise, quelle durée.	Which vehicle, which trade-in, which term.	Welches Fahrzeug, welche Inzahlungnahme, welche Laufzeit.	Qué vehículo, qué entrega, qué plazo.
Welke wagen, welke looptijd, welke inruil. Hij kan de berekening klaar hebben voor de koper zit.	Quel véhicule, quelle durée, quelle reprise. Il peut avoir le calcul prêt avant que l'acheteur ne s'asseye.	Which vehicle, which term, which trade-in. They can have the calculation ready before the buyer sits down.	Welches Fahrzeug, welche Laufzeit, welche Inzahlungnahme. Er kann die Berechnung fertig haben, bevor der Käufer sitzt.	Qué vehículo, qué plazo, qué entrega. Puede tener el cálculo listo antes de que el comprador se siente.
Welke wagen, welke termijn hij in gedachten heeft en of er een inruil bij komt. Meer is er in deze fase niet nodig.	Quel véhicule, quelle durée il a en tête et s'il y a une reprise. À ce stade, rien de plus n'est nécessaire.	Which vehicle, which term they have in mind and whether a trade-in is involved. Nothing more is needed at this stage.	Welches Fahrzeug, welche Laufzeit er im Kopf hat und ob eine Inzahlungnahme dazukommt. Mehr braucht es in dieser Phase nicht.	Qué vehículo, qué plazo tiene en mente y si hay una entrega de por medio. En esta fase no hace falta más.
Werkt dit met mijn voorraadsysteem en mijn CRM?	Cela fonctionne-t-il avec mon système de stock et mon CRM ?	Does this work with my stock system and my CRM?	Funktioniert das mit meinem Bestandssystem und meinem CRM?	¿Esto funciona con mi sistema de stock y mi CRM?
Werkt samen wanneer de inruil deel van de financiering wordt.	Fonctionne de concert quand la reprise fait partie du financement.	Works together when the trade-in becomes part of the financing.	Arbeitet zusammen, wenn die Inzahlungnahme Teil der Finanzierung wird.	Trabaja en conjunto cuando la entrega pasa a formar parte de la financiación.
