# nederlands	frans	engels	duits	spaans
Meelezen, overnemen en hulp bij je berichten	Suivre, reprendre la main et de l'aide pour vos publications	Read along, take over and help with your posts	Mitlesen, übernehmen und Hilfe bei Ihren Beiträgen	Leer, tomar el relevo y ayuda con tus publicaciones
Moment	Moment	Timing	Zeitpunkt	Momento
Net verkocht	Tout juste vendu	Just sold	Gerade verkauft	Recién vendido
Nieuw binnen	Nouvel arrivage	New arrival	Neu hereingekommen	Recién llegado
Nieuw op de vloer: een BMW X5 xDrive30d uit 2021 met 82.000 km en volledige onderhoudshistoriek. Automaat, diesel, panoramadak. Zaterdag staat hij klaar om te bekijken.	Nouveau en showroom : un BMW X5 xDrive30d de 2021 avec 82 000 km et un historique d'entretien complet. Boîte automatique, diesel, toit panoramique. Samedi, il est prêt à être vu.	New on the floor: a 2021 BMW X5 xDrive30d with 82,000 km and a full service history. Automatic, diesel, panoramic roof. It is ready to view on Saturday.	Neu auf der Fläche: ein BMW X5 xDrive30d von 2021 mit 82.000 km und lückenloser Wartungshistorie. Automatik, Diesel, Panoramadach. Am Samstag steht er zur Besichtigung bereit.	Nuevo en el salón: un BMW X5 xDrive30d de 2021 con 82.000 km e historial de mantenimiento completo. Automático, diésel, techo panorámico. El sábado está listo para verlo.
Onderwerp	Objet	Subject	Betreff	Asunto
Overnemen	Reprendre tel quel	Use as is	Übernehmen	Usar tal cual
Uit de vragen van deze week	D'après les questions de cette semaine	From this week's questions	Aus den Fragen dieser Woche	De las preguntas de esta semana
Vier wagens onder 25.000	Quatre véhicules sous les 25 000	Four vehicles under 25,000	Vier Fahrzeuge unter 25.000	Cuatro vehículos por debajo de 25.000
Volvo XC40 T4 · 62.000 km	Volvo XC40 T4 · 62 000 km	Volvo XC40 T4 · 62,000 km	Volvo XC40 T4 · 62.000 km	Volvo XC40 T4 · 62.000 km
Voorstel · 01 Nieuw binnen	Proposition · 01 Nouvel arrivage	Suggestion · 01 New arrival	Vorschlag · 01 Neu hereingekommen	Propuesta · 01 Recién llegado
Vraag	Demande	Question	Frage	Consulta
Waar je op let bij een occasion	Ce à quoi faire attention pour une occasion	What to look for in a used car	Worauf Sie bei einem Gebrauchten achten	En qué fijarse en un coche de ocasión
Wagen	Véhicule	Vehicle	Fahrzeug	Vehículo
Wagen in de kijker	Véhicule à la une	Vehicle spotlight	Fahrzeug im Fokus	Vehículo destacado
Wat het systeem zelf mag, en waar je data staat	Ce que le système peut faire seul, et où sont vos données	What the system may do on its own, and where your data sits	Was das System selbst darf und wo Ihre Daten liegen	Lo que el sistema puede hacer solo, y dónde están tus datos
Weekend	Le week-end	Weekend	Wochenende	Fin de semana
Zaterdag in de showroom	Samedi au showroom	Saturday in the showroom	Samstag im Showroom	Sábado en el salón
donderdag 08:30	jeudi 08:30	Thursday 08:30	Donnerstag 08:30	jueves 08:30
je content.	c'est votre contenu.	your content.	auch Ihr Content.	tu contenido.
