# nederlands	frans	engels	duits	spaans
Het controleert geen rijbewijs. Dat gebeurt bij het ophalen van de sleutel.	Il ne contrôle pas le permis de conduire. Cela se fait à la remise des clés.	It does not check a driving licence. That happens when the key is handed over.	Es prüft keinen Führerschein. Das passiert bei der Schlüsselübergabe.	No comprueba el carné de conducir. Eso ocurre al recoger la llave.
Het neemt het herhaalwerk over. De gesprekken waar het geld in zit, komen nog steeds bij een mens terecht.	Il prend en charge le travail répétitif. Les conversations où se trouve l'argent aboutissent toujours chez un humain.	It takes over the repetitive work. The conversations with the money in them still end up with a person.	Es übernimmt die Wiederholungsarbeit. Die Gespräche, in denen das Geld steckt, landen weiterhin bei einem Menschen.	Se encarga del trabajo repetitivo. Las conversaciones donde está el dinero siguen llegando a una persona.
Het noemt geen inruilbedrag.	Il ne cite aucun montant de reprise.	It names no trade-in figure.	Es nennt keinen Inzahlungnahmebetrag.	No dice ningún importe de tasación.
Het noemt nooit een inruilwaarde, ook niet bij benadering.	Il ne cite jamais de valeur de reprise, même approximative.	It never names a trade-in value, not even approximately.	Es nennt nie einen Inzahlungnahmewert, auch nicht ungefähr.	Nunca dice un valor de tasación, ni siquiera aproximado.
Het onderhandelt niet en geeft geen korting om een keuze te forceren.	Il ne négocie pas et n'accorde pas de remise pour forcer un choix.	It does not negotiate and gives no discount to force a choice.	Es verhandelt nicht und gibt keinen Rabatt, um eine Wahl zu erzwingen.	No negocia ni da descuentos para forzar una decisión.
Het onderhandelt niet over de prijs.	Il ne négocie pas le prix.	It does not negotiate on price.	Es verhandelt nicht über den Preis.	No negocia el precio.
Het ongemakkelijkste telefoontje van de week verdwijnt uit het takenlijstje van je verkoper.	Le coup de fil le plus désagréable de la semaine disparaît de la liste de tâches de votre vendeur.	The most awkward call of the week disappears from your salesperson's to-do list.	Der unangenehmste Anruf der Woche verschwindet von der Aufgabenliste Ihres Verkäufers.	La llamada más incómoda de la semana desaparece de la lista de tareas de tu vendedor.
Het probleem is niet dat je verkoper traag is. Hij stond bij een klant, was op proefrit of was gewoon naar huis. Aanvragen komen alleen niet alleen tijdens kantooruren binnen.	Le problème n'est pas que votre vendeur soit lent. Il était avec un client, en essai ou tout simplement rentré chez lui. Sauf que les demandes n'arrivent pas uniquement aux heures de bureau.	The problem is not that your salesperson is slow. They were with a customer, out on a test drive, or simply gone home. It is just that enquiries do not only come in during office hours.	Das Problem ist nicht, dass Ihr Verkäufer langsam ist. Er war bei einem Kunden, auf Probefahrt oder einfach zu Hause. Nur kommen Anfragen eben nicht nur während der Bürozeiten.	El problema no es que tu vendedor sea lento. Estaba con un cliente, de prueba, o simplemente se había ido a casa. Solo que las solicitudes no entran únicamente en horario de oficina.
Het rekent met cijfers die jij zelf invult, en met de aanname dat een aanvraag die je te laat beantwoordt dezelfde kans had als een aanvraag die je meteen oppakt. Dat klopt in de praktijk nooit precies. Gebruik het om een orde van grootte te zien, niet om een businesscase op te bouwen.	Il calcule avec des chiffres que vous saisissez vous-même, et avec l'hypothèse qu'une demande traitée trop tard avait les mêmes chances qu'une demande prise tout de suite. Dans la pratique, cela n'est jamais tout à fait exact. Servez-vous-en pour voir un ordre de grandeur, pas pour bâtir un business case.	It calculates with numbers you fill in yourself, and with the assumption that an enquiry you answer too late had the same chance as one you pick up straight away. In practice that is never exactly right. Use it to see an order of magnitude, not to build a business case.	Es rechnet mit Zahlen, die Sie selbst eintragen, und mit der Annahme, dass eine zu spät beantwortete Anfrage dieselbe Chance hatte wie eine sofort aufgegriffene. In der Praxis stimmt das nie genau. Nutzen Sie es für eine Größenordnung, nicht zum Aufbau eines Business Case.	Calcula con cifras que rellenas tú, y con el supuesto de que una solicitud respondida tarde tenía la misma probabilidad que una atendida al momento. En la práctica eso nunca es exacto. Úsalo para ver un orden de magnitud, no para montar un caso de negocio.
Het scheelt enorm als merk, bouwjaar, kilometerstand en staat al bekend zijn voordat hij binnenstapt.	Cela change tout si la marque, l'année, le kilométrage et l'état sont déjà connus avant qu'il ne franchisse la porte.	It makes an enormous difference if make, year, mileage and condition are already known before they walk in.	Es macht einen enormen Unterschied, wenn Marke, Baujahr, Kilometerstand und Zustand schon bekannt sind, bevor er hereinkommt.	Cambia muchísimo si la marca, el año, el kilometraje y el estado ya se conocen antes de que entre.
Het script laadt apart van je pagina. Je bezoeker ziet je site zoals altijd, en het gesprek komt daarna.	Le script se charge indépendamment de votre page. Votre visiteur voit votre site comme d'habitude, et la conversation arrive ensuite.	The script loads separately from your page. Your visitor sees your site as always, and the conversation comes afterwards.	Das Skript lädt getrennt von Ihrer Seite. Ihr Besucher sieht Ihre Website wie immer, und das Gespräch kommt danach.	El script carga aparte de tu página. Tu visitante ve tu web como siempre, y la conversación llega después.
Het snelste kanaal is het slechtst georganiseerde.	Le canal le plus rapide est le plus mal organisé.	The fastest channel is the worst organised one.	Der schnellste Kanal ist der am schlechtesten organisierte.	El canal más rápido es el peor organizado.
Het stopt na drie berichten. Blijven aandringen levert geen afspraken op.	Il s'arrête après trois messages. Insister ne produit pas de rendez-vous.	It stops after three messages. Keeping on pushing does not produce appointments.	Es hört nach drei Nachrichten auf. Weiter zu drängen bringt keine Termine.	Para después de tres mensajes. Seguir insistiendo no produce citas.
Het stuurt geen berichten naar mensen die zich niet zelf gemeld hebben.	Il n'envoie pas de messages à des gens qui ne se sont pas manifestés.	It sends no messages to people who did not get in touch themselves.	Es schickt keine Nachrichten an Leute, die sich nicht selbst gemeldet haben.	No envía mensajes a gente que no ha contactado por su cuenta.
Het systeem doet het voorwerk.	Le système fait le travail préparatoire.	The system does the groundwork.	Das System macht die Vorarbeit.	El sistema hace el trabajo previo.
Het toont alleen wagens die in je voorraad staan.	Il ne montre que des véhicules présents dans votre stock.	It only shows vehicles that are in your stock.	Es zeigt nur Fahrzeuge, die in Ihrem Bestand stehen.	Solo muestra vehículos que están en tu stock.
Het uiterlijk van je website aanpassen	Modifier l'apparence de votre site	Changing your website's appearance	Das Aussehen Ihrer Website ändern	Cambiar el aspecto de tu web
Het verkoopsysteem voor autobedrijven	Le système de vente pour les concessions	The sales system for dealerships	Das Verkaufssystem für Autohäuser	El sistema de venta para concesionarios
Het verzint geen gegevens die niet in je voorraad staan.	Il n'invente aucune donnée absente de votre stock.	It invents no data that is not in your stock.	Es erfindet keine Daten, die nicht in Ihrem Bestand stehen.	No inventa datos que no estén en tu stock.
Het verzint geen voertuiggegevens, ook niet als de koper aandringt.	Il n'invente aucune donnée véhicule, même si l'acheteur insiste.	It invents no vehicle data, not even when the buyer pushes.	Es erfindet keine Fahrzeugdaten, auch nicht, wenn der Käufer drängt.	No inventa datos del vehículo, ni aunque el comprador insista.
Het verzint geen voertuiggegevens. Wat niet in je voorraad staat, gaat naar een verkoper.	Il n'invente aucune donnée véhicule. Ce qui n'est pas dans votre stock part vers un vendeur.	It invents no vehicle data. What is not in your stock goes to a salesperson.	Es erfindet keine Fahrzeugdaten. Was nicht in Ihrem Bestand steht, geht an einen Verkäufer.	No inventa datos del vehículo. Lo que no está en tu stock va a un vendedor.
Het vraagt geen financiële gegevens uit.	Il ne demande pas de données financières.	It does not ask for financial details.	Es fragt keine Finanzdaten ab.	No pide datos financieros.
Het weet welke wagen hij bedoelt en haalt de gegevens uit jouw voorraad. Prijs, kilometerstand, bouwjaar en uitvoering komen van jou, niet uit een gok.	Il sait de quel véhicule il s'agit et tire les données de votre stock. Prix, kilométrage, année et finition viennent de vous, pas d'une supposition.	It knows which vehicle they mean and pulls the data from your stock. Price, mileage, year and trim come from you, not from a guess.	Es weiß, welches Fahrzeug er meint, und holt die Daten aus Ihrem Bestand. Preis, Kilometerstand, Baujahr und Ausstattung kommen von Ihnen, nicht aus einer Vermutung.	Sabe de qué vehículo habla y saca los datos de tu stock. Precio, kilometraje, año y acabado vienen de ti, no de una suposición.
Het werk	Le travail	The work	Die Arbeit	El trabajo
Het werk dat in het eerste gesprek zat, levert niets op.	Le travail investi dans la première conversation ne rapporte rien.	The work that went into the first conversation yields nothing.	Die Arbeit, die im ersten Gespräch steckte, bringt nichts ein.	El trabajo que había en la primera conversación no da nada.
Het werk is al gedaan	Le travail est déjà fait	The work is already done	Die Arbeit ist schon getan	El trabajo ya está hecho
Het zet geen afspraak vast op een moment waarvan de beschikbaarheid niet bekend is.	Il ne fixe aucun rendez-vous à un créneau dont la disponibilité n'est pas connue.	It pins down no appointment at a time whose availability is unknown.	Es macht keinen Termin fest, dessen Verfügbarkeit nicht bekannt ist.	No fija ninguna cita en un momento cuya disponibilidad no se conozca.
Hetzelfde systeem, op het kanaal waar je koper toch al zit.	Le même système, sur le canal où votre acheteur se trouve déjà.	The same system, on the channel where your buyer already is.	Dasselbe System, auf dem Kanal, auf dem Ihr Käufer ohnehin ist.	El mismo sistema, en el canal donde tu comprador ya está.
Hier stopt het systeem. Een bedrag noemen is mensenwerk, en dat blijft zo. Wat er ligt is een compleet beeld om mee te beginnen.	Ici, le système s'arrête. Annoncer un montant est un travail humain, et cela reste ainsi. Ce qui est là, c'est un tableau complet pour commencer.	Here the system stops. Naming a figure is human work, and it stays that way. What lies there is a complete picture to start from.	Hier hört das System auf. Einen Betrag zu nennen ist Menschenarbeit, und das bleibt so. Was da liegt, ist ein vollständiges Bild als Ausgangspunkt.	Aquí el sistema se para. Decir un importe es trabajo humano, y así se queda. Lo que hay es una imagen completa para empezar.
Hier zie je binnen een week hoeveel er buiten je uren binnenkomt en hoe vaak dat nu pas de volgende ochtend een antwoord krijgt.	Vous voyez ici en une semaine combien arrive en dehors de vos heures et à quelle fréquence cela ne reçoit une réponse que le lendemain matin.	Here you see within a week how much comes in outside your hours and how often that only gets an answer the next morning.	Hier sehen Sie binnen einer Woche, wie viel außerhalb Ihrer Zeiten hereinkommt und wie oft das erst am nächsten Morgen eine Antwort bekommt.	Aquí ves en una semana cuánto entra fuera de tu horario y con qué frecuencia eso solo recibe respuesta a la mañana siguiente.
Hier zit het verschil tussen een algemene assistent en iets dat in de autohandel thuishoort. "Staat die blauwe X5 er nog" is voor een chatbot een zin. Voor dit systeem is het een verwijzing naar een specifieke wagen uit jouw voorraad, met een prijs, een kilometerstand en een uitvoering.	C'est là que se trouve la différence entre un assistant généraliste et quelque chose qui a sa place dans le commerce automobile. « Ce X5 bleu est-il toujours là » n'est qu'une phrase pour un chatbot. Pour ce système, c'est une référence à un véhicule précis de votre stock, avec un prix, un kilométrage et une finition.	This is where the difference sits between a general assistant and something that belongs in the car trade. "Is that blue X5 still there" is a sentence to a chatbot. To this system it is a reference to a specific vehicle from your stock, with a price, a mileage and a trim.	Hier liegt der Unterschied zwischen einem allgemeinen Assistenten und etwas, das in den Autohandel gehört. „Steht der blaue X5 noch da" ist für einen Chatbot ein Satz. Für dieses System ist es ein Verweis auf ein bestimmtes Fahrzeug aus Ihrem Bestand, mit Preis, Kilometerstand und Ausstattung.	Aquí está la diferencia entre un asistente genérico y algo que pertenece al sector del automóvil. «¿Sigue ahí ese X5 azul?» para un chatbot es una frase. Para este sistema es una referencia a un vehículo concreto de tu stock, con un precio, un kilometraje y un acabado.
Hij begint op je website, stuurt 's avonds een WhatsApp en mailt er een foto van zijn inruil achteraan. Voor Helvaro is dat één koper, één auto, één dossier.	Il commence sur votre site, envoie un WhatsApp le soir et fait suivre une photo de sa reprise par courriel. Pour Helvaro, c'est un acheteur, une voiture, un dossier.	They start on your website, send a WhatsApp in the evening and email a photo of their trade-in after it. To Helvaro that is one buyer, one car, one file.	Er beginnt auf Ihrer Website, schickt abends ein WhatsApp und mailt ein Foto seiner Inzahlungnahme hinterher. Für Helvaro ist das ein Käufer, ein Auto, eine Akte.	Empieza en tu web, manda un WhatsApp por la tarde y después envía por correo una foto de su usado. Para Helvaro eso es un comprador, un coche, un expediente.
Hij heeft om 23:55 bij twee andere bedrijven hetzelfde gevraagd. Daar antwoordde er één binnen het uur.	À 23:55, il a posé la même question à deux autres entreprises. L'une d'elles a répondu dans l'heure.	At 23:55 they asked two other businesses the same thing. One of them answered within the hour.	Um 23:55 hat er dasselbe bei zwei anderen Betrieben gefragt. Einer davon hat binnen einer Stunde geantwortet.	A las 23:55 preguntó lo mismo a otras dos empresas. Una de ellas respondió en menos de una hora.
Hij mailt vanavond en appt morgen. Dat is dezelfde persoon met dezelfde vraag, niet twee losse gesprekken.	Il écrit ce soir et envoie un message demain. C'est la même personne avec la même question, pas deux conversations distinctes.	They email tonight and message tomorrow. That is the same person with the same question, not two separate conversations.	Er mailt heute Abend und schreibt morgen. Das ist dieselbe Person mit derselben Frage, nicht zwei getrennte Gespräche.	Escribe un correo esta tarde y un mensaje mañana. Es la misma persona con la misma pregunta, no dos conversaciones distintas.
Hij staat beschikbaar. Donderdag om 16:30 of zaterdag om 10:00 kan er iemand mee. Neem je rijbewijs mee.	Il est disponible. Jeudi à 16:30 ou samedi à 10:00, quelqu'un peut vous accompagner. Pensez à votre permis.	It's available. Thursday at 16:30 or Saturday at 10:00 someone can come along. Bring your driving licence.	Er ist verfügbar. Donnerstag um 16:30 oder Samstag um 10:00 kann jemand mitkommen. Bringen Sie Ihren Führerschein mit.	Está disponible. El jueves a las 16:30 o el sábado a las 10:00 puede acompañarte alguien. Trae tu carné.
Hij staat er wel, maar niemand is er eigenaar van. Er is geen dossier, geen status en geen volgende stap. Hij zakt gewoon weg onder de rest.	Elle est bien là, mais personne n'en est responsable. Pas de dossier, pas de statut, pas d'étape suivante. Elle sombre simplement sous le reste.	It is there all right, but nobody owns it. There is no file, no status and no next step. It simply sinks under the rest.	Sie ist zwar da, aber niemand ist dafür zuständig. Keine Akte, kein Status, kein nächster Schritt. Sie versinkt einfach unter dem Rest.	Ahí está, pero nadie es responsable. No hay expediente, ni estado, ni paso siguiente. Simplemente se hunde bajo el resto.
Hij wisselt van kanaal.	Il change de canal.	They switch channel.	Er wechselt den Kanal.	Cambia de canal.
Hij ziet het gesprek lopen en stapt erin wanneer het nodig is. Daarna kan hij het weer laten lopen.	Il voit la conversation se dérouler et y entre quand c'est nécessaire. Ensuite, il peut la laisser repartir.	They watch the conversation run and step in when needed. After that they can let it run again.	Er sieht das Gespräch laufen und steigt ein, wenn es nötig ist. Danach kann er es wieder laufen lassen.	Ve la conversación en marcha y entra cuando hace falta. Después puede dejarla seguir.
Hoe beter je voorraadgegevens gevuld zijn, hoe beter de antwoorden. Ontbrekende velden worden nooit ingevuld met een schatting.	Mieux vos données de stock sont remplies, meilleures sont les réponses. Les champs manquants ne sont jamais comblés par une estimation.	The better your stock data is filled in, the better the answers. Missing fields are never filled in with an estimate.	Je besser Ihre Bestandsdaten gepflegt sind, desto besser die Antworten. Fehlende Felder werden nie mit einer Schätzung gefüllt.	Cuanto mejor estén rellenos tus datos de stock, mejores serán las respuestas. Los campos que faltan nunca se rellenan con una estimación.
