# nederlands	frans	engels	duits	spaans
Nieuwe aanvraag	Nouvelle demande	New enquiry	Neue Anfrage	Nueva solicitud
Opvolgen is werk dat nooit dringend genoeg wordt.	Le suivi est un travail qui ne devient jamais assez urgent.	Following up is work that never becomes urgent enough.	Nachfassen ist Arbeit, die nie dringend genug wird.	El seguimiento es trabajo que nunca llega a ser lo bastante urgente.
Overdragen kost niets	Le transfert ne coûte rien	Handing over costs nothing	Übergeben kostet nichts	El traspaso no cuesta nada
Overdragen met het hele gesprek erbij	Transférer avec toute la conversation	Handing over with the whole conversation attached	Übergeben mit dem ganzen Gespräch dabei	Traspasar con toda la conversación
Overname	Reprise en main	Takeover	Übernahme	Relevo
Overnames door een verkoper	Les reprises en main par un vendeur	Takeovers by a salesperson	Übernahmen durch einen Verkäufer	Relevos por parte de un vendedor
Overnemen zonder knip	Reprendre sans coupure	Taking over without a break	Übernehmen ohne Schnitt	Tomar el relevo sin corte
Overstappen naar WhatsApp met behoud van het gesprek	Basculer vers WhatsApp en gardant la conversation	Switching to WhatsApp while keeping the conversation	Zu WhatsApp wechseln, mit erhaltenem Gespräch	Cambiar a WhatsApp conservando la conversación
Pakt de inruil op die vaak in de mail genoemd wordt.	Reprend la reprise, souvent mentionnée dans le courriel.	Picks up the trade-in often mentioned in the email.	Greift die Inzahlungnahme auf, die oft in der Mail genannt wird.	Recoge la entrega que a menudo se menciona en el correo.
Pakt op wat na het eerste antwoord stil blijft.	Reprend ce qui reste silencieux après la première réponse.	Picks up what stays quiet after the first answer.	Greift auf, was nach der ersten Antwort still bleibt.	Recoge lo que se queda en silencio tras la primera respuesta.
Panoramadak	Toit panoramique	Panoramic roof	Panoramadach	Techo panorámico
Past er niets, dan wordt dat gezegd. Met de vraag of hij bericht wil als er wel iets binnenkomt.	Si rien ne convient, cela est dit. Avec la question de savoir s'il veut être prévenu quand quelque chose arrive.	If nothing fits, that gets said. With the question whether they want a message when something does come in.	Passt nichts, wird das gesagt. Mit der Frage, ob er Bescheid haben will, wenn doch etwas hereinkommt.	Si no encaja nada, se dice. Con la pregunta de si quiere aviso cuando entre algo.
Per maand, leasen, afbetalen, voorschot. In alle gevallen gaat het over hetzelfde en wordt het als koopsignaal behandeld.	Par mois, leasing, à tempérament, acompte. Dans tous les cas, il s'agit de la même chose et c'est traité comme un signal d'achat.	Per month, leasing, paying off, deposit. In all cases it is about the same thing and it is treated as a buying signal.	Pro Monat, Leasing, Ratenkauf, Anzahlung. In allen Fällen geht es um dasselbe und es wird als Kaufsignal behandelt.	Al mes, renting, a plazos, entrada. En todos los casos va de lo mismo y se trata como señal de compra.
Per verkoper een eigen beschikbaarheid instellen	Définir une disponibilité propre à chaque vendeur	Setting a separate availability per salesperson	Je Verkäufer eine eigene Verfügbarkeit einstellen	Definir una disponibilidad propia por vendedor
Plant het moment waarop beide wagens er staan.	Planifie le moment où les deux véhicules sont présents.	Schedules the moment both vehicles are there.	Plant den Moment, in dem beide Fahrzeuge da sind.	Planifica el momento en que están los dos vehículos.
Prijs	Prix	Price	Preis	Precio
Prijs, bouwjaar, kilometerstand, brandstof, transmissie en uitrusting. Precies zoals jij ze hebt vastgelegd.	Prix, année, kilométrage, carburant, transmission et équipement. Exactement comme vous les avez enregistrés.	Price, year, mileage, fuel, transmission and equipment. Exactly as you recorded them.	Preis, Baujahr, Kilometerstand, Kraftstoff, Getriebe und Ausstattung. Genau so, wie Sie sie hinterlegt haben.	Precio, año, kilometraje, combustible, cambio y equipamiento. Exactamente como los has registrado.
Prijs, kilometerstand en uitvoering komen uit je voorraad. Dat scheelt de teleurstelling die je anders pas op de parking merkt.	Le prix, le kilométrage et la finition viennent de votre stock. Cela évite la déception que vous ne constateriez sinon que sur le parking.	Price, mileage and trim come from your stock. That saves the disappointment you would otherwise only notice on the forecourt.	Preis, Kilometerstand und Ausstattung kommen aus Ihrem Bestand. Das erspart die Enttäuschung, die Sie sonst erst auf dem Hof bemerken.	Precio, kilometraje y acabado salen de tu stock. Eso ahorra la decepción que si no solo notarías en el aparcamiento.
Prijs, kilometerstand, bouwjaar en uitvoering komen uit jouw bestand. Er wordt niets verzonnen en niets opgezocht bij een ander.	Le prix, le kilométrage, l'année et la finition viennent de votre fichier. Rien n'est inventé et rien n'est cherché ailleurs.	Price, mileage, year and trim come from your file. Nothing is invented and nothing is looked up elsewhere.	Preis, Kilometerstand, Baujahr und Ausstattung kommen aus Ihrer Datei. Nichts wird erfunden und nichts woanders nachgeschlagen.	Precio, kilometraje, año y acabado salen de tu archivo. No se inventa nada ni se busca nada en otro sitio.
Prijs, kilometerstand, uitvoering	Prix, kilométrage, finition	Price, mileage, trim	Preis, Kilometerstand, Ausstattung	Precio, kilometraje, acabado
Proefrit	Essai	Test drive	Probefahrt	Prueba
Proefrit vastgezet	Essai fixé	Test drive pinned down	Probefahrt festgemacht	Prueba fijada
Proefrit, inruil, financiering, opvolging en meer.	Essai, reprise, financement, suivi et plus encore.	Test drive, trade-in, financing, follow-up and more.	Probefahrt, Inzahlungnahme, Finanzierung, Nachfassen und mehr.	Prueba, entrega, financiación, seguimiento y más.
Proefritten die niet doorgaan	Les essais qui n'ont pas lieu	Test drives that do not happen	Probefahrten, die nicht stattfinden	Pruebas que no se hacen
Rechtstreeks meelezen in je eigen voorraadsysteem	Lire directement dans votre propre système de stock	Reading directly in your own stock system	Direkt in Ihrem eigenen Bestandssystem mitlesen	Leer directamente en tu propio sistema de stock
Reken uit wat dit kost	Calculez ce que cela coûte	Work out what this costs	Rechnen Sie aus, was das kostet	Calcula cuánto cuesta esto
Rijbewijs meenemen, en soms een legitimatie. Dat staat in de bevestiging, zodat niemand voor niets komt.	Apporter son permis, et parfois une pièce d'identité. C'est indiqué dans la confirmation, pour que personne ne se déplace pour rien.	Bring a driving licence, and sometimes ID. That is in the confirmation, so nobody comes for nothing.	Führerschein mitbringen, manchmal auch einen Ausweis. Das steht in der Bestätigung, damit niemand umsonst kommt.	Traer el carné de conducir, y a veces el DNI. Está en la confirmación, para que nadie venga en balde.
Schade of een dubieuze historiek komt boven water voordat er een bedrag op tafel ligt.	Les dommages ou un historique douteux remontent avant qu'un montant ne soit sur la table.	Damage or a dubious history surfaces before a figure is on the table.	Schäden oder eine zweifelhafte Historie kommen ans Licht, bevor ein Betrag auf dem Tisch liegt.	Los daños o un historial dudoso salen a la luz antes de que haya un importe sobre la mesa.
Staat de bezoeker op een wagen, dan gaat het gesprek daarover. Hij hoeft niet uit te leggen welke auto hij bedoelt.	Si le visiteur est sur une fiche véhicule, la conversation porte dessus. Il n'a pas à expliquer de quelle voiture il parle.	If the visitor is on a vehicle page, the conversation is about that one. They do not have to explain which car they mean.	Steht der Besucher auf einem Fahrzeug, dreht sich das Gespräch darum. Er muss nicht erklären, welches Auto er meint.	Si el visitante está en la ficha de un vehículo, la conversación va de ese. No tiene que explicar de qué coche habla.
Staat die BMW X5 er nog?	Ce BMW X5 est-il toujours là ?	Is that BMW X5 still there?	Steht der BMW X5 noch da?	¿Sigue ahí ese BMW X5?
Staat een wagen niet meer in je voorraad, dan wordt hij niet meer aangeboden. Wel drie alternatieven die er wel staan.	Si un véhicule n'est plus dans votre stock, il n'est plus proposé. En revanche, trois alternatives réellement présentes le sont.	If a vehicle is no longer in your stock, it is no longer offered. Instead, three alternatives that are actually there.	Steht ein Fahrzeug nicht mehr in Ihrem Bestand, wird es nicht mehr angeboten. Stattdessen drei Alternativen, die wirklich dastehen.	Si un vehículo ya no está en tu stock, deja de ofrecerse. En su lugar, tres alternativas que sí están.
Staat en historiek	État et historique	Condition and history	Zustand und Historie	Estado e historial
Staat hij er nog, hoeveel kilometer, heeft hij een panoramadak, kan ik zaterdag langskomen, wat is de prijs. Je beste verkoper typt dat dertig keer per week over.	Est-il toujours là, quel kilométrage, a-t-il un toit panoramique, puis-je passer samedi, quel est le prix. Votre meilleur vendeur retape cela trente fois par semaine.	Is it still there, how many kilometres, does it have a panoramic roof, can I come by on Saturday, what is the price. Your best salesperson retypes that thirty times a week.	Steht er noch da, wie viele Kilometer, hat er ein Panoramadach, kann ich am Samstag vorbeikommen, was kostet er. Ihr bester Verkäufer tippt das dreißigmal pro Woche ab.	¿Sigue ahí?, ¿cuántos kilómetros?, ¿tiene techo panorámico?, ¿puedo pasarme el sábado?, ¿cuál es el precio? Tu mejor vendedor teclea eso treinta veces por semana.
Staat hij er nog, wat kost hij, wanneer kan ik kijken. Beantwoord met de gegevens uit je voorraad, ook om kwart voor tien 's avonds.	Est-il toujours là, combien coûte-t-il, quand puis-je venir voir. Répondu avec les données de votre stock, même à vingt-deux heures moins le quart.	Is it still there, what does it cost, when can I come and look. Answered with the data from your stock, also at a quarter to ten in the evening.	Steht er noch da, was kostet er, wann kann ich schauen. Beantwortet mit den Daten aus Ihrem Bestand, auch um viertel vor zehn abends.	¿Sigue ahí?, ¿cuánto cuesta?, ¿cuándo puedo verlo? Respondido con los datos de tu stock, también a las diez menos cuarto de la noche.
Staat hij er, is hij niet gereserveerd en is hij niet al uitgeleend. Is het antwoord nee, dan wordt er geen tijdslot aangeboden.	Est-il présent, n'est-il pas réservé et n'est-il pas déjà prêté. Si la réponse est non, aucun créneau n'est proposé.	Is it there, is it not reserved and is it not already out on loan. If the answer is no, no slot is offered.	Steht er da, ist er nicht reserviert und ist er nicht schon verliehen. Lautet die Antwort nein, wird kein Zeitfenster angeboten.	¿Está?, ¿no está reservado?, ¿no está ya prestado? Si la respuesta es no, no se ofrece ningún hueco.
Stilte is geen nee.	Le silence n'est pas un non.	Silence is not a no.	Stille ist kein Nein.	El silencio no es un no.
Stilte krijgt een vervolg	Le silence reçoit une suite	Silence gets a follow-up	Stille bekommt eine Fortsetzung	El silencio tiene continuación
Stilte wordt opgemerkt	Le silence est remarqué	Silence gets noticed	Stille wird bemerkt	El silencio se nota
Stuurt een bericht vanaf een advertentie.	Envoie un message depuis une annonce.	Sends a message from an advert.	Schickt eine Nachricht von einer Anzeige aus.	Envía un mensaje desde un anuncio.
Stuurt het opvolgbericht op hetzelfde kanaal.	Envoie le message de relance sur le même canal.	Sends the follow-up message on the same channel.	Schickt die Nachfassnachricht auf demselben Kanal.	Envía el mensaje de seguimiento por el mismo canal.
Tegelijk is het het kanaal waarop kopers het snelst reageren. Dat maakt het te belangrijk om aan één telefoon te hangen.	En même temps, c'est le canal sur lequel les acheteurs réagissent le plus vite. Cela le rend trop important pour être suspendu à un seul téléphone.	At the same time it is the channel buyers respond fastest on. That makes it too important to hang off one phone.	Zugleich ist es der Kanal, auf dem Käufer am schnellsten reagieren. Das macht ihn zu wichtig, um an einem einzigen Telefon zu hängen.	A la vez es el canal en el que los compradores reaccionan más rápido. Eso lo hace demasiado importante para colgar de un solo teléfono.
Telefonie staat er bewust niet bij. Dat is vandaag geen onderdeel van het product, en we zetten het er pas op als het dat wel is.	La téléphonie n'y figure volontairement pas. Ce n'est aujourd'hui pas une partie du produit, et nous ne l'ajouterons que lorsqu'elle le sera.	Telephony is deliberately not listed. It is not part of the product today, and we will only put it there when it is.	Telefonie steht bewusst nicht dabei. Das ist heute kein Teil des Produkts, und wir schreiben es erst hin, wenn es das ist.	La telefonía no está a propósito. Hoy no forma parte del producto, y no lo pondremos hasta que lo forme.
Termijn	Durée	Term	Laufzeit	Plazo
