# nederlands	frans	engels	duits	spaans
Dan weet je dat die wagen weer vrij is voor iemand anders en stop je met erop rekenen.	Vous savez alors que ce véhicule est de nouveau libre pour quelqu'un d'autre et vous cessez de compter dessus.	Then you know that vehicle is free again for someone else and you stop counting on it.	Dann wissen Sie, dass dieses Fahrzeug wieder für jemand anderen frei ist, und rechnen nicht mehr damit.	Así sabes que ese vehículo vuelve a estar libre para otra persona y dejas de contar con él.
De inruil hangt aan de bezichtiging of proefrit, zodat beide wagens tegelijk op de planning staan.	La reprise est rattachée à la visite ou à l'essai, de sorte que les deux véhicules figurent en même temps au planning.	The trade-in hangs off the viewing or test drive, so both vehicles are on the schedule at the same time.	Die Inzahlungnahme hängt an der Besichtigung oder Probefahrt, sodass beide Fahrzeuge gleichzeitig in der Planung stehen.	La entrega va colgada de la visita o la prueba, así ambos vehículos están a la vez en la planificación.
De inruil hangt aan de bezichtiging, dus er is tijd ingepland om er ook echt naar te kijken.	La reprise est rattachée à la visite, du temps est donc prévu pour vraiment l'examiner.	The trade-in hangs off the viewing, so time is scheduled to actually look at it.	Die Inzahlungnahme hängt an der Besichtigung, also ist Zeit eingeplant, sie auch wirklich anzusehen.	La entrega va colgada de la visita, así que hay tiempo reservado para mirarla de verdad.
De inruil hangt aan het dossier van de wagen die hij wil kopen.	La reprise est rattachée au dossier du véhicule qu'il veut acheter.	The trade-in hangs off the file of the vehicle they want to buy.	Die Inzahlungnahme hängt an der Akte des Fahrzeugs, das er kaufen will.	La entrega va colgada del expediente del vehículo que quiere comprar.
De inruil komt te laat ter sprake.	La reprise arrive trop tard dans la conversation.	The trade-in comes up too late.	Die Inzahlungnahme kommt zu spät zur Sprache.	La entrega se plantea demasiado tarde.
De juiste wagen erbij	Le bon véhicule rattaché	The right vehicle attached	Das richtige Fahrzeug dabei	Con el vehículo correcto
De koper krijgt echte gegevens	L'acheteur reçoit de vraies données	The buyer gets real data	Der Käufer bekommt echte Daten	El comprador recibe datos reales
De koper krijgt een bevestiging met tijd en plaats, en een herinnering de dag ervoor.	L'acheteur reçoit une confirmation avec l'heure et le lieu, et un rappel la veille.	The buyer gets a confirmation with time and place, and a reminder the day before.	Der Käufer bekommt eine Bestätigung mit Zeit und Ort und eine Erinnerung am Vortag.	El comprador recibe una confirmación con hora y lugar, y un recordatorio el día antes.
De koper rekent zelf iets uit op een vergelijkingssite en komt niet terug.	L'acheteur fait son propre calcul sur un comparateur et ne revient pas.	The buyer works something out for themselves on a comparison site and does not come back.	Der Käufer rechnet sich selbst etwas auf einer Vergleichsseite aus und kommt nicht zurück.	El comprador se hace el cálculo por su cuenta en un comparador y no vuelve.
De koper rijdt bij de concurrent en koopt daar ook.	L'acheteur essaie chez le concurrent et y achète aussi.	The buyer drives at the competitor and buys there too.	Der Käufer fährt beim Mitbewerber und kauft dort auch.	El comprador prueba en la competencia y compra allí también.
De koper vertrekt om "er nog eens over na te denken".	L'acheteur repart pour « y réfléchir encore ».	The buyer leaves to "think it over".	Der Käufer geht, um „noch mal darüber nachzudenken".	El comprador se marcha para «pensárselo».
De koper voelt zich serieus genomen	L'acheteur se sent pris au sérieux	The buyer feels taken seriously	Der Käufer fühlt sich ernst genommen	El comprador se siente tomado en serio
De korte opdracht gaat nooit zo naar de koper	La consigne courte ne part jamais telle quelle à l'acheteur	The short instruction never goes to the buyer like this	Die kurze Anweisung geht nie so an den Käufer	La instrucción breve nunca va así al comprador
De laag boven je werkstromen	La couche au-dessus de vos flux	The layer above your workflows	Die Schicht über Ihren Abläufen	La capa por encima de tus flujos
De laag waarin je meeleest, goedkeurt en ziet welke gesprekken je aandacht nodig hebben. Faro is niet het product, Faro is hoe je het bedient.	La couche où vous suivez, validez et voyez quelles conversations demandent votre attention. Faro n'est pas le produit, Faro est la façon dont vous le pilotez.	The layer where you read along, approve and see which conversations need your attention. Faro is not the product, Faro is how you operate it.	Die Schicht, in der Sie mitlesen, freigeben und sehen, welche Gespräche Ihre Aufmerksamkeit brauchen. Faro ist nicht das Produkt, Faro ist, wie Sie es bedienen.	La capa en la que lees, apruebas y ves qué conversaciones necesitan tu atención. Faro no es el producto, Faro es cómo lo manejas.
De langste en vaak serieuste aanvragen. Gelezen, gekoppeld aan een wagen en beantwoord voor ze in de mailbox wegzakken.	Les demandes les plus longues et souvent les plus sérieuses. Lues, rattachées à un véhicule et traitées avant de sombrer dans la boîte mail.	The longest and often most serious enquiries. Read, linked to a vehicle and answered before they sink into the mailbox.	Die längsten und oft ernstesten Anfragen. Gelesen, einem Fahrzeug zugeordnet und beantwortet, bevor sie im Postfach versinken.	Las solicitudes más largas y a menudo más serias. Leídas, vinculadas a un vehículo y respondidas antes de hundirse en el buzón.
De mail van gisteravond staat er nog.	Le courriel d'hier soir est toujours là.	Last night's email is still sitting there.	Die Mail von gestern Abend liegt noch da.	El correo de anoche sigue ahí.
De mail wordt gelezen	Le courriel est lu	The email gets read	Die Mail wird gelesen	El correo se lee
De meeste aanvragen komen buiten je openingsuren binnen, en bijna nooit bij één bedrijf tegelijk. Wie binnen een paar minuten antwoordt met de juiste gegevens erbij, krijgt de afspraak. De rest krijgt een gelezen bericht.	La plupart des demandes arrivent en dehors de vos heures d'ouverture, et presque jamais chez une seule entreprise à la fois. Celui qui répond en quelques minutes avec les bonnes données décroche le rendez-vous. Les autres récoltent un message lu.	Most enquiries come in outside your opening hours, and almost never to one business at a time. Whoever answers within a few minutes with the right data gets the appointment. The rest get a read receipt.	Die meisten Anfragen kommen außerhalb Ihrer Öffnungszeiten, und fast nie nur bei einem Betrieb. Wer binnen weniger Minuten mit den richtigen Daten antwortet, bekommt den Termin. Der Rest bekommt ein gelesenes Häkchen.	La mayoría de las solicitudes entran fuera de tu horario, y casi nunca a una sola empresa a la vez. Quien responde en pocos minutos con los datos correctos se lleva la cita. El resto se queda con un mensaje leído.
De meeste autobedrijven hebben geen gat in hun advertenties. Ze hebben een gat tussen het moment waarop een koper een vraag stelt en het moment waarop iemand tijd heeft om te antwoorden. In dat gat zit Helvaro.	La plupart des concessions n'ont pas un trou dans leurs annonces. Elles ont un trou entre le moment où un acheteur pose une question et le moment où quelqu'un a le temps de répondre. C'est dans ce trou que se place Helvaro.	Most dealerships do not have a gap in their advertising. They have a gap between the moment a buyer asks a question and the moment someone has time to answer. Helvaro sits in that gap.	Die meisten Autohäuser haben keine Lücke in ihrer Werbung. Sie haben eine Lücke zwischen dem Moment, in dem ein Käufer fragt, und dem Moment, in dem jemand Zeit zum Antworten hat. In dieser Lücke sitzt Helvaro.	La mayoría de los concesionarios no tiene un agujero en su publicidad. Tiene un agujero entre el momento en que un comprador pregunta y el momento en que alguien tiene tiempo de responder. Helvaro se sitúa en ese agujero.
De mensen bij jou die je toegang geeft. Alles blijft bij het bedrijf, ook als een verkoper vertrekt.	Les personnes chez vous à qui vous donnez accès. Tout reste dans l'entreprise, même si un vendeur s'en va.	The people at your business you give access to. Everything stays with the company, also when a salesperson leaves.	Die Menschen bei Ihnen, denen Sie Zugang geben. Alles bleibt beim Betrieb, auch wenn ein Verkäufer geht.	Las personas de tu empresa a las que das acceso. Todo se queda en la empresa, también si un vendedor se va.
