# nederlands	frans	engels	duits	spaans
BMW X5 xDrive30d	BMW X5 xDrive30d	BMW X5 xDrive30d	BMW X5 xDrive30d	BMW X5 xDrive30d
Biedt een alternatief wanneer de wagen verkocht is.	Propose une alternative quand le véhicule est vendu.	Offers an alternative when the vehicle is sold.	Bietet eine Alternative, wenn das Fahrzeug verkauft ist.	Ofrece una alternativa cuando el vehículo está vendido.
Bij bijna elk autobedrijf zit de snelste winst op dezelfde drie plekken. Daar zetten we het eerst aan, de rest komt later.	Dans presque toutes les concessions, le gain le plus rapide se trouve aux trois mêmes endroits. C'est là qu'on commence, le reste viendra après.	At almost every dealership the fastest gain sits in the same three places. That is where we switch it on first, the rest comes later.	Bei fast jedem Autohaus liegt der schnellste Gewinn an denselben drei Stellen. Dort schalten wir zuerst ein, der Rest kommt später.	En casi todos los concesionarios la ganancia más rápida está en los mismos tres sitios. Ahí lo encendemos primero, el resto viene después.
Bij echte koopinteresse, en dan is een mailadres of een telefoonnummer genoeg. Niet allebei, en niet bij iemand die alleen rondkijkt.	En cas d'intérêt d'achat réel, et alors une adresse e-mail ou un numéro suffit. Pas les deux, et pas pour quelqu'un qui ne fait que regarder.	When there is genuine buying interest, and then an email address or a phone number is enough. Not both, and not from someone who is only browsing.	Bei echtem Kaufinteresse, und dann reicht eine E-Mail-Adresse oder eine Telefonnummer. Nicht beides, und nicht bei jemandem, der sich nur umsieht.	Cuando hay interés de compra real, y entonces basta con un correo o un teléfono. No ambos, y no a alguien que solo está mirando.
Bij een onderhandeling, een inruil of een twijfelgeval stapt een mens in het lopende gesprek, met alles wat er al gezegd is binnen handbereik.	Lors d'une négociation, d'une reprise ou d'un cas douteux, un humain entre dans la conversation en cours, avec tout ce qui a déjà été dit sous la main.	For a negotiation, a trade-in or a borderline case, a person steps into the running conversation with everything already said within reach.	Bei einer Verhandlung, einer Inzahlungnahme oder einem Zweifelsfall steigt ein Mensch ins laufende Gespräch ein, mit allem bereits Gesagten griffbereit.	En una negociación, una entrega o un caso dudoso, una persona entra en la conversación en curso con todo lo ya dicho a mano.
Bij het dossier	Dans le dossier	With the file	Zur Akte	Al expediente
Bijna elke koper	Presque tous les acheteurs	Almost every buyer	Fast jeder Käufer	Casi todos los compradores
Bijna elke leverancier zet alles op één hoop en zet er logo's bij van pakketten waarmee ze "zouden kunnen" koppelen. Hier betekenen deze drie woorden iets.	Presque tous les fournisseurs mettent tout dans le même sac et y ajoutent les logos des logiciels avec lesquels ils « pourraient » s'intégrer. Ici, ces trois mots veulent dire quelque chose.	Almost every supplier puts it all on one pile and adds logos of systems they "could" integrate with. Here these three words mean something.	Fast jeder Anbieter wirft alles auf einen Haufen und stellt Logos von Systemen dazu, mit denen man „könnte". Hier bedeuten diese drei Wörter etwas.	Casi todos los proveedores lo meten todo en el mismo saco y añaden logotipos de programas con los que «podrían» integrarse. Aquí estas tres palabras significan algo.
Binnen een minuut, ook 's avonds en in het weekend. Dat is het hele punt: wie om kwart voor elf 's avonds op je site kijkt, vraagt het meestal ook bij twee andere bedrijven.	En moins d'une minute, aussi le soir et le week-end. C'est tout l'enjeu : celui qui regarde votre site à vingt-trois heures moins le quart pose généralement la même question à deux autres entreprises.	Within a minute, also in the evening and at the weekend. That is the whole point: someone looking at your site at a quarter to eleven at night is usually asking two other businesses as well.	Innerhalb einer Minute, auch abends und am Wochenende. Genau darum geht es: Wer um Viertel vor elf abends auf Ihrer Website schaut, fragt meist auch bei zwei anderen Betrieben.	En menos de un minuto, también por la noche y el fin de semana. De eso va todo: quien mira tu web a las once menos cuarto de la noche suele preguntar también a otras dos empresas.
Blijft het stil, dan gaat het naar de opvolging, net als bij elk ander kanaal.	Si le silence persiste, cela passe au suivi, comme pour tout autre canal.	If it stays quiet, it goes to the follow-up, just as with any other channel.	Bleibt es still, geht es ins Nachfassen, wie bei jedem anderen Kanal.	Si se queda en silencio, pasa al seguimiento, igual que en cualquier otro canal.
Bovendien gaat het regelmatig fout: twee kopers krijgen hetzelfde tijdslot, of de wagen blijkt net verkocht.	En plus, cela tourne mal régulièrement : deux acheteurs reçoivent le même créneau, ou le véhicule vient d'être vendu.	On top of that it regularly goes wrong: two buyers get the same slot, or the vehicle turns out to have just been sold.	Dazu geht es regelmäßig schief: Zwei Käufer bekommen dasselbe Zeitfenster, oder das Fahrzeug ist gerade verkauft.	Además sale mal con frecuencia: dos compradores reciben el mismo hueco, o el vehículo resulta estar recién vendido.
Bovendien staat er in zo’n mail vaak meer dan in een chatbericht: welke wagen, wat hij nu rijdt, wanneer hij tijd heeft. Dat is gratis informatie die ongebruikt blijft.	En plus, un tel courriel en dit souvent plus qu'un message de chat : quel véhicule, ce qu'il conduit aujourd'hui, quand il est disponible. C'est de l'information gratuite qui reste inutilisée.	On top of that such an email often says more than a chat message: which vehicle, what they drive now, when they are free. That is free information going unused.	Zudem steht in so einer Mail oft mehr als in einer Chatnachricht: welches Fahrzeug, was er heute fährt, wann er Zeit hat. Das sind kostenlose Informationen, die ungenutzt bleiben.	Además, en ese correo suele haber más que en un mensaje de chat: qué vehículo, qué conduce ahora, cuándo tiene tiempo. Es información gratis que se queda sin usar.
Brandstof	Carburant	Fuel	Kraftstoff	Combustible
Budget	Budget	Budget	Budget	Presupuesto
Budget en termijn, als hij die noemt	Le budget et la durée, s'il les mentionne	Budget and term, if they mention them	Budget und Laufzeit, falls er sie nennt	Presupuesto y plazo, si los menciona
Budget, carrosserie, brandstof, transmissie, kilometers en waarvoor hij de wagen gebruikt. Vier vragen, geen formulier van twintig velden.	Budget, carrosserie, carburant, transmission, kilométrage et usage prévu. Quatre questions, pas un formulaire de vingt champs.	Budget, body style, fuel, transmission, mileage and what they use the car for. Four questions, not a twenty-field form.	Budget, Karosserie, Kraftstoff, Getriebe, Kilometer und wofür er das Auto nutzt. Vier Fragen, kein Formular mit zwanzig Feldern.	Presupuesto, carrocería, combustible, cambio, kilómetros y para qué usa el coche. Cuatro preguntas, no un formulario de veinte campos.
Budget, type, gebruik en wat de koper echt belangrijk vindt.	Budget, type, usage et ce qui compte vraiment pour l'acheteur.	Budget, type, use and what the buyer really cares about.	Budget, Typ, Nutzung und was dem Käufer wirklich wichtig ist.	Presupuesto, tipo, uso y lo que de verdad le importa al comprador.
CRM van je bedrijf	Le CRM de votre entreprise	Your company's CRM	Das CRM Ihres Betriebs	El CRM de tu empresa
Campagnes of aanbiedingen naar je hele bestand	Des campagnes ou des offres à tout votre fichier	Campaigns or offers to your whole database	Kampagnen oder Angebote an Ihren gesamten Bestand	Campañas u ofertas a toda tu base de datos
Combineert de berekening met een rit in dezelfde afspraak.	Combine le calcul et un essai dans le même rendez-vous.	Combines the calculation with a drive in the same appointment.	Verbindet die Berechnung mit einer Fahrt im selben Termin.	Combina el cálculo con una prueba en la misma cita.
Contact vragen wanneer het past	Demander les coordonnées au bon moment	Asking for contact details when it fits	Kontaktdaten erfragen, wenn es passt	Pedir el contacto cuando toca
Contactgegevens vragen bij koopinteresse	Demander les coordonnées en cas d'intérêt d'achat	Asking for contact details on buying interest	Kontaktdaten bei Kaufinteresse erfragen	Pedir los datos de contacto cuando hay interés de compra
Controle en overname	Contrôle et reprise en main	Control and takeover	Kontrolle und Übernahme	Control y relevo
Daar waar je koper toch al zit.	Là où votre acheteur se trouve déjà.	Right where your buyer already is.	Genau dort, wo Ihr Käufer ohnehin schon ist.	Justo donde tu comprador ya está.
Daarna is de vraag niet meer "wat wil deze persoon", maar of dit gaat over beschikbaarheid, een proefrit, een inruil of financiering. Dat onderscheid bepaalt welke vragen erna komen en wanneer een verkoper erbij moet.	Ensuite, la question n'est plus « que veut cette personne », mais s'il s'agit de disponibilité, d'un essai, d'une reprise ou d'un financement. Cette distinction détermine les questions qui suivent et le moment où un vendeur doit intervenir.	After that the question is no longer "what does this person want", but whether this is about availability, a test drive, a trade-in or financing. That distinction sets which questions follow and when a salesperson is needed.	Danach lautet die Frage nicht mehr „was will diese Person", sondern ob es um Verfügbarkeit, eine Probefahrt, eine Inzahlungnahme oder Finanzierung geht. Diese Unterscheidung bestimmt die folgenden Fragen und wann ein Verkäufer dazu muss.	Después la pregunta ya no es «qué quiere esta persona», sino si esto va de disponibilidad, de una prueba, de una entrega o de financiación. Esa distinción marca qué preguntas vienen después y cuándo hace falta un vendedor.
Daarna komen de andere vijf.	Ensuite viennent les cinq autres.	After that come the other five.	Danach kommen die anderen fünf.	Después vienen los otros cinco.
Daarna laten we het zien op de werkstroom die bij jou het grootste gat dicht. Meestal is dat de nieuwe aanvraag of de opvolging, want daar zit de snelste winst en is het effect meteen te meten.	Ensuite, nous le montrons sur le flux qui comble le plus grand trou chez vous. C'est le plus souvent la nouvelle demande ou le suivi, car c'est là que le gain est le plus rapide et l'effet immédiatement mesurable.	Then we show it on the workflow that closes your biggest gap. Usually that is the new enquiry or the follow-up, because that is where the fastest gain sits and the effect is measurable straight away.	Danach zeigen wir es an dem Ablauf, der bei Ihnen die größte Lücke schließt. Meist ist das die neue Anfrage oder das Nachfassen, denn dort liegt der schnellste Gewinn und die Wirkung ist sofort messbar.	Después lo enseñamos en el flujo que tapa tu mayor agujero. Normalmente es la nueva solicitud o el seguimiento, porque ahí está la ganancia más rápida y el efecto se mide de inmediato.
Dag 3 · bezichtiging zaterdag 14:00 · dossier weer actief	Jour 3 · visite samedi 14:00 · dossier réactivé	Day 3 · viewing Saturday 14:00 · file active again	Tag 3 · Besichtigung Samstag 14:00 · Akte wieder aktiv	Día 3 · visita sábado 14:00 · expediente reactivado
Dag Thomas, de X5 waar je naar vroeg staat er nog. Ik heb er een paar extra foto’s van het interieur bij gezet.	Bonjour Thomas, le X5 dont vous parliez est toujours disponible. J'ai ajouté quelques photos de l'intérieur.	Hi Thomas, the X5 you asked about is still available. I've added a few extra photos of the interior.	Hallo Thomas, der X5, nach dem Sie gefragt haben, ist noch da. Ich habe ein paar zusätzliche Innenraumfotos dazugelegt.	Hola Thomas, el X5 por el que preguntaste sigue disponible. He añadido unas fotos más del interior.
Dag, staat die BMW X5 er nog?	Bonjour, ce BMW X5 est-il toujours disponible ?	Hi, is that BMW X5 still available?	Hallo, steht der BMW X5 noch?	Hola, ¿sigue disponible ese BMW X5?
Dan de nieuwe aanvraag, want daar zie je meteen hoeveel er buiten je uren binnenkomt.	Alors la nouvelle demande, car vous y voyez tout de suite combien arrive en dehors de vos heures.	Then the new enquiry, because there you see straight away how much comes in outside your hours.	Dann die neue Anfrage, denn da sehen Sie sofort, wie viel außerhalb Ihrer Zeiten hereinkommt.	Entonces la nueva solicitud, porque ahí ves enseguida cuánto entra fuera de tu horario.
Dan de opvolging, want daar ligt werk dat je al gedaan hebt.	Alors le suivi, car c'est là que se trouve du travail déjà fait.	Then the follow-up, because that is where work you have already done is lying around.	Dann das Nachfassen, denn dort liegt Arbeit, die Sie schon erledigt haben.	Entonces el seguimiento, porque ahí hay trabajo que ya has hecho.
Dan e-mail, want daar ligt de langste en vaak serieuste vraag te wachten.	Alors le courriel, car c'est là qu'attend la demande la plus longue et souvent la plus sérieuse.	Then email, because that is where the longest and often most serious enquiry is waiting.	Dann E-Mail, denn dort wartet die längste und oft ernsteste Anfrage.	Entonces el correo, porque ahí espera la solicitud más larga y a menudo más seria.
Dan passen deze drie: een Volvo XC40 T4 uit 2021 met 62.000 km voor € 31.500, een Kia Sportage hybride uit 2022 met 48.000 km voor € 29.900 en een Peugeot 3008 uit 2021 met 71.000 km voor € 27.950. De Kia is de jongste, de Peugeot de voordeligste.	Alors ces trois-là conviennent : un Volvo XC40 T4 de 2021 avec 62 000 km à 31 500 €, un Kia Sportage hybride de 2022 avec 48 000 km à 29 900 € et une Peugeot 3008 de 2021 avec 71 000 km à 27 950 €. La Kia est la plus récente, la Peugeot la plus abordable.	Then these three fit: a 2021 Volvo XC40 T4 with 62,000 km at €31,500, a 2022 Kia Sportage hybrid with 48,000 km at €29,900 and a 2021 Peugeot 3008 with 71,000 km at €27,950. The Kia is the newest, the Peugeot the best value.	Dann passen diese drei: ein Volvo XC40 T4 von 2021 mit 62.000 km für 31.500 €, ein Kia Sportage Hybrid von 2022 mit 48.000 km für 29.900 € und ein Peugeot 3008 von 2021 mit 71.000 km für 27.950 €. Der Kia ist der jüngste, der Peugeot der günstigste.	Entonces encajan estos tres: un Volvo XC40 T4 de 2021 con 62.000 km por 31.500 €, un Kia Sportage híbrido de 2022 con 48.000 km por 29.900 € y un Peugeot 3008 de 2021 con 71.000 km por 27.950 €. El Kia es el más nuevo, el Peugeot el más barato.
Dan stopt het systeem met antwoorden en krijgt je team meteen een melding, met het hele gesprek en de wagen erbij. Je verkoper gaat verder in dezelfde chat. De koper merkt geen overdracht, hij krijgt gewoon antwoord van een mens.	Alors le système cesse de répondre et votre équipe reçoit aussitôt une alerte, avec toute la conversation et le véhicule. Votre vendeur poursuit dans la même conversation. L'acheteur ne remarque aucun transfert, il reçoit simplement la réponse d'un humain.	Then the system stops answering and your team gets a notification right away, with the whole conversation and the vehicle attached. Your salesperson carries on in the same chat. The buyer notices no handover, they simply get an answer from a person.	Dann hört das System auf zu antworten und Ihr Team bekommt sofort eine Meldung, mit dem ganzen Gespräch und dem Fahrzeug dabei. Ihr Verkäufer macht im selben Chat weiter. Der Käufer merkt von der Übergabe nichts, er bekommt einfach Antwort von einem Menschen.	Entonces el sistema deja de responder y tu equipo recibe un aviso al momento, con toda la conversación y el vehículo. Tu vendedor sigue en el mismo chat. El comprador no nota el traspaso, simplemente recibe respuesta de una persona.
