# nederlands	frans	engels	duits	spaans
APK verloopt	Contrôle technique expire	MOT expires	HU läuft ab	La ITV caduca
APK verloopt 14 november	Contrôle technique expire le 14 novembre	MOT expires 14 November	HU läuft am 14. November ab	La ITV caduca el 14 de noviembre
APK's die aflopen	contrôles techniques qui expirent	MOTs expiring	HU-Termine, die ablaufen	ITV que caducan
APK's die elders geboekt worden	Des contrôles techniques réservés ailleurs	MOTs booked elsewhere	HU-Termine, die woanders gebucht werden	ITV que se reservan en otro sitio
APK, inplannen, gemiste gesprekken, offertes, no-shows. Tien stuks, allemaal binnen hetzelfde systeem en met hetzelfde geheugen.	Contrôle technique, planification, appels manqués, devis, rendez-vous manqués. Dix au total, tous dans le même système et avec la même mémoire.	MOT, scheduling, missed calls, quotes, no-shows. Ten in total, all within the same system and sharing the same memory.	HU, Planung, verpasste Anrufe, Angebote, No-Shows. Zehn Stück, alle im selben System und mit demselben Gedächtnis.	ITV, planificación, llamadas perdidas, presupuestos, citas no presentadas. Diez en total, todos dentro del mismo sistema y con la misma memoria.
APK, onderhoud, banden. Voor elke auto die je ooit zag, staat er een moment in de toekomst waarop hij terug zou moeten komen.	Contrôle technique, entretien, pneus. Pour chaque voiture que vous avez vue un jour, il existe un moment futur où elle devrait revenir.	MOT, servicing, tyres. For every car you have ever seen, there is a moment in the future when it should come back.	HU, Wartung, Reifen. Für jedes Auto, das Sie je gesehen haben, gibt es einen Zeitpunkt in der Zukunft, an dem es wiederkommen müsste.	ITV, mantenimiento, neumáticos. Para cada coche que has visto alguna vez hay un momento futuro en el que debería volver.
APK-agent	Agent contrôle technique	MOT agent	HU-Agent	Agente de ITV
APK-datum	Date du contrôle technique	MOT date	HU-Datum	Fecha de la ITV
APK-datums uit je eigen bestand	Dates de contrôle technique issues de votre propre fichier	MOT dates from your own records	HU-Daten aus Ihrer eigenen Kartei	Fechas de ITV de tu propio fichero
APK-erkende bedrijven	Centres agréés pour le contrôle technique	MOT-approved businesses	HU-anerkannte Betriebe	Talleres autorizados para la ITV
APK-herinnering	Rappel contrôle technique	MOT reminder	HU-Erinnerung	Recordatorio de ITV
APK-vervaldatum	Date d'expiration du contrôle technique	MOT expiry date	HU-Ablaufdatum	Fecha de caducidad de la ITV
Aantal monteurs	Nombre de mécaniciens	Number of mechanics	Anzahl Mechaniker	Número de mecánicos
Achthonderd euro, netjes opgesteld, per mail verstuurd. De klant zegt dat hij erover nadenkt.	Huit cents euros, proprement rédigé, envoyé par mail. Le client dit qu'il va y réfléchir.	Eight hundred euros, neatly drawn up, sent by email. The customer says he will think about it.	Achthundert Euro, sauber aufgestellt, per Mail verschickt. Der Kunde sagt, er denke darüber nach.	Ochocientos euros, bien redactado, enviado por correo. El cliente dice que se lo va a pensar.
Actie	Action	Action	Aktion	Acción
Advies	Conseil	Advice	Empfehlung	Consejo
Afspraak	Rendez-vous	Appointment	Termin	Cita
Afspraak met leenauto	Rendez-vous avec véhicule de courtoisie	Appointment with courtesy car	Termin mit Ersatzwagen	Cita con coche de cortesía
Afspraak vastgezet	Rendez-vous confirmé	Appointment booked	Termin fixiert	Cita confirmada
Afspraak vastgezet en bevestigd	Rendez-vous fixé et confirmé	Appointment booked and confirmed	Termin fixiert und bestätigt	Cita fijada y confirmada
Afspraak voorstellen en vastzetten	Proposer un rendez-vous et le fixer	Propose an appointment and book it	Termin vorschlagen und fixieren	Proponer una cita y fijarla
Afspraken die eruit voortkwamen	Rendez-vous qui en découlent	Appointments that came out of them	Termine, die daraus entstanden	Citas que salieron de ahí
Afspraken die in je planning passen, niet ernaast	Des rendez-vous qui entrent dans votre planning, pas à côté	Appointments that fit your planning, not beside it	Termine, die in Ihre Planung passen, nicht daneben	Citas que encajan en tu planning, no al lado
Afspraken die in je planning passen, niet ernaast.	Des rendez-vous qui entrent dans votre planning, pas à côté.	Appointments that fit your planning, not beside it.	Termine, die in Ihre Planung passen, nicht daneben.	Citas que encajan en tu planning, no al lado.
Afspraken doorschrijven	Transmettre les rendez-vous	Write appointments through	Termine durchschreiben	Traspasar las citas
Afspraken en klantgegevens naar het pakket waar de meeste onafhankelijke garages in werken.	Rendez-vous et données clients vers le logiciel utilisé par la plupart des garages indépendants.	Appointments and customer data into the package most independent garages work in.	Termine und Kundendaten in das Paket, mit dem die meisten freien Werkstätten arbeiten.	Citas y datos de cliente al programa con el que trabajan la mayoría de los talleres independientes.
Afspraken en klantgegevens naar het pakket, en beschikbaarheid eruit ophalen voor er iets beloofd wordt.	Rendez-vous et données clients vers le logiciel, et disponibilités récupérées avant toute promesse.	Appointments and customer data into the package, and availability pulled out of it before anything is promised.	Termine und Kundendaten in das Paket, und Verfügbarkeit daraus abrufen, bevor etwas zugesagt wird.	Citas y datos de cliente al programa, y disponibilidad consultada antes de prometer nada.
Afspraken in Google Agenda	Rendez-vous dans Google Agenda	Appointments in Google Calendar	Termine in Google Kalender	Citas en Google Calendar
Afspraken in Google Agenda of een agenda die je aanwijst	Rendez-vous dans Google Agenda ou dans l'agenda que vous désignez	Appointments in Google Calendar or a calendar you designate	Termine in Google Kalender oder in einem Kalender, den Sie angeben	Citas en Google Calendar o en la agenda que indiques
Afspraken in Google Agenda, die veel bedrijven ernaast gebruiken	Rendez-vous dans Google Agenda, que beaucoup d'entreprises utilisent en parallèle	Appointments in Google Calendar, which many businesses use alongside	Termine in Google Kalender, den viele Betriebe nebenher nutzen	Citas en Google Calendar, que muchas empresas usan en paralelo
Afspraken komen in Google Agenda	Les rendez-vous arrivent dans Google Agenda	Appointments land in Google Calendar	Termine landen in Google Kalender	Las citas llegan a Google Calendar
Afspraken komen rechtstreeks in de agenda waar veel werkplaatsen toch al mee plannen. Dit werkt vandaag.	Les rendez-vous arrivent directement dans l'agenda avec lequel beaucoup d'ateliers planifient déjà. Cela fonctionne aujourd'hui.	Appointments land directly in the calendar many workshops already plan with. This works today.	Termine landen direkt in dem Kalender, mit dem viele Werkstätten ohnehin planen. Das funktioniert heute.	Las citas llegan directamente a la agenda con la que ya planifican muchos talleres. Esto funciona hoy.
Agent 01 van tien	Agent 01 sur dix	Agent 01 of ten	Agent 01 von zehn	Agente 01 de diez
Agent 02 van tien	Agent 02 sur dix	Agent 02 of ten	Agent 02 von zehn	Agente 02 de diez
Agent 03 van tien	Agent 03 sur dix	Agent 03 of ten	Agent 03 von zehn	Agente 03 de diez
Agent 04 van tien	Agent 04 sur dix	Agent 04 of ten	Agent 04 von zehn	Agente 04 de diez
Agent 05 van tien	Agent 05 sur dix	Agent 05 of ten	Agent 05 von zehn	Agente 05 de diez
Agent 06 van tien	Agent 06 sur dix	Agent 06 of ten	Agent 06 von zehn	Agente 06 de diez
Agent 07 van tien	Agent 07 sur dix	Agent 07 of ten	Agent 07 von zehn	Agente 07 de diez
Agent 08 van tien	Agent 08 sur dix	Agent 08 of ten	Agent 08 von zehn	Agente 08 de diez
Agent 09 van tien	Agent 09 sur dix	Agent 09 of ten	Agent 09 von zehn	Agente 09 de diez
Agent 10 van tien	Agent 10 sur dix	Agent 10 of ten	Agent 10 von zehn	Agente 10 de diez
Agents	Agents	Agents	Agents	Agentes
Ah, morgen lukt me eigenlijk niet, ik moet werken.	Ah, demain ça ne va pas en fait, je dois travailler.	Ah, tomorrow does not actually work for me, I have to work.	Ah, morgen passt mir eigentlich nicht, ich muss arbeiten.	Ah, mañana no me va bien, tengo que trabajar.
Alle auto's waarvan de APK binnen zes weken verloopt, komen in beeld. Je bepaalt zelf hoeveel weken vooruit en hoeveel berichten er per dag uitgaan, zodat je planning het aankan.	Toutes les voitures dont le contrôle technique expire dans les six semaines apparaissent. Vous décidez vous-même combien de semaines à l'avance et combien de messages partent par jour, pour que votre planning suive.	Every car whose MOT expires within six weeks comes into view. You decide how many weeks ahead and how many messages go out per day, so your planning can handle it.	Alle Autos, deren HU innerhalb von sechs Wochen abläuft, erscheinen. Sie bestimmen selbst, wie viele Wochen im Voraus und wie viele Nachrichten pro Tag rausgehen, damit Ihre Planung es verkraftet.	Aparecen todos los coches cuya ITV caduca dentro de seis semanas. Tú decides con cuántas semanas de antelación y cuántos mensajes salen al día, para que tu planning lo aguante.
Alle details per koppeling staan op	Tous les détails par intégration se trouvent sur	All the details per integration are on	Alle Details je Anbindung stehen auf	Todos los detalles de cada integración están en
Alle gesprekken teruglezen en exporteren	Relire et exporter toutes les conversations	Read back and export every conversation	Alle Gespräche nachlesen und exportieren	Releer y exportar todas las conversaciones
Alle koppelingen	Toutes les intégrations	All integrations	Alle Anbindungen	Todas las integraciones
Alle tien	Tous les dix	All ten	Alle zehn	Los diez
Alle tien agents	Les dix agents	All ten agents	Alle zehn Agents	Los diez agentes
Alle tien in detail	Les dix en détail	All ten in detail	Alle zehn im Detail	Los diez en detalle
Alle tien werkstromen draaien	Les dix flux de travail tournent	All ten workflows running	Alle zehn Arbeitsabläufe laufen	Los diez flujos de trabajo funcionando
Alleen niet bij jou.	Simplement pas chez vous.	Just not to you.	Nur nicht bei Ihnen.	Solo que no a ti.
Alleen wat nodig is voor de werkstromen die je aanzet, en alleen binnen de EU. Wat we bewaren en hoelang staat in het	Uniquement ce qui est nécessaire aux flux que vous activez, et uniquement dans l'UE. Ce que nous conservons et pendant combien de temps figure dans la	Only what is needed for the workflows you switch on, and only within the EU. What we store and for how long is in the	Nur das, was für die Abläufe nötig ist, die Sie einschalten, und nur innerhalb der EU. Was wir speichern und wie lange, steht in der	Solo lo necesario para los flujos que actives, y solo dentro de la UE. Lo que guardamos y durante cuánto tiempo está en la
Alleen zolang het nodig is voor het gesprek en de afspraak, en met een bewaartermijn die je zelf zet. Wat er bewaard wordt staat in het	Uniquement le temps nécessaire à la conversation et au rendez-vous, avec une durée de conservation que vous fixez vous-même. Ce qui est conservé figure dans la	Only for as long as the conversation and the appointment need it, with a retention period you set yourself. What is stored is in the	Nur so lange, wie es für das Gespräch und den Termin nötig ist, mit einer Aufbewahrungsfrist, die Sie selbst setzen. Was gespeichert wird, steht in der	Solo mientras hagan falta para la conversación y la cita, con un plazo de conservación que fijas tú. Lo que se guarda está en la
Alles exporteerbaar	Tout exportable	Everything exportable	Alles exportierbar	Todo exportable
Alles komt uit op hetzelfde tijdslot in dezelfde agenda. Geen twee agents die dezelfde ochtend aan twee mensen beloven.	Tout aboutit au même créneau dans le même agenda. Pas deux agents qui promettent la même matinée à deux personnes.	Everything comes out at the same slot in the same calendar. No two agents promising the same morning to two people.	Alles mündet in denselben Zeitfenster im selben Kalender. Keine zwei Agents, die denselben Vormittag an zwei Leute versprechen.	Todo desemboca en la misma franja de la misma agenda. No hay dos agentes prometiendo la misma mañana a dos personas.
Alles op één pagina, inclusief wat er niet is.	Tout sur une seule page, y compris ce qui n'existe pas.	Everything on one page, including what does not exist.	Alles auf einer Seite, einschließlich dessen, was es nicht gibt.	Todo en una página, incluido lo que no existe.
Alles tegelijk aanzetten klinkt efficiënt en werkt zelden. Je weet dan niet wat er werkt, je team raakt het overzicht kwijt en de eerste fout in één werkstroom zet je hele bedrijf op scherp. Eén aanzetten, vier weken meten, dan de volgende.	Tout activer d'un coup semble efficace et fonctionne rarement. Vous ne savez plus ce qui marche, votre équipe perd la vue d'ensemble et la première erreur dans un flux met toute l'entreprise sur ses gardes. En activer un, mesurer quatre semaines, puis le suivant.	Switching everything on at once sounds efficient and rarely works. You then do not know what is working, your team loses the overview, and the first mistake in one workflow puts your whole business on edge. Switch one on, measure for four weeks, then the next.	Alles auf einmal einzuschalten klingt effizient und funktioniert selten. Sie wissen dann nicht, was wirkt, Ihr Team verliert den Überblick, und der erste Fehler in einem Ablauf bringt den ganzen Betrieb in Alarmbereitschaft. Einen einschalten, vier Wochen messen, dann den nächsten.	Encenderlo todo a la vez suena eficiente y casi nunca funciona. Así no sabes qué funciona, tu equipo pierde la visión de conjunto y el primer fallo en un flujo pone en guardia a toda la empresa. Enciende uno, mide cuatro semanas, luego el siguiente.
Alles wat bij een auto hoort op één plek, zodat het gesprek daar niet opnieuw mee hoeft te beginnen.	Tout ce qui concerne une voiture au même endroit, pour que la conversation n'ait pas à recommencer par là.	Everything belonging to a car in one place, so the conversation does not have to start there again.	Alles, was zu einem Auto gehört, an einem Ort, damit das Gespräch nicht wieder damit anfangen muss.	Todo lo que pertenece a un coche en un solo sitio, para que la conversación no tenga que empezar otra vez por ahí.
Als een garage die hiermee werkt meedoet aan de pilot. Dan pas weten we welke velden er werkelijk toe doen.	Quand un garage qui l'utilise participera au pilote. C'est seulement là que nous saurons quels champs comptent vraiment.	When a garage that works with it joins the pilot. Only then do we know which fields actually matter.	Wenn eine Werkstatt, die damit arbeitet, beim Piloten mitmacht. Erst dann wissen wir, welche Felder wirklich zählen.	Cuando un taller que lo usa entre en el piloto. Solo entonces sabremos qué campos importan de verdad.
Als een systeem hier	Si un système en récupère	If a system catches	Wenn ein System davon	Si un sistema recupera el
Als je hier staat, zeggen we dat liever in het eerste gesprek dan in maand drie.	Si vous êtes dans ce cas, nous préférons le dire dès le premier entretien plutôt qu'au troisième mois.	If you are in this list, we would rather say so in the first conversation than in month three.	Wenn Sie hier stehen, sagen wir das lieber im ersten Gespräch als im dritten Monat.	Si estás en esta lista, preferimos decirlo en la primera conversación y no en el tercer mes.
Anderhalf uur werkplaats staat stil terwijl de kosten gewoon doorlopen.	Une heure et demie d'atelier à l'arrêt pendant que les frais continuent de courir.	An hour and a half of workshop stands still while the costs simply carry on.	Anderthalb Stunden Werkstatt stehen still, während die Kosten einfach weiterlaufen.	Hora y media de taller parado mientras los costes siguen corriendo.
Anders dan bij onderdelen kun je een uur werkplaats niet terugleggen in het schap. Een tijdslot dat leeg blijft, is voorgoed weg. En toch is dit de kostenpost die het minst in de gaten wordt gehouden, omdat hij nergens op een factuur verschijnt.	Contrairement aux pièces, une heure d'atelier ne se remet pas en rayon. Un créneau resté vide est perdu pour de bon. Et pourtant c'est le poste de coût le moins surveillé, parce qu'il n'apparaît sur aucune facture.	Unlike parts, you cannot put an hour of workshop back on the shelf. A slot that stays empty is gone for good. And yet this is the cost that gets watched the least, because it never appears on an invoice.	Anders als bei Teilen können Sie eine Werkstattstunde nicht ins Regal zurücklegen. Ein Zeitfenster, das leer bleibt, ist endgültig weg. Und trotzdem ist das der Kostenposten, auf den am wenigsten geachtet wird, weil er auf keiner Rechnung auftaucht.	A diferencia de los recambios, una hora de taller no se puede devolver a la estantería. Una franja que se queda vacía se pierde para siempre. Y aun así es el coste que menos se vigila, porque no aparece en ninguna factura.
Anoniem in de publicatie, tenzij je met naam wil.	Anonyme dans la publication, sauf si vous voulez y figurer sous votre nom.	Anonymous in the write-up, unless you want to be named.	Anonym in der Veröffentlichung, es sei denn, Sie möchten mit Namen genannt werden.	Anónimo en la publicación, salvo que quieras aparecer con nombre.
Antwoorden is het begin, niet het einde.	Répondre, c'est le début, pas la fin.	Answering is the beginning, not the end.	Antworten ist der Anfang, nicht das Ende.	Responder es el principio, no el final.
Arbeid plus onderdelen, gemiddeld over keuringen, beurten en reparaties.	Main-d'œuvre plus pièces, en moyenne sur les contrôles, entretiens et réparations.	Labour plus parts, averaged across MOTs, services and repairs.	Arbeit plus Teile, im Schnitt über HU, Inspektionen und Reparaturen.	Mano de obra más recambios, de media entre ITV, revisiones y reparaciones.
Autobedrijven waar de balie ook honderd andere dingen doet	Des garages où le comptoir fait aussi cent autres choses	Garages where the front desk also does a hundred other things	Autobetriebe, in denen der Empfang auch hundert andere Dinge macht	Talleres donde el mostrador hace además otras cien cosas
Autoflex	Autoflex	Autoflex	Autoflex	Autoflex
Autoflex.	Autoflex.	Autoflex.	Autoflex.	Autoflex.
AutomaaT GO	AutomaaT GO	AutomaaT GO	AutomaaT GO	AutomaaT GO
AutomaaT GO.	AutomaaT GO.	AutomaaT GO.	AutomaaT GO.	AutomaaT GO.
Automatisch bijwerken wanneer een APK is afgemeld	Mise à jour automatique lorsqu'un contrôle technique est enregistré	Automatic updating when an MOT has been registered	Automatische Aktualisierung, wenn eine HU gemeldet wurde	Actualización automática cuando se registra una ITV
Automotive kennis	Connaissance de l'automobile	Automotive knowledge	Automotive-Wissen	Conocimiento del sector del automóvil
Avonden en zaterdagen tellen mee	Les soirées et les samedis comptent	Evenings and Saturdays count	Abende und Samstage zählen mit	Las tardes y los sábados cuentan
Balie helpt een klant, monteurs staan aan een auto. De beller wacht drie keer over en belt dan de garage verderop. Je weet niet eens dat hij belde.	Le comptoir sert un client, les mécaniciens sont sur une voiture. Celui qui appelle patiente trois sonneries puis appelle le garage d'à côté. Vous ne savez même pas qu'il a appelé.	The front desk is helping a customer, the mechanics are on a car. The caller waits through three rings and then calls the garage down the road. You do not even know he called.	Der Empfang bedient einen Kunden, die Mechaniker stehen an einem Auto. Der Anrufer wartet drei Klingelzeichen ab und ruft dann die Werkstatt weiter unten an. Sie wissen nicht einmal, dass er angerufen hat.	El mostrador atiende a un cliente, los mecánicos están con un coche. Quien llama espera tres tonos y luego llama al taller de al lado. Ni siquiera te enteras de que llamó.
Banden die al twee seizoenen in je opslag liggen van klanten die niet meer komen.	Des pneus qui dorment depuis deux saisons dans votre stockage, appartenant à des clients qui ne viennent plus.	Tyres that have been sitting in your storage for two seasons, belonging to customers who no longer come.	Reifen, die seit zwei Saisons in Ihrem Lager liegen, von Kunden, die nicht mehr kommen.	Neumáticos que llevan dos temporadas en tu almacén, de clientes que ya no vienen.
Banden verkopen op het juiste moment	Vendre des pneus au bon moment	Selling tyres at the right moment	Reifen zum richtigen Zeitpunkt verkaufen	Vender neumáticos en el momento justo
Bandenwissel	Changement de pneus	Tyre change	Reifenwechsel	Cambio de neumáticos
Bandenwissels zijn op zichzelf geen grote omzet. Maar het is wel het moment waarop je de auto ziet, de profieldiepte meet en de volgende set verkoopt.	Un changement de pneus ne rapporte pas grand-chose en soi. Mais c'est le moment où vous voyez la voiture, mesurez la profondeur des sculptures et vendez le jeu suivant.	A tyre change is not much turnover in itself. But it is the moment you see the car, measure the tread depth and sell the next set.	Ein Reifenwechsel ist für sich genommen wenig Umsatz. Aber es ist der Moment, in dem Sie das Auto sehen, die Profiltiefe messen und den nächsten Satz verkaufen.	Un cambio de neumáticos no es mucha facturación en sí. Pero es el momento en que ves el coche, mides la profundidad del dibujo y vendes el siguiente juego.
Beantwoordt de leenautovraag die vaak meteen volgt.	Répond à la question du véhicule de courtoisie, qui suit souvent immédiatement.	Answers the courtesy car question that usually follows straight away.	Beantwortet die Ersatzwagenfrage, die meist sofort folgt.	Responde a la pregunta del coche de cortesía, que suele venir justo después.
Beantwoordt vragen.	Répond aux questions.	Answers questions.	Beantwortet Fragen.	Responde preguntas.
Bedoeling	Intention	Intent	Absicht	Intención
Bedrijven die al genoeg klanten hebben, maar te weinig tijd	Des entreprises qui ont déjà assez de clients, mais trop peu de temps	Businesses that already have enough customers, but too little time	Betriebe, die schon genug Kunden haben, aber zu wenig Zeit	Empresas que ya tienen bastantes clientes, pero poco tiempo
Bedrijven die alleen verkopen en geen werkplaats hebben	Des entreprises qui ne font que de la vente et n'ont pas d'atelier	Businesses that only sell and have no workshop	Betriebe, die nur verkaufen und keine Werkstatt haben	Empresas que solo venden y no tienen taller
Begin in september. Niet in de week van de vorst.	Commencez en septembre. Pas la semaine du gel.	Start in September. Not in the week of the first frost.	Fangen Sie im September an. Nicht in der Frostwoche.	Empieza en septiembre. No en la semana de la helada.
Begin met één.	Commencez par un seul.	Start with one.	Fangen Sie mit einem an.	Empieza por uno.
Beginnen in september in plaats van in de week van de eerste vorst. Dezelfde omzet, over vier weken verdeeld.	Commencer en septembre plutôt que la semaine des premières gelées. Le même chiffre d'affaires, réparti sur quatre semaines.	Starting in September instead of in the week of the first frost. The same turnover, spread across four weeks.	Im September anfangen statt in der Woche des ersten Frosts. Derselbe Umsatz, über vier Wochen verteilt.	Empezar en septiembre en vez de en la semana de la primera helada. La misma facturación, repartida en cuatro semanas.
Begrijpen	Comprendre	Understand	Verstehen	Entender
Bekijk Faro tijdens een demo	Découvrez Faro pendant une démo	See Faro during a demo	Faro in einer Demo ansehen	Conoce a Faro en una demo
Bekijk de pilot	Voir le pilote	See the pilot	Zum Piloten	Ver el piloto
Bekijk de tien agents	Voir les dix agents	See the ten agents	Die zehn Agents ansehen	Ver los diez agentes
Bekijk de vijf lagen	Voir les cinq couches	See the five layers	Die fünf Schichten ansehen	Ver las cinco capas
Bekijk het systeem	Voir le système	See the system	Das System ansehen	Ver el sistema
Bekijk ze allemaal	Voyez-les toutes	See them all	Alle ansehen	Verlos todos
Belgische kentekens werken anders dan Nederlandse. Rijd je aan beide kanten van de grens, zeg dat dan in het eerste gesprek.	Les plaques belges fonctionnent autrement que les néerlandaises. Si vous travaillez des deux côtés de la frontière, dites-le dès le premier entretien.	Belgian number plates work differently from Dutch ones. If you work on both sides of the border, say so in the first conversation.	Belgische Kennzeichen funktionieren anders als niederländische. Wenn Sie auf beiden Seiten der Grenze arbeiten, sagen Sie das im ersten Gespräch.	Las matrículas belgas funcionan de otra manera que las neerlandesas. Si trabajas a ambos lados de la frontera, dilo en la primera conversación.
Belt, appt of vult het formulier in.	Appelle, écrit sur WhatsApp ou remplit le formulaire.	Calls, messages or fills in the form.	Ruft an, schreibt per WhatsApp oder füllt das Formular aus.	Llama, escribe por WhatsApp o rellena el formulario.
Benaderd, gereageerd, geboekt. Per week te volgen.	Contactés, réponses, réservations. À suivre par semaine.	Approached, replied, booked. Trackable per week.	Angeschrieben, geantwortet, gebucht. Wöchentlich nachzuverfolgen.	Contactados, respondidos, reservados. Se sigue por semana.
Benaderen voor de piek begint	Contacter avant que le pic ne commence	Approaching before the peak begins	Ansprechen, bevor die Spitze beginnt	Contactar antes de que empiece el pico
Benaderen, een datum aanbieden en vastzetten.	Contacter, proposer une date et la fixer.	Approach, offer a date and lock it in.	Ansprechen, ein Datum anbieten und fixieren.	Contactar, ofrecer una fecha y fijarla.
Benaderen, voorstellen en vastzetten, met klussen gecombineerd.	Contacter, proposer et fixer, en combinant les interventions.	Approach, propose and book, with jobs combined.	Ansprechen, vorschlagen und fixieren, mit kombinierten Arbeiten.	Contactar, proponer y fijar, combinando trabajos.
Bepaalt hoelang de klus duurt en dus of er een leenauto nodig is.	Détermine la durée de l'intervention et donc la nécessité d'un véhicule de courtoisie.	Determines how long the job takes and therefore whether a courtesy car is needed.	Bestimmt, wie lange die Arbeit dauert und ob damit ein Ersatzwagen nötig ist.	Determina cuánto dura el trabajo y por tanto si hace falta coche de cortesía.
Beschikbaarheid en prijs erbij	Disponibilité et prix en prime	Availability and price included	Verfügbarkeit und Preis dazu	Disponibilidad y precio incluidos
Beschikbaarheid klopt op het moment van boeken	La disponibilité est juste au moment de la réservation	Availability is correct at the moment of booking	Die Verfügbarkeit stimmt im Moment der Buchung	La disponibilidad es correcta en el momento de reservar
Beschikbaarheid live ophalen	Récupérer les disponibilités en direct	Pulling availability live	Verfügbarkeit live abrufen	Consultar la disponibilidad en directo
Beschikbaarheid nakijken, voorwaarden noemen, reserveren.	Vérifier la disponibilité, énoncer les conditions, réserver.	Check availability, state the conditions, reserve.	Verfügbarkeit prüfen, Bedingungen nennen, reservieren.	Comprobar disponibilidad, indicar condiciones, reservar.
Beschikbaarheid ophalen	Récupérer les disponibilités	Pulling availability	Verfügbarkeit abrufen	Consultar la disponibilidad
Beschikbaarheid, voorwaarden en reservering in één gesprek.	Disponibilité, conditions et réservation en une seule conversation.	Availability, conditions and reservation in one conversation.	Verfügbarkeit, Bedingungen und Reservierung in einem Gespräch.	Disponibilidad, condiciones y reserva en una sola conversación.
Bespreek deze cijfers	Discutez de ces chiffres	Discuss these numbers	Diese Zahlen besprechen	Comenta estas cifras
Beurt en keuring samen is meer omzet per bezoek en een rit minder voor de klant. Iedereen wint daarbij.	Entretien et contrôle technique ensemble, c'est plus de chiffre par visite et un trajet de moins pour le client. Tout le monde y gagne.	A service and an MOT together is more turnover per visit and one trip less for the customer. Everyone wins.	Inspektion und HU zusammen bedeuten mehr Umsatz pro Besuch und eine Fahrt weniger für den Kunden. Davon haben alle etwas.	Revisión e ITV juntas son más facturación por visita y un viaje menos para el cliente. Ganan todos.
Bevestigen bij het boeken	Confirmer à la réservation	Confirm at booking	Bei der Buchung bestätigen	Confirmar al reservar
