# nederlands	frans	engels	duits	spaans
Hoe het werkt	Comment ça marche	How it works	So funktioniert es	Cómo funciona
In de pilot meten we hoeveel van je aanvragen bij jou werkelijk een afspraak wordt, voor en na. Dat cijfer is van jou, ook als je daarna stopt.	Dans le pilote, nous mesurons quelle part de vos demandes devient réellement un rendez-vous chez vous, avant et après. Ce chiffre est le vôtre, même si vous arrêtez ensuite.	In the pilot we measure how many of your enquiries actually become an appointment at your business, before and after. That figure is yours, also if you stop afterwards.	Im Piloten messen wir, wie viele Ihrer Anfragen bei Ihnen wirklich ein Termin werden, vorher und nachher. Diese Zahl gehört Ihnen, auch wenn Sie danach aufhören.	En el piloto medimos cuántas de tus solicitudes acaban realmente en cita en tu empresa, antes y después. Esa cifra es tuya, también si luego lo dejas.
In die halve dag heeft hij bij een ander bedrijf al gereden. Niet omdat dat bedrijf beter is, maar omdat het antwoord daar sneller kwam.	Dans cette demi-journée, il a déjà essayé chez une autre entreprise. Pas parce qu'elle est meilleure, mais parce que la réponse y est arrivée plus vite.	In that half day they have already driven at another business. Not because that business is better, but because the answer came faster there.	In diesem halben Tag ist er schon bei einem anderen Betrieb gefahren. Nicht weil der besser ist, sondern weil die Antwort dort schneller kam.	En ese medio día ya ha probado en otra empresa. No porque sea mejor, sino porque allí la respuesta llegó antes.
In onze gegevens staat geen schadeverleden. De volledige historiek ligt bij de wagen, die kun je ter plaatse inkijken.	Nos données ne mentionnent aucun antécédent de dommage. L'historique complet se trouve avec le véhicule, vous pouvez le consulter sur place.	Our data shows no damage history. The full history is with the vehicle, you can look at it on site.	In unseren Daten steht keine Schadenhistorie. Die vollständige Historie liegt beim Fahrzeug, die können Sie vor Ort einsehen.	En nuestros datos no consta historial de daños. El historial completo está con el vehículo, puedes consultarlo allí.
In plaats van "dat hangt ervan af" komt er een afspraak waarin het wel uitgerekend wordt.	Au lieu de « cela dépend », il y a un rendez-vous où le calcul est bel et bien fait.	Instead of "that depends" there is an appointment where it does get worked out.	Statt „das kommt darauf an" gibt es einen Termin, in dem es tatsächlich ausgerechnet wird.	En lugar de «eso depende» hay una cita en la que sí se calcula.
In plaats van een losse mail met "is deze nog beschikbaar" ligt er een gesprek met een wagen, een termijn en een afspraak.	Au lieu d'un courriel isolé disant « est-elle encore disponible », il y a une conversation avec un véhicule, une durée et un rendez-vous.	Instead of a loose email saying "is this still available" there is a conversation with a vehicle, a term and an appointment.	Statt einer losen Mail mit „ist der noch verfügbar" liegt ein Gespräch vor, mit Fahrzeug, Laufzeit und Termin.	En lugar de un correo suelto diciendo «¿sigue disponible?» hay una conversación con un vehículo, un plazo y una cita.
In twintig minuten lopen we jouw week door. Hoeveel aanvragen er binnenkomen via je website, WhatsApp en e-mail, hoe snel ze een antwoord krijgen, hoeveel er een afspraak worden en waar het bij jou weglekt.	En vingt minutes, nous passons votre semaine en revue. Combien de demandes arrivent via votre site, WhatsApp et le courriel, à quelle vitesse elles reçoivent une réponse, combien deviennent un rendez-vous et où cela fuit chez vous.	In twenty minutes we walk through your week. How many enquiries come in through your website, WhatsApp and email, how fast they get an answer, how many become an appointment and where it leaks away at your business.	In zwanzig Minuten gehen wir Ihre Woche durch. Wie viele Anfragen über Ihre Website, WhatsApp und E-Mail hereinkommen, wie schnell sie beantwortet werden, wie viele ein Termin werden und wo es bei Ihnen versickert.	En veinte minutos repasamos tu semana. Cuántas solicitudes entran por tu web, WhatsApp y correo, con qué rapidez reciben respuesta, cuántas acaban en cita y dónde se escapa en tu caso.
Inruil	Reprise	Trade-in	Inzahlungnahme	Entrega del usado
Inruil bij hetzelfde dossier	La reprise dans le même dossier	Trade-in with the same file	Inzahlungnahme in derselben Akte	La entrega en el mismo expediente
Inruil en financiering	Reprise et financement	Trade-in and financing	Inzahlungnahme und Finanzierung	Entrega y financiación
Inruil, als die ter sprake komt	La reprise, si elle est évoquée	Trade-in, if it comes up	Inzahlungnahme, falls sie zur Sprache kommt	La entrega, si se menciona
Inruil, budget, termijn, wanneer hij kan. Wat er in de mail staat, hoeft niemand nog een keer te vragen.	Reprise, budget, durée, quand il est disponible. Ce qui figure dans le courriel, personne n'a besoin de le redemander.	Trade-in, budget, term, when they are free. What the email says, nobody has to ask again.	Inzahlungnahme, Budget, Laufzeit, wann er kann. Was in der Mail steht, muss niemand erneut fragen.	Entrega, presupuesto, plazo, cuándo puede. Lo que pone en el correo nadie tiene que volver a preguntarlo.
Inruilen die je misloopt	Les reprises qui vous échappent	Trade-ins you miss out on	Inzahlungnahmen, die Ihnen entgehen	Entregas que se te escapan
Interesse	Intérêt	Interest	Interesse	Interés
Is de wagen inmiddels verkocht, dan wordt dat gezegd, met een alternatief uit je voorraad erbij.	Si le véhicule a entre-temps été vendu, c'est dit, avec une alternative issue de votre stock.	If the vehicle has been sold in the meantime, that gets said, with an alternative from your stock alongside.	Ist das Fahrzeug inzwischen verkauft, wird das gesagt, mit einer Alternative aus Ihrem Bestand dazu.	Si el vehículo ya se ha vendido, se dice, con una alternativa de tu stock al lado.
Is een koopsignaal.	C'est un signal d'achat.	Is a buying signal.	Ist ein Kaufsignal.	Es una señal de compra.
Is er onderhoudshistoriek?	Y a-t-il un historique d'entretien ?	Is there a service history?	Gibt es eine Wartungshistorie?	¿Hay historial de mantenimiento?
Is meestal het gesprek waar deze vraag in opduikt.	C'est généralement la conversation où cette question surgit.	Is usually the conversation this question pops up in.	Ist meist das Gespräch, in dem diese Frage auftaucht.	Suele ser la conversación en la que surge esta pregunta.
Ja, de Golf GTI uit 2022 met 41.000 km staat er nog, € 34.500.	Oui, la Golf GTI de 2022 avec 41 000 km est toujours là, 34 500 €.	Yes, the 2022 Golf GTI with 41,000 km is still here, €34,500.	Ja, der Golf GTI von 2022 mit 41.000 km steht noch da, 34.500 €.	Sí, el Golf GTI de 2022 con 41.000 km sigue aquí, 34.500 €.
Ja, de X5 xDrive30d uit 2021 staat er nog. 82.000 km, automaat, diesel, € 48.900.	Oui, le X5 xDrive30d de 2021 est toujours là. 82 000 km, boîte automatique, diesel, 48 900 €.	Yes, the 2021 X5 xDrive30d is still here. 82,000 km, automatic, diesel, €48,900.	Ja, der X5 xDrive30d von 2021 steht noch da. 82.000 km, Automatik, Diesel, 48.900 €.	Sí, el X5 xDrive30d de 2021 sigue aquí. 82.000 km, automático, diésel, 48.900 €.
Ja, de X5 xDrive30d uit 2021 staat er nog. 82.000 km, € 48.900. Wil je hem komen bekijken?	Oui, le X5 xDrive30d de 2021 est toujours là. 82 000 km, 48 900 €. Voulez-vous venir le voir ?	Yes, the 2021 X5 xDrive30d is still here. 82,000 km, €48,900. Would you like to come and see it?	Ja, der X5 xDrive30d von 2021 steht noch da. 82.000 km, 48.900 €. Möchten Sie ihn ansehen kommen?	Sí, el X5 xDrive30d de 2021 sigue aquí. 82.000 km, 48.900 €. ¿Quieres venir a verlo?
Ja, deze X5 xDrive30d heeft een panoramadak. Hij staat op 82.000 km en is een automaat, diesel.	Oui, ce X5 xDrive30d a un toit panoramique. Il affiche 82 000 km, boîte automatique, diesel.	Yes, this X5 xDrive30d has a panoramic roof. It shows 82,000 km and is an automatic, diesel.	Ja, dieser X5 xDrive30d hat ein Panoramadach. Er steht bei 82.000 km und ist Automatik, Diesel.	Sí, este X5 xDrive30d tiene techo panorámico. Marca 82.000 km y es automático, diésel.
Ja, per direct en zonder ons te bellen. Dat geldt voor elk kanaal.	Oui, immédiatement et sans nous appeler. Cela vaut pour chaque canal.	Yes, immediately and without calling us. That goes for every channel.	Ja, sofort und ohne uns anzurufen. Das gilt für jeden Kanal.	Sí, al momento y sin llamarnos. Eso vale para cada canal.
Ja, volledige historiek aanwezig, laatste beurt op 78.400 km. Wil je hem komen bekijken?	Oui, historique complet disponible, dernier entretien à 78 400 km. Voulez-vous venir le voir ?	Yes, full history available, last service at 78,400 km. Would you like to come and see it?	Ja, vollständige Historie vorhanden, letzte Wartung bei 78.400 km. Möchten Sie ihn ansehen kommen?	Sí, historial completo disponible, última revisión a 78.400 km. ¿Quieres venir a verlo?
Ja. De taal van de koper wordt herkend en het gesprek loopt door in die taal, ook in het Engels en het Duits. Voor wie ook over de grens verkoopt, scheelt dat een halve verkoper.	Oui. La langue de l'acheteur est reconnue et la conversation se poursuit dans cette langue, y compris en anglais et en allemand. Pour qui vend aussi de l'autre côté de la frontière, cela vaut un demi-vendeur.	Yes. The buyer's language is recognised and the conversation continues in that language, including English and German. For anyone selling across the border too, that saves half a salesperson.	Ja. Die Sprache des Käufers wird erkannt und das Gespräch läuft in dieser Sprache weiter, auch auf Englisch und Deutsch. Wer auch über die Grenze verkauft, spart damit einen halben Verkäufer.	Sí. Se reconoce el idioma del comprador y la conversación sigue en ese idioma, también en inglés y alemán. Para quien también vende al otro lado de la frontera, eso vale medio vendedor.
Ja. Je data staat op servers in de EU, wordt nooit doorverkocht en je kan op elk moment inzage of volledige verwijdering vragen. De bewaartermijn zet je zelf.	Oui. Vos données sont sur des serveurs dans l'UE, ne sont jamais revendues et vous pouvez à tout moment demander un accès ou une suppression complète. La durée de conservation, c'est vous qui la fixez.	Yes. Your data sits on servers in the EU, is never resold and you can ask for access or full deletion at any time. You set the retention period yourself.	Ja. Ihre Daten liegen auf Servern in der EU, werden nie weiterverkauft und Sie können jederzeit Einsicht oder vollständige Löschung verlangen. Die Aufbewahrungsfrist setzen Sie selbst.	Sí. Tus datos están en servidores de la UE, nunca se revenden y puedes pedir acceso o borrado completo en cualquier momento. El plazo de conservación lo fijas tú.
Je aanvragen laten binnenkomen en ons vier weken laten meten.	Laisser vos demandes arriver et nous laisser mesurer pendant quatre semaines.	Let your enquiries come in and let us measure for four weeks.	Ihre Anfragen hereinkommen lassen und uns vier Wochen messen lassen.	Dejar que entren tus solicitudes y dejarnos medir cuatro semanas.
Je agenda	Votre agenda	Your calendar	Ihr Kalender	Tu agenda
Je agenda is de bron van de beschikbaarheid.	Votre agenda est la source de la disponibilité.	Your calendar is the source of availability.	Ihr Kalender ist die Quelle der Verfügbarkeit.	Tu agenda es la fuente de la disponibilidad.
Je algemene mailbox wordt weer leesbaar	Votre boîte générale redevient lisible	Your general mailbox becomes readable again	Ihr allgemeines Postfach wird wieder lesbar	Tu buzón general vuelve a ser legible
Je bent er als eerste	Vous êtes le premier	You are there first	Sie sind als Erster da	Eres el primero
Je bepaalt vooraf de naam, het welkomstbericht, de toon en welke acties zonder tussenkomst mogen. Daarna lees je elk gesprek live mee en neem je op elk moment over. Wat je één keer corrigeert, geldt daarna overal. Zie ook	Vous fixez d'avance le nom, le message d'accueil, le ton et les actions autorisées sans intervention. Ensuite, vous suivez chaque conversation en direct et reprenez la main à tout moment. Ce que vous corrigez une fois vaut ensuite partout. Voir aussi	You set the name, the welcome message, the tone and which actions may run without intervention up front. After that you read every conversation live and take over at any moment. What you correct once then applies everywhere. See also	Sie legen vorab Namen, Begrüßungsnachricht, Ton und die Aktionen fest, die ohne Eingriff laufen dürfen. Danach lesen Sie jedes Gespräch live mit und übernehmen jederzeit. Was Sie einmal korrigieren, gilt danach überall. Siehe auch	Tú fijas de antemano el nombre, el mensaje de bienvenida, el tono y qué acciones pueden ir sin intervención. Después lees cada conversación en directo y tomas el relevo cuando quieras. Lo que corriges una vez vale después en todas partes. Ver también
Je bezoekers zijn er al.	Vos visiteurs sont déjà là.	Your visitors are already there.	Ihre Besucher sind schon da.	Tus visitantes ya están ahí.
Je hebt een aanvraagprobleem.	Vous avez un problème de demandes.	You have an enquiry problem.	Sie haben ein Anfrageproblem.	Tienes un problema de solicitudes.
Je hebt geen tekort aan leads.	Vous n'avez pas un manque de prospects.	You do not have a shortage of leads.	Sie haben keinen Mangel an Leads.	No tienes falta de oportunidades.
Je koper wisselt van kanaal.	Votre acheteur change de canal.	Your buyer switches channel.	Ihr Käufer wechselt den Kanal.	Tu comprador cambia de canal.
Je kunt voor elk van deze taken iets aparts kopen. Dan heb je acht abonnementen, acht inboxen en nul overzicht van wat er met één koper gebeurd is.	Vous pouvez acheter quelque chose de distinct pour chacune de ces tâches. Vous aurez alors huit abonnements, huit boîtes de réception et aucune vue d'ensemble de ce qui s'est passé avec un acheteur.	You can buy something separate for each of these tasks. Then you have eight subscriptions, eight inboxes and zero overview of what happened with one buyer.	Sie können für jede dieser Aufgaben etwas Eigenes kaufen. Dann haben Sie acht Abos, acht Posteingänge und null Überblick darüber, was mit einem Käufer passiert ist.	Puedes comprar algo aparte para cada una de estas tareas. Entonces tienes ocho suscripciones, ocho bandejas de entrada y cero visión de lo que pasó con un comprador.
Je leest de berichten na voor ze live gaan en past ze aan. Een familiebedrijf klinkt anders dan een showroom op een bedrijventerrein, en dat hoort ook.	Vous relisez les messages avant leur mise en ligne et vous les ajustez. Une entreprise familiale ne sonne pas comme un showroom en zone industrielle, et c'est normal.	You read the messages before they go live and adjust them. A family business sounds different from a showroom on an industrial estate, and so it should.	Sie lesen die Nachrichten vor dem Livegang nach und passen sie an. Ein Familienbetrieb klingt anders als ein Showroom im Gewerbegebiet, und das soll auch so sein.	Lees los mensajes antes de que salgan y los ajustas. Una empresa familiar no suena como un showroom en un polígono, y así debe ser.
Je leest elk gesprek terug en zet elke werkstroom zelf stil	Vous relisez chaque conversation et arrêtez vous-même chaque flux	You read back every conversation and stop every workflow yourself	Sie lesen jedes Gespräch nach und stoppen jeden Ablauf selbst	Relees cada conversación y paras tú mismo cada flujo
Je team beslist. Het systeem doet het voorwerk.	Votre équipe décide. Le système fait le travail préparatoire.	Your team decides. The system does the groundwork.	Ihr Team entscheidet. Das System macht die Vorarbeit.	Tu equipo decide. El sistema hace el trabajo previo.
Je verkoper beslist.	Votre vendeur décide.	Your salesperson decides.	Ihr Verkäufer entscheidet.	Tu vendedor decide.
Je verkoper heeft merk, jaar, kilometers, historiek en beeld voor de koper binnenstapt.	Votre vendeur a la marque, l'année, le kilométrage, l'historique et les photos avant que l'acheteur n'entre.	Your salesperson has make, year, mileage, history and pictures before the buyer walks in.	Ihr Verkäufer hat Marke, Baujahr, Kilometer, Historie und Bilder, bevor der Käufer hereinkommt.	Tu vendedor tiene marca, año, kilómetros, historial e imágenes antes de que entre el comprador.
