# nederlands	frans	engels	duits	spaans
Geen voertuiggegevens uit het niets	Pas de données véhicule sorties de nulle part	No vehicle data out of thin air	Keine Fahrzeugdaten aus dem Nichts	Sin datos del vehículo salidos de la nada
Gegevens die niet in je bestand staan aanvullen uit een andere bron	Compléter des données absentes de votre fichier à partir d'une autre source	Filling in data missing from your file from another source	Daten, die nicht in Ihrer Datei stehen, aus einer anderen Quelle ergänzen	Completar datos que no están en tu archivo desde otra fuente
Gegevens verzinnen die niet in je systemen staan	Inventer des données qui ne figurent pas dans vos systèmes	Inventing data that is not in your systems	Daten erfinden, die nicht in Ihren Systemen stehen	Inventar datos que no están en tus sistemas
Gemiddelde brutomarge per verkochte auto (€)	Marge brute moyenne par voiture vendue (€)	Average gross margin per car sold (€)	Durchschnittliche Bruttomarge je verkauftem Auto (€)	Margen bruto medio por coche vendido (€)
Genoteerd. Stuur je vier foto’s rondom en één van de teller? Dan kan onze verkoper zaterdag meteen een bedrag met je bespreken.	Noté. Pouvez-vous envoyer quatre photos sous tous les angles et une du compteur ? Notre vendeur pourra alors discuter d'un montant avec vous dès samedi.	Noted. Could you send four photos all round and one of the odometer? Then our salesperson can discuss a figure with you on Saturday.	Notiert. Schicken Sie vier Fotos rundherum und eines vom Tacho? Dann kann unser Verkäufer am Samstag gleich einen Betrag mit Ihnen besprechen.	Anotado. ¿Puedes enviar cuatro fotos de todo el coche y una del cuentakilómetros? Así nuestro vendedor podrá hablar de un importe contigo el sábado.
Genoteerd. Zal ik een afspraak zetten waarin hij de financiering en je inruil samen met je doorneemt? Donderdag 17:00 of zaterdag 11:00.	Noté. Voulez-vous que je fixe un rendez-vous où il passera en revue le financement et votre reprise avec vous ? Jeudi 17:00 ou samedi 11:00.	Noted. Shall I set an appointment where they go through the financing and your trade-in with you? Thursday 17:00 or Saturday 11:00.	Notiert. Soll ich einen Termin setzen, bei dem er die Finanzierung und Ihre Inzahlungnahme mit Ihnen durchgeht? Donnerstag 17:00 oder Samstag 11:00.	Anotado. ¿Te reservo una cita en la que repase contigo la financiación y tu entrega? Jueves 17:00 o sábado 11:00.
Genoteerd. Zaterdag 10:00, Golf GTI, ongeveer een half uur rijden. Je krijgt vrijdag nog een herinnering.	Noté. Samedi 10:00, Golf GTI, environ une demi-heure d'essai. Vous recevrez un rappel vendredi.	Noted. Saturday 10:00, Golf GTI, about half an hour of driving. You'll get a reminder on Friday.	Notiert. Samstag 10:00, Golf GTI, etwa eine halbe Stunde fahren. Am Freitag bekommen Sie noch eine Erinnerung.	Anotado. Sábado 10:00, Golf GTI, alrededor de media hora de prueba. El viernes recibirás un recordatorio.
Geschatte gemiste brutomarge	Marge brute perdue estimée	Estimated lost gross margin	Geschätzte entgangene Bruttomarge	Margen bruto perdido estimado
Gesprekken die doorlopen	Des conversations qui se poursuivent	Conversations that carry on	Gespräche, die weiterlaufen	Conversaciones que continúan
Gesprekken die doorlopen vanaf je website	Des conversations qui se poursuivent depuis votre site	Conversations that carry on from your website	Gespräche, die von Ihrer Website aus weiterlaufen	Conversaciones que siguen desde tu web
Gesprekken die stilvielen	Des conversations retombées	Conversations that went quiet	Verstummte Gespräche	Conversaciones que se apagaron
Gesprekken overzetten vanaf de privételefoon van een verkoper	Transférer des conversations depuis le portable privé d'un vendeur	Moving conversations over from a salesperson's private phone	Gespräche vom Privathandy eines Verkäufers übernehmen	Traspasar conversaciones desde el móvil privado de un vendedor
Gisteren 21:46	Hier 21:46	Yesterday 21:46	Gestern 21:46	Ayer 21:46
Goed nieuws, de X5 staat er nog. Zaterdag om 14:00 kan ik voor je vrijhouden. Zal ik dat doen?	Bonne nouvelle, le X5 est toujours là. Je peux vous réserver samedi à 14:00. Je le fais ?	Good news, the X5 is still here. I can hold Saturday at 14:00 for you. Shall I?	Gute Nachricht, der X5 steht noch. Samstag um 14:00 kann ich für Sie freihalten. Soll ich?	Buenas noticias, el X5 sigue aquí. Puedo reservarte el sábado a las 14:00. ¿Lo hago?
Goedenavond, de X5 xDrive30d uit 2021 staat inderdaad nog te koop. 82.000 km, automaat, € 48.900, met volledige onderhoudshistoriek. Voor uw Audi A4 kijkt een van onze verkopers graag wat die waard is. Zaterdag kan om 11:00 of 14:00, dan bekijken we beide wagens samen.	Bonsoir, le X5 xDrive30d de 2021 est effectivement toujours en vente. 82 000 km, boîte automatique, 48 900 €, avec historique d'entretien complet. Pour votre Audi A4, un de nos vendeurs regardera volontiers ce qu'elle vaut. Samedi, 11:00 ou 14:00 est possible, nous examinerons alors les deux véhicules ensemble.	Good evening, the 2021 X5 xDrive30d is indeed still for sale. 82,000 km, automatic, €48,900, with a full service history. For your Audi A4 one of our salespeople will gladly look at what it is worth. Saturday works at 11:00 or 14:00, and then we look at both vehicles together.	Guten Abend, der X5 xDrive30d von 2021 steht tatsächlich noch zum Verkauf. 82.000 km, Automatik, 48.900 €, mit lückenloser Wartungshistorie. Für Ihren Audi A4 schaut einer unserer Verkäufer gern, was er wert ist. Samstag geht 11:00 oder 14:00, dann sehen wir uns beide Fahrzeuge zusammen an.	Buenas noches, el X5 xDrive30d de 2021 sigue efectivamente a la venta. 82.000 km, automático, 48.900 €, con historial de mantenimiento completo. Para tu Audi A4, uno de nuestros vendedores mirará con gusto cuánto vale. El sábado puede ser a las 11:00 o a las 14:00, y entonces vemos los dos vehículos juntos.
Goedenavond, ik heb interesse in de BMW X5 die op uw site staat. Is die nog beschikbaar? Ik rijd zelf een Audi A4 uit 2018 die ik eventueel wil inruilen. In het weekend heb ik tijd om langs te komen.	Bonsoir, je suis intéressé par le BMW X5 présent sur votre site. Est-il encore disponible ? Je conduis moi-même une Audi A4 de 2018 que je souhaiterais éventuellement reprendre. J'ai du temps le week-end pour passer.	Good evening, I'm interested in the BMW X5 on your site. Is it still available? I drive a 2018 Audi A4 myself that I might want to trade in. I have time to come by at the weekend.	Guten Abend, ich interessiere mich für den BMW X5 auf Ihrer Website. Ist er noch verfügbar? Ich fahre selbst einen Audi A4 von 2018, den ich eventuell in Zahlung geben möchte. Am Wochenende habe ich Zeit vorbeizukommen.	Buenas noches, me interesa el BMW X5 que está en su web. ¿Sigue disponible? Yo conduzco un Audi A4 de 2018 que quizá quiera entregar. El fin de semana tengo tiempo para pasarme.
Google Agenda als bron van beschikbaarheid	Google Agenda comme source de disponibilité	Google Calendar as the source of availability	Google Kalender als Quelle der Verfügbarkeit	Google Calendar como fuente de disponibilidad
Google Agenda als bron van beschikbaarheid. Er wordt geen moment aangeboden dat niet vrij is.	Google Agenda comme source de disponibilité. Aucun créneau non libre n'est proposé.	Google Calendar as the source of availability. No slot is offered that is not free.	Google Kalender als Quelle der Verfügbarkeit. Es wird kein Termin angeboten, der nicht frei ist.	Google Calendar como fuente de disponibilidad. No se ofrece ningún hueco que no esté libre.
Gratis en vrijblijvend. Je praat met hetzelfde systeem dat jouw kopers te zien krijgen.	Gratuit et sans engagement. Vous parlez au même système que celui que verront vos acheteurs.	Free and without obligation. You talk to the same system your buyers will see.	Kostenlos und unverbindlich. Sie sprechen mit demselben System, das Ihre Käufer zu sehen bekommen.	Gratis y sin compromiso. Hablas con el mismo sistema que verán tus compradores.
Groepen die alles centraal willen aansturen vanuit één systeem	Les groupes qui veulent tout piloter de façon centralisée depuis un seul système	Groups that want to steer everything centrally from one system	Gruppen, die alles zentral aus einem System steuern wollen	Grupos que quieren dirigirlo todo de forma centralizada desde un solo sistema
Handel die alleen aan andere handelaren verkoopt	Le négoce qui ne vend qu'à d'autres marchands	Traders who only sell to other traders	Händler, die nur an andere Händler verkaufen	Comercio que solo vende a otros profesionales
Handig om bij de hand te hebben: waar je voorraad staat, wat je gemiddelde brutomarge per wagen is en hoeveel verkopers er meedraaien. Met die drie cijfers wordt het gesprek concreet.	Utile à avoir sous la main : où se trouve votre stock, quelle est votre marge brute moyenne par véhicule et combien de vendeurs participent. Avec ces trois chiffres, la conversation devient concrète.	Handy to have ready: where your stock sits, what your average gross margin per vehicle is and how many salespeople are involved. With those three numbers the conversation gets concrete.	Praktisch zur Hand: wo Ihr Bestand liegt, wie hoch Ihre durchschnittliche Bruttomarge je Fahrzeug ist und wie viele Verkäufer mitlaufen. Mit diesen drei Zahlen wird das Gespräch konkret.	Viene bien tener a mano: dónde está tu stock, cuál es tu margen bruto medio por vehículo y cuántos vendedores participan. Con esas tres cifras la conversación se vuelve concreta.
Heb jij tarieven of voorbeeldberekeningen vastgelegd, dan worden die genoemd. Zo niet, dan wordt er niets berekend.	Si vous avez enregistré des taux ou des exemples de calcul, ils sont cités. Sinon, rien n'est calculé.	If you have recorded rates or example calculations, those get quoted. If not, nothing is calculated.	Haben Sie Konditionen oder Beispielrechnungen hinterlegt, werden diese genannt. Sonst wird nichts gerechnet.	Si has registrado tarifas o cálculos de ejemplo, se mencionan. Si no, no se calcula nada.
Heeft die X5 een panoramadak?	Ce X5 a-t-il un toit panoramique ?	Does that X5 have a panoramic roof?	Hat der X5 ein Panoramadach?	¿Ese X5 tiene techo panorámico?
Heeft hij schade gehad?	A-t-il été accidenté ?	Has it had any damage?	Hatte er einen Schaden?	¿Ha tenido algún daño?
Help hem kiezen voor iemand anders dat doet.	Aidez-le à choisir avant que quelqu'un d'autre ne le fasse.	Help them choose before someone else does.	Helfen Sie ihm bei der Wahl, bevor es jemand anderes tut.	Ayúdale a elegir antes de que lo haga otro.
Helvaro antwoordt met de auto erbij	Helvaro répond avec le véhicule	Helvaro answers with the car attached	Helvaro antwortet mit dem Auto dabei	Helvaro responde con el coche incluido
Helvaro draait, maar we hebben nog geen gemeten resultaat bij een dealer. Dat verzinnen we ook niet. In plaats daarvan zoeken we vijf autobedrijven die het aanzetten op hun aanvragen en ons één cijfer laten meten: hoeveel van die aanvragen een afspraak worden.	Helvaro tourne, mais nous n'avons pas encore de résultat mesuré chez un concessionnaire. Nous ne l'inventons pas non plus. À la place, nous cherchons cinq concessions qui l'activent sur leurs demandes et nous laissent mesurer un seul chiffre : combien de ces demandes deviennent un rendez-vous.	Helvaro is running, but we do not have a measured result at a dealership yet. We are not inventing one either. Instead we are looking for five dealerships that switch it on for their enquiries and let us measure one figure: how many of those enquiries become an appointment.	Helvaro läuft, aber wir haben noch kein gemessenes Ergebnis bei einem Händler. Erfinden werden wir auch keines. Stattdessen suchen wir fünf Autohäuser, die es auf ihre Anfragen anwenden und uns eine Zahl messen lassen: wie viele dieser Anfragen zu einem Termin werden.	Helvaro funciona, pero aún no tenemos un resultado medido en un concesionario. Y tampoco nos lo inventamos. En su lugar buscamos cinco concesionarios que lo activen sobre sus solicitudes y nos dejen medir una cifra: cuántas de esas solicitudes acaban en cita.
Helvaro handelt af	Helvaro traite	Helvaro handles it	Helvaro wickelt ab	Helvaro lo resuelve
Helvaro is wat je koopt. Faro is hoe je het bedient: de plek waar je meeleest, overneemt en in gewone taal vraagt wat er met een koper gebeurd is.	Helvaro est ce que vous achetez. Faro est la façon dont vous le pilotez : l'endroit où vous suivez, reprenez la main et demandez en langage ordinaire ce qui s'est passé avec un acheteur.	Helvaro is what you buy. Faro is how you operate it: the place where you read along, take over and ask in plain language what happened with a buyer.	Helvaro ist, was Sie kaufen. Faro ist, wie Sie es bedienen: der Ort, an dem Sie mitlesen, übernehmen und in gewöhnlicher Sprache fragen, was mit einem Käufer passiert ist.	Helvaro es lo que compras. Faro es cómo lo manejas: el sitio donde lees, tomas el relevo y preguntas en lenguaje normal qué ha pasado con un comprador.
Helvaro, Faro en de werkstromen.	Helvaro, Faro et les flux.	Helvaro, Faro and the workflows.	Helvaro, Faro und die Abläufe.	Helvaro, Faro y los flujos.
Herinneren	Rappeler	Reminding	Erinnern	Recordar
Het beantwoordt geen mail die niet over een wagen gaat.	Il ne répond pas aux courriels qui ne concernent pas un véhicule.	It does not answer email that is not about a vehicle.	Es beantwortet keine Mail, die nicht ein Fahrzeug betrifft.	No responde correos que no traten de un vehículo.
Het belooft geen inruilwaarde en geen financieringsgoedkeuring.	Il ne promet ni valeur de reprise ni accord de financement.	It promises no trade-in value and no financing approval.	Es verspricht keinen Inzahlungnahmewert und keine Finanzierungszusage.	No promete ningún valor de tasación ni aprobación de financiación.
Het belooft geen wagen die nog binnenkomt.	Il ne promet pas un véhicule qui doit encore arriver.	It does not promise a vehicle that is still to arrive.	Es verspricht kein Fahrzeug, das erst noch kommt.	No promete un vehículo que todavía tiene que llegar.
Het belooft niet dat de inruil wordt overgenomen.	Il ne promet pas que la reprise sera acceptée.	It does not promise the trade-in will be taken.	Es verspricht nicht, dass die Inzahlungnahme angenommen wird.	No promete que se acepte la entrega del usado.
Het belooft niet dat een wagen beschikbaar blijft.	Il ne promet pas qu'un véhicule restera disponible.	It does not promise a vehicle will stay available.	Es verspricht nicht, dass ein Fahrzeug verfügbar bleibt.	No promete que un vehículo siga disponible.
Het bemiddelt niet en sluit niets af.	Il ne fait pas d'intermédiation et ne conclut rien.	It does not broker and does not close anything.	Es vermittelt nicht und schließt nichts ab.	No intermedia ni cierra nada.
Het benadert niemand die heeft aangegeven geen berichten te willen.	Il ne contacte personne ayant indiqué ne pas vouloir de messages.	It approaches nobody who has said they do not want messages.	Es spricht niemanden an, der gesagt hat, dass er keine Nachrichten will.	No contacta a nadie que haya dicho que no quiere mensajes.
Het beoordeelt geen schade en geen staat op basis van foto’s.	Il n'évalue ni les dommages ni l'état sur la base de photos.	It does not judge damage or condition from photos.	Es beurteilt weder Schäden noch Zustand anhand von Fotos.	No valora daños ni estado a partir de fotos.
Het berekent geen maandbedrag dat jij niet hebt vastgelegd.	Il ne calcule aucune mensualité que vous n'avez pas enregistrée.	It does not calculate a monthly figure you have not recorded.	Es berechnet keine Monatsrate, die Sie nicht hinterlegt haben.	No calcula ninguna cuota mensual que tú no hayas registrado.
Het biedt geen tijdslot aan zonder dat de beschikbaarheid bekend is.	Il ne propose aucun créneau sans que la disponibilité soit connue.	It offers no slot without the availability being known.	Es bietet kein Zeitfenster an, ohne dass die Verfügbarkeit bekannt ist.	No ofrece ningún hueco sin que se conozca la disponibilidad.
