# nederlands	frans	engels	duits	spaans
"Bijgevoegd de foto's van mijn Audi A4."	« Ci-joint les photos de mon Audi A4. »	"Attached are the photos of my Audi A4."	„Anbei die Fotos meines Audi A4."	«Adjunto las fotos de mi Audi A4.»
1 tot 3 maanden	1 à 3 mois	1 to 3 months	1 bis 3 Monate	De 1 a 3 meses
10:00 graag 👍	10:00, ça me va 👍	10:00 works 👍	10:00 passt 👍	A las 10:00 va bien 👍
134.000, alles bij de dealer onderhouden.	134 000, entretenue entièrement en concession.	134,000, all serviced at the dealer.	134.000, alles beim Händler gewartet.	134.000, todo el mantenimiento en el concesionario.
48 maanden, en ik ruil mijn Golf in.	48 mois, et je reprends ma Golf.	48 months, and I'm trading in my Golf.	48 Monate, und ich gebe meinen Golf in Zahlung.	48 meses, y entrego mi Golf.
Aanbetalingen of reserveringskosten	Les acomptes ou frais de réservation	Deposits or reservation fees	Anzahlungen oder Reservierungsgebühren	Anticipos o gastos de reserva
Aantal verkopers	Nombre de vendeurs	Number of salespeople	Anzahl Verkäufer	Número de vendedores
Aanvragen gaan naar de stroom, de rest blijft gewoon mail.	Les demandes partent dans le flux, le reste reste du courrier ordinaire.	Enquiries go into the flow, the rest stays plain mail.	Anfragen gehen in den Ablauf, der Rest bleibt gewöhnliche Post.	Las solicitudes van al flujo, el resto sigue siendo correo normal.
Aanvragen per kanaal en per uur	Les demandes par canal et par heure	Enquiries per channel and per hour	Anfragen pro Kanal und pro Stunde	Solicitudes por canal y por hora
Aanvragen per kanaal, per uur, en wat ervan een afspraak werd.	Les demandes par canal, par heure, et ce qui en est devenu un rendez-vous.	Enquiries per channel, per hour, and what became an appointment.	Anfragen pro Kanal, pro Stunde, und was daraus ein Termin wurde.	Solicitudes por canal, por hora, y qué acabó en cita.
Aanvragen per week die niet of te laat beantwoord worden	Demandes par semaine sans réponse ou avec une réponse trop tardive	Enquiries per week that go unanswered or answered too late	Anfragen pro Woche, die nicht oder zu spät beantwortet werden	Solicitudes por semana que no se responden o se responden tarde
Aanvragen uit je algemene mailbox lezen en beantwoorden. Er wordt aan gebouwd, het staat nog niet bij een klant.	Lire et répondre aux demandes de votre boîte générale. C'est en construction, ce n'est pas encore chez un client.	Reading and answering enquiries from your general mailbox. It is being built, it is not running at a customer yet.	Anfragen aus Ihrem allgemeinen Postfach lesen und beantworten. Wird gebaut, läuft noch bei keinem Kunden.	Leer y responder las solicitudes de tu buzón general. Está en construcción, aún no funciona en un cliente.
Aanvragen worden onderscheiden van facturen en reclame. Alleen wat over een wagen gaat, komt in de stroom.	Les demandes sont distinguées des factures et de la publicité. Seul ce qui concerne un véhicule entre dans le flux.	Enquiries are told apart from invoices and advertising. Only what is about a vehicle enters the flow.	Anfragen werden von Rechnungen und Werbung unterschieden. Nur was ein Fahrzeug betrifft, kommt in den Ablauf.	Las solicitudes se distinguen de las facturas y la publicidad. Solo lo que trata de un vehículo entra en el flujo.
Acht losse hulpmiddelen worden nooit een verkoopproces.	Huit outils séparés ne feront jamais un processus de vente.	Eight separate tools never add up to a sales process.	Acht einzelne Werkzeuge werden nie ein Verkaufsprozess.	Ocho herramientas sueltas nunca forman un proceso de venta.
Acht werkstromen binnen hetzelfde systeem	Huit flux au sein du même système	Eight workflows inside the same system	Acht Abläufe innerhalb desselben Systems	Ocho flujos dentro del mismo sistema
Acht werkstromen.	Huit flux.	Eight workflows.	Acht Abläufe.	Ocho flujos.
Afspraak geboekt	Rendez-vous pris	Appointment booked	Termin gebucht	Cita reservada
Afspraak, afgehaakt of verlopen. Geen lijst meer met dingen waarvan niemand weet of ze nog leven.	Rendez-vous, abandon ou expiration. Fini la liste de choses dont personne ne sait si elles vivent encore.	Appointment, dropped out or expired. No more list of things nobody knows are still alive.	Termin, abgesprungen oder abgelaufen. Keine Liste mehr mit Dingen, von denen niemand weiß, ob sie noch leben.	Cita, abandono o caducado. Se acabó la lista de cosas de las que nadie sabe si siguen vivas.
Afspraken staan in een chat in plaats van in een agenda.	Les rendez-vous se trouvent dans une conversation au lieu d'un agenda.	Appointments sit in a chat instead of in a calendar.	Termine stehen in einem Chat statt in einem Kalender.	Las citas están en un chat en lugar de en una agenda.
Afspraken wegschrijven met de wagen erbij	Enregistrer les rendez-vous avec le véhicule concerné	Writing appointments away with the vehicle attached	Termine mit dem Fahrzeug dabei wegschreiben	Guardar las citas con el vehículo incluido
Alle acht	Les huit	All eight	Alle acht	Los ocho
Alle acht werkstromen	Les huit flux	All eight workflows	Alle acht Abläufe	Los ocho flujos
Alle details staan op	Tous les détails se trouvent sur	All the details are on	Alle Einzelheiten stehen auf	Todos los detalles están en
Alle gesprekken op één zakelijk nummer, waar je hele team bij kan en waar alles bewaard blijft.	Toutes les conversations sur un seul numéro professionnel, accessible à toute votre équipe et où tout est conservé.	Every conversation on one business number, which your whole team can reach and where everything is kept.	Alle Gespräche auf einer geschäftlichen Nummer, auf die Ihr ganzes Team zugreifen kann und wo alles erhalten bleibt.	Todas las conversaciones en un solo número profesional, al que accede todo tu equipo y donde queda todo guardado.
Alleen binnen de grenzen die jij zet. Een gesprek om middernacht kan, een afspraak om middernacht niet.	Uniquement dans les limites que vous fixez. Une conversation à minuit, oui ; un rendez-vous à minuit, non.	Only within the limits you set. A conversation at midnight is fine, an appointment at midnight is not.	Nur innerhalb der Grenzen, die Sie setzen. Ein Gespräch um Mitternacht geht, ein Termin um Mitternacht nicht.	Solo dentro de los límites que tú pongas. Una conversación a medianoche sí, una cita a medianoche no.
Alleen wagens die er werkelijk staan. Geen modellen die je misschien kunt bestellen en geen wagens die vorige week verkocht zijn.	Uniquement des véhicules réellement présents. Pas de modèles que vous pourriez commander ni de voitures vendues la semaine dernière.	Only vehicles that are actually there. No models you might be able to order and no cars sold last week.	Nur Fahrzeuge, die wirklich dastehen. Keine Modelle, die Sie vielleicht bestellen könnten, und keine Autos, die letzte Woche verkauft wurden.	Solo vehículos que están realmente ahí. Ni modelos que quizá puedas pedir ni coches vendidos la semana pasada.
Alleen wat nodig is om te weten of een moment vrij is. Wat er in een afspraak staat, hoeft daar niet voor.	Uniquement ce qu'il faut pour savoir si un créneau est libre. Le contenu d'un rendez-vous n'est pas nécessaire pour cela.	Only what is needed to know whether a slot is free. What an appointment says is not needed for that.	Nur was nötig ist, um zu wissen, ob ein Zeitfenster frei ist. Was in einem Termin steht, braucht es dafür nicht.	Solo lo necesario para saber si un hueco está libre. Lo que ponga en una cita no hace falta para eso.
Alleen wat vastligt	Uniquement ce qui est fixé	Only what is fixed	Nur was feststeht	Solo lo que está fijado
Alleen wat vrij is	Uniquement ce qui est libre	Only what is free	Nur was frei ist	Solo lo que está libre
Alles komt uit je eigen gegevens. Staat het er niet in, dan wordt het nagevraagd en niet ingevuld.	Tout vient de vos propres données. Si ce n'est pas dedans, on le demande au lieu de l'inventer.	Everything comes from your own data. If it is not in there, it gets asked rather than filled in.	Alles kommt aus Ihren eigenen Daten. Steht es nicht drin, wird nachgefragt statt ausgefüllt.	Todo sale de tus propios datos. Si no está, se pregunta en lugar de rellenarlo.
Alles ligt er al	Tout est déjà là	It is all already there	Alles liegt schon da	Ya está todo ahí
Alles tegelijk aanzetten klinkt efficiënt en werkt zelden. Je weet dan niet wat er werkt, je verkopers raken het overzicht kwijt en de eerste fout in één werkstroom zet je hele bedrijf op scherp. Eén aanzetten, vier weken meten, dan de volgende.	Tout activer d'un coup paraît efficace et fonctionne rarement. Vous ne savez plus ce qui marche, vos vendeurs perdent la vue d'ensemble et la première erreur dans un flux met toute l'entreprise sur la défensive. Activez-en un, mesurez quatre semaines, puis passez au suivant.	Switching everything on at once sounds efficient and rarely works. You cannot tell what is working, your salespeople lose the overview, and the first mistake in one workflow puts your whole company on edge. Switch on one, measure for four weeks, then the next.	Alles gleichzeitig einzuschalten klingt effizient und klappt selten. Sie wissen dann nicht, was wirkt, Ihre Verkäufer verlieren den Überblick, und der erste Fehler in einem Ablauf bringt den ganzen Betrieb in Alarmbereitschaft. Einen einschalten, vier Wochen messen, dann den nächsten.	Encenderlo todo a la vez suena eficiente y casi nunca funciona. No sabes qué está funcionando, tus vendedores pierden la visión de conjunto y el primer fallo en un flujo pone en guardia a toda la empresa. Enciende uno, mide cuatro semanas y pasa al siguiente.
Alles wat gezegd is, staat op één plek. Je verkoper hoeft nooit opnieuw te vragen wat er al besproken was.	Tout ce qui a été dit se trouve au même endroit. Votre vendeur n'a jamais à redemander ce qui a déjà été discuté.	Everything that has been said sits in one place. Your salesperson never has to ask again what was already discussed.	Alles Gesagte steht an einer Stelle. Ihr Verkäufer muss nie erneut fragen, was schon besprochen wurde.	Todo lo dicho está en un solo sitio. Tu vendedor nunca tiene que volver a preguntar lo que ya se habló.
Andere agendapakketten dan Google Agenda	D'autres agendas que Google Agenda	Calendar systems other than Google Calendar	Andere Kalenderpakete als Google Kalender	Otras agendas que no sean Google Calendar
Antwoord met de gegevens erbij	Une réponse avec les données	An answer with the data attached	Eine Antwort mit den Daten dabei	Una respuesta con los datos incluidos
Antwoorden en doorvragen	Répondre et creuser	Answering and asking further	Antworten und nachfragen	Responder y seguir preguntando
Antwoorden in dezelfde toon	Répondre sur le même ton	Answering in the same tone	In demselben Ton antworten	Responder en el mismo tono
Antwoorden met prijs, kilometerstand en uitvoering uit dat bestand	Répondre avec le prix, le kilométrage et la finition tirés de ce fichier	Answering with price, mileage and trim from that file	Mit Preis, Kilometerstand und Ausstattung aus dieser Datei antworten	Responder con precio, kilometraje y acabado sacados de ese archivo
Antwoorden met prijs, kilometerstand en uitvoering van de juiste wagen. Vandaag via een bestand of de feed die je al gebruikt.	Répondre avec le prix, le kilométrage et la finition du bon véhicule. Aujourd'hui via un fichier ou le flux que vous utilisez déjà.	Answering with the price, mileage and trim of the right vehicle. Today through a file or the feed you already use.	Mit Preis, Kilometerstand und Ausstattung des richtigen Fahrzeugs antworten. Heute über eine Datei oder den Feed, den Sie schon nutzen.	Responder con el precio, el kilometraje y el acabado del vehículo correcto. Hoy mediante un archivo o el feed que ya usas.
Antwoorden per mail en een moment voorstellen.	Répondre par courriel et proposer un créneau.	Answering by email and proposing a slot.	Per E-Mail antworten und einen Termin vorschlagen.	Responder por correo y proponer un hueco.
Antwoorden uit jouw gegevens	Des réponses issues de vos données	Answers from your own data	Antworten aus Ihren Daten	Respuestas sacadas de tus datos
Antwoorden, doorvragen en een moment vastzetten.	Répondre, creuser et fixer un créneau.	Answering, asking further and pinning down a slot.	Antworten, nachfragen und einen Termin festmachen.	Responder, seguir preguntando y fijar un hueco.
Antwoorden, doorvragen, afspraak vastzetten.	Répondre, creuser, fixer le rendez-vous.	Answering, asking further, pinning down the appointment.	Antworten, nachfragen, Termin festmachen.	Responder, seguir preguntando, fijar la cita.
Antwoordt, kwalificeert en zet de afspraak vast.	Répond, qualifie et fixe le rendez-vous.	Answers, qualifies and pins down the appointment.	Antwortet, qualifiziert und macht den Termin fest.	Responde, cualifica y fija la cita.
Audi A4 2018 · 134.000 km · foto’s binnen · verkoper bepaalt het bedrag	Audi A4 2018 · 134 000 km · photos reçues · le vendeur fixe le montant	Audi A4 2018 · 134,000 km · photos in · salesperson sets the figure	Audi A4 2018 · 134.000 km · Fotos da · Verkäufer bestimmt den Betrag	Audi A4 2018 · 134.000 km · fotos recibidas · el vendedor fija el importe
Audi A4, 2018	Audi A4, 2018	Audi A4, 2018	Audi A4, 2018	Audi A4, 2018
Autobedrijven bepalen wat er als eerste af is.	Ce sont les concessions qui décident de ce qui sort en premier.	Dealerships decide what gets finished first.	Autohäuser bestimmen, was zuerst fertig ist.	Los concesionarios deciden qué se termina primero.
Autohuis Verstraeten	Autohuis Verstraeten	Autohuis Verstraeten	Autohuis Verstraeten	Autohuis Verstraeten
Automaat	Boîte automatique	Automatic	Automatik	Automático
Automatisch waar het kan.	Automatique là où c'est possible.	Automatic where it can be.	Automatisch, wo es geht.	Automático donde se puede.
