Twee van de drie bellers krijgen een bezettoon. Niemand weet hoeveel er dat waren.	Deux appelants sur trois tombent sur une tonalité occupée. Personne ne sait combien ils étaient.	Two out of three callers get an engaged tone. Nobody knows how many there were.	Zwei von drei Anrufern bekommen ein Besetztzeichen. Niemand weiß, wie viele das waren.	Dos de cada tres llamadas dan comunicando. Nadie sabe cuántas fueron.
Uitgesteld onderhoud wordt duurdere reparatie, meestal elders.	L'entretien reporté devient une réparation plus coûteuse, généralement ailleurs.	Postponed servicing becomes a more expensive repair, usually elsewhere.	Aufgeschobene Wartung wird zur teureren Reparatur, meist woanders.	El mantenimiento aplazado se convierte en una reparación más cara, normalmente en otro sitio.
Uitkomst	Résultat	Outcome	Ergebnis	Resultado
Uitstel wordt onderhoud in plaats van reparatie	Le report devient entretien au lieu de réparation	Postponement turns into servicing instead of repair	Aus Aufschub wird Wartung statt Reparatur	El aplazamiento se convierte en mantenimiento en vez de reparación
Uren die je anders weggeeft.	Des heures que vous offrez sinon.	Hours you otherwise give away.	Stunden, die Sie sonst verschenken.	Horas que si no regalas.
Van afspraak naar werkorder	Du rendez-vous à l'ordre de travail	From appointment to work order	Vom Termin zum Arbeitsauftrag	De la cita a la orden de trabajo
Van afspraak naar werkorder, met de werkplaatsplanning als bron in plaats van een losse agenda.	Du rendez-vous à l'ordre de travail, avec le planning d'atelier comme source plutôt qu'un agenda séparé.	From appointment to work order, with the workshop planning as the source instead of a separate calendar.	Vom Termin zum Arbeitsauftrag, mit der Werkstattplanung als Quelle statt eines separaten Kalenders.	De la cita a la orden de trabajo, con el planning del taller como fuente en vez de una agenda aparte.
Van een oproep die niemand opnam naar een gesprek dat wel doorloopt.	D'un appel que personne n'a pris à une conversation qui, elle, se poursuit.	From a call nobody answered to a conversation that does carry on.	Von einem Anruf, den niemand annahm, zu einem Gespräch, das weiterläuft.	De una llamada que nadie cogió a una conversación que sí continúa.
Van naderende APK naar geboekte afspraak	D'un contrôle technique qui approche à un rendez-vous réservé	From an approaching MOT to a booked appointment	Von der näher rückenden HU zum gebuchten Termin	De una ITV que se acerca a una cita reservada
Van naderende vervaldatum naar geboekte keuring.	D'une date d'expiration qui approche à un contrôle réservé.	From an approaching expiry date to a booked inspection.	Vom näher rückenden Ablaufdatum zur gebuchten Untersuchung.	De una fecha de caducidad que se acerca a una inspección reservada.
Van vervaldatum naar vastgezette afspraak, zonder dat iemand een lijst hoeft af te bellen.	De la date d'expiration au rendez-vous fixé, sans que personne n'ait à passer une liste d'appels.	From expiry date to booked appointment, without anyone having to ring round a list.	Vom Ablaufdatum zum fixierten Termin, ohne dass jemand eine Liste abtelefonieren muss.	De la fecha de caducidad a la cita fijada, sin que nadie tenga que llamar una lista entera.
Vanaf half september en half maart gaan er berichten uit, verspreid over de weken. Je bepaalt zelf hoeveel per dag, zodat je planning het aankan.	À partir de la mi-septembre et de la mi-mars, des messages partent, répartis sur les semaines. Vous décidez combien par jour, pour que votre planning suive.	From mid-September and mid-March messages go out, spread across the weeks. You decide how many per day, so your planning can handle it.	Ab Mitte September und Mitte März gehen Nachrichten raus, über die Wochen verteilt. Sie bestimmen selbst, wie viele pro Tag, damit Ihre Planung es verkraftet.	Desde mediados de septiembre y mediados de marzo salen mensajes, repartidos por semanas. Tú decides cuántos al día, para que tu planning lo aguante.
Vandaag om 16:00 kan, dan sta je er een half uur. Zal ik dat vastzetten?	Aujourd'hui à 16h00, c'est possible, vous en aurez pour une demi-heure. Je vous le réserve ?	Today at 16:00 works, you will be there half an hour. Shall I book that?	Heute um 16:00 Uhr geht, dann stehen Sie eine halbe Stunde da. Soll ich das fixieren?	Hoy a las 16:00 puede ser, estarás media hora. ¿Te lo reservo?
Vandaag · 16:00 · accu vervangen · 30 min	Aujourd'hui · 16h00 · remplacement de batterie · 30 min	Today · 16:00 · battery replacement · 30 min	Heute · 16:00 · Batteriewechsel · 30 Min.	Hoy · 16:00 · cambio de batería · 30 min
Vandaag · Garage Verstraeten	Aujourd'hui · Garage Verstraeten	Today · Garage Verstraeten	Heute · Garage Verstraeten	Hoy · Garage Verstraeten
Vangt op, begrijpt, handelt, koppelt en meet.	Capte, comprend, agit, connecte et mesure.	Captures, understands, acts, connects and measures.	Fängt auf, versteht, handelt, verbindet und misst.	Recoge, entiende, actúa, conecta y mide.
Vangt op, herkent de auto en gebruikt de historie als context.	Capte, reconnaît la voiture et utilise l'historique comme contexte.	Captures, recognises the car and uses the history as context.	Fängt auf, erkennt das Auto und nutzt die Historie als Kontext.	Recoge, reconoce el coche y usa el historial como contexto.
Vangt op, herkent de auto, kwalificeert en plant in.	Capte, reconnaît la voiture, qualifie et planifie.	Captures, recognises the car, qualifies and schedules.	Fängt auf, erkennt das Auto, qualifiziert und plant ein.	Recoge, reconoce el coche, cualifica y planifica.
Vastgezet	Fixé	Booked	Fixiert	Fijado
Vastgezet, voor de piek	Fixé, avant le pic	Booked, before the peak	Fixiert, vor der Spitze	Fijado, antes del pico
Vastgezet. Dinsdag 18 november vanaf 08:00, koppeling, leenauto gereserveerd. Neem je rijbewijs mee.	C'est fixé. Mardi 18 novembre à partir de 08h00, embrayage, véhicule de courtoisie réservé. Apportez votre permis.	Booked. Tuesday 18 November from 08:00, clutch, courtesy car reserved. Bring your driving licence.	Fixiert. Dienstag, 18. November ab 08:00 Uhr, Kupplung, Ersatzwagen reserviert. Bringen Sie Ihren Führerschein mit.	Fijado. Martes 18 de noviembre desde las 08:00, embrague, coche de cortesía reservado. Trae tu carné de conducir.
Vastzetten en bevestigen	Fixer et confirmer	Book and confirm	Fixieren und bestätigen	Fijar y confirmar
Veertig APK's die volgende maand verlopen	Quarante contrôles techniques qui expirent le mois prochain	Forty MOTs expiring next month	Vierzig HU-Termine, die nächsten Monat ablaufen	Cuarenta ITV que caducan el mes que viene
Vertel ons in welk pakket je werkt. We zeggen eerlijk of het vandaag kan, of wanneer wel.	Dites-nous avec quel logiciel vous travaillez. Nous vous dirons honnêtement si c'est possible aujourd'hui, ou quand cela le sera.	Tell us which package you work in. We will say honestly whether it can be done today, or when it can.	Sagen Sie uns, mit welchem Paket Sie arbeiten. Wir sagen ehrlich, ob es heute geht oder wann.	Dinos con qué programa trabajas. Te diremos con honestidad si se puede hoy, o cuándo sí.
Vertel ons je pakket	Dites-nous votre logiciel	Tell us your package	Nennen Sie uns Ihr Paket	Dinos tu programa
Vervelend. Is iedereen ongedeerd, en rijdt de auto nog?	Désolé de l'apprendre. Tout le monde est indemne, et la voiture roule-t-elle encore ?	Sorry to hear that. Is everyone unhurt, and does the car still drive?	Ärgerlich. Sind alle unverletzt, und fährt das Auto noch?	Vaya. ¿Está todo el mundo ileso y el coche todavía circula?
Vervelend. Wat is het kenteken, dan kijk ik wat erbij hoort.	Désolé de l'apprendre. Quelle est la plaque, je regarde ce qui correspond.	Sorry to hear that. What is the registration, then I will look up what goes with it.	Ärgerlich. Wie lautet das Kennzeichen, dann schaue ich, was dazugehört.	Vaya. ¿Cuál es la matrícula? Miro qué le corresponde.
Verzekeraar, polis, aansprakelijkheid en beeld zitten bij elkaar. Dat scheelt gedoe met de expert.	Assureur, police, responsabilité et images sont réunis. Cela évite des tracas avec l'expert.	Insurer, policy, liability and images are all together. That saves hassle with the assessor.	Versicherer, Police, Haftung und Bilder liegen beisammen. Das spart Ärger mit dem Gutachter.	Aseguradora, póliza, responsabilidad e imágenes están juntas. Eso ahorra líos con el perito.
Verzekering en aansprakelijkheid	Assurance et responsabilité	Insurance and liability	Versicherung und Haftung	Seguro y responsabilidad
Verzet, niet verloren	Déplacé, pas perdu	Rescheduled, not lost	Verschoben, nicht verloren	Cambiada, no perdida
Verzetten in plaats van verliezen	Déplacer plutôt que perdre	Rescheduling instead of losing	Verschieben statt verlieren	Cambiar en vez de perder
Verzetten is makkelijker dan wegblijven	Déplacer est plus simple que ne pas venir	Rescheduling is easier than staying away	Verschieben ist einfacher als wegbleiben	Cambiar es más fácil que no aparecer
Vier cijfers over je eigen bedrijf. Geen e-mailadres, geen verkooppraatje, geen account. Je ziet meteen wat eruit komt en je kunt het doorsturen naar een collega.	Quatre chiffres sur votre propre entreprise. Pas d'adresse e-mail, pas de discours commercial, pas de compte. Vous voyez immédiatement le résultat et vous pouvez le transmettre à un confrère.	Four figures about your own business. No email address, no sales pitch, no account. You see the result straight away and you can forward it to a colleague.	Vier Zahlen über Ihren eigenen Betrieb. Keine E-Mail-Adresse, kein Verkaufsgespräch, kein Konto. Sie sehen sofort, was herauskommt, und können es an einen Kollegen weiterleiten.	Cuatro cifras sobre tu propia empresa. Sin correo electrónico, sin discurso de venta, sin cuenta. Ves el resultado enseguida y puedes reenviarlo a un colega.
Vier vragen over je eigen werkplaats. Geen e-mailadres, geen verkooppraatje. Een schatting op basis van je eigen cijfers, niet op basis van de onze.	Quatre questions sur votre propre atelier. Pas d'adresse e-mail, pas de discours commercial. Une estimation basée sur vos chiffres, pas sur les nôtres.	Four questions about your own workshop. No email address, no sales pitch. An estimate based on your numbers, not on ours.	Vier Fragen zu Ihrer eigenen Werkstatt. Keine E-Mail-Adresse, kein Verkaufsgespräch. Eine Schätzung auf Basis Ihrer Zahlen, nicht unserer.	Cuatro preguntas sobre tu propio taller. Sin correo electrónico, sin discurso de venta. Una estimación basada en tus cifras, no en las nuestras.
Vier weken gespreid werk in plaats van twee weken waarin je mensen moet wegsturen.	Quatre semaines de travail étalé au lieu de deux semaines où vous devez renvoyer des gens.	Four weeks of spread-out work instead of two weeks in which you have to turn people away.	Vier Wochen verteilte Arbeit statt zwei Wochen, in denen Sie Leute wegschicken müssen.	Cuatro semanas de trabajo repartido en vez de dos semanas en las que tienes que rechazar gente.
Vier werkstromen die werken met wat je al hebt: je eigen bestand, je eigen vervaldatums en je eigen openstaande offertes.	Quatre flux qui travaillent avec ce que vous avez déjà : votre fichier, vos dates d'expiration et vos devis en attente.	Four workflows that work with what you already have: your own records, your own expiry dates and your own open quotes.	Vier Abläufe, die mit dem arbeiten, was Sie schon haben: Ihre eigene Kartei, Ihre eigenen Ablaufdaten und Ihre eigenen offenen Angebote.	Cuatro flujos que trabajan con lo que ya tienes: tu propio fichero, tus propias fechas de caducidad y tus presupuestos pendientes.
Vijf garages. Eén cijfer. Vier weken.	Cinq garages. Un chiffre. Quatre semaines.	Five garages. One number. Four weeks.	Fünf Werkstätten. Eine Zahl. Vier Wochen.	Cinco talleres. Una cifra. Cuatro semanas.
Vijf lagen	Cinq couches	Five layers	Fünf Schichten	Cinco capas
Vijf monteurs, twee bruggen, een balie die ook de onderdelen bestelt en een eigenaar die zelf nog sleutelt. Dat is de werkplaats waar dit voor bedoeld is. Niet het merkdealerschap met een callcenter erachter.	Cinq mécaniciens, deux ponts, un comptoir qui commande aussi les pièces et un patron qui met encore les mains dans le cambouis. C'est l'atelier auquel ceci s'adresse. Pas la concession de marque avec un centre d'appels derrière.	Five mechanics, two ramps, a front desk that also orders the parts and an owner who still turns a spanner. That is the workshop this is meant for. Not the franchised dealership with a call centre behind it.	Fünf Mechaniker, zwei Hebebühnen, ein Empfang, der auch die Teile bestellt, und ein Inhaber, der selbst noch schraubt. Das ist die Werkstatt, für die das gedacht ist. Nicht das Vertragshaus mit Callcenter dahinter.	Cinco mecánicos, dos elevadores, un mostrador que además pide los recambios y un dueño que todavía coge la llave. Ese es el taller para el que esto está pensado. No el concesionario oficial con un centro de llamadas detrás.
Vijf plekken, omdat we er meer niet fatsoenlijk kunnen begeleiden. Zit je ertussen en past het niet, dan zeggen we dat in het eerste gesprek.	Cinq places, parce que nous ne pourrions pas en accompagner davantage correctement. Si vous en faites partie et que cela ne convient pas, nous le dirons dès le premier entretien.	Five places, because we could not properly support more. If you are among them and it does not fit, we will say so in the first conversation.	Fünf Plätze, weil wir mehr nicht anständig begleiten können. Sind Sie dabei und es passt nicht, sagen wir das im ersten Gespräch.	Cinco plazas, porque no podríamos acompañar bien a más. Si estás entre ellos y no encaja, lo decimos en la primera conversación.
Vijf werkstromen voor alles wat de klant zelf begint. Bellen, appen, een formulier invullen of schade melden.	Cinq flux pour tout ce que le client entame lui-même. Appeler, écrire sur WhatsApp, remplir un formulaire ou déclarer un sinistre.	Five workflows for everything the customer starts himself. Calling, messaging, filling in a form or reporting damage.	Fünf Abläufe für alles, was der Kunde selbst anfängt. Anrufen, schreiben, ein Formular ausfüllen oder einen Schaden melden.	Cinco flujos para todo lo que inicia el propio cliente. Llamar, escribir, rellenar un formulario o declarar un siniestro.
Voert één taak uit.	Exécute une seule tâche.	Performs one task.	Führt eine Aufgabe aus.	Ejecuta una sola tarea.
Voertuig	Véhicule	Vehicle	Fahrzeug	Vehículo
Voertuig herkend	Véhicule reconnu	Vehicle recognised	Fahrzeug erkannt	Vehículo reconocido
Voertuig herkennen	Reconnaître le véhicule	Recognising the vehicle	Fahrzeug erkennen	Reconocer el vehículo
Voertuig, toedracht, aansprakelijkheid en verzekeraar.	Véhicule, circonstances, responsabilité et assureur.	Vehicle, circumstances, liability and insurer.	Fahrzeug, Hergang, Haftung und Versicherer.	Vehículo, circunstancias, responsabilidad y aseguradora.
Voertuigdossier	Dossier du véhicule	Vehicle file	Fahrzeugakte	Expediente del vehículo
Voertuiggegevens die jij zelf aanlevert of vastlegt	Des données véhicule que vous fournissez ou enregistrez vous-même	Vehicle data you supply or record yourself	Fahrzeugdaten, die Sie selbst liefern oder festhalten	Datos de vehículo que aportas o registras tú
Voertuiggegevens en APK-vervaldatum op basis van het kenteken dat de klant noemt.	Données du véhicule et date d'expiration du contrôle technique à partir de la plaque indiquée par le client.	Vehicle data and MOT expiry date based on the registration the customer gives.	Fahrzeugdaten und HU-Ablaufdatum anhand des Kennzeichens, das der Kunde nennt.	Datos del vehículo y fecha de caducidad de la ITV a partir de la matrícula que dice el cliente.
Voertuiggegevens op kenteken zijn openbaar beschikbaar. Wat we opslaan en koppelen aan een persoon valt wel onder de AVG, en daar gaan we hetzelfde mee om als met de rest van je klantgegevens.	Les données véhicule liées à une plaque sont publiques. Ce que nous stockons et rattachons à une personne relève bien du RGPD, et nous le traitons comme le reste de vos données clients.	Vehicle data by registration is publicly available. What we store and link to a person does fall under the GDPR, and we handle that the same way as the rest of your customer data.	Fahrzeugdaten zum Kennzeichen sind öffentlich verfügbar. Was wir speichern und einer Person zuordnen, fällt sehr wohl unter die DSGVO, und damit gehen wir genauso um wie mit dem Rest Ihrer Kundendaten.	Los datos de vehículo por matrícula son públicos. Lo que guardamos y vinculamos a una persona sí entra en el RGPD, y lo tratamos igual que el resto de tus datos de cliente.
Volkswagen Golf 1.0 TSI	Volkswagen Golf 1.0 TSI	Volkswagen Golf 1.0 TSI	Volkswagen Golf 1.0 TSI	Volkswagen Golf 1.0 TSI
Volkswagen Golf uit 2019, APK verloopt 14 november. Zal ik naar een afspraak kijken?	Volkswagen Golf de 2019, contrôle technique expirant le 14 novembre. Je regarde pour un rendez-vous ?	Volkswagen Golf from 2019, MOT expires 14 November. Shall I look for an appointment?	Volkswagen Golf von 2019, HU läuft am 14. November ab. Soll ich nach einem Termin schauen?	Volkswagen Golf de 2019, la ITV caduca el 14 de noviembre. ¿Busco una cita?
Volkswagen Golf uit 2019, de APK loopt af op 14 november. Zal ik een plek zoeken voor die datum?	Volkswagen Golf de 2019, le contrôle technique expire le 14 novembre. Je cherche une place avant cette date ?	Volkswagen Golf from 2019, the MOT expires on 14 November. Shall I find a slot before that date?	Volkswagen Golf von 2019, die HU läuft am 14. November ab. Soll ich einen Platz vor diesem Datum suchen?	Volkswagen Golf de 2019, la ITV caduca el 14 de noviembre. ¿Busco sitio antes de esa fecha?
Volkswagen Golf uit 2019. Voor remmen nakijken rekenen we een uur, en als er geschuurd of vervangen moet worden komt daar tijd bij. Wil je wachten of brengen?	Volkswagen Golf de 2019. Pour un contrôle des freins nous comptons une heure, et s'il faut rectifier ou remplacer, du temps s'ajoute. Voulez-vous attendre ou déposer ?	Volkswagen Golf from 2019. For a brake check we allow an hour, and if anything has to be skimmed or replaced, time gets added. Do you want to wait or drop it off?	Volkswagen Golf von 2019. Für eine Bremsenprüfung rechnen wir eine Stunde, und wenn geschliffen oder ersetzt werden muss, kommt Zeit dazu. Wollen Sie warten oder bringen?	Volkswagen Golf de 2019. Para revisar frenos contamos una hora, y si hay que rectificar o sustituir se suma tiempo. ¿Quieres esperar o dejarlo?
Volkswagen Golf uit 2019. We beginnen met een aircocontrole, dat is een half uur. Blijkt er te weinig koudemiddel in te zitten, dan vullen we bij en dat kost € 89. Donderdag om 10:00 is vrij.	Volkswagen Golf de 2019. Nous commençons par un contrôle de la climatisation, cela prend une demi-heure. S'il manque du fluide frigorigène, nous complétons et cela coûte 89 €. Jeudi à 10h00 est libre.	Volkswagen Golf from 2019. We start with an air-conditioning check, that is half an hour. If there is too little refrigerant in it, we top it up and that costs €89. Thursday at 10:00 is free.	Volkswagen Golf von 2019. Wir beginnen mit einem Klimacheck, das ist eine halbe Stunde. Stellt sich heraus, dass zu wenig Kältemittel drin ist, füllen wir nach und das kostet 89 €. Donnerstag um 10:00 Uhr ist frei.	Volkswagen Golf de 2019. Empezamos con una revisión del aire acondicionado, eso es media hora. Si resulta que falta refrigerante, lo rellenamos y cuesta 89 €. El jueves a las 10:00 está libre.
Volkswagen Golf · 2019	Volkswagen Golf · 2019	Volkswagen Golf · 2019	Volkswagen Golf · 2019	Volkswagen Golf · 2019
Voor de voorgestelde datum wordt gekeken of er een leenauto beschikbaar is. Zo niet, dan worden er datums voorgesteld waarop dat wel zo is.	Pour la date proposée, on vérifie si un véhicule de courtoisie est disponible. Sinon, d'autres dates sont proposées où il l'est.	For the proposed date it is checked whether a courtesy car is available. If not, dates are proposed on which one is.	Für das vorgeschlagene Datum wird geprüft, ob ein Ersatzwagen verfügbar ist. Wenn nicht, werden Daten vorgeschlagen, an denen das der Fall ist.	Para la fecha propuesta se comprueba si hay coche de cortesía disponible. Si no, se proponen fechas en las que sí lo hay.
Voor de werkplaats	Pour l'atelier	For the workshop	Für die Werkstatt	Para el taller
Voor er een moment wordt aangeboden, wordt gekeken wat er werkelijk vrij is. Dat voorkomt afspraken die later verzet moeten worden.	Avant de proposer un moment, on regarde ce qui est réellement libre. Cela évite les rendez-vous qu'il faut déplacer ensuite.	Before a moment is offered, what is genuinely free gets checked. That prevents appointments that have to be moved later.	Bevor ein Zeitpunkt angeboten wird, wird geschaut, was wirklich frei ist. Das verhindert Termine, die später verschoben werden müssen.	Antes de ofrecer un momento se mira qué está realmente libre. Eso evita citas que luego hay que cambiar.
Voor onafhankelijke garages en werkplaatsen	Pour les garages et ateliers indépendants	For independent garages and workshops	Für freie Werkstätten und Autobetriebe	Para talleres y garajes independientes
Voorbeeld	Exemple	Example	Beispiel	Ejemplo
Voorbeeldweergave	Aperçu d'exemple	Example view	Beispielansicht	Vista de ejemplo
Voordat je iets kunt zeggen over reparatie of kosten, moet je weten wat er gebeurd is, wie er aansprakelijk is en welke verzekeraar erbij hoort. Die informatie ophalen kost een half uur aan de telefoon, en gebeurt meestal op het drukste moment van de dag.	Avant de pouvoir parler réparation ou coûts, il faut savoir ce qui s'est passé, qui est responsable et quel assureur est concerné. Recueillir ces informations prend une demi-heure au téléphone, et cela arrive généralement au moment le plus chargé de la journée.	Before you can say anything about repair or cost, you need to know what happened, who is liable and which insurer is involved. Collecting that information takes half an hour on the phone, and usually happens at the busiest moment of the day.	Bevor Sie etwas zu Reparatur oder Kosten sagen können, müssen Sie wissen, was passiert ist, wer haftet und welche Versicherung dazugehört. Diese Informationen zu holen kostet eine halbe Stunde am Telefon und passiert meist zur vollsten Zeit des Tages.	Antes de poder decir nada sobre reparación o costes hay que saber qué pasó, quién es responsable y qué aseguradora interviene. Recoger esa información cuesta media hora de teléfono, y suele ocurrir en el momento más cargado del día.
Voorkomen wat te voorkomen is, en vullen wat toch vrijkomt.	Prévenir ce qui peut l'être, et combler ce qui se libère malgré tout.	Prevent what can be prevented, and fill what frees up anyway.	Verhindern, was zu verhindern ist, und füllen, was doch frei wird.	Evitar lo evitable y llenar lo que se libera igualmente.
Voorraad en prijzen uit de bron die je koppelt.	Stock et prix depuis la source que vous connectez.	Stock and prices from the source you connect.	Bestand und Preise aus der Quelle, die Sie anbinden.	Stock y precios desde la fuente que conectes.
Voorraad wordt zichtbaar	Le stock devient visible	Stock becomes visible	Der Bestand wird sichtbar	El stock se hace visible
Voorspelbare omzet die je nu laat liggen.	Un chiffre d'affaires prévisible que vous laissez filer aujourd'hui.	Predictable turnover you are currently leaving on the table.	Vorhersehbarer Umsatz, den Sie derzeit liegen lassen.	Facturación previsible que ahora estás dejando pasar.
Voorstellen, antwoorden op vragen en de afspraak vastzetten.	Proposer, répondre aux questions et fixer le rendez-vous.	Propose, answer questions and book the appointment.	Vorschlagen, Fragen beantworten und den Termin fixieren.	Proponer, responder preguntas y fijar la cita.
Voorwaarden die vooraf op papier staan, leveren zelden ruzie op bij de teruggave.	Des conditions écrites à l'avance provoquent rarement des disputes à la restitution.	Conditions set out in advance rarely cause an argument at handback.	Bedingungen, die vorher schriftlich feststehen, führen bei der Rückgabe selten zu Streit.	Las condiciones escritas de antemano rara vez provocan discusiones en la devolución.
Voorwaarden meteen erbij	Les conditions dans la foulée	Conditions stated straight away	Bedingungen gleich dazu	Las condiciones desde el principio
Vragen die we krijgen	Les questions qu'on nous pose	Questions we get	Fragen, die wir bekommen	Preguntas que nos hacen
Vragen krijgen antwoord	Les questions reçoivent une réponse	Questions get answered	Fragen bekommen eine Antwort	Las preguntas reciben respuesta
Vragen stellen, de aanvraag scherp krijgen, een tijdslot voorstellen, de afspraak vastzetten, bevestigen, herinneren en opnieuw aankloppen wanneer het stil blijft. Dit is het deel waar een chatbot stopt en waar een werkplaats juist begint.	Poser des questions, préciser la demande, proposer un créneau, fixer le rendez-vous, confirmer, rappeler et relancer quand le silence s'installe. C'est la partie où un chatbot s'arrête et où un atelier, lui, commence.	Asking questions, sharpening the enquiry, proposing a slot, booking the appointment, confirming, reminding and knocking again when it stays quiet. This is the part where a chatbot stops and where a workshop actually begins.	Fragen stellen, die Anfrage schärfen, ein Zeitfenster vorschlagen, den Termin fixieren, bestätigen, erinnern und erneut anklopfen, wenn es still bleibt. Das ist der Teil, an dem ein Chatbot aufhört und eine Werkstatt gerade anfängt.	Hacer preguntas, concretar la consulta, proponer una franja, fijar la cita, confirmar, recordar y volver a llamar a la puerta si se hace el silencio. Esta es la parte donde un chatbot se para y donde un taller justamente empieza.
Vragen worden beantwoord	Les questions reçoivent une réponse	Questions get answered	Fragen werden beantwortet	Las preguntas se responden
Vrij tijdslot zoeken	Chercher un créneau libre	Find a free slot	Freies Zeitfenster suchen	Buscar una franja libre
Vrijdag 14 november · 09:15 · APK · 1 uur	Vendredi 14 novembre · 09h15 · contrôle technique · 1 heure	Friday 14 November · 09:15 · MOT · 1 hour	Freitag, 14. November · 09:15 · HU · 1 Stunde	Viernes 14 de noviembre · 09:15 · ITV · 1 hora
Vrijdag 23 januari om 08:00, dan heb je hem ’s middags terug.	Vendredi 23 janvier à 08h00, vous la récupérez dans l'après-midi.	Friday 23 January at 08:00, then you will have it back in the afternoon.	Freitag, 23. Januar um 08:00 Uhr, dann haben Sie ihn nachmittags zurück.	Viernes 23 de enero a las 08:00, así lo tienes de vuelta por la tarde.
Vrijdag 23 januari · 08:00 · grote beurt en APK · 4 uur	Vendredi 23 janvier · 08h00 · grand entretien et contrôle technique · 4 heures	Friday 23 January · 08:00 · major service and MOT · 4 hours	Freitag, 23. Januar · 08:00 · große Inspektion und HU · 4 Stunden	Viernes 23 de enero · 08:00 · revisión grande e ITV · 4 horas
Vrijdag de 14e kan om 09:15 of om 14:00. Welke past?	Le vendredi 14, c'est possible à 09h15 ou à 14h00. Lequel vous convient ?	Friday the 14th works at 09:15 or at 14:00. Which suits?	Freitag, der 14., geht um 09:15 oder um 14:00. Was passt?	El viernes 14 puede ser a las 09:15 o a las 14:00. ¿Cuál te va bien?
Waar Helvaro in je bestaande software past	Où Helvaro s'insère dans votre logiciel existant	Where Helvaro fits into your existing software	Wo Helvaro in Ihre bestehende Software passt	Dónde encaja Helvaro en tu software actual
Waar dit in het systeem zit	Où cela se situe dans le système	Where this sits in the system	Wo das im System sitzt	Dónde está esto en el sistema
