# Paginatitels en meta-omschrijvingen. De titel valt via build-langs.pl terug
# op dit woordenboek wanneer hij niet in TITLES van i18n.js staat.
Meer werkplaatsafspraken uit je klantcontact · Helvaro	Plus de rendez-vous atelier à partir de vos contacts clients · Helvaro	More workshop appointments from the customer contact you already have · Helvaro	Mehr Werkstatttermine aus Ihrem bestehenden Kundenkontakt · Helvaro	Más citas de taller a partir del contacto de cliente que ya tienes · Helvaro
APK, werkplaatsplanning, gemiste gesprekken, offertes, no-shows en meer. Tien werkstromen binnen hetzelfde systeem, met hetzelfde geheugen.	Contrôle technique, planning d'atelier, appels manqués, devis, rendez-vous manqués et plus encore. Dix flux de travail au sein du même système, avec la même mémoire.	MOT, workshop planning, missed calls, quotes, no-shows and more. Ten workflows within the same system, with the same memory.	HU, Werkstattplanung, verpasste Anrufe, Angebote, No-Shows und mehr. Zehn Arbeitsabläufe im selben System, mit demselben Gedächtnis.	ITV, planning de taller, llamadas perdidas, presupuestos, ausencias y más. Diez flujos de trabajo dentro del mismo sistema, con la misma memoria.
APK-herinnering-agent: van vervaldatum naar geboekte keuring · Helvaro	Agent rappel contrôle technique : de la date d'expiration au contrôle réservé · Helvaro	MOT reminder agent: from expiry date to booked inspection · Helvaro	HU-Erinnerungs-Agent: vom Ablaufdatum zur gebuchten Untersuchung · Helvaro	Agente de recordatorio de ITV: de la fecha de caducidad a la inspección reservada · Helvaro
Zes weken voor de APK verloopt een bericht met een concrete datum erbij. Vragen worden beantwoord, de afspraak wordt vastgezet.	Six semaines avant l'expiration du contrôle technique, un message avec une date concrète. Les questions reçoivent une réponse, le rendez-vous est fixé.	Six weeks before the MOT expires, a message with a concrete date attached. Questions get answered, the appointment gets booked.	Sechs Wochen bevor die HU abläuft, eine Nachricht mit einem konkreten Datum. Fragen werden beantwortet, der Termin wird fixiert.	Seis semanas antes de que caduque la ITV, un mensaje con una fecha concreta. Las preguntas se responden, la cita se fija.
Werkplaats-inplan-agent: afspraken die in je planning passen · Helvaro	Agent planification atelier : des rendez-vous qui entrent dans votre planning · Helvaro	Workshop scheduling agent: appointments that fit your planning · Helvaro	Werkstattplanungs-Agent: Termine, die in Ihre Planung passen · Helvaro	Agente de planificación de taller: citas que encajan en tu planning · Helvaro
Een keuring is geen distributieriem. De agent weet hoelang een klus duurt en boekt het tijdslot dat erbij hoort.	Un contrôle technique n'est pas une courroie de distribution. L'agent sait combien de temps dure une intervention et réserve le créneau correspondant.	An inspection is not a timing belt. The agent knows how long a job takes and books the slot that goes with it.	Eine Untersuchung ist kein Zahnriemen. Der Agent weiß, wie lange eine Arbeit dauert, und bucht das passende Zeitfenster.	Una inspección no es una correa de distribución. El agente sabe cuánto dura un trabajo y reserva la franja que le corresponde.
Gemiste-gesprekken-agent: elke onbeantwoorde oproep krijgt antwoord · Helvaro	Agent appels manqués : chaque appel sans réponse reçoit une réponse · Helvaro	Missed-calls agent: every unanswered call gets an answer · Helvaro	Agent für verpasste Anrufe: jeder unbeantwortete Anruf bekommt eine Antwort · Helvaro	Agente de llamadas perdidas: toda llamada sin responder recibe respuesta · Helvaro
Wie niet doorkomt krijgt binnen een minuut een bericht, met de vraag waar het over gaat en een voorstel voor een tijdslot.	Celui qui n'arrive pas à vous joindre reçoit un message en moins d'une minute, avec la question de l'objet de l'appel et une proposition de créneau.	Anyone who does not get through gets a message within a minute, asking what it is about and proposing a slot.	Wer nicht durchkommt, bekommt innerhalb einer Minute eine Nachricht mit der Frage, worum es geht, und einem Vorschlag für ein Zeitfenster.	Quien no consigue contactar recibe un mensaje en menos de un minuto, preguntando de qué se trata y proponiendo una franja.
Offerte-opvolg-agent: een prijs die de deur uitgaat, komt ook terug · Helvaro	Agent relance de devis : un prix qui sort revient aussi · Helvaro	Quote follow-up agent: a price that goes out comes back too · Helvaro	Angebots-Nachfass-Agent: ein Preis, der rausgeht, kommt auch zurück · Helvaro	Agente de seguimiento de presupuestos: un precio que sale también vuelve · Helvaro
Drie contactmomenten na een prijsopgave, in jouw toon. Een duidelijk nee is ook een resultaat, want dan stopt het naijlen.	Trois prises de contact après un devis, sur votre ton. Un non clair est aussi un résultat, car l'attente prend alors fin.	Three contact moments after a quote, in your tone. A clear no is a result too, because then the lingering stops.	Drei Kontaktmomente nach einem Angebot, in Ihrem Ton. Ein klares Nein ist auch ein Ergebnis, denn dann hört das Nachhängen auf.	Tres contactos después de un presupuesto, en tu tono. Un no claro también es un resultado, porque así se acaba la espera.
No-show-agent: minder lege bruggen, minder loze uren · Helvaro	Agent rendez-vous manqués : moins de ponts vides, moins d'heures perdues · Helvaro	No-show agent: fewer empty ramps, fewer idle hours · Helvaro	No-Show-Agent: weniger leere Hebebühnen, weniger Leerlaufstunden · Helvaro	Agente de ausencias: menos elevadores vacíos, menos horas muertas · Helvaro
Bevestigen, herinneren en het vrijgekomen tijdslot meteen aanbieden aan iemand die wacht. Een lege brug kost evenveel als een volle.	Confirmer, rappeler et proposer aussitôt le créneau libéré à quelqu'un qui attend. Un pont vide coûte autant qu'un pont occupé.	Confirm, remind and immediately offer the freed-up slot to someone who is waiting. An empty ramp costs as much as a full one.	Bestätigen, erinnern und das frei gewordene Zeitfenster sofort jemandem anbieten, der wartet. Eine leere Hebebühne kostet genauso viel wie eine volle.	Confirmar, recordar y ofrecer enseguida la franja liberada a alguien que espera. Un elevador vacío cuesta lo mismo que uno ocupado.
Onderdelen-navraag-agent: de klant weet waar hij aan toe is · Helvaro	Agent vérification des pièces : le client sait à quoi s'en tenir · Helvaro	Parts enquiry agent: the customer knows where he stands · Helvaro	Teileabfrage-Agent: der Kunde weiß, woran er ist · Helvaro	Agente de consulta de recambios: el cliente sabe a qué atenerse · Helvaro
Levertijd, prijs en beschikbaarheid van onderdelen worden nagevraagd en teruggekoppeld, zodat je balie niet drie keer hoeft te bellen.	Délai, prix et disponibilité des pièces sont vérifiés et communiqués, pour que votre comptoir n'ait pas à appeler trois fois.	Delivery time, price and availability of parts get looked up and reported back, so your front desk does not have to call three times.	Lieferzeit, Preis und Verfügbarkeit von Teilen werden abgefragt und zurückgemeldet, damit Ihr Empfang nicht dreimal anrufen muss.	Plazo, precio y disponibilidad de los recambios se consultan y se comunican, para que tu mostrador no tenga que llamar tres veces.
Leenauto-agent: beschikbaarheid en reservering in één gesprek · Helvaro	Agent véhicule de courtoisie : disponibilité et réservation en une conversation · Helvaro	Courtesy car agent: availability and reservation in one conversation · Helvaro	Ersatzwagen-Agent: Verfügbarkeit und Reservierung in einem Gespräch · Helvaro	Agente de coche de cortesía: disponibilidad y reserva en una conversación · Helvaro
Is er een leenauto vrij, wat kost het en wat zijn de voorwaarden. De vraag die elke afspraak vertraagt, meteen beantwoord.	Un véhicule de courtoisie est-il libre, combien coûte-t-il et quelles sont les conditions. La question qui retarde chaque rendez-vous, résolue immédiatement.	Is a courtesy car free, what does it cost and what are the conditions. The question that delays every appointment, answered straight away.	Ist ein Ersatzwagen frei, was kostet er und wie sind die Bedingungen. Die Frage, die jeden Termin verzögert, sofort beantwortet.	Si hay coche de cortesía libre, cuánto cuesta y cuáles son las condiciones. La pregunta que retrasa cada cita, respondida al momento.
Schade-intake-agent: gegevens compleet voor de auto binnenrijdt · Helvaro	Agent déclaration de sinistre : dossier complet avant l'arrivée de la voiture · Helvaro	Damage intake agent: details complete before the car drives in · Helvaro	Schadenaufnahme-Agent: Daten komplett, bevor das Auto hereinfährt · Helvaro	Agente de registro de daños: datos completos antes de que entre el coche · Helvaro
Foto's, kenteken, verzekeraar en toedracht worden opgehaald voor de klant langskomt, zodat de eerste afspraak meteen klopt.	Photos, plaque, assureur et circonstances sont recueillis avant la venue du client, pour que le premier rendez-vous soit juste d'emblée.	Photos, registration, insurer and circumstances are collected before the customer comes by, so the first appointment is right from the start.	Fotos, Kennzeichen, Versicherer und Hergang werden eingeholt, bevor der Kunde vorbeikommt, damit der erste Termin gleich stimmt.	Fotos, matrícula, aseguradora y circunstancias se recogen antes de que venga el cliente, para que la primera cita sea correcta desde el principio.
Bandenwissel-agent: twee seizoenen, één campagne · Helvaro	Agent changement de pneus : deux saisons, une campagne · Helvaro	Tyre change agent: two seasons, one campaign · Helvaro	Reifenwechsel-Agent: zwei Saisons, eine Kampagne · Helvaro	Agente de cambio de neumáticos: dos temporadas, una campaña · Helvaro
Twee keer per jaar een volle week werk, mits iemand op tijd begint. De agent benadert je hele bandenbestand en plant de wissels in.	Deux fois par an une semaine pleine de travail, à condition que quelqu'un commence à temps. L'agent contacte tout votre fichier pneus et planifie les changements.	Twice a year a full week of work, provided someone starts in time. The agent approaches your entire tyre base and schedules the changes.	Zweimal im Jahr eine volle Woche Arbeit, sofern jemand rechtzeitig anfängt. Der Agent spricht Ihre gesamte Reifenkartei an und plant die Wechsel ein.	Dos veces al año una semana entera de trabajo, siempre que alguien empiece a tiempo. El agente contacta todo tu fichero de neumáticos y programa los cambios.
Onderhoudsbeurt-agent: op kilometers of op datum · Helvaro	Agent entretien : aux kilomètres ou à la date · Helvaro	Service agent: on mileage or on date · Helvaro	Inspektions-Agent: nach Kilometern oder nach Datum · Helvaro	Agente de revisión: por kilómetros o por fecha · Helvaro
De klant die anders nog een half jaar doorrijdt, boekt nu. Herinneringen op basis van je eigen intervallen, niet op een vast schema.	Le client qui roulerait sinon encore six mois réserve maintenant. Des rappels basés sur vos propres intervalles, pas sur un schéma fixe.	The customer who would otherwise drive on for another six months books now. Reminders based on your own intervals, not on a fixed schedule.	Der Kunde, der sonst noch ein halbes Jahr weiterfährt, bucht jetzt. Erinnerungen auf Basis Ihrer eigenen Intervalle, nicht nach festem Schema.	El cliente que si no seguiría medio año más ahora reserva. Recordatorios basados en tus propios intervalos, no en un esquema fijo.
Koppelingen: waar Helvaro in je bestaande software past · Helvaro	Intégrations : où Helvaro s'insère dans votre logiciel existant · Helvaro	Integrations: where Helvaro fits into your existing software · Helvaro	Anbindungen: wo Helvaro in Ihre bestehende Software passt · Helvaro	Integraciones: dónde encaja Helvaro en tu software actual · Helvaro
Een afspraak die alleen bij ons staat is geen afspraak. Dit is de eerlijke stand van zaken per koppeling: live, in ontwikkeling of gepland.	Un rendez-vous qui n'existe que chez nous n'est pas un rendez-vous. Voici l'état des lieux honnête par intégration : en ligne, en développement ou prévu.	An appointment that only exists with us is not an appointment. This is the honest state of play per integration: live, in development or planned.	Ein Termin, der nur bei uns steht, ist kein Termin. Das ist der ehrliche Stand je Anbindung: live, in Entwicklung oder geplant.	Una cita que solo existe en nuestro sistema no es una cita. Este es el estado honesto de cada integración: activo, en desarrollo o previsto.
Helvaro en AutomaaT GO · Helvaro	Helvaro et AutomaaT GO · Helvaro	Helvaro and AutomaaT GO · Helvaro	Helvaro und AutomaaT GO · Helvaro	Helvaro y AutomaaT GO · Helvaro
Afspraken en klantgegevens naar het pakket waar veel onafhankelijke garages in werken. Stand van zaken, opzet en wat er nog niet is.	Rendez-vous et données clients vers le logiciel utilisé par de nombreux garages indépendants. État des lieux, conception et ce qui n'existe pas encore.	Appointments and customer data into the package many independent garages work in. State of play, design and what is not there yet.	Termine und Kundendaten in das Paket, mit dem viele freie Werkstätten arbeiten. Stand der Dinge, Aufbau und was es noch nicht gibt.	Citas y datos de cliente al programa con el que trabajan muchos talleres independientes. Estado de la cuestión, planteamiento y lo que todavía no existe.
Helvaro en Autoflex · Helvaro	Helvaro et Autoflex · Helvaro	Helvaro and Autoflex · Helvaro	Helvaro und Autoflex · Helvaro	Helvaro y Autoflex · Helvaro
Werkorders en werkplaatsplanning, zodat een geboekt tijdslot ook echt een werkorder wordt. Stand van zaken en de beoogde opzet.	Ordres de travail et planning d'atelier, pour qu'un créneau réservé devienne vraiment un ordre de travail. État des lieux et conception visée.	Work orders and workshop planning, so a booked slot really becomes a work order. State of play and the intended design.	Arbeitsaufträge und Werkstattplanung, damit ein gebuchtes Zeitfenster auch wirklich ein Arbeitsauftrag wird. Stand der Dinge und der angestrebte Aufbau.	Órdenes de trabajo y planning de taller, para que una franja reservada se convierta de verdad en una orden de trabajo. Estado de la cuestión y planteamiento previsto.
Helvaro en WinCar · Helvaro	Helvaro et WinCar · Helvaro	Helvaro and WinCar · Helvaro	Helvaro und WinCar · Helvaro	Helvaro y WinCar · Helvaro
Klanthistorie en voertuigdossier als context onder elk gesprek. Stand van zaken en de beoogde opzet.	Historique client et dossier véhicule comme contexte sous chaque conversation. État des lieux et conception visée.	Customer history and vehicle file as context under every conversation. State of play and the intended design.	Kundenhistorie und Fahrzeugakte als Kontext unter jedem Gespräch. Stand der Dinge und der angestrebte Aufbau.	Historial de cliente y expediente del vehículo como contexto bajo cada conversación. Estado de la cuestión y planteamiento previsto.
Helvaro en het RDW-kentekenregister · Helvaro	Helvaro et le registre des plaques RDW · Helvaro	Helvaro and the RDW vehicle register · Helvaro	Helvaro und das RDW-Kennzeichenregister · Helvaro	Helvaro y el registro de matrículas del RDW · Helvaro
Voertuiggegevens en APK-vervaldatum op basis van het kenteken dat de klant noemt. Stand van zaken en wat we wel en niet opslaan.	Données du véhicule et date d'expiration du contrôle technique à partir de la plaque indiquée par le client. État des lieux et ce que nous stockons ou non.	Vehicle data and MOT expiry date based on the registration the customer gives. State of play and what we do and do not store.	Fahrzeugdaten und HU-Ablaufdatum anhand des Kennzeichens, das der Kunde nennt. Stand der Dinge und was wir speichern und was nicht.	Datos del vehículo y fecha de caducidad de la ITV a partir de la matrícula que dice el cliente. Estado de la cuestión y qué guardamos y qué no.
