Gebruikt dezelfde prijzen in de offerte die de deur uitgaat.	Utilise les mêmes prix dans le devis qui part.	Uses the same prices in the quote that goes out.	Verwendet dieselben Preise im Angebot, das rausgeht.	Usa los mismos precios en el presupuesto que sale.
Geen loze beloftes over datums	Pas de promesses en l'air sur les dates	No empty promises about dates	Keine leeren Versprechen zu Terminen	Sin promesas vacías sobre fechas
Geen migratie, geen maandenlange invoering. Werkt het na een paar weken niet, dan zet je het uit.	Pas de migration, pas de déploiement de plusieurs mois. Si cela ne fonctionne pas après quelques semaines, vous l'éteignez.	No migration, no months-long rollout. If it is not working after a few weeks, you switch it off.	Keine Migration, keine monatelange Einführung. Funktioniert es nach ein paar Wochen nicht, schalten Sie es ab.	Sin migración, sin implantación de meses. Si a las pocas semanas no funciona, lo apagas.
Geen nieuwe klanten nodig	Pas besoin de nouveaux clients	No new customers needed	Keine neuen Kunden nötig	No hacen falta clientes nuevos
Geen prijzen uit het niets	Pas de prix sortis de nulle part	No prices out of thin air	Keine Preise aus dem Nichts	Sin precios sacados de la nada
Geen probleem, dan zoeken we iets anders. Donderdag om 08:00 of zaterdagochtend om 09:30, welke past beter?	Pas de souci, on cherche autre chose. Jeudi à 08h00 ou samedi matin à 09h30, qu'est-ce qui vous arrange le mieux ?	No problem, then we will find something else. Thursday at 08:00 or Saturday morning at 09:30, which suits better?	Kein Problem, dann suchen wir etwas anderes. Donnerstag um 08:00 oder Samstagvormittag um 09:30, was passt besser?	Sin problema, buscamos otra cosa. ¿El jueves a las 08:00 o el sábado por la mañana a las 09:30, qué te viene mejor?
Geen ruzie, geen klacht. Hij is je gewoon vergeten. In je systeem staan honderden van die namen, en niemand heeft de tijd om ze te bellen.	Pas de dispute, pas de plainte. Il vous a simplement oublié. Votre système contient des centaines de ces noms, et personne n'a le temps de les appeler.	No argument, no complaint. He has simply forgotten you. There are hundreds of those names in your system, and nobody has the time to call them.	Kein Streit, keine Beschwerde. Er hat Sie einfach vergessen. In Ihrem System stehen Hunderte solcher Namen, und niemand hat die Zeit, sie anzurufen.	Sin discusión, sin queja. Sencillamente te ha olvidado. En tu sistema hay cientos de esos nombres, y nadie tiene tiempo de llamarlos.
Geen tweede bestand	Pas de second fichier	No second database	Keine zweite Datei	Sin un segundo fichero
Geen tweede klantenbestand dat langzaam uit de pas loopt met het eerste.	Pas de second fichier clients qui diverge peu à peu du premier.	No second customer base slowly drifting apart from the first.	Keine zweite Kundendatei, die langsam mit der ersten auseinanderläuft.	Sin un segundo fichero de clientes que poco a poco se desincroniza del primero.
Geen uitgebreid onderzoek met twintig variabelen. Eén meting die we allebei snappen en die achteraf niet uit te leggen valt als toeval.	Pas une étude fouillée à vingt variables. Une seule mesure que nous comprenons tous les deux et qui ne pourra pas être attribuée au hasard après coup.	Not an elaborate study with twenty variables. One measurement we both understand and that cannot afterwards be explained away as chance.	Keine ausführliche Untersuchung mit zwanzig Variablen. Eine Messung, die wir beide verstehen und die sich hinterher nicht als Zufall wegerklären lässt.	No un estudio amplio con veinte variables. Una sola medición que ambos entendemos y que después no se puede explicar como casualidad.
Geen uur later en niet de volgende ochtend. Binnen een minuut krijgt de beller een bericht: we zagen dat je belde, waar kunnen we mee helpen.	Pas une heure plus tard ni le lendemain matin. En moins d'une minute, celui qui a appelé reçoit un message : nous avons vu votre appel, en quoi pouvons-nous vous aider.	Not an hour later and not the next morning. Within a minute the caller gets a message: we saw that you called, what can we help with.	Keine Stunde später und nicht am nächsten Morgen. Innerhalb einer Minute bekommt der Anrufer eine Nachricht: wir haben gesehen, dass Sie angerufen haben, womit können wir helfen.	Ni una hora después ni a la mañana siguiente. En menos de un minuto quien llamó recibe un mensaje: hemos visto tu llamada, ¿en qué podemos ayudar?
Geen van deze zes gaat over te weinig klanten. Ze gaan allemaal over klanten die je al had.	Aucun de ces six points ne concerne un manque de clients. Ils concernent tous des clients que vous aviez déjà.	None of these six is about having too few customers. They are all about customers you already had.	Keiner dieser sechs Punkte handelt von zu wenigen Kunden. Sie handeln alle von Kunden, die Sie schon hatten.	Ninguno de estos seis va de tener pocos clientes. Todos van de clientes que ya tenías.
Geen verkooppraatje, maar de vraag of de offerte aangekomen is en of er iets onduidelijk was. Dat is meestal het echte bezwaar.	Pas de discours commercial, mais la question de savoir si le devis est bien arrivé et si quelque chose n'était pas clair. C'est généralement la véritable objection.	No sales pitch, but the question of whether the quote arrived and whether anything was unclear. That is usually the real objection.	Kein Verkaufsgespräch, sondern die Frage, ob das Angebot angekommen ist und ob etwas unklar war. Das ist meist der eigentliche Einwand.	Sin discurso de venta, solo la pregunta de si llegó el presupuesto y si algo no quedó claro. Esa suele ser la objeción real.
Geen vervanging van je balie	Pas un remplacement de votre comptoir	No replacement for your front desk	Kein Ersatz für Ihren Empfang	No sustituye a tu mostrador
Geen verwijt, maar de vraag of hij een nieuwe datum wil. Dat scheelt een klant die uit schaamte wegblijft.	Pas de reproche, mais la question de savoir s'il veut une nouvelle date. Cela évite de perdre un client qui reste absent par gêne.	No reproach, but the question of whether he wants a new date. That saves a customer who stays away out of embarrassment.	Kein Vorwurf, sondern die Frage, ob er einen neuen Termin möchte. Das erspart einen Kunden, der aus Scham wegbleibt.	Sin reproche, solo la pregunta de si quiere una fecha nueva. Eso evita perder a un cliente que no vuelve por vergüenza.
Gegevens die verder gaan dan wat openbaar beschikbaar is	Des données qui vont au-delà de ce qui est publiquement disponible	Data that goes beyond what is publicly available	Daten, die über das öffentlich Verfügbare hinausgehen	Datos que van más allá de lo que es público
Gemiddelde werkplaatsomzet per afspraak (€)	Chiffre d'affaires atelier moyen par rendez-vous (€)	Average workshop turnover per appointment (€)	Durchschnittlicher Werkstattumsatz pro Termin (€)	Facturación media de taller por cita (€)
Gemist, beantwoord, geboekt. Het cijfer dat er niet was.	Manqué, répondu, réservé. Le chiffre qui n'existait pas.	Missed, answered, booked. The number that was not there.	Verpasst, beantwortet, gebucht. Die Zahl, die es nicht gab.	Perdida, respondida, reservada. La cifra que no existía.
Gemiste gesprekken	Appels manqués	Missed calls	Verpasste Anrufe	Llamadas perdidas
Gemiste gesprekken zijn het makkelijkste deel om te tellen.	Les appels manqués sont la partie la plus facile à compter.	Missed calls are the easiest part to count.	Verpasste Anrufe sind der Teil, der sich am leichtesten zählen lässt.	Las llamadas perdidas son la parte más fácil de contar.
Genoteerd. Donderdag 10:00 kun je langskomen zodat we het opnemen en een calculatie maken. Neem het schadeformulier mee.	Noté. Jeudi à 10h00, vous pouvez passer pour que nous fassions le constat et le chiffrage. Apportez le constat amiable.	Noted. Thursday at 10:00 you can come by so we can assess it and make an estimate. Bring the accident form.	Notiert. Am Donnerstag um 10:00 Uhr können Sie vorbeikommen, damit wir es aufnehmen und kalkulieren. Bringen Sie den Unfallbericht mit.	Anotado. El jueves a las 10:00 puedes pasar para que lo valoremos y hagamos el presupuesto. Trae el parte amistoso.
Geschatte gemiste werkplaatsomzet	Chiffre d'affaires atelier perdu estimé	Estimated lost workshop turnover	Geschätzter entgangener Werkstattumsatz	Facturación de taller perdida estimada
Gesprek 09:14 · WhatsApp	Conversation 09h14 · WhatsApp	Conversation 09:14 · WhatsApp	Gespräch 09:14 · WhatsApp	Conversación 09:14 · WhatsApp
Gesprekken en afspraken	Conversations et rendez-vous	Conversations and appointments	Gespräche und Termine	Conversaciones y citas
Gesprekken per kanaal	Conversations par canal	Conversations per channel	Gespräche je Kanal	Conversaciones por canal
Gesprekken per week die je niet oppakt	Conversations par semaine que vous ne prenez pas	Conversations per week you do not pick up	Gespräche pro Woche, die Sie nicht annehmen	Conversaciones por semana que no atiendes
Goed om te horen. Stuur me een paar foto’s van de schade en één van de hele auto, en geef het kenteken door.	Bonne nouvelle. Envoyez-moi quelques photos des dégâts et une de la voiture entière, et donnez-moi la plaque.	Good to hear. Send me a few photos of the damage and one of the whole car, and give me the registration.	Gut zu hören. Schicken Sie mir ein paar Fotos des Schadens und eines vom ganzen Auto, und nennen Sie das Kennzeichen.	Me alegro. Mándame algunas fotos del daño y una del coche entero, y dime la matrícula.
Golf 1.0 TSI uit 2019. Daar hoort een 60Ah accu bij, die hebben we op voorraad. € 149 inclusief plaatsen en het oude exemplaar meenemen.	Golf 1.0 TSI de 2019. Il lui faut une batterie de 60 Ah, nous l'avons en stock. 149 € pose comprise et reprise de l'ancienne.	Golf 1.0 TSI from 2019. That takes a 60Ah battery, which we have in stock. €149 including fitting and taking the old one away.	Golf 1.0 TSI von 2019. Dazu gehört eine 60-Ah-Batterie, die haben wir vorrätig. 149 € inklusive Einbau und Mitnahme der alten.	Golf 1.0 TSI de 2019. Le corresponde una batería de 60 Ah, la tenemos en stock. 149 € con montaje incluido y nos llevamos la vieja.
Graag, liefst een ochtend	Volontiers, de préférence le matin	Yes please, preferably a morning	Gern, am liebsten vormittags	Sí, mejor por la mañana
Graag. Wie in de pilot zit, bepaalt mee welke velden er over moeten en in welke volgorde we bouwen.	Volontiers. Qui participe au pilote contribue à décider quels champs doivent passer et dans quel ordre nous construisons.	Gladly. Whoever is in the pilot helps decide which fields need to come across and in what order we build.	Gern. Wer beim Piloten dabei ist, bestimmt mit, welche Felder übergehen müssen und in welcher Reihenfolge wir bauen.	Con gusto. Quien está en el piloto ayuda a decidir qué campos deben pasar y en qué orden construimos.
Gratis en vrijblijvend. Je praat met dezelfde agent die jouw klanten te zien krijgen.	Gratuit et sans engagement. Vous parlez au même agent que celui que vos clients rencontrent.	Free and without obligation. You are talking to the same agent your customers get to see.	Kostenlos und unverbindlich. Sie sprechen mit demselben Agent, den Ihre Kunden zu sehen bekommen.	Gratis y sin compromiso. Hablas con el mismo agente que ven tus clientes.
Grenzen	Limites	Limits	Grenzen	Límites
Groep 1	Groupe 1	Group 1	Gruppe 1	Grupo 1
Groep 2	Groupe 2	Group 2	Gruppe 2	Grupo 2
Groep 3	Groupe 3	Group 3	Gruppe 3	Grupo 3
Grote klussen blijven hangen op een vraag die in twee minuten te beantwoorden is.	De grosses interventions restent bloquées sur une question à laquelle on peut répondre en deux minutes.	Big jobs get stuck on a question that can be answered in two minutes.	Große Arbeiten bleiben an einer Frage hängen, die sich in zwei Minuten beantworten lässt.	Los trabajos grandes se quedan atascados en una pregunta que se responde en dos minutos.
Grote klussen komen los	Les grosses interventions se débloquent	Big jobs get moving	Große Arbeiten kommen in Gang	Los trabajos grandes se desbloquean
Half werk, hele kosten.	Travail à moitié, frais entiers.	Half the work, all the cost.	Halbe Arbeit, volle Kosten.	Medio trabajo, todos los costes.
Handelen	Agir	Act	Handeln	Actuar
Heb je een rustige werkplaats	Votre atelier est calme	Is your workshop quiet	Haben Sie eine ruhige Werkstatt	¿Tienes el taller tranquilo?
Helvaro draait, maar we hebben nog geen gemeten resultaat in een werkplaats. Dat verzinnen we ook niet. In plaats daarvan zoeken we vijf onafhankelijke garages die het systeem aanzetten en ons één cijfer laten meten: hoeveel klantcontact er extra een afspraak wordt.	Helvaro tourne, mais nous n'avons pas encore de résultat mesuré dans un atelier. Et nous n'en inventons pas. Nous cherchons plutôt cinq garages indépendants qui activent le système et nous laissent mesurer un seul chiffre : combien de contacts clients supplémentaires deviennent des rendez-vous.	Helvaro is running, but we do not yet have a measured result in a workshop. And we are not inventing one. Instead we are looking for five independent garages who switch the system on and let us measure one figure: how much extra customer contact turns into an appointment.	Helvaro läuft, aber wir haben noch kein gemessenes Ergebnis in einer Werkstatt. Und wir erfinden auch keines. Stattdessen suchen wir fünf freie Werkstätten, die das System einschalten und uns eine Kennzahl messen lassen: wie viel Kundenkontakt zusätzlich zu einem Termin wird.	Helvaro funciona, pero todavía no tenemos un resultado medido en un taller. Y tampoco nos lo inventamos. En su lugar buscamos cinco talleres independientes que enciendan el sistema y nos dejen medir una sola cifra: cuánto contacto de cliente adicional se convierte en cita.
Helvaro en	Helvaro et	Helvaro and	Helvaro und	Helvaro y
Helvaro komt naar je software toe.	Helvaro vient à votre logiciel.	Helvaro comes to your software.	Helvaro kommt zu Ihrer Software.	Helvaro va hacia tu software.
Helvaro schrijft naar de planning waar je team toch al in werkt. We noemen alleen live wat live is. De rest staat als in ontwikkeling of gepland, en dat verandert pas als het werkt bij een echte garage.	Helvaro écrit dans le planning dans lequel votre équipe travaille déjà. Nous n'appelons « en ligne » que ce qui l'est vraiment. Le reste est marqué en développement ou prévu, et cela ne change que lorsque cela fonctionne chez un vrai garage.	Helvaro writes into the planning your team already works in. We only call live what is live. The rest is marked in development or planned, and that only changes once it works at a real garage.	Helvaro schreibt in die Planung, in der Ihr Team ohnehin arbeitet. Wir nennen nur live, was live ist. Der Rest steht als in Entwicklung oder geplant, und das ändert sich erst, wenn es bei einer echten Werkstatt funktioniert.	Helvaro escribe en el planning en el que tu equipo ya trabaja. Solo llamamos activo a lo que está activo. El resto figura como en desarrollo o previsto, y eso solo cambia cuando funciona en un taller real.
Helvaro vervangt je pakket niet. Het staat ervoor, op de plek waar nu niemand staat.	Helvaro ne remplace pas votre logiciel. Il se place devant, à l'endroit où personne ne se trouve aujourd'hui.	Helvaro does not replace your package. It stands in front of it, in the spot where nobody stands today.	Helvaro ersetzt Ihr Paket nicht. Es steht davor, an der Stelle, an der heute niemand steht.	Helvaro no sustituye a tu programa. Se pone delante, en el sitio donde hoy no hay nadie.
Helvaro, Faro en de agents.	Helvaro, Faro et les agents.	Helvaro, Faro and the agents.	Helvaro, Faro und die Agents.	Helvaro, Faro y los agentes.
Herinneren de dag ervoor	Rappeler la veille	Reminding the day before	Am Vortag erinnern	Recordar el día antes
Herinneren en teruggeven	Rappeler et restituer	Reminding and returning	Erinnern und zurückgeben	Recordar y devolver
Het Helvaro-systeem	Le système Helvaro	The Helvaro system	Das Helvaro-System	El sistema Helvaro
Het Nederlandse register is een andere bron dan de Belgische. Voor Belgische bedrijven werken we vandaag met de gegevens die je zelf aanlevert.	Le registre néerlandais est une source différente du registre belge. Pour les entreprises belges, nous travaillons aujourd'hui avec les données que vous fournissez vous-même.	The Dutch register is a different source from the Belgian one. For Belgian businesses we work today with the data you supply yourself.	Das niederländische Register ist eine andere Quelle als das belgische. Für belgische Betriebe arbeiten wir heute mit den Daten, die Sie selbst liefern.	El registro neerlandés es una fuente distinta del belga. Para empresas belgas trabajamos hoy con los datos que aportas tú.
Het antwoord komt in hetzelfde gesprek. Er is geen moment waarop hij gaat rondkijken bij een ander.	La réponse arrive dans la même conversation. Il n'y a aucun moment où il va voir ailleurs.	The answer comes in the same conversation. There is no moment at which he starts looking elsewhere.	Die Antwort kommt im selben Gespräch. Es gibt keinen Moment, in dem er sich woanders umsieht.	La respuesta llega en la misma conversación. No hay ningún momento en el que se ponga a mirar en otro sitio.
Het cijfer	Le chiffre	The number	Die Zahl	La cifra
Het doel is dat een vastgezet tijdslot automatisch een werkorder wordt, met het soort klus en de verwachte duur erbij.	L'objectif est qu'un créneau fixé devienne automatiquement un ordre de travail, avec le type d'intervention et la durée prévue.	The aim is that a booked slot automatically becomes a work order, with the type of job and the expected duration attached.	Ziel ist, dass ein fixiertes Zeitfenster automatisch zu einem Arbeitsauftrag wird, mit Art der Arbeit und erwarteter Dauer.	El objetivo es que una franja fijada se convierta automáticamente en una orden de trabajo, con el tipo de trabajo y la duración prevista.
Het dossier staat klaar	Le dossier est prêt	The file is ready	Die Akte steht bereit	El expediente está listo
Het draait bij een garage.	Cela tourne chez un garage.	It runs at a garage.	Es läuft bei einer Werkstatt.	Funciona en un taller.
Het dure werk is al gedaan: uitzoeken, onderdelen opvragen, een bedrag opstellen. Wat ontbreekt is het laatste duwtje, en dat is precies waar de marge zit. Een offerte zonder opvolging is een investering die je weggooit.	Le travail coûteux est déjà fait : rechercher, demander les pièces, établir un montant. Il ne manque que le dernier coup de pouce, et c'est précisément là que se trouve la marge. Un devis sans relance est un investissement que vous jetez.	The expensive work is already done: looking things up, requesting parts, putting together an amount. What is missing is the final nudge, and that is exactly where the margin sits. A quote without follow-up is an investment you throw away.	Die teure Arbeit ist schon getan: nachschlagen, Teile anfragen, einen Betrag aufstellen. Was fehlt, ist der letzte Anstoß, und genau dort sitzt die Marge. Ein Angebot ohne Nachfassen ist eine Investition, die Sie wegwerfen.	El trabajo caro ya está hecho: buscar, pedir piezas, montar un importe. Lo que falta es el último empujón, y ahí está justo el margen. Un presupuesto sin seguimiento es una inversión que tiras.
Het enige cijfer dat telt	Le seul chiffre qui compte	The only number that counts	Die einzige Zahl, die zählt	La única cifra que cuenta
Het gat dat je meteen kunt meten.	Le trou que vous pouvez mesurer tout de suite.	The gap you can measure straight away.	Die Lücke, die Sie sofort messen können.	El agujero que puedes medir enseguida.
Het gekke is dat dit bijna altijd bekende informatie is. Het staat in je systeem of het is met één vraag bij je leverancier op te halen. Alleen zit er telkens een mens tussen die er net geen tijd voor heeft.	Le plus étrange, c'est que cette information est presque toujours connue. Elle figure dans votre système ou s'obtient auprès de votre fournisseur en une seule question. Sauf qu'il y a chaque fois un humain entre les deux, qui n'a justement pas le temps.	The odd thing is that this is almost always known information. It is in your system or it can be got from your supplier with one question. It is just that each time there is a person in between who does not quite have the time.	Das Seltsame ist, dass das fast immer bekannte Information ist. Sie steht in Ihrem System oder lässt sich mit einer Frage beim Lieferanten holen. Nur sitzt jedes Mal ein Mensch dazwischen, der gerade keine Zeit dafür hat.	Lo raro es que casi siempre es información conocida. Está en tu sistema o se consigue con una sola pregunta a tu proveedor. Solo que cada vez hay una persona en medio que justo no tiene tiempo.
Het gesprek loopt door op WhatsApp	La conversation se poursuit sur WhatsApp	The conversation continues on WhatsApp	Das Gespräch läuft auf WhatsApp weiter	La conversación sigue en WhatsApp
Het gevolg is bekend. De klant boekt iets online, de werkplaats ziet het, en iemand moet terugbellen om het te verzetten. Dan had je het net zo goed meteen telefonisch kunnen doen, en heb je bovendien een klant die zich voor niets verheugd had.	La suite est connue. Le client réserve en ligne, l'atelier le voit, et quelqu'un doit rappeler pour déplacer. Autant l'avoir fait tout de suite par téléphone, et en plus vous avez un client qui s'est réjoui pour rien.	The result is familiar. The customer books something online, the workshop sees it, and someone has to call back to move it. You might as well have done it by phone straight away, and on top of that you have a customer who got his hopes up for nothing.	Die Folge ist bekannt. Der Kunde bucht etwas online, die Werkstatt sieht es, und jemand muss zurückrufen, um es zu verschieben. Dann hätten Sie es genauso gut gleich telefonisch machen können, und obendrein haben Sie einen Kunden, der sich umsonst gefreut hat.	El resultado es conocido. El cliente reserva algo online, el taller lo ve y alguien tiene que llamar para cambiarlo. Igual podrías haberlo hecho por teléfono desde el principio, y encima tienes un cliente que se ha ilusionado para nada.
Het gezicht	Le visage	The face	Das Gesicht	La cara
Het goede nieuws is dat deze klanten je al kennen. Ze hoeven niet overtuigd te worden, alleen herinnerd.	La bonne nouvelle, c'est que ces clients vous connaissent déjà. Ils n'ont pas besoin d'être convaincus, seulement d'un rappel.	The good news is that these customers already know you. They do not need convincing, only reminding.	Die gute Nachricht ist, dass diese Kunden Sie bereits kennen. Sie müssen nicht überzeugt, sondern nur erinnert werden.	La buena noticia es que estos clientes ya te conocen. No hay que convencerlos, solo recordárselo.
Het halve uur vragen stellen is al gedaan voordat de auto voorrijdt.	La demi-heure de questions est déjà faite avant que la voiture n'arrive.	The half hour of asking questions is already done before the car pulls up.	Die halbe Stunde Fragenstellen ist schon erledigt, bevor das Auto vorfährt.	La media hora de preguntas ya está hecha antes de que llegue el coche.
Het is best veel geld. Kan het nog even wachten?	Cela fait quand même beaucoup d'argent. Ça peut encore attendre ?	That is quite a lot of money. Can it wait a bit?	Das ist schon viel Geld. Kann das noch etwas warten?	Es bastante dinero. ¿Puede esperar un poco?
Het kent het verschil tussen een keuring en een koppeling.	Il connaît la différence entre un contrôle et un embrayage.	It knows the difference between an inspection and a clutch.	Es kennt den Unterschied zwischen einer Untersuchung und einer Kupplung.	Conoce la diferencia entre una inspección y un embrague.
Het kenteken als startpunt van het gesprek	La plaque comme point de départ de la conversation	The registration as the starting point of the conversation	Das Kennzeichen als Ausgangspunkt des Gesprächs	La matrícula como punto de partida de la conversación
Het kenteken is	La plaque, c'est	The registration is	Das Kennzeichen ist	La matrícula es
Het kenteken levert merk, model en bouwjaar. Dat is de basis voor elke calculatie die erna komt.	La plaque fournit la marque, le modèle et l'année. C'est la base de tout chiffrage qui suivra.	The registration provides make, model and year. That is the basis for every estimate that follows.	Das Kennzeichen liefert Marke, Modell und Baujahr. Das ist die Grundlage für jede Kalkulation, die danach kommt.	La matrícula da marca, modelo y año. Esa es la base de cualquier valoración posterior.
Het komt op de lijst voor volgende week. Die lijst wordt al twee jaar doorgeschoven.	Cela passe sur la liste de la semaine prochaine. Cette liste est repoussée depuis deux ans.	It goes on the list for next week. That list has been getting pushed forward for two years.	Es kommt auf die Liste für nächste Woche. Diese Liste wird seit zwei Jahren weitergeschoben.	Pasa a la lista de la semana que viene. Esa lista lleva dos años aplazándose.
Het merendeel van de no-shows is vergeetachtigheid. Een bericht de dag ervoor haalt daar een flink deel uit.	La majorité des rendez-vous manqués relève de l'oubli. Un message la veille en élimine une bonne partie.	The majority of no-shows are forgetfulness. A message the day before removes a good part of them.	Der Großteil der No-Shows ist Vergesslichkeit. Eine Nachricht am Vortag holt davon einen guten Teil heraus.	La mayoría de las ausencias son olvidos. Un mensaje el día antes elimina buena parte.
Het neemt het herhaalwerk over. De gesprekken die ertoe doen komen nog steeds bij een mens terecht.	Il reprend le travail répétitif. Les conversations qui comptent aboutissent toujours chez un humain.	It takes over the repetitive work. The conversations that matter still end up with a person.	Es übernimmt die Routinearbeit. Die Gespräche, auf die es ankommt, landen weiterhin bei einem Menschen.	Asume el trabajo repetitivo. Las conversaciones que importan siguen llegando a una persona.
Het noemt alleen bedragen die jij hebt vastgelegd. Voor de rest komt er een mens aan te pas.	Il ne cite que les montants que vous avez fixés. Pour le reste, un humain intervient.	It only names amounts you have set. For the rest, a person gets involved.	Es nennt nur Beträge, die Sie festgelegt haben. Für den Rest kommt ein Mensch dazu.	Solo menciona importes que tú has fijado. Para el resto interviene una persona.
Het onderscheid	La distinction	The distinction	Der Unterschied	La distinción
Het ongemakkelijkste telefoontje van de week verdwijnt uit het takenlijstje van je balie.	Le coup de fil le plus gênant de la semaine disparaît de la liste de tâches de votre comptoir.	The most uncomfortable phone call of the week disappears from your front desk's to-do list.	Das unangenehmste Telefonat der Woche verschwindet von der Aufgabenliste Ihres Empfangs.	La llamada más incómoda de la semana desaparece de la lista de tareas de tu mostrador.
Het open voertuigregister levert de gegevens.	Le registre public des véhicules fournit les données.	The open vehicle register supplies the data.	Das offene Fahrzeugregister liefert die Daten.	El registro público de vehículos aporta los datos.
Het punt is niet dat er sneller geantwoord wordt. Het punt is dat er	Ce n'est pas qu'on répond plus vite. C'est qu'on répond	The point is not that answers come faster. The point is that there	Es geht nicht darum, dass schneller geantwortet wird. Es geht darum, dass	No se trata de que se responda más rápido. Se trata de que
