# nederlands	frans	engels	duits	spaans
Een gesprek dat uit de hand loopt, gaat meteen naar een mens.	Une conversation qui dérape part aussitôt vers un humain.	A conversation that gets out of hand goes straight to a person.	Ein Gespräch, das aus dem Ruder läuft, geht sofort an einen Menschen.	Una conversación que se descontrola va directa a una persona.
Een gesprek is nog geen kans.	Une conversation n'est pas encore une opportunité.	A conversation is not yet an opportunity.	Ein Gespräch ist noch keine Chance.	Una conversación todavía no es una oportunidad.
Een gesprek op elke pagina van je site	Une conversation sur chaque page de votre site	A conversation on every page of your site	Ein Gespräch auf jeder Seite Ihrer Website	Una conversación en cada página de tu web
Een gesprek zonder vervolg krijgt een status en een datum. Zo staat het niet meer in een mailbox maar op een lijst.	Une conversation sans suite reçoit un statut et une date. Ainsi, elle n'est plus dans une boîte mail mais sur une liste.	A conversation without a follow-up gets a status and a date. That way it is no longer in a mailbox but on a list.	Ein Gespräch ohne Fortsetzung bekommt einen Status und ein Datum. So steht es nicht mehr in einem Postfach, sondern auf einer Liste.	Una conversación sin continuación recibe un estado y una fecha. Así ya no está en un buzón sino en una lista.
Een goede aanvraag verdwijnt in een gedeelde mailbox.	Une bonne demande disparaît dans une boîte partagée.	A good enquiry disappears into a shared mailbox.	Eine gute Anfrage verschwindet in einem gemeinsamen Postfach.	Una buena solicitud desaparece en un buzón compartido.
Een herinnering de dag ervoor haalt het merendeel van de niet-verschijners eruit, en wie niet kan verzet in plaats van weg te blijven.	Un rappel la veille élimine la plupart des absences, et celui qui ne peut pas déplace au lieu de ne pas venir.	A reminder the day before takes out most of the no-shows, and anyone who cannot make it reschedules instead of staying away.	Eine Erinnerung am Vortag holt die meisten Nichterscheiner heraus, und wer nicht kann, verlegt statt wegzubleiben.	Un recordatorio el día antes elimina la mayoría de las ausencias, y quien no puede cambia la cita en vez de no aparecer.
Een inruilvraag zonder kenteken, zonder kilometerstand en zonder foto's. Er moet drie keer heen en weer gemaild worden voor je iets kunt zeggen.	Une demande de reprise sans plaque, sans kilométrage et sans photos. Il faut trois allers-retours par courriel avant de pouvoir dire quoi que ce soit.	A trade-in question with no registration, no mileage and no photos. It takes three emails back and forth before you can say anything.	Eine Inzahlungnahmefrage ohne Kennzeichen, ohne Kilometerstand und ohne Fotos. Es braucht drei Mails hin und her, bevor Sie etwas sagen können.	Una pregunta de tasación sin matrícula, sin kilometraje y sin fotos. Hacen falta tres correos de ida y vuelta antes de poder decir nada.
Een koopsignaal dat doodloopt in een voorbehoud.	Un signal d'achat qui meurt dans une réserve.	A buying signal that dies in a caveat.	Ein Kaufsignal, das in einem Vorbehalt verendet.	Una señal de compra que muere en una reserva.
Een koopsignaal dat niet doodloopt.	Un signal d'achat qui ne meurt pas.	A buying signal that does not die.	Ein Kaufsignal, das nicht verendet.	Una señal de compra que no muere.
Een koopsignaal, midden in een gesprek over een wagen van 24.500 euro. Het antwoord vraagt om gegevens die je nog niet hebt.	Un signal d'achat, en plein milieu d'une conversation sur un véhicule à 24 500 euros. La réponse exige des données dont vous ne disposez pas encore.	A buying signal, in the middle of a conversation about a €24,500 vehicle. The answer calls for data you do not have yet.	Ein Kaufsignal, mitten in einem Gespräch über ein Fahrzeug für 24.500 Euro. Die Antwort verlangt Daten, die Sie noch nicht haben.	Una señal de compra, en mitad de una conversación sobre un vehículo de 24.500 euros. La respuesta pide datos que todavía no tienes.
Een koper belt niet terug en leest zijn mail niet, maar op een appje reageert hij binnen het uur. Daarom is dit het kanaal waar gesprekken doorlopen en waar afspraken vastgezet worden.	Un acheteur ne rappelle pas et ne lit pas ses courriels, mais il répond à un message en moins d'une heure. C'est pourquoi c'est ici que les conversations se poursuivent et que les rendez-vous se fixent.	A buyer does not call back and does not read their email, but answers a message within the hour. That is why this is the channel where conversations continue and appointments get pinned down.	Ein Käufer ruft nicht zurück und liest seine Mails nicht, aber auf eine Nachricht antwortet er binnen einer Stunde. Darum ist das der Kanal, auf dem Gespräche weiterlaufen und Termine festgemacht werden.	Un comprador no devuelve la llamada ni lee el correo, pero a un mensaje responde en menos de una hora. Por eso este es el canal donde las conversaciones continúan y las citas se fijan.
Een koper die op budget en carrosserie zoekt, krijgt wagens die er werkelijk staan in plaats van een filter.	Un acheteur qui cherche par budget et carrosserie reçoit des véhicules réellement présents plutôt qu'un filtre.	A buyer searching on budget and body style gets vehicles that are actually there instead of a filter.	Ein Käufer, der nach Budget und Karosserie sucht, bekommt Fahrzeuge, die wirklich dastehen, statt eines Filters.	Un comprador que busca por presupuesto y carrocería recibe vehículos que están de verdad en lugar de un filtro.
Een koper die op eisen zoekt in plaats van op een model, krijgt drie wagens die er werkelijk staan en het verschil ertussen uitgelegd.	Un acheteur qui cherche par critères plutôt que par modèle reçoit trois véhicules réellement présents et la différence entre eux expliquée.	A buyer searching on requirements instead of a model gets three vehicles that are actually there, with the difference between them explained.	Ein Käufer, der nach Anforderungen statt nach einem Modell sucht, bekommt drei Fahrzeuge, die wirklich dastehen, und den Unterschied erklärt.	Un comprador que busca por requisitos en lugar de por modelo recibe tres vehículos que están de verdad, con la diferencia explicada.
Een koper die twijfelde, koopt elders zonder dat je het merkt.	Un acheteur qui hésitait achète ailleurs sans que vous le remarquiez.	A buyer who was wavering buys elsewhere without you noticing.	Ein Käufer, der zweifelte, kauft woanders, ohne dass Sie es merken.	Un comprador que dudaba compra en otro sitio sin que te enteres.
Een koper die wachtte, wacht niet lang.	Un acheteur qui attendait n'attend pas longtemps.	A buyer who was waiting does not wait long.	Ein Käufer, der wartete, wartet nicht lange.	Un comprador que esperaba no espera mucho.
Een koper die zegt "ik zoek een automaat rond de dertigduizend met minder dan honderdduizend kilometer" stelt eigenlijk een verkoopvraag. Alleen staat er op dat moment niemand om hem te beantwoorden.	Un acheteur qui dit « je cherche une boîte automatique autour de trente mille avec moins de cent mille kilomètres » pose en fait une question de vente. Sauf qu'à ce moment-là, personne n'est là pour y répondre.	A buyer who says "I'm looking for an automatic around thirty thousand with under a hundred thousand kilometres" is really asking a sales question. It is just that at that moment nobody is there to answer it.	Ein Käufer, der sagt „ich suche eine Automatik um die dreißigtausend mit weniger als hunderttausend Kilometern", stellt eigentlich eine Verkaufsfrage. Nur steht in dem Moment niemand da, um sie zu beantworten.	Un comprador que dice «busco un automático de unos treinta mil con menos de cien mil kilómetros» está haciendo en realidad una pregunta de venta. Solo que en ese momento no hay nadie para responderla.
Een koper is enthousiast over een wagen en vraagt pas aan het eind wat zijn eigen auto nog waard is. Vanaf dat moment gaat het gesprek niet meer over de wagen die hij wil, maar over de wagen die hij kwijt wil.	Un acheteur est enthousiaste pour un véhicule et ne demande qu'à la fin ce que vaut encore sa propre voiture. À partir de là, la conversation ne porte plus sur le véhicule qu'il veut, mais sur celui dont il veut se débarrasser.	A buyer is enthusiastic about a vehicle and only at the end asks what their own car is still worth. From that moment the conversation is no longer about the vehicle they want, but about the vehicle they want rid of.	Ein Käufer ist begeistert von einem Fahrzeug und fragt erst am Ende, was sein eigenes Auto noch wert ist. Ab da geht es im Gespräch nicht mehr um das Fahrzeug, das er will, sondern um das, das er loswerden möchte.	Un comprador está entusiasmado con un vehículo y solo al final pregunta cuánto vale su propio coche. A partir de ahí la conversación ya no va del vehículo que quiere, sino del que quiere quitarse.
Een koper vraagt naar een auto	Un acheteur se renseigne sur une voiture	A buyer asks about a car	Ein Käufer fragt nach einem Auto	Un comprador pregunta por un coche
Een koper vraagt naar een auto.	Un acheteur se renseigne sur une voiture.	A buyer asks about a car.	Ein Käufer fragt nach einem Auto.	Un comprador pregunta por un coche.
Een koper vraagt naar een wagen, krijgt antwoord, zegt dat hij erover nadenkt en verdwijnt. Er is geen afwijzing, er is alleen stilte. En stilte staat op niemands takenlijst.	Un acheteur se renseigne sur un véhicule, reçoit une réponse, dit qu'il va y réfléchir et disparaît. Il n'y a pas de refus, il n'y a que du silence. Et le silence ne figure sur la liste de tâches de personne.	A buyer asks about a vehicle, gets an answer, says they will think about it and disappears. There is no rejection, there is only silence. And silence is on nobody's to-do list.	Ein Käufer fragt nach einem Fahrzeug, bekommt Antwort, sagt, er denke darüber nach, und verschwindet. Es gibt keine Absage, es gibt nur Stille. Und Stille steht auf niemandes Aufgabenliste.	Un comprador pregunta por un vehículo, recibe respuesta, dice que se lo piensa y desaparece. No hay un no, solo hay silencio. Y el silencio no está en la lista de tareas de nadie.
Een koper vraagt of hij kan proefrijden. Dan moet iemand kijken of de wagen er staat, of hij niet uitgeleend is en of er een verkoper vrij is. Dat kost drie berichten en een halve dag.	Un acheteur demande s'il peut essayer. Quelqu'un doit alors vérifier si le véhicule est là, s'il n'est pas prêté et si un vendeur est libre. Cela coûte trois messages et une demi-journée.	A buyer asks if they can test drive. Then someone has to check whether the vehicle is there, whether it is not out on loan and whether a salesperson is free. That costs three messages and half a day.	Ein Käufer fragt, ob er probefahren kann. Dann muss jemand prüfen, ob das Fahrzeug da ist, ob es nicht verliehen ist und ob ein Verkäufer frei ist. Das kostet drei Nachrichten und einen halben Tag.	Un comprador pregunta si puede probarlo. Entonces alguien tiene que mirar si el vehículo está, si no está prestado y si hay un vendedor libre. Eso cuesta tres mensajes y medio día.
Een koper vraagt wat een wagen hem per maand kost. Het eerlijke antwoord hangt af van looptijd, inbreng, inruil en een goedkeuring die nog moet komen. Dus zegt iedereen "dat hangt ervan af", en daar stopt het.	Un acheteur demande ce qu'un véhicule lui coûte par mois. La réponse honnête dépend de la durée, de l'apport, de la reprise et d'un accord encore à venir. Alors tout le monde dit « cela dépend », et cela s'arrête là.	A buyer asks what a vehicle costs them per month. The honest answer depends on term, deposit, trade-in and an approval still to come. So everyone says "that depends", and there it stops.	Ein Käufer fragt, was ihn ein Fahrzeug im Monat kostet. Die ehrliche Antwort hängt von Laufzeit, Anzahlung, Inzahlungnahme und einer noch ausstehenden Zusage ab. Also sagt jeder „das kommt darauf an", und da endet es.	Un comprador pregunta cuánto le cuesta un vehículo al mes. La respuesta honesta depende del plazo, la entrada, la entrega del usado y una aprobación que aún falta. Así que todos dicen «eso depende», y ahí se acaba.
Een koppeling bouwen zonder iemand die hem meteen gebruikt, levert bijna altijd de verkeerde koppeling op. Je maakt dan wat logisch lijkt in plaats van wat nodig is. Daarom bouwen we pas als er een bedrijf is dat het de week erna in gebruik neemt.	Construire une intégration sans quelqu'un qui l'utilise aussitôt donne presque toujours la mauvaise intégration. On fait alors ce qui semble logique plutôt que ce qui est nécessaire. C'est pourquoi nous ne construisons que lorsqu'une entreprise la met en service la semaine suivante.	Building an integration without someone who uses it right away almost always gives you the wrong integration. You end up making what seems logical instead of what is needed. That is why we only build when there is a business putting it to use the week after.	Eine Anbindung zu bauen, ohne jemanden, der sie sofort nutzt, ergibt fast immer die falsche Anbindung. Man baut dann, was logisch scheint, statt was nötig ist. Darum bauen wir erst, wenn es einen Betrieb gibt, der sie in der Woche darauf einsetzt.	Construir una integración sin alguien que la use de inmediato da casi siempre la integración equivocada. Acabas haciendo lo que parece lógico en lugar de lo que hace falta. Por eso solo construimos cuando hay una empresa que la pone en uso la semana siguiente.
Een koppeling live noemen voor hij bij een klant draait	Qualifier une intégration de « en ligne » avant qu'elle ne tourne chez un client	Calling an integration live before it runs at a customer	Eine Anbindung live nennen, bevor sie bei einem Kunden läuft	Llamar «en marcha» a una integración antes de que funcione en un cliente
Een laatste bericht dat hij altijd kan reageren, en dat de wagen ondertussen verkocht kan zijn. Daarna stopt het.	Un dernier message lui disant qu'il peut toujours répondre, et que le véhicule peut entre-temps avoir été vendu. Ensuite, cela s'arrête.	A last message saying they can always reply, and that the vehicle may have been sold in the meantime. After that it stops.	Eine letzte Nachricht, dass er sich jederzeit melden kann und dass das Fahrzeug inzwischen verkauft sein könnte. Danach hört es auf.	Un último mensaje diciéndole que siempre puede responder y que el vehículo puede haberse vendido mientras tanto. Después para.
Een mail is langer, bevat vaker een inruil en komt vaker van iemand die het meent. En juist die mail zakt weg tussen facturen, nieuwsbrieven en leveranciers.	Un courriel est plus long, mentionne plus souvent une reprise et vient plus souvent de quelqu'un de sérieux. Et c'est précisément ce courriel qui sombre entre les factures, les newsletters et les fournisseurs.	An email is longer, more often mentions a trade-in and more often comes from someone who means it. And it is exactly that email that sinks between invoices, newsletters and suppliers.	Eine Mail ist länger, enthält öfter eine Inzahlungnahme und kommt öfter von jemandem, der es ernst meint. Und genau diese Mail versinkt zwischen Rechnungen, Newslettern und Lieferanten.	Un correo es más largo, menciona más a menudo una entrega y más a menudo viene de alguien que va en serio. Y es precisamente ese correo el que se hunde entre facturas, boletines y proveedores.
Een mail verdient een mail, geen chatbericht. Met de gegevens van de wagen en een concreet voorstel erin.	Un courriel mérite un courriel, pas un message de chat. Avec les données du véhicule et une proposition concrète dedans.	An email deserves an email, not a chat message. With the vehicle's data and a concrete proposal in it.	Eine Mail verdient eine Mail, keine Chatnachricht. Mit den Daten des Fahrzeugs und einem konkreten Vorschlag darin.	Un correo merece un correo, no un mensaje de chat. Con los datos del vehículo y una propuesta concreta dentro.
Een mens waar het moet.	Un humain là où il le faut.	A person where it matters.	Ein Mensch, wo es sein muss.	Una persona donde hace falta.
Een moment aanbieden	Proposer un créneau	Offering a slot	Einen Termin anbieten	Ofrecer un hueco
Een moment voorstellen en vastzetten	Proposer un créneau et le fixer	Proposing a slot and pinning it down	Einen Termin vorschlagen und festmachen	Proponer un hueco y fijarlo
Een paar tonen, niet dertig	En montrer quelques-uns, pas trente	Showing a few, not thirty	Ein paar zeigen, nicht dreißig	Enseñar unos pocos, no treinta
Een proefrit die niet doorgaat, kost je verkoper een blok in zijn agenda.	Un essai qui n'a pas lieu coûte à votre vendeur un bloc dans son agenda.	A test drive that does not happen costs your salesperson a block in their calendar.	Eine Probefahrt, die nicht stattfindet, kostet Ihren Verkäufer einen Block im Kalender.	Una prueba que no se hace le cuesta a tu vendedor un bloque en su agenda.
Een proefrit gaat over één specifieke auto uit je voorraad, niet over een model. Dat wordt eerst vastgesteld.	Un essai porte sur une voiture précise de votre stock, pas sur un modèle. Cela est établi d'abord.	A test drive is about one specific car from your stock, not about a model. That gets established first.	Eine Probefahrt betrifft ein bestimmtes Auto aus Ihrem Bestand, nicht ein Modell. Das wird zuerst geklärt.	Una prueba es sobre un coche concreto de tu stock, no sobre un modelo. Eso se establece primero.
Een proefrit is de afspraak	L'essai, c'est le rendez-vous	The test drive is the appointment	Die Probefahrt ist der Termin	La prueba es la cita
Een proefrit is een afspraak met een wagen eraan vast. Daarom gaat deze werkstroom altijd langs je voorraad voordat er een moment genoemd wordt.	Un essai est un rendez-vous auquel un véhicule est rattaché. C'est pourquoi ce flux passe toujours par votre stock avant qu'un créneau ne soit évoqué.	A test drive is an appointment with a vehicle attached to it. That is why this workflow always goes past your stock before a time is mentioned.	Eine Probefahrt ist ein Termin mit einem Fahrzeug daran. Darum geht dieser Ablauf immer an Ihrem Bestand vorbei, bevor eine Zeit genannt wird.	Una prueba es una cita con un vehículo unido a ella. Por eso este flujo pasa siempre por tu stock antes de mencionar una hora.
Een proefrit zonder begeleiding is jouw beslissing, niet die van het systeem.	Un essai sans accompagnement est votre décision, pas celle du système.	An unaccompanied test drive is your decision, not the system's.	Eine Probefahrt ohne Begleitung ist Ihre Entscheidung, nicht die des Systems.	Una prueba sin acompañamiento es tu decisión, no la del sistema.
