# nederlands	frans	engels	duits	spaans
Levert de wagen aan die deel van de financiering wordt.	Fournit le véhicule qui fera partie du financement.	Supplies the vehicle that becomes part of the financing.	Liefert das Fahrzeug, das Teil der Finanzierung wird.	Aporta el vehículo que pasa a formar parte de la financiación.
Merk, bouwjaar, kilometers, historiek en foto's binnen voordat hij voorrijdt. Het bedrag bepaalt je verkoper.	Marque, année, kilométrage, historique et photos reçus avant qu'il n'arrive. Le montant, c'est votre vendeur qui le fixe.	Make, year, mileage, history and photos in before they pull up. Your salesperson sets the figure.	Marke, Baujahr, Kilometer, Historie und Fotos da, bevor er vorfährt. Den Betrag bestimmt Ihr Verkäufer.	Marca, año, kilómetros, historial y fotos recibidos antes de que aparezca. El importe lo fija tu vendedor.
Merk, model, bouwjaar, brandstof en kilometerstand. Bij een Nederlands of Belgisch kenteken scheelt dat een paar vragen.	Marque, modèle, année, carburant et kilométrage. Avec une plaque néerlandaise ou belge, cela évite quelques questions.	Make, model, year, fuel and mileage. With a Dutch or Belgian registration that saves a few questions.	Marke, Modell, Baujahr, Kraftstoff und Kilometerstand. Bei einem niederländischen oder belgischen Kennzeichen spart das ein paar Fragen.	Marca, modelo, año, combustible y kilometraje. Con una matrícula neerlandesa o belga eso ahorra unas cuantas preguntas.
Met een bevestiging en een herinnering de dag ervoor, in dezelfde chat.	Avec une confirmation et un rappel la veille, dans la même conversation.	With a confirmation and a reminder the day before, in the same chat.	Mit einer Bestätigung und einer Erinnerung am Vortag, im selben Chat.	Con una confirmación y un recordatorio el día antes, en el mismo chat.
Met naam, foto op zijn eigen terrein en zijn eigen woorden.	Avec son nom, une photo sur son propre parc et ses propres mots.	With their name, a photo on their own forecourt and their own words.	Mit Namen, Foto auf dem eigenen Hof und eigenen Worten.	Con su nombre, una foto en su propio terreno y sus propias palabras.
Minder heen en weer	Moins d'allers-retours	Less back and forth	Weniger Hin und Her	Menos idas y vueltas
Minder lege blokken	Moins de créneaux vides	Fewer empty slots	Weniger leere Blöcke	Menos huecos vacíos
Minder typen	Moins de saisie	Less typing	Weniger tippen	Menos teclear
Minder verrassingen	Moins de surprises	Fewer surprises	Weniger Überraschungen	Menos sorpresas
Minder zoekwerk	Moins de recherches	Less searching	Weniger Sucherei	Menos búsquedas
Moeten wij iets bouwen?	Devons-nous construire quelque chose ?	Do we have to build anything?	Müssen wir etwas bauen?	¿Tenemos que construir algo?
Mogen we iedereen appen?	Pouvons-nous écrire à tout le monde ?	May we message everyone?	Dürfen wir allen schreiben?	¿Podemos escribir a todo el mundo?
Morgenochtend half negen komen de formulieren binnen. Om 21:45 hadden ze al ergens een afspraak kunnen staan.	Demain matin à huit heures et demie, les formulaires arrivent. À 21:45, ils auraient déjà pu avoir un rendez-vous quelque part.	At half past eight tomorrow morning the forms come in. At 21:45 they could already have had an appointment somewhere.	Morgen früh um halb neun kommen die Formulare herein. Um 21:45 hätten sie schon irgendwo einen Termin haben können.	Mañana a las ocho y media entran los formularios. A las 21:45 ya podrían haber tenido una cita en algún sitio.
Na de tweede mail haakt hij af. Je weet nooit welke wagen hij bedoelde.	Après le deuxième courriel, il abandonne. Vous ne saurez jamais de quel véhicule il parlait.	After the second email they drop out. You never find out which vehicle they meant.	Nach der zweiten Mail springt er ab. Sie erfahren nie, welches Fahrzeug er meinte.	Después del segundo correo se va. Nunca sabes de qué vehículo hablaba.
Na een week: een moment	Après une semaine : un créneau	After a week: a slot	Nach einer Woche: ein Termin	Tras una semana: un hueco
Na twee dagen: iets nuttigs	Après deux jours : quelque chose d'utile	After two days: something useful	Nach zwei Tagen: etwas Nützliches	Tras dos días: algo útil
Naam, wagen, budget als hij dat noemde, termijn, afspraak en het hele gesprek. Je verkoper begint niet bij nul.	Nom, véhicule, budget s'il l'a mentionné, durée, rendez-vous et toute la conversation. Votre vendeur ne part pas de zéro.	Name, vehicle, budget if they mentioned it, term, appointment and the whole conversation. Your salesperson does not start from zero.	Name, Fahrzeug, Budget falls genannt, Laufzeit, Termin und das ganze Gespräch. Ihr Verkäufer fängt nicht bei null an.	Nombre, vehículo, presupuesto si lo dijo, plazo, cita y toda la conversación. Tu vendedor no empieza de cero.
Naam, wagen, wat er al besproken is en of er een inruil in het spel zit. Dat scheelt het eerste kwartier van elk gesprek.	Nom, véhicule, ce qui a déjà été discuté et s'il y a une reprise en jeu. Cela économise le premier quart d'heure de chaque conversation.	Name, vehicle, what has already been discussed and whether a trade-in is in play. That saves the first quarter of an hour of every conversation.	Name, Fahrzeug, was schon besprochen wurde und ob eine Inzahlungnahme im Spiel ist. Das spart die erste Viertelstunde jedes Gesprächs.	Nombre, vehículo, lo que ya se ha hablado y si hay una entrega de por medio. Eso ahorra el primer cuarto de hora de cada conversación.
Naar de koper	Vers l'acheteur	To the buyer	An den Käufer	Al comprador
Naar de verkoper	Vers le vendeur	To the salesperson	An den Verkäufer	Al vendedor
Naar een mens	Vers un humain	To a person	An einen Menschen	A una persona
Nederlands en Frans in één gesprek	Néerlandais et français dans une seule conversation	Dutch and French in one conversation	Niederländisch und Französisch in einem Gespräch	Neerlandés y francés en una conversación
Nederlands, Frans, Engels, Duits	Néerlandais, français, anglais, allemand	Dutch, French, English, German	Niederländisch, Französisch, Englisch, Deutsch	Neerlandés, francés, inglés, alemán
Nee. Alleen mensen die zelf contact hebben opgenomen. Dat is geen keuze van ons maar een regel van WhatsApp.	Non. Uniquement les personnes qui ont pris contact elles-mêmes. Ce n'est pas notre choix mais une règle de WhatsApp.	No. Only people who got in touch themselves. That is not our choice but a WhatsApp rule.	Nein. Nur Leute, die sich selbst gemeldet haben. Das ist nicht unsere Wahl, sondern eine Regel von WhatsApp.	No. Solo personas que han contactado por su cuenta. No es una decisión nuestra sino una norma de WhatsApp.
Nee. De vraagprijs wordt genoemd zoals hij in je voorraad staat. Er gaat geen euro af en er wordt geen korting in het vooruitzicht gesteld. Onderhandelen is werk voor je verkoper, en wat een systeem weggeeft krijg je later niet meer terug.	Non. Le prix demandé est cité tel qu'il figure dans votre stock. Pas un euro n'est retiré et aucune remise n'est laissée entrevoir. Négocier est le travail de votre vendeur, et ce qu'un système donne, vous ne le récupérez plus ensuite.	No. The asking price is quoted exactly as it stands in your stock. Not a euro comes off and no discount is dangled. Negotiating is your salesperson's work, and what a system gives away you do not get back later.	Nein. Der Angebotspreis wird genannt, wie er in Ihrem Bestand steht. Kein Euro geht ab und es wird kein Rabatt in Aussicht gestellt. Verhandeln ist Sache Ihres Verkäufers, und was ein System verschenkt, bekommen Sie später nicht zurück.	No. El precio pedido se dice tal como está en tu stock. No se baja ni un euro ni se insinúa ningún descuento. Negociar es trabajo de tu vendedor, y lo que un sistema regala no lo recuperas después.
Nee. Het neemt het herhaalwerk over: de eerste vragen, het uitvragen, het inplannen en het opvolgen. De gesprekken waar het geld in zit, blijven bij je verkopers. Het verschil is dat ze die voeren met iemand die al weet welke wagen hij wil en wanneer hij kan komen.	Non. Il prend en charge le travail répétitif : les premières questions, le recueil des informations, la planification et le suivi. Les conversations où se trouve l'argent restent chez vos vendeurs. La différence, c'est qu'ils les mènent avec quelqu'un qui sait déjà quel véhicule il veut et quand il peut venir.	No. It takes over the repetitive work: the first questions, the asking, the scheduling and the following up. The conversations with the money in them stay with your salespeople. The difference is they hold them with someone who already knows which vehicle they want and when they can come.	Nein. Es übernimmt die Wiederholungsarbeit: die ersten Fragen, das Abfragen, das Einplanen und das Nachfassen. Die Gespräche, in denen das Geld steckt, bleiben bei Ihren Verkäufern. Der Unterschied ist, dass sie diese mit jemandem führen, der schon weiß, welches Fahrzeug er will und wann er kommen kann.	No. Se encarga del trabajo repetitivo: las primeras preguntas, la recogida de datos, la planificación y el seguimiento. Las conversaciones donde está el dinero se quedan con tus vendedores. La diferencia es que las tienen con alguien que ya sabe qué vehículo quiere y cuándo puede venir.
Nee. Merk, bouwjaar, kilometerstand, historiek en foto's worden opgehaald zodat je verkoper met alles in handen een bedrag kan bepalen. Het bedrag zelf komt altijd van een mens.	Non. Marque, année, kilométrage, historique et photos sont recueillis pour que votre vendeur puisse fixer un montant en ayant tout en main. Le montant lui-même vient toujours d'un humain.	No. Make, year, mileage, history and photos get collected so your salesperson can set a figure with everything in hand. The figure itself always comes from a person.	Nein. Marke, Baujahr, Kilometerstand, Historie und Fotos werden geholt, damit Ihr Verkäufer mit allem in der Hand einen Betrag bestimmen kann. Der Betrag selbst kommt immer von einem Menschen.	No. Se recogen marca, año, kilometraje, historial y fotos para que tu vendedor pueda fijar un importe con todo en la mano. El importe en sí siempre viene de una persona.
Nee. We werken met het bestand of de feed die je al hebt.	Non. Nous travaillons avec le fichier ou le flux que vous avez déjà.	No. We work with the file or the feed you already have.	Nein. Wir arbeiten mit der Datei oder dem Feed, den Sie schon haben.	No. Trabajamos con el archivo o el feed que ya tienes.
Nee. Website, WhatsApp en e-mail. De telefoon blijft van jou en daar doen we niets mee. Dat is een keuze: die drie kanalen zijn te lezen, te controleren en terug te zoeken, en daar komt bij de meeste autobedrijven het meeste binnen.	Non. Site, WhatsApp et courriel. Le téléphone reste le vôtre et nous n'y touchons pas. C'est un choix : ces trois canaux se lisent, se contrôlent et se retrouvent, et c'est par là qu'arrive le plus gros chez la plupart des concessions.	No. Website, WhatsApp and email. The phone stays yours and we do nothing with it. That is a choice: those three channels can be read, checked and searched back, and that is where most of it comes in at most dealerships.	Nein. Website, WhatsApp und E-Mail. Das Telefon bleibt bei Ihnen und damit machen wir nichts. Das ist eine Entscheidung: Diese drei Kanäle lassen sich lesen, prüfen und zurückverfolgen, und dort kommt bei den meisten Autohäusern das meiste herein.	No. Web, WhatsApp y correo. El teléfono sigue siendo tuyo y ahí no tocamos nada. Es una decisión: esos tres canales se pueden leer, comprobar y rastrear, y por ahí entra la mayor parte en casi todos los concesionarios.
Nee. Wie alleen rondkijkt, wordt met rust gelaten. Dat levert meer op dan iedereen een formulier voorhouden.	Non. Celui qui ne fait que regarder est laissé tranquille. Cela rapporte plus que de mettre un formulaire sous le nez de tout le monde.	No. Anyone just browsing is left alone. That pays off better than pushing a form at everyone.	Nein. Wer sich nur umsieht, wird in Ruhe gelassen. Das bringt mehr, als jedem ein Formular vorzuhalten.	No. A quien solo mira se le deja en paz. Eso rinde más que ponerle un formulario delante a todo el mundo.
Neemt het gesprek over wanneer de koper daarop overstapt.	Reprend la conversation quand l'acheteur bascule dessus.	Takes over the conversation when the buyer switches to it.	Übernimmt das Gespräch, wenn der Käufer dorthin wechselt.	Recoge la conversación cuando el comprador se cambia ahí.
Neemt het over zodra de koper een wagen kiest.	Prend le relais dès que l'acheteur choisit un véhicule.	Takes over as soon as the buyer picks a vehicle.	Übernimmt, sobald der Käufer ein Fahrzeug wählt.	Toma el relevo en cuanto el comprador elige un vehículo.
Niemand hoeft na te bellen	Personne n'a besoin de relancer par téléphone	Nobody has to chase by phone	Niemand muss hinterhertelefonieren	Nadie tiene que perseguir por teléfono
Niemand voelt zich eigenaar, dus blijft hij liggen.	Personne ne s'en sent responsable, alors elle reste là.	Nobody feels ownership, so it stays lying there.	Niemand fühlt sich zuständig, also bleibt sie liegen.	Nadie se siente responsable, así que se queda ahí.
Niemand weet welke aanvragen nog open staan en welke dood zijn.	Personne ne sait quelles demandes sont encore ouvertes et lesquelles sont mortes.	Nobody knows which enquiries are still open and which are dead.	Niemand weiß, welche Anfragen noch offen sind und welche tot.	Nadie sabe qué solicitudes siguen abiertas y cuáles están muertas.
Niet alles tegelijk. We zetten de werkstroom aan met het grootste gat, meestal de nieuwe aanvraag of de opvolging. De rest blijft uit, zodat het effect toe te wijzen is.	Pas tout d'un coup. Nous activons le flux avec le plus grand trou, généralement la nouvelle demande ou le suivi. Le reste reste éteint, afin que l'effet soit attribuable.	Not everything at once. We switch on the workflow with the biggest gap, usually the new enquiry or the follow-up. The rest stays off, so the effect can be attributed.	Nicht alles gleichzeitig. Wir schalten den Ablauf mit der größten Lücke ein, meist die neue Anfrage oder das Nachfassen. Der Rest bleibt aus, damit die Wirkung zuzuordnen ist.	No todo a la vez. Encendemos el flujo con el mayor agujero, normalmente la nueva solicitud o el seguimiento. El resto se queda apagado, para poder atribuir el efecto.
Niet de telefoon van een verkoper, maar een nummer van het bedrijf waar iedereen bij kan en waar alles bewaard blijft.	Pas le portable d'un vendeur, mais un numéro de l'entreprise auquel tout le monde a accès et où tout est conservé.	Not a salesperson's phone, but a company number everyone can reach and where everything is kept.	Nicht das Handy eines Verkäufers, sondern eine Betriebsnummer, an die alle kommen und wo alles erhalten bleibt.	No el móvil de un vendedor, sino un número de la empresa al que accede todo el mundo y donde queda todo guardado.
Niet elke aanvraag is een koper. Dit is het deel dat je normaal wel zou verkopen.	Toute demande n'est pas un acheteur. C'est la part que vous vendriez normalement.	Not every enquiry is a buyer. This is the share you would normally sell.	Nicht jede Anfrage ist ein Käufer. Das ist der Anteil, den Sie normalerweise verkaufen würden.	No toda solicitud es un comprador. Esta es la parte que normalmente sí venderías.
Niet elke koper weet al	Tout acheteur ne sait pas encore	Not every buyer knows yet	Nicht jeder Käufer weiß schon	No todo comprador lo sabe ya
Niet omdat je sneller typt, maar omdat er altijd iemand is. Ook om tien uur ’s avonds en op zondagochtend.	Pas parce que vous écrivez plus vite, mais parce qu'il y a toujours quelqu'un. Aussi à dix heures du soir et le dimanche matin.	Not because you type faster, but because there is always someone. Also at ten in the evening and on a Sunday morning.	Nicht weil Sie schneller tippen, sondern weil immer jemand da ist. Auch um zehn Uhr abends und am Sonntagmorgen.	No porque escribas más rápido, sino porque siempre hay alguien. También a las diez de la noche y un domingo por la mañana.
Niet op de telefoon van een verkoper, maar in een dossier waar je collega’s bij kunnen.	Pas sur le portable d'un vendeur, mais dans un dossier auquel vos collègues ont accès.	Not on a salesperson's phone, but in a file your colleagues can reach.	Nicht auf dem Handy eines Verkäufers, sondern in einer Akte, an die Ihre Kollegen kommen.	No en el móvil de un vendedor, sino en un expediente al que acceden tus compañeros.
Niet tevredenheid, niet responstijd, niet het aantal berichten. Eén verhouding, gemeten op dezelfde manier voor en na, bij hetzelfde bedrijf.	Ni la satisfaction, ni le délai de réponse, ni le nombre de messages. Un seul rapport, mesuré de la même façon avant et après, dans la même entreprise.	Not satisfaction, not response time, not the number of messages. One ratio, measured the same way before and after, at the same business.	Nicht Zufriedenheit, nicht Reaktionszeit, nicht die Zahl der Nachrichten. Ein Verhältnis, auf dieselbe Weise vorher und nachher gemessen, im selben Betrieb.	Ni satisfacción, ni tiempo de respuesta, ni número de mensajes. Una sola proporción, medida igual antes y después, en la misma empresa.
Niet van gesprek.	Pas de conversation.	Not of conversation.	Nicht das Gespräch.	No de conversación.
Niet verzinnen	Ne rien inventer	No inventing	Nicht erfinden	No inventar
Niets blijft liggen	Rien ne reste en plan	Nothing gets left lying	Nichts bleibt liegen	Nada se queda tirado
Niets gevonden is ook een antwoord	Ne rien trouver est aussi une réponse	Finding nothing is also an answer	Nichts gefunden ist auch eine Antwort	No encontrar nada también es una respuesta
